,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,543,460,756,1216,362,389,-64,-488,163,1922,-371,0,-17,-17,0,-388,0,0,0,-465,-465,-819,-31,-1315,251,37,-819
2022-09-30,3863,450,-2705,-2255,-10,-181,-226,342,-77,1531,-426,0,90,90,492,156,0,-4,-4,-72,-72,-850,-7,-933,682,44,-850
2022-06-30,82,462,-353,109,-268,-518,140,1770,936,1127,-384,0,-154,-154,-13,-551,-599,349,-250,63,63,-848,-13,-1048,-525,47,-848
2022-03-31,1303.00000,459.00000,87.00000,546.00000,-189.00000,-319.00000,261.00000,-770.00000,-838.00000,1011.00000,-368.00000,13.00000,92.00000,92.00000,,-263.00000,-579.00000,-5.00000,-584.00000,-609.00000,-609.00000,-852.00000,-9.00000,-2054.00000,-1317.00000,135.00000,-852.00000
2021-12-31,1340,507,46,553,202,-80,178,15,112,2005,-549,0,651,651,13,115,-694,-6,-700,-865,-865,-848,1,-2412,-314,47,-848
2021-09-30,1437,476,-194,282,13,-179,-71,292,155,1874,-342,0,-45,-45,-2,-389,0,0,0,-441,-441,-856,-2,-1299,183,43,-856
2021-06-30,1525,472,135,607,-132,-340,256,154,-245,1887,-383,0,-292,-292,1,-674,1,-2,-1,-316,-316,-858,-8,-1183,59,53,-858
2021-03-31,1627.00000,460.00000,147.00000,607.00000,-205.00000,-304.00000,155.00000,-234.00000,-546.00000,1688.00000,-278.00000,,-110.00000,-110.00000,19.00000,-369.00000,-450.00000,6.00000,-444.00000,62.00000,62.00000,-858.00000,-11.00000,-1251.00000,2.00000,131.00000,-858.00000
2020-12-31,1406,498,0,498,52,-134,300,407,611,2515,-323,0,62,62,2,-259,-1000,-5,-1005,102,102,-848,-51,-1802,513,46,-848
2020-09-30,1434,481,-22,459,-128,241,221,380,587,2480,-355,3,-172,-172,1,-523,-1331,-6,-1337,89,89,-847,-2,-2097,-98,44,-847
2020-06-30,1303,492,-283,209,384,9,-281,76,393,1905,-370,487,453,453,7,577,-1146,-594,-1740,86,86,-846,-9,-2509,-34,52,-846
2020-03-31,1310.00000,440.00000,185.00000,625.00000,-143.00000,-207.00000,12.00000,-452.00000,-722.00000,1213.00000,-325.00000,61.00000,-111.00000,-111.00000,,-375.00000,1745.00000,462.00000,2207.00000,-216.00000,-216.00000,-847.00000,-36.00000,1108.00000,1900.00000,120.00000,-847.00000
2019-12-31,917,463,-34,429,359,115,105,155,992,2338,-506,-4280,-540,-540,27,-5299,-1680,150,-1530,-54,-54,-828,-39,-2451,-5378,48,-828
2019-09-30,1588,379,-47,332,244,180,-49,-383,102,2022,-261,236,88,88,27,90,3851,-25,3826,-70,-70,-828,-124,2804,4882,48,-828
2019-06-30,1131,376,261,637,-180,253,-170,154,-106,1662,-419,-6,402,402,13,-10,-625,-13,-638,-250,-250,-830,-17,-1735,-89,52,-830
2019-03-31,893.00000,375.00000,92.00000,467.00000,-78.00000,-178.00000,-3.00000,-53.00000,-312.00000,1048.00000,-390.00000,-698.00000,-142.00000,-142.00000,5.00000,-1225.00000,2019.00000,-428.00000,1591.00000,-486.00000,-486.00000,-830.00000,-17.00000,258.00000,85.00000,130.00000,-830.00000
