,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-701.677,-214.748,16.511,-198.237,0,0.791,-48.107,-948.021,1136.552,156.959,-264.774,102.67,-162.104,110.847,1242.254,-1038.084,-1038.084,63.008,67.508,604.429,53.754,-312.393,-18.16,-15.431,604.429
2022-09-30,236.126,73.842,0.043,73.885,0,-22.629,-2.377,307.634,-698.864,0,41.001,-26.331,14.67,11.968,-672.226,604.958,604.958,0,0,-200.878,-15.3,388.78,24.188,5.644,-200.878
2022-06-30,247.834,71.016,-14.414,56.602,0,12.175,48.486,352.922,-219.182,-157.301,162.378,-72.018,90.36,-162.533,-448.656,374.221,374.221,-63.008,-64.133,-201.024,-15.83,93.234,-2.5,5.245,-201.024
2022-03-31,217.71700,69.89000,-2.14000,67.75000,,9.66300,1.99800,287.46500,-218.50600,0.34200,61.39500,-4.32100,57.07400,39.71800,-121.37200,58.90500,58.90500,,-3.37500,-202.52700,-22.62400,-169.62100,-3.52800,4.54200,-202.52700
2021-12-31,283.858,66.125,-78.032,-11.907,0,-25.827,-48.783,223.168,-281.537,0,14.589,-33.768,-19.179,-119.032,-419.748,369.8906,369.8906,-0.169,-0.169,-167.403,-10.826,191.493,-5.087,4.656,-167.403
2021-09-30,199.82,63.303,-2.482,60.821,0,-9.905,4.939,265.58,-230.055,0,16.448,-13.66,2.788,-45.223,-272.49,211.4292,211.4292,0.167,0.167,-167.274,-15.88,28.442,21.532,4.012,-167.274
2021-06-30,178.579,62.153,-8.426,53.727,0,5.748,27.502,259.808,-165.061,0.365,46.198,-6.924,39.274,-62.475,-187.897,71.78,71.78,-0.211,-0.211,-133.777,-12.749,-74.957,-3.046,4.983,-133.777
2021-03-31,215.50100,60.88500,-66.41400,-5.52900,,-3.40100,-6.09200,203.88000,-43.80200,31.16900,-25.77200,-0.25000,-26.02200,81.25000,42.59500,-446.40890,-446.40890,277.97400,277.97400,-132.54000,-10.71400,-311.68900,-65.21400,3.65200,-132.54000
2020-12-31,166.309,58.769,-18.999,39.77,0,5.692,-18.114,187.965,-149.988,13.937,10.102,-364.792,-354.69,-100.841,-591.582,465.02,465.02,105.357,105.357,-118.065,-1.26,451.052,47.435,4.965,-118.065
2020-09-30,123.854,58.822,5.897,64.719,0,-19.196,2.621,191.194,-122.527,-13.566,0,9.541,9.541,-125.425,-251.977,198.939,198.939,1.146,1.146,-116.185,-4.294,79.606,18.823,3.452,-116.185
2020-06-30,111.257,58.134,7.909,66.043,0,9.281,25.517,202.817,-31.37,6.441,0,-9.541,-9.541,-16.825,-51.295,-48.181,-48.181,-14.889,-14.889,-116.318,-8.313,-187.701,-36.179,4.884,-116.318
2020-03-31,116.16200,58.10500,7.08100,65.18600,,4.18100,7.90800,189.25600,-46.63200,-6.44100,,,,-7.50000,-60.57300,75.49200,75.49200,-51.26000,-51.26000,-117.19700,-8.52100,-101.48600,27.19700,2.98000,-117.19700
2019-12-31,120.279,57.818,6.943,64.761,0,-8.032,-21.82,163.22,-84.489,33.661,169.327,-197.759,-28.432,-185.993,-265.253,231.881,231.881,0.208,0.208,-116.579,-9.459,106.051,4.018,3.064,-116.579
2019-09-30,115.995,58.957,5.639,64.596,0,-7.21,0.468,181.059,-54.764,-33.661,-11.466,31.344,19.878,152.599,84.052,-228.316,-228.316,100.659,100.659,-116.44,-9.943,-254.04,11.071,3.035,-116.44
2019-06-30,112.689,57.378,5.58,62.958,0,3.207,18.421,194.068,-30.888,21.377,0,-31.344,-31.344,-152.599,-193.454,33.65,33.65,99.266,99.266,-115.572,-9.142,8.202,8.816,3.998,-115.572
2019-03-31,102.16000,57.69300,5.84800,63.54100,,-2.78000,3.63800,169.33900,-229.58000,-17.39500,,,,,-246.97500,168.05200,168.05200,1.75700,1.75700,-109.52300,-8.51200,51.77400,-25.86200,2.95400,-109.52300
2018-12-31,109.25,58.182,5.515,63.697,0,0.762,-24.179,148.768,-115.38,53.972,13.889,-65.5,-51.611,-13.85,-126.869,50.7171,50.7171,56.45,56.45,-109.299,-13.66,-15.792,6.107,2.721,-109.299
2018-09-30,139.687,55.449,-25.434,30.015,0,-0.206,19.583,189.285,-56.011,-52.786,-13.889,34.752,20.863,0,-87.934,-16.3741,-16.3741,33.78,33.78,-108.795,-12.485,-103.874,-2.523,2.613,-108.795
2018-06-30,102.713,54.935,6.406,61.341,0,6.626,4.08,168.134,-179.907,0.438,16.054,-34.752,-18.698,0,-198.167,164.569,164.569,0.371,0.371,-108.486,-11.379,45.075,15.042,3.116,-108.486
2018-03-31,95.43000,54.77000,5.43600,60.20600,,5.53800,15.97200,171.60800,-87.60600,47.50600,9.17200,,9.17200,,-30.92800,-64.66800,-64.66800,0.79900,0.79900,-98.32700,-10.46400,-172.66000,-31.98000,2.72600,-98.32700
