,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,249.4,46.3,-64.3,-18,-41.1,-172.2,59.2,-47.2,-13.5,-9.2,216.3,216.3,12.4,158.8,5,5,-176.8,-176.8,-88.7,-26.5,-287,-69,0,-88.7
2022-09-30,173.9,44.8,21.2,66,-46.2,-24.3,215.6,-31.1,-32.1,0,133.4,133.4,4.2,74.4,-85,-85,-7.5,-7.5,-90.7,80.9,-102.3,187.7,0,-90.7
2022-06-30,194,45.9,9.9,55.8,-49.9,-143,106.8,-35.1,-19.4,0.3,-201.3,-201.3,6.8,-248.7,160,160,-30.6,-30.6,-93,-31.7,4.7,-137.2,0,-93
2022-03-31,293.30000,46.80000,-132.90000,-86.10000,-99.40000,-7.20000,200.00000,-22.90000,-6.90000,896.10000,-319.40000,-319.40000,-5.90000,541.00000,-475.00000,-475.00000,-145.50000,-145.50000,-91.80000,-80.40000,-792.70000,-51.70000,,-91.80000
2021-12-31,168.8,47.9,132.6,180.5,1.4,10,359.3,-21.6,-12.8,0,26.5,26.5,7.3,-0.6,154.9999,154.9999,-174.1,-174.1,-92.9,-273.7,-385.7,-27,0,-92.9
2021-09-30,232.7,51.3,44.1,95.4,1.7,8.4,336.5,-22.4,-12.5,0,125.5,125.5,-0.7,89.9,-144.9999,-144.9999,-75.3,-75.3,-95.2,-49.2,-364.7,61.7,0,-95.2
2021-06-30,222.5,55.6,1.9,57.5,-40.3,-106.3,173.7,-44.5,-3.9,0,34.6,34.6,-152.7,-166.5,-235.9001,-235.9001,-72.5,-72.5,-96.8,193.6,-211.6,-204.4,0,-96.8
2021-03-31,181.80000,53.40000,30.30000,83.70000,-59.40000,-89.70000,175.80000,-18.60000,-78.30000,,365.40000,365.40000,0.70000,269.20000,162.60000,162.60000,-76.40000,-76.40000,-96.70000,-297.00000,-307.50000,137.50000,,-96.70000
2020-12-31,177.1,56.1,53.3,109.4,-43.9,5.4,291.9,-33.1,-17.4,-44.2,-210.7002,-210.7002,0.6,-304.8,30,30,-1.2,-1.2,-92.5,587.6,523.9,511,0,-92.5
2020-09-30,228.6,54.2,42.5,96.7,2.7,-87.5,237.8,-16.4,-5.7,44.2,-44.2,-44.2,-2.4,-24.5,-50,-50,-0.1,-0.1,-92.9,0,-143,70.3,0,-92.9
2020-06-30,161.9,57.1,43.1,100.2,11.3,-26.7,235.4,-24,-24.5,0,-0.3,-0.3,-4.2,-53,15,15,-0.1,-0.1,-92.5,0,-77.6,104.8,0,-92.5
2020-03-31,176.70000,58.20000,20.80000,79.00000,-31.20000,-143.30000,112.40000,-14.20000,-21.50000,,44.50000,44.50000,,8.80000,-160.00000,-160.00000,-236.10000,-236.10000,-92.40000,-0.70000,-489.20000,-368.00000,,-92.40000
2019-12-31,135.4,67,30.4,97.4,-19.4,16.5,249.3,-14.8,-19.4,0,-504.0998,-504.0998,48.3,-490,-19,-19,-60.1,-60.1,-83.7,-417.5,-580.3,-821,0,-83.7
2019-09-30,135,61.1,11.2,72.3,-4,55.4,262.7,-15.8,-2.7,-20.9,9.4,9.4,0,-30,167,167,-134.7,-134.7,-84.2,-0.1,-52,180.7,0,-84.2
2019-06-30,614.8,64.8,-508.2,-443.4,16.4,-8.4,163,-28,-9.4,732.6,8.5,8.5,0,703.7,-292,-292,-151.3,-151.3,-85.5,-0.7,-529.5,337.2,0,-85.5
2019-03-31,173.10000,64.80000,28.40000,93.20000,-13.70000,-26.70000,239.60000,-22.50000,-15.10000,,20.90000,20.90000,,-16.70000,-65.00000,-65.00000,-169.80000,-169.80000,-87.40000,-0.10000,-322.30000,-99.40000,,-87.40000
2018-12-31,212.1,68.7,27.6,96.3,31.5,-5.6,302.8,-50.1,-40.8,0,-8.1,-8.1,0,-99,136.7,136.7,-51,-51,-83.9,-2.6,-0.8,203,0,-83.9
2018-09-30,208.6,63.6,24.2,87.8,-18.9,-76.6,219.8,-67.3,-90.3,0,-3.5,-3.5,0,-161.1,-38.5,-38.5,-107.6,-107.6,-84.5,-1.4,-232,-173.3,0,-84.5
