,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-06-30,217.6,65.7,-9.6,56.1,5.4,-107.7,166,-44.4,-8.9,0,17.5,17.5,0,-35.8,187.8,187.8,-235.9,-235.9,-85.8,0,-133.9,-3.7,0,-85.8
2018-03-31,213.60000,66.70000,8.90000,75.60000,-44.80000,-156.50000,132.70000,-26.90000,-10.30000,,4.30000,4.30000,,-32.90000,110.00000,110.00000,-7.80000,-7.80000,-87.50000,-5.20000,9.50000,109.30000,,-87.50000
2017-12-31,-1120.9,529.8,63.4,593.2,-67,846.6,318.9,-26,-28.6,-24.9,161,161,0,81.5,-500.2,-500.2,-8.9,-8.9,-80.3,-1.3,-590.7,-190.3,0,-80.3
2017-09-30,235.6,65.5,26.1,91.6,-9.9,119.9001,447.1,-21.5,-25.7,0,-147.6,-147.6,0,-194.8,-94.8,-94.8,-101.5,-101.5,-80.5,0,-276.8,-24.5,0,-80.5
2017-06-30,166.5,65.2,28.2,93.4,42.5,-370.2001,-110.3,-35.2,-13.7,0,8.2,8.2,0,-40.7,134.3,134.3,-165.9,-165.9,-81.5,0,-113.1,-264.1,0,-81.5
2017-03-31,161.70000,66.40000,76.00000,142.40000,-19.90000,-217.80000,86.30000,-19.60000,-6.80000,,-24.20000,-24.20000,,-50.60000,706.90000,706.90000,-213.50000,-213.50000,-83.30000,,410.10000,445.80000,,-83.30000
2016-12-31,-355,65.3,-137.9,-72.6,-90.7,647.6,220,-31.4,-21.4,0,15.6,15.6,0,-37.2,-430.4,-430.4,-77.1,-77.1,-77.1,-1.4,-586,-403.2,0,-77.1
2016-09-30,216.9,66.4,19.7,86.1,-36.3,33.3,336.3,-42.4,-25.9,0,-8.5,-8.5,0,-76.8,0,0,-63.7,-63.7,-77.7,0,-141.4,118.1,0,-77.7
2016-06-30,205.6,65.9,5.6,71.5,53.1,-4.2,272.9,-21,-39.8,0,-33,-33,0,-93.8,0,0,-98.4,-98.4,-78.1,0,-176.5,2.6,0,-78.1
2016-03-31,185.70000,65.60000,36.70000,102.30000,-38.40000,-75.30000,212.70000,-27.70000,-20.20000,,-15.40000,-15.40000,,-63.30000,,,-226.00000,-226.00000,-79.30000,,-305.30000,-155.90000,,-79.30000
2015-12-31,212.3,69,-9,60,7.9,-5.4,266.9,-47.5,-12.3,0,91.3,91.3,0,31.5,-250,-250,-68.9,-68.9,-78,0,-396.9,-98.5,0,-78
2015-09-30,232.3,74.4,7.9,82.3,-62.9,23.9,338.5,-48.5,-35.8,0,-11.2,-11.2,0,-95.5,-250,-250,-130.6,-130.6,-78.5,0,-459.1,-216.1,0,-78.5
2015-06-30,189.3,62.9,8,70.9,-7.6,-6.3,253.9,-20.5,-57.5,0,-100,-100,0,-178,0,0,-121.2,-121.2,-79.5,0,-200.7,-124.8,0,-79.5
2015-03-31,203.90000,63.90000,16.90000,80.80000,-59.40000,-72.90000,211.80000,-27.20000,-17.20000,,,,,-44.40000,,,-114.80000,-114.80000,-80.50000,,-195.30000,-27.90000,,-80.50000
2014-12-31,221.5,69.5,15.2,84.7,-20.2,-35.6,270.6,-25.6,-24.1,0,0,0,0,-49.7,0,0,-39.8,-39.8,-65.3,0,-105.1,115.8,0,-65.3
2014-09-30,234.1,66.8,-24.5,42.3,-7.3,48.8,325.2,-28.4,-4.6,0,0,0,0,-33,-35,-35,-129,-129,-65.5,0,-229.5,62.7,0,-65.5
2014-06-30,193.8,68.4,37.3,105.7,8.1,-46.2,253.3,-22.9,-27.8,-0.4,0,0,0,-51.1,-95,-95,-129.7,-129.7,-66.8,0,-291.5,-89.3,0,-66.8
2014-03-31,203.00000,67.20000,-5.30000,61.90000,-13.00000,-68.10000,196.80000,-29.00000,-16.60000,-10.20000,100.20000,100.20000,,44.40000,-370.00000,-370.00000,-182.70000,-182.70000,-67.60000,,-620.30000,-379.10000,,-67.60000
2013-12-31,173.4,64.9,3.5,68.4,-27,35.9,277.7,-24.7,-50.4,0,0,0,0,-75.1,248,248,-51.6,-51.6,-68.6,0,127.8,330.4,0,-68.6
2013-09-30,214.4,68.6,2.9,71.5,-3.6,47.5,333.4,-32.7,-26.8,0,-100,-100,0,-159.5,249.3,249.3,-6.9,-6.9,-69,0,173.4,347.3,0,-69
2013-06-30,198.6,66.4,-1.7,64.7,-22.4,-23.1,240.2,-38.5,-30.3,0,0,0,0,-68.8,0,0,-123.8,-123.8,-69.3,0,-193.1,-21.7,0,-69.3
2013-03-31,212.00000,62.90000,9.30000,72.20000,-18.10000,-46.90000,237.30000,-26.10000,-11.80000,,,,,-37.90000,-300.00000,-300.00000,-188.50000,-188.50000,-70.30000,,-558.80000,-359.40000,,-70.30000
2012-12-31,237.9,62,4.2,66.2,-0.8,21.6,325.7,-27.3,-57.8,-9.3,0,0,0,-94.4,592.8,592.8,-348.7,-348.7,-131.9,0,112.2,343.5,0,-131.9
2012-09-30,269.5,61.2,36.6,97.8,-16.8,46.6,413.9,-23,-38.8,24.1,0,0,0,-37.7,-240,-240,-107,-107,0,0,-347,29.2,0,0
2012-06-30,271.2,59,-0.4,58.6,-18.5,-99.1,230.7,-23,-22.5,-4.8,0,0,0,-50.3,40,40,-151.8,-151.8,-60.7,0,-172.5,7.9,0,-60.7
2012-03-31,247.30000,63.90000,1.60000,65.50000,-22.00000,-97.80000,215.00000,-20.00000,-55.80000,,,,,-75.80000,53.00000,53.00000,-105.60000,-105.60000,-61.60000,,-114.20000,25.00000,,-61.60000
2011-12-31,452.3,55.4,8.5,63.9,-28.9,-224.1,292.1,-17.8,-20.4,-1060.9,0,0,0,-1099.1,-399.8,-399.8,5.8,5.8,-99.2,0,-493.2,-1300.2,0,-99.2
2011-09-30,239.7,45.9,18.4,64.3,-23.4,72.5,376.5,-17.4,-31.5,-1.2,0,0,0,-50.1,397.8,397.8,-142.8,-142.8,0,0,255,581.4,0,0
2011-06-30,263.2,46.6,-18.6,28,-9.7,-36.5,254.7,-15.8,-37.7,-135.7,0,0,0,-189.2,-0.5,-0.5,-140.8,-140.8,-50.3,0,-191.6,-126.1,0,-50.3
2011-03-31,210.20000,44.70000,-7.20000,37.50000,-16.90000,3.90000,251.60000,-14.80000,-7.10000,,,,,-21.90000,299.50000,299.50000,-426.10000,-426.10000,-44.70000,,-171.30000,58.40000,,-44.70000
2010-12-31,242.6,45.4,47.5,92.9,-25.9,-51,284.5,-18.4,-7.5,-2.4,36.9,36.9,0,8.6,-0.1,-0.1,-47.1,-47.1,-85.2,0,-132.4,160.7,-29.2,-85.2
2010-09-30,238.4,44.9,3.3,48.2,-29,97.2,383.8,-29.7,-14.5,-2.3,0,0,0,-46.5,-0.4,-0.4,-87,-87,0,0,-87.4,249.9,8.6,0
2010-06-30,221,43.6,1.5,45.1,-2.2,-14.4,251.7,-19.6,-9.3,0,0,0,0,-28.9,247.5,247.5,-213.7,-213.7,-39.6,0,-5.8,217,10.2,-39.6
2010-03-31,207.90000,42.00000,14.20000,56.20000,47.90000,-189.70000,74.40000,-11.00000,-3.70000,,,,16.90000,2.20000,,,-191.50000,-191.50000,-40.50000,,-232.00000,-155.40000,10.40000,-40.50000
2009-12-31,223.7,42.7,16.2,58.9,-16.7,-22.5,260.1,-22.9,-9.1,-1,20.6,20.6,17.8,5.4,0,0,-164.5,-164.5,-41.2,0,-205.7,59.8,7,-41.2
2009-09-30,181,38.7,-5.8,32.9,-38.1,137.8,351.7,-14.3,-12.7,-369.7,0,0,6.3,-390.4,0,0,-118.3,-118.3,0,0,-118.3,-157,8.7,0
2009-06-30,220.2,37.1,22.9,60,-13.5,-30.5,249.7,-21.8,-2.3,-1.6,41.3,41.3,5.7,21.3,0,0,1.4,1.4,0,0,1.4,272.4,7.8,0
2009-03-31,223.90000,35.70000,21.90000,57.60000,14.40000,75.10000,356.60000,-12.60000,-3.20000,-143.60000,193.60000,193.60000,5.40000,39.60000,-86.20000,-86.20000,-95.60000,-95.60000,,,-181.80000,214.40000,8.40000,
