,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-589.8,1015.7,77.1,1092.8,-108.5,-64.6,-16.1,70.7,-118.5,384.5,-120.6,0,0,0,0.4,-120.2,500.3,-616.7,-116.4,-15.2,-15.2,-82.2,-2.9,-216.7,74.8,7.9,-82.2
2022-09-30,218.1,172.3,72.2,244.5,0,0,0,-11.9,-11.9,450.7,-134.9,0,0,0,-0.5,-135.4,-2.9,-106.3,-109.2,-11.6,-11.6,-82.2,0,-203,83.1,8.8,-82.2
2022-06-30,47.9,174.2,309.2,483.4,0,0,0,254.8,254.8,786.1,-143.1,0,0,0,-0.2,-143.3,-501.3,53,-448.3,-11.5,-11.5,-82.5,0,-542.3,83.4,8.4,-82.5
2022-03-31,137.30000,175.30000,-124.30000,51.00000,,,,-307.60000,-307.60000,-119.30000,-230.60000,,,,4.40000,-226.20000,3.90000,164.20000,168.10000,-13.20000,-13.20000,-82.40000,,72.50000,-278.70000,8.50000,-82.40000
2021-12-31,82.4,183.8,22.1,205.8999,-137.6,-143.9,285.5,13.5,17.5,305.8,-157.3,0,0,0,0.5,-156.8,1005,-1029.9,-24.9,-4.6,-4.6,-73.9,-19.2,-122.6,21.1,7.4,-73.9
2021-09-30,453.8,202,-137.4,64.6,0,0,0,0.8,0.8,519.2,-130.6,0,0,0,-22.4,-153,-1003.1,31,-972.1,0.1,0.1,-73.7,0,-1045.7,-692.6,8.2,-73.7
2021-06-30,390.3,202.9,22.4,225.3,0,0,0,323.8,323.8,939.4,-107.3,0,0,0,-8.2,-115.5,-1,-47.7,-48.7,0,0,-0.2,0,-48.9,776.2,8.2,-0.2
2021-03-31,82.00000,204.10000,-98.80000,105.30000,,,,-378.20000,-378.20000,-190.90000,-101.40000,,,,16.80000,-84.60000,-0.90000,41.40000,40.50000,4.50000,4.50000,,,45.00000,-237.40000,8.30000,
2020-12-31,-1373.9,1693.2,-36.9,1656.3,160.8,-46.2,-50.1,-144.4,-79.9,202.5,35.8,0,0,0,1.9,37.7,912,-1109.4,-197.4,-4,-4,0,-27.7,-229.1,38.8,6.2,0
2020-09-30,346.4,223,-23.3,199.7,0,0,0,-112.8,-112.8,433.3,-109.7,0,0,0,-0.1,-109.8,-912,520.5,-391.5,0,0,0,0,-391.5,-49.5,6.2,0
2020-06-30,197.2,239.6,177.3,416.9,0,0,0,463.9,463.9,1078,-118.6,0,0,0,-2.9,-121.5,501.9,-1348.5,-846.6,0,0,-1.9,0,-848.5,114.7,5.9,-1.9
2020-03-31,-115.40000,258.60000,33.80000,292.40000,,,,-195.10000,-195.10000,-18.10000,-223.50000,,,,3.50000,-220.00000,-501.90000,1020.00000,518.10000,4.00000,4.00000,-123.40000,,398.70000,142.70000,5.90000,-123.40000
2019-12-31,166.2,220,51.4,271.4,38.5,-17.7,-53,203.7,171.5,609.1,-121.6,0,0,0,7.3,-114.3,-1583.2,1309.5,-273.7,1.6,1.6,-123.5,2.2,-393.4,113.2,1,-123.5
