,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-319.798,-92.096,-154.416,-246.512,-32.284,108.524,27.1,-165.414,142.285,144.707,238.696,12.304,-95.637,0,-95.637,2.143,-55.81,0,0,0,248.887,248.887,52.611,-200.188,-102.383,-98.679
2022-09-30,72.7,32.189,42.661,74.85,85.746,-17.464,-3.156,43.612,118.932,266.482,-75.348,-12.304,2.178,0,2.178,0.046,-85.428,0,0,0,11.322,11.322,-0.424,10.898,166.552,32.918
2022-06-30,112.8,30.281,46.532,76.813,2.081,-41.605,-30.969,101.483,-62.568,127.045,-76.02,0,93.877,0,93.877,0.263,18.12,0,0,0,-200,-200,-0.654,-200.654,-48.685,34.14
2022-03-31,134.29800,29.62600,65.22300,94.84900,-55.54300,-49.45500,7.02500,20.31900,-198.64900,30.49800,-87.32800,,-0.41800,,-0.41800,-2.45200,-90.19800,,,,-60.20900,-60.20900,-51.53300,-111.74200,-173.26800,31.62100
2021-12-31,190.961,29.588,13.344,42.932,-45.985,-29.201,6.252,64.32,38.956,272.849,-109.096,0,-197.316,0,-197.316,-1.299,-307.711,0,0,0,-100,-100,-1.573,-101.573,-138.311,29.838
2021-09-30,180.969,27.614,45.973,73.587,-51.259,-34.179,19.231,112.418,100.448,355.004,-124.334,-8.002,0,0,0,0.537,-131.799,0,0,0,-102.548,-102.548,37.545,-65.003,151.472,28.402
2021-06-30,199.714,25.892,53.718,79.61,-97.399,-33.488,9.2,90.127,38.18,317.504,-124.237,0,0,0,0,-4.249,-128.486,0,0,0,-160,-160,-78.321,-238.321,-45.327,28.855
2021-03-31,200.37600,25.63500,24.52300,50.15800,-67.42300,-15.58200,-14.93600,71.14900,-23.34700,227.18700,-43.43100,,,,,47.99700,4.56600,,,,13.13300,13.13300,-66.56800,-53.43500,170.83100,27.24100
2020-12-31,158.988,24.769,48.258,73.027,-37.889,-17.336,30.369,106.669,149.403,381.418,-53.159,0,0,0,0,8.493,-44.666,0,0,0,0,0,-2.448,-2.448,345.352,25.264
2020-09-30,139.371,24.486,32.064,56.55,-166.533,9.624,9.919,90.5,15.151,211.072,-21.255,0,0,0,0,6.741,-14.514,0,0,0,9.652,9.652,-1.636,8.016,211.178,25.229
