,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,31.077,42.122,-22.842,19.28,34.163,13.75,10.549,71.5,121.857,20.469,-46.215,-13.953,-7.194,-21.147,0.117,-46.776,-90,-90,-1.188,-1.188,4.037,-87.151,-12.07,24.994
2022-09-30,53.233,41.084,17.436,58.52,39.233,-22.88,5.173,17.625,129.378,-13.778,-0.393,14.457,-15.836,-1.379,0.174,-15.376,-190,-190,4.405,4.405,4.458,-181.137,-67.135,26.912
2022-06-30,39.946,37.717,18.126,55.843,-94.033,2.836,70.094,-19.11,76.679,-16.694,-0.615,17.923,0,17.923,0.181,0.795,-60,-60,-12.152,-12.152,4.478,-67.674,9.8,25.8
2022-03-31,39.98400,38.14900,18.86800,57.01700,20.63700,6.29400,-59.26100,-43.46000,53.54100,-12.52600,-116.69800,22.67200,-4.59200,18.08000,-0.02900,-111.17300,-20.00000,-20.00000,8.04500,8.04500,3.67800,-8.27700,-65.90900,25.27900
2021-12-31,54.782,47.976,22.591,70.567,15.205,19.436,-1.428,-10.339,115.01,-19.876,-1.312,16.886,-1.766,15.12,-0.079,-6.147,-87.5,-87.5,50.279,50.279,3.401,-33.82,75.043,24.366
2021-09-30,44.17,36.888,23.192,60.08,48.715,-6.912,7.405,101.137,205.387,-12.566,-89.492,23.168,-7.63,15.538,0.424,-86.096,-122.5,-122.5,17.045,17.045,3.519,-101.936,17.355,29.461
2021-06-30,25.53,39.876,24.5,64.376,-95.629,-55.179,59.064,-110.253,-20.347,-13.13,-1986.853,56.364,-15.299,41.065,-0.08,-1958.998,965,965,-1.689,-1.689,-17.945,945.366,-1033.979,25.175
2021-03-31,36.97600,21.10000,24.00300,45.10300,49.31700,-2.29200,-52.96900,-10.37600,71.70300,-10.04000,-12.04900,35.03100,-52.75500,-17.72400,0.11900,-39.69400,600.00000,600.00000,18.10200,18.10200,-2.98200,615.12000,647.12900,25.72400
2020-12-31,54.094,26.693,7.059,33.752,-20.127,2.937,22.358,0.915,88.761,-5.086,-1.031,20.948,-45.289,-24.341,0.301,-30.157,0,0,23.631,23.631,2.703,26.334,84.938,13.253
2020-09-30,39.284,20.476,21.085,41.561,39.726,2.434,14.208,88.963,169.808,-4.417,0,21.774,-31.582,-9.808,0.341,-13.884,0,0,8.393,8.393,3.032,11.425,167.349,18.424
2020-06-30,53.892,20.285,18.711,38.996,-87.314,-4.318,56.762,-53.074,39.814,-8.299,0,21.783,-52.476,-30.693,-0.28,-39.272,0,0,46.101,46.101,2.708,48.809,49.351,18.386
2020-03-31,47.55000,19.98500,16.09100,36.07600,56.98200,-2.02000,-59.49700,-26.92000,56.70600,-10.66400,-0.26100,18.23700,-27.27100,-9.03400,4.95200,-15.00700,,,30.75400,30.75400,-3.15000,27.60400,69.30300,17.30200
2019-12-31,46.79,20.125,22.893,43.018,-30.194,5.855,14.307,-13.615,76.193,-9.667,-18.864,13.942,-27.42,-13.478,0.198,-41.811,0,0,34.613,34.613,2.249,36.862,71.244,15.598
2019-09-30,40.39,19.803,13.426,33.229,33.514,0.998,24.42,56.454,130.073,-6.089,-0.65,17.166,-17.205,-0.039,-0.925,-7.703,-15,-15,40.163,40.163,2.718,27.881,150.251,14.887
2019-06-30,31.999,19.436,13.797,33.233,-78.68,2.051,38.907,-40.735,24.497,-13.274,-0.09,19.412,-6.527,12.885,-0.132,-0.611,-70,-70,15.604,15.604,2.26,-52.136,-28.25,15.066
2019-03-31,27.34800,17.30800,10.79600,28.10400,9.62200,-1.50100,-48.28100,-31.49500,23.95700,-13.01000,-199.13000,20.27600,-3.59000,16.68600,0.56400,-194.89000,85.00000,85.00000,-11.25800,-11.25800,2.34900,76.09100,-94.84200,14.41600
2018-12-31,31.552,16.132,14.17,30.302,-19.523,2.313,21.59,8.996,70.85,-3.964,-10.785,20.997,-22.987,-1.99,0.825,-15.914,0,0,-142.182,-142.182,2.073,-140.109,-85.173,14.774
2018-09-30,38.924,15.978,14.638,30.616,17.477,-0.13,11.708,42.583,112.123,-8.508,-10.156,21.054,-17.788,3.266,1.043,-14.355,0,0,26.219,26.219,2.218,28.437,126.205,14.476
2018-06-30,39.161,15.537,10.395,25.932,-79.097,-2.847,39.498,-42.494,22.599,-6.057,-157.152,28.077,-30.888,-2.811,-0.929,-166.949,0,0,25.019,25.019,1.962,26.981,-117.369,12.933
2018-03-31,37.82500,14.11200,7.89900,22.01100,30.22700,-1.75200,-29.78100,-15.20500,44.63100,-8.89500,,11.07700,-43.96200,-32.88500,0.74300,-41.03700,,,19.29800,19.29800,1.79800,21.09600,24.69000,10.55700
2017-12-31,66.196,13.695,-7.948,5.747,-26.419,3.611,7.482,-18.569,53.374,-5.323,-1.583,7.611,-9.874,-2.263,-0.419,-9.588,0,0,15.835,15.835,1.702,17.537,61.323,9.98
2017-09-30,38.836,13.598,4.933,18.531,25.662,-4.885,-6.559,35.439,92.806,-7.611,-3.906,4.146,-28.513,-24.367,0.486,-35.398,0,0,10.208,10.208,1.915,12.123,69.531,9.791
2017-06-30,31.77,13.135,3.924,17.059,-69.876,3.318,31.134,-47.433,1.396,-10.303,-5.855,10.133,-14.264,-4.131,-0.052,-20.341,0,0,8.509,8.509,1.777,10.286,-8.659,8.901
