,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4179.00000,227.00000,2903.00000,3130.00000,-60.00000,-64.00000,-2593.00000,-3138.00000,4171.00000,-249.00000,,,-705.00000,-705.00000,444.00000,-510.00000,-2250.00000,-2250.00000,-3059.00000,-3059.00000,-945.00000,-93.00000,-6347.00000,-1994.00000,177.00000,-945.00000
2022-09-30,3940,226,2946,3172,-17,96,-2303,-1236,5876,-295,-3,0,405,405,0,107,-1000,-1000,-2060,-2060,-794,-186,-4040,1381,132,-794
2022-06-30,3411,230,2719,2949,93,46,-2175,-1108,5252,-235,0,0,-1875,-1875,47,-2063,3218,2918,-2393,-2393,-798,-16,-289,2480,152,-798
2022-03-31,3647,207,2809,3016,40,-66,-2511,-3174,3489,-267,-1113,0,-414,-414,9,-1785,0,300,-2895,-2895,-802,-3,-3400,-1807,190,-802
2021-12-31,3959.00000,198.00000,2214.00000,2412.00000,-213.00000,-9.00000,-2169.00000,-2139.00000,4232.00000,-173.00000,-832.00000,,386.00000,386.00000,72.00000,-547.00000,,,-4045.00000,-4045.00000,-809.00000,-113.00000,-4967.00000,-1476.00000,128.00000,-809.00000
2021-09-30,3584,202,2150,2352,-123,87,-2303,-1965,3971,-208,0,0,-1494,-1494,4,-1698,0,0,-2921,-2921,-696,-2,-3619,-1475,108,-696
2021-06-30,2575,204,2803,3007,-55,42,-1848,-1168,4414,-179,0,0,187,187,64,72,0,0,-2146,-2146,-698,-2,-2846,1716,159,-698
2021-03-31,3026,201,1861,2062,-57,-2,-1995,-1759,3329,-158,0,0,996,996,-3,835,0,0,-1666,-1666,-701,-6,-2373,1503,153,-701
2020-12-31,3126.00000,197.00000,2000.00000,2197.00000,-108.00000,-39.00000,-1300.00000,-1810.00000,3513.00000,-160.00000,-75.00000,,830.00000,830.00000,44.00000,639.00000,-3000.00000,-3000.00000,-1735.00000,-1735.00000,-703.00000,-134.00000,-5572.00000,-1116.00000,122.00000,-703.00000
2020-09-30,2137,196,2204,2400,-151,14,-1926,-2441,2096,-168,0,0,-704,-704,-9,-881,3227,3227,-1494,-1494,-662,-316,755,2237,94,-662
