,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-1357,-1912,75,-1837,152,272,-152,-244,28,-3167,3325,0,0,26,26,-30,3321,-1564,847,-717,-156,-156,754,14,-105,49,-19,754
2022-09-30,649,641,55,696,-125,-228,15,171,-167,1179,-1285,0,0,-8,-8,27,-1266,98,22,120,5,5,-257,1,-131,-218,5,-257
2022-06-30,328,674,-78,596,18,-151,171,-152,-114,848,-1098,0,0,-9,-9,4,-1103,1466,-860,606,151,151,-257,0,500,245,10,-257
2022-03-31,380.00000,597.00000,-52.00000,545.00000,-45.00000,107.00000,-34.00000,225.00000,253.00000,1140.00000,-942.00000,,,-9.00000,-9.00000,-1.00000,-952.00000,,-9.00000,-9.00000,,,-240.00000,-15.00000,-264.00000,-76.00000,4.00000,-240.00000
2021-12-31,315,574,-76,498,-219,-44,77,-1,-187,610,-1212,0,0,-5,-5,-5,-1222,772,-742,30,353,353,-237,1,147,-465,11,-237
2021-09-30,609,584,59,643,-45,-89,76,21,-37,1090,-1065,0,0,209,209,-7,-863,99,2,101,2,2,-238,1,-134,93,-1,-238
2021-06-30,311,552,-47,505,-115,-32,6,-91,-232,625,-943,0,0,-213,-213,-11,-1167,1,268,269,11,11,-237,-2,41,-501,12,-237
2021-03-31,362.00000,547.00000,-17.00000,530.00000,66.00000,39.00000,-21.00000,-1072.00000,-988.00000,-136.00000,-1024.00000,,,-5.00000,-5.00000,-6.00000,-1035.00000,1421.00000,893.00000,2314.00000,,,-223.00000,-10.00000,2081.00000,910.00000,9.00000,-223.00000
2020-12-31,288,529,-44,485,-173,-43,64,114,-38,674,-1688,0,0,-5,-5,-26,-1719,-300,84,-216,722,722,-218,1,289,-756,13,-218
2020-09-30,603,546,46,592,-100,-52,63,-31,-120,1026,-1112,684,0,-5,-5,-8,-441,-208,-910,-1118,5,5,-217,-4,-1334,-749,19,-217
