,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1318,2107,1439,3546,-728,-158,1013,1353,1188,-2200,0,-2484,-142,-2626,91,-4735,-285,0,-285,0,0,0,-20,-305,-3852,0,0
2022-09-30,0,0,0,0,0,0,0,0,869,-1442,0,769,-628,141,13,-1288,-1795,0,-1795,0,0,0,-13,-1808,-2227,0,0
2022-06-30,0,0,0,0,0,0,0,0,2535,-958,0,695,0,695,111,-152,-952,0,-952,0,0,0,-14,-966,1417,0,0
2022-03-31,0.00000,,,,,,,,1771.00000,-1766.00000,,1120.00000,-100.00000,1020.00000,-3.00000,-749.00000,-1443.00000,,-1443.00000,,,,-13.00000,-1456.00000,-434.00000,,
2021-12-31,280,1998,419,2417,-981,-318,-197,490,556,-1218,0,-9777,10799,1022,-284,-480,-1149,0,-1149,0,0,0,-18,-1167,-1091,0,0
2021-09-30,0,0,0,0,0,0,0,0,151,-830,0,11251,-10799,452,-6,-384,-1552,0,-1552,0,0,0,-13,-1565,-1798,0,0
2021-06-30,0,0,0,0,0,0,0,0,1866,-761,0,697,0,697,90,26,-380,0,-380,0,0,0,50,-330,1562,0,0
2021-03-31,0.00000,,,,,,,,691.00000,-438.00000,,210.00000,,210.00000,168.00000,-60.00000,-851.00000,,-851.00000,,,,61.00000,-790.00000,-159.00000,,
2020-12-31,-12385,2312,3521,5833,1168,354,316,2078,-1286,-548,0,-746,0,-746,246,-1048,-5932,0,-5932,0,0,0,-25,-5957,-8291,0,0
2020-09-30,0,0,0,0,0,0,0,0,-2575,-133,0,-745,0,-745,-266,-1144,10128,0,10128,0,0,0,119,10247,6528,0,0
2020-06-30,0,0,0,0,0,0,0,0,-290,-281,0,-4301,0,-4301,507,-4075,7311,379,7690,0,0,0,2032,9722,5357,0,0
2020-03-31,0.00000,,,,,,,,358.00000,-937.00000,,,-2099.00000,-2099.00000,65.00000,-2971.00000,2724.00000,2882.00000,5606.00000,-344.00000,-344.00000,-260.00000,342.00000,5344.00000,2731.00000,,-260.00000
2019-12-31,4767,2581,1535,4116,-775,-139,68,-702,970,-1072,170,206,-97,109,13,-780,1042,0,1042,-225,-225,-259,284,842,1032,0,-259
2019-09-30,0,0,0,0,0,0,0,0,2244,-944,-170,0,89,89,-99,-1124,-355,0,-355,-209,-209,-260,-627,-1451,-331,0,-260
2019-06-30,0,0,0,0,0,0,0,0,3269,-1560,0,-206,117,-89,86,-1563,-1165,0,-1165,-268,-268,-228,-1,-1662,44,0,-228
2019-03-31,0.00000,,,,,,,,1942.00000,-1360.00000,,206.00000,,206.00000,58.00000,-1096.00000,-785.00000,1750.00000,965.00000,-1325.00000,-1325.00000,-233.00000,-16.00000,-609.00000,237.00000,,-233.00000
2018-12-31,3935,2329,1424,3753,108,324,-115,-101,-4397,2540,0,18,-63,-45,-49,2446,-627,0,-627,925,925,453,34,785,-1166,0,453
2018-09-30,0,0,0,0,0,0,0,0,1499,-962,0,42,0,42,17,-903,-648,0,-648,-325,-325,-240,5,-1208,-612,0,-240
2018-06-30,0,0,0,0,0,0,0,0,2927,-1578,0,303,-300,3,32,-1543,1275,0,1275,-600,-600,-213,-68,394,1778,0,-213
2018-03-31,0.00000,,,,,,,,1343.00000,-1265.00000,,,300.00000,300.00000,38.00000,-927.00000,-244.00000,,-244.00000,-325.00000,-325.00000,-217.00000,-1.00000,-787.00000,-371.00000,,-217.00000
2017-12-31,3205,2222,2242,4464,-428,-397,-2727,-2597,1891,-1160,0,132,-450,-318,173,-1305,11,0,11,-327,-327,-215,281,-250,336,0,-215
2017-09-30,0,0,0,0,0,0,0,0,1593,-941,0,94,-480,-386,32,-1295,-255,0,-255,-550,-550,-219,-62,-1086,-788,0,-219
2017-06-30,0,0,0,0,0,0,0,0,2369,-988,0,-567,563,-4,34,-958,-276,0,-276,-600,-600,-148,-50,-1074,337,0,-148
2017-03-31,0.00000,,,,,,,,-830.00000,-802.00000,,,-878.00000,-878.00000,-28.00000,-1708.00000,1716.00000,,1716.00000,-200.00000,-200.00000,-149.00000,313.00000,1680.00000,-858.00000,,-149.00000
2016-12-31,4195,1886,2118,4004,-134,-140,-771,-747,1135,-794,0,1023,0,1023,216,445,-306,0,-306,-300,-300,-149,309,-446,1134,0,-149
2016-09-30,0,0,0,0,0,0,0,0,1854,-680,0,-1095,866,-229,22,-887,-254,0,-254,-500,-500,-150,-87,-991,-24,0,-150
2016-06-30,0,0,0,0,0,0,0,0,3215,-1046,0,1539,-1619,-80,14,-1112,-690,-68,-758,-1026,-1026,-103,-262,-2149,-46,0,-103
