,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2525,573,-28,545,-155,281,-532,26,3100,-339,0,0,-14,-14,3,-350,-728,-728,-2401,-2401,-473,-12,-3614,-580,22,-473
2022-09-30,2499,570,-85,485,-69,19,-269,850,3856,-277,0,139,-169,-30,-1,-308,284,284,-1542,-1542,-474,-7,-1739,1624,98,-474
2022-06-30,2275,571,72,643,-391,-54,-275,-474,2457,-187,-313,-102,87,-15,-10,-525,0,0,-2340,-2340,-477,-4,-2821,-1063,101,-477
2022-03-31,2631.00000,622.00000,-170.00000,452.00000,134.00000,-56.00000,-856.00000,-1306.00000,1782.00000,-294.00000,,-37.00000,39.00000,2.00000,5.00000,-287.00000,843.00000,843.00000,-2380.00000,-2380.00000,-479.00000,-138.00000,-2154.00000,-687.00000,74.00000,-479.00000
2021-12-31,2379,565,-99,466,-163,174,-196,342,3189,-228,-239,0,-16,-16,45,-438,92,92,-1270,-1270,-434,-5,-1617,1061,32,-434
2021-09-30,2414,532,-142,390,-76,18,-866,-263,2543,-249,3,173,-56,117,-3,-132,0,0,-1550,-1550,-434,-153,-2137,218,89,-434
2021-06-30,2066,499,-204,295,-88,-77,-111,-114,2268,-193,-836,-135,40,-95,-18,-1142,0,0,-1690,-1690,-434,-71,-2195,-992,87,-434
2021-03-31,1828.00000,501.00000,4.00000,505.00000,-70.00000,-15.00000,-661.00000,-881.00000,1463.00000,-144.00000,-3364.00000,-38.00000,-23.00000,-61.00000,9.00000,-3560.00000,1282.00000,1282.00000,-1333.00000,-1333.00000,-439.00000,-116.00000,-606.00000,-2804.00000,65.00000,-439.00000
2020-12-31,1785,473,-102,371,-198,171,-48,98,2253,-151,-806,126,-226,-100,3,-1054,0,0,-1021,-1021,-399,45,-1375,15,52,-399
2020-09-30,1513,422,144,566,-187,-63,-678,-472,1654,-165,0,-44,4,-40,6,-199,0,0,-2037,-2037,-402,-29,-2468,-898,75,-402
2020-06-30,1420,376,3,379,302,20,-378,-289,1458,-183,-183,-37,113,76,171,-119,0,0,34,34,-401,-42,-409,969,75,-401
2020-03-31,1693.00000,381.00000,252.00000,633.00000,-3.00000,-102.00000,240.00000,-487.00000,1859.00000,-209.00000,,-45.00000,99.00000,54.00000,-352.00000,-507.00000,3959.00000,3959.00000,-1352.00000,-1352.00000,-403.00000,-104.00000,2100.00000,3364.00000,52.00000,-403.00000
2019-12-31,2100,409,-97,312,32,-6,348,565,2980,-185,-270,-215,212,-3,-2,-460,744,744,-975,-975,-333,-18,-582,1997,43,-333
2019-09-30,2108,392,126,518,49,69,-1318,-280,2355,-219,-447,124,-84,40,0,-626,0,0,-1746,-1746,-335,-44,-2125,-473,77,-335
2019-06-30,2048,400,-53,347,-7,-83,-609,-870,1536,-182,-723,-124,253,129,9,-767,1480,1480,-1880,-1880,-337,-200,-937,-140,73,-337
2019-03-31,1862.00000,462.00000,100.00000,562.00000,-320.00000,-22.00000,-288.00000,-1113.00000,1312.00000,-142.00000,,,366.00000,366.00000,-11.00000,213.00000,,,-1770.00000,-1770.00000,-340.00000,-113.00000,-2223.00000,-752.00000,57.00000,-340.00000
2018-12-31,899,463,8,471,0,145,-708,-58,1332,-123,0,400,-547,-147,1,-269,0,0,-876,-876,-259,2,-1133,-141,43,-259
2018-09-30,1899,418,-47,371,-122,42,-180,91,2367,-130,0,-400,298,-102,1,-231,0,0,-1139,-1139,-260,-18,-1417,710,55,-260
2018-06-30,1569,406,-6,400,-115,-24,-707,-484,1489,-125,0,0,-244,-244,-4,-373,0,0,-1502,-1502,-262,13,-1751,-656,55,-262
2018-03-31,1492.00000,407.00000,-3.00000,404.00000,-80.00000,-62.00000,-670.00000,-862.00000,1035.00000,-126.00000,,,505.00000,505.00000,-12.00000,367.00000,991.00000,991.00000,-1312.00000,-1312.00000,-263.00000,-81.00000,-665.00000,832.00000,43.00000,-263.00000
2017-12-31,227,356,348,704,-124,205,-4,855,1823,-122,0,0,6,6,-42,-158,0,0,-1022,-1022,-233,-15,-1270,401,39,-233
2017-09-30,1430,383,16,399,-135,61,-310,-27,1789,-133,-224,0,-45,-45,24,-378,0,0,-826,-826,-235,19,-1042,440,49,-235
2017-06-30,1177,341,9,350,-66,-33,-126,-237,1325,-74,-951,0,-121,-121,24,-1122,-64,-64,-914,-914,-236,-1,-1215,-924,49,-236
2017-03-31,1081.00000,358.00000,56.00000,414.00000,-120.00000,57.00000,-728.00000,-768.00000,727.00000,-94.00000,,,-22.00000,-22.00000,-7.00000,-123.00000,,,-943.00000,-943.00000,-238.00000,-56.00000,-1237.00000,-598.00000,39.00000,-238.00000
2016-12-31,933,323,16,339,-148,178,-538,-231,1094,-102,0,0,60,60,4,-38,1972,1972,-1095,-1095,-207,5,675,1622,39,-207
2016-09-30,1184,326,32,358,-90,-15,-66,-94,1424,-99,0,0,-531,-531,0,-630,0,0,-576,-576,-209,12,-773,29,36,-209
2016-06-30,983,285,43,328,-13,57,-467,-265,1061,-106,0,60,-70,-10,6,-110,0,0,-450,-450,-209,8,-651,282,42,-209
2016-03-31,959.00000,299.00000,-10.00000,289.00000,-87.00000,-75.00000,-37.00000,-175.00000,1058.00000,-75.00000,,-60.00000,-242.00000,-302.00000,-8.00000,-385.00000,,,-1353.00000,-1353.00000,-212.00000,-30.00000,-1595.00000,-853.00000,32.00000,-212.00000
2015-12-31,890,297,45,342,-8,80,-500,-21,1097,-93,0,868,-644,224,7,138,1735,1735,-791,-791,-179,-65,700,1870,121,-179
2015-09-30,977,296,41,337,24,-68,-204,-98,1272,-106,0,-124,607,483,-8,369,0,0,-926,-926,-181,7,-1100,516,24,-181
2015-06-30,921,266,-6,260,-21,36,-434,-374,821,-86,-572,-744,690,-54,9,-703,0,0,-837,-837,-183,4,-1016,-846,30,-183
2015-03-31,1020.00000,271.00000,-16.00000,255.00000,-30.00000,1.00000,-21.00000,-327.00000,911.00000,-57.00000,-12.00000,,-441.00000,-441.00000,-9.00000,-519.00000,,,-937.00000,-937.00000,-184.00000,21.00000,-1100.00000,-930.00000,-53.00000,-184.00000
2014-12-31,801,262,17,279,-68,100,-633,-383,725,-162,-189,0,661,661,-68,242,43,43,-150,-150,-127,-10,-244,675,28,-127
2014-09-30,1015,271,0,271,25,-68,-204,97,1385,-70,5,0,949,949,-4,880,0,0,-397,-397,-128,15,-510,1584,3,-128
2014-06-30,931,242,18,260,-106,75,-153,-482,729,-53,-195,0,-307,-307,-7,-562,0,0,-1150,-1150,-129,-27,-1306,-1141,28,-129
2014-03-31,870.00000,237.00000,-141.00000,96.00000,-15.00000,-46.00000,-341.00000,-400.00000,568.00000,-49.00000,-146.00000,,147.00000,147.00000,178.00000,130.00000,1487.00000,1487.00000,-1661.00000,-1661.00000,-131.00000,26.00000,-279.00000,420.00000,-74.00000,-131.00000
2013-12-31,623,674,-49,625,25,56,-410,-68,1199,-146,0,0,-89,-89,-4,-239,35,35,-747,-747,-73,-7,-792,186,36,-73
2013-09-30,879,64,26,90,-31,21,48,334,1322,-50,0,0,184,184,-17,117,0,0,-339,-339,-72,-5,-416,1065,28,-72
2013-06-30,848,61,-5,56,-11,-4,-112,-175,742,-61,0,0,289,289,-3,225,0,0,-570,-570,-73,5,-638,364,22,-73
2013-03-31,766.00000,62.00000,-28.00000,34.00000,-25.00000,-93.00000,55.00000,56.00000,872.00000,-42.00000,,,-65.00000,-65.00000,,-107.00000,,,-761.00000,-761.00000,-37.00000,15.00000,-783.00000,-68.00000,-23.00000,-37.00000
2012-12-31,605,581,302,883,-9,34,-561,-640,866,-54,0,0,-323,-323,-850,-1227,0,0,-610,-610,-38,1,-647,-993,21,-38
2012-09-30,772,58,24,82,-61,-9,42,149,1014,-57,-70,0,-794,-794,-1,-922,0,0,-206,-206,-37,14,-229,-108,9,-37
2012-06-30,700,56,-18,38,-58,61,-33,-112,641,-56,0,0,-332,-332,0,-388,0,0,-667,-667,-38,3,-702,-531,23,-38
2012-03-31,682.00000,54.00000,-67.00000,-13.00000,7.00000,-88.00000,-170.00000,-250.00000,427.00000,-51.00000,,,-251.00000,-251.00000,,-302.00000,,,-234.00000,-234.00000,-19.00000,33.00000,-220.00000,-50.00000,-53.00000,-19.00000
2011-12-31,20,52,-285,-233,-62,75,374,987,784,-61,0,0,-637,-637,5,-693,21,21,-26,-26,-19,-20,-44,-19,-18,-19
2011-09-30,716,51,57,108,-78,-42,62,189,1007,-44,0,0,194,194,9,159,0,0,-70,-70,-19,1,-88,989,17,-19
2011-06-30,608,49,57,106,-20,26,-237,-183,538,-47,-460,0,158,158,0,-349,-21,-21,-381,-381,-19,3,-418,-190,21,-19
2011-03-31,562.00000,42.00000,31.00000,73.00000,-2.00000,8.00000,-160.00000,-286.00000,355.00000,-25.00000,,,160.00000,160.00000,,135.00000,,,-652.00000,-652.00000,-20.00000,7.00000,-665.00000,-113.00000,15.00000,-20.00000
2010-12-31,415,13,103,116,-62,26,543,107,670,-46,-498,0,-39,-39,525,-58,0,0,1,1,-20,2,-17,588,14,-20
2010-09-30,519,44,69,113,-41,-7,-133,-46,589,-40,0,0,5,5,-528,-563,0,0,1,1,-20,-4,-23,156,18,-20
2010-06-30,458,45,76,121,-31,-2,-217,-239,343,-45,0,0,48,48,0,3,0,0,3,3,-19,-2,-18,204,15,-19
2010-03-31,455.00000,46.00000,-148.00000,-102.00000,19.00000,-36.00000,-110.00000,-261.00000,95.00000,-20.00000,,,-3.00000,-3.00000,,-23.00000,,,6.00000,6.00000,-20.00000,91.00000,77.00000,64.00000,16.00000,-20.00000
2009-12-31,294,51,129,180,-40,13,677,-208,284,-44,0,0,-480,-480,0,-524,0,0,3,3,-20,7,-10,-261,19,-20
2009-09-30,453,59,142,201,52,16,-479,-326,316,-33,-3,0,-14,-14,-2,-52,0,0,4,4,-20,6,-10,268,28,-20
2009-06-30,349,60,32,92,8,2,-141,-80,362,-35,3,0,-3,-3,-3,-38,0,0,1,1,-19,18,0,370,26,-19
2009-03-31,367.00000,57.00000,55.00000,112.00000,102.00000,3.00000,-221.00000,-61.00000,416.00000,-28.00000,-3.00000,,-20.00000,-20.00000,1.00000,-50.00000,-149.00000,-149.00000,1.00000,1.00000,-20.00000,3.00000,-165.00000,173.00000,15.00000,-20.00000
