,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,246,89,-12,77,-89,-62,54,377,-79,0,-11,-11,0,-90,-126,0,-126,3,3,-128,0,-251,113,39,-128
2022-09-30,303,83,39,122,60,-70,-89,336,-71,-5,76,76,0,0,-3,0,-3,-109,-109,-129,-4,-245,39,46,-129
2022-06-30,327,81,93,174,180,-366,-210,291,-74,-9,72,72,0,-11,0,0,0,-328,-328,-129,97,-360,-133,38,-129
2022-03-31,498.00000,78.00000,76.00000,154.00000,-117.00000,231.00000,-182.00000,470.00000,-59.00000,-83.00000,-19.00000,-19.00000,,-161.00000,491.00000,,491.00000,-610.00000,-610.00000,-130.00000,-103.00000,-352.00000,-61.00000,46.00000,-130.00000
2021-12-31,427,77,-114,-37,-120,44,-91,299,-62,-153,-243,-243,0,-458,-6,0,-6,-115,-115,-118,-18,-257,-428,48,-118
2021-09-30,474,61,-97,-36,-108,-55,-2,436,-33,-1888,11,11,0,-1910,1178,0,1178,-121,-121,-118,-12,927,-570,41,-118
2021-06-30,577,60,56,116,42,-97,-99,594,-30,0,-27,-27,0,-57,0,0,0,-385,-385,-116,-1,-502,40,41,-116
2021-03-31,736.00000,59.00000,89.00000,148.00000,-71.00000,69.00000,-208.00000,676.00000,-14.00000,-138.00000,-42.00000,-42.00000,,-194.00000,,,,-174.00000,-174.00000,-116.00000,,-290.00000,172.00000,45.00000,-116.00000
2020-12-31,314,57,14,71,-42,52,273,658,-20,-198,-6,-6,0,-224,0,0,0,-243,-243,-105,-6,-354,105,44,-105
2020-09-30,467,56,38,94,62,-66,-50,511,-21,-1,-8,-8,0,-30,-4,0,-4,11,11,-105,-22,-120,393,38,-105
2020-06-30,509,58,-44,14,18,-143,109,632,-41,-2,-8,-8,0,-51,-5,-487,-492,-16,-16,-106,-28,-642,-42,35,-106
2020-03-31,487.00000,49.00000,103.00000,152.00000,-7.00000,-71.00000,-294.00000,345.00000,-21.00000,-696.00000,-55.00000,-55.00000,,-772.00000,700.00000,484.00000,1184.00000,-308.00000,-308.00000,-105.00000,-6.00000,765.00000,309.00000,37.00000,-105.00000
2019-12-31,362,50,32,82,-170,15,35,479,-8,185,13,13,-4,186,324,0,324,-256,-256,-96,-18,-46,654,33,-96
2019-09-30,382,48,25,73,6,-14,-14,441,-22,-177,98,98,4,-97,0,-130,-130,-106,-106,-95,0,-331,-18,33,-95
2019-06-30,311,52,58,110,38,-162,-33,388,-19,56,-83,-83,0,-46,0,-190,-190,-176,-176,-96,125,-337,-1,34,-96
2019-03-31,374.00000,50.00000,47.00000,97.00000,-8.00000,106.00000,-104.00000,367.00000,-20.00000,,13.00000,13.00000,,-7.00000,-450.00000,317.00000,-133.00000,-485.00000,-485.00000,-94.00000,-137.00000,-849.00000,-488.00000,36.00000,-94.00000
2018-12-31,253.3,48.4,6.3,54.7,-158.5,133.2,68.4,376.4,-28.1,-253.7,-10.4,-10.4,0,-292.2,740.4,-26.2,714.2,-51.7,-51.7,-85.1,-9.2,568.2,649.7,30,-85.1
2018-09-30,312,46.1,-32.7,13.4,4.7,-52.3,-18.1,307.3,-25,-35,-8.5,-8.5,0,-68.5,-300,-64.8,-364.8,-60.7,-60.7,-87,-0.1,-512.6,-279.7,30.5,-87
2018-06-30,377.9,48.4,26.6,75,47.7,-193.6,-67.1,385.8,-22.9,0,-3.9,-3.9,0,-26.8,-150.4,0,-150.4,-48.7,-48.7,-84.7,-1.5,-285.3,37.2,34.4,-84.7
2018-03-31,376.80000,49.10000,30.80000,79.90000,-29.90000,206.70000,-65.20000,391.50000,-15.00000,5.70000,-9.20000,-9.20000,,-18.50000,,-40.00000,-40.00000,-56.90000,-56.90000,-85.20000,-0.20000,-182.30000,205.80000,35.10000,-85.20000
2017-12-31,28.8,49.6,-45.5,4.1,-138.2,276.7,372.3,405.2,-21.6,0,9.1,9.1,-0.1,-12.6,0.1,-184.3,-184.2,-30.4,-30.4,-72,-3,-289.6,108.7,34.1,-72
2017-09-30,319.7,43,-70.2,-27.2,6.7,31,97.9,390.4,-26.6,-3506,-25.8,-25.8,111.1,-3447.3,500,314.3,814.3,-19.3,-19.3,-75,-0.9,719.1,-2318.1,31.8,-75
