,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-4307.1,-1147.5,771.4001,-376.0999,0,0,0,-821.5,-821.5,-5504.7,1353.6,0,0,-18.1,222.5,204.4,843.1,2401.1,1560,-1741.3,-181.3,1500,1500,2651.4,295.2,4265.3,1201.1,-278.2,2651.4
2022-09-30,1451.7,362.9,-618.1001,-255.2,0,0,0,988.3,988.3,2184.8,-617.2,0,0,-6.6,-139.6,-146.2,-160,-923.4,0,-375.9,-375.9,0,0,-882.2,-5.2,-1263.3,-5.5,85.1,-882.2
2022-06-30,952.5,348.9,-359.4,-10.5001,0,0,0,-121.3,-121.3,820.7,-371,0,0,12.6,-47.6,-35,-57.9,-463.9,-849.9,1617.5,767.6,0,0,-883.7,-7.6,-123.7,163.7,92.1,-883.7
2022-03-31,1902.90000,435.70000,206.10000,641.80000,,,,-45.50000,-45.50000,2499.20000,-365.40000,,,12.10000,-35.30000,-23.20000,-625.20000,-1013.80000,-710.10000,499.70000,-210.40000,-1500.00000,-1500.00000,-885.50000,-282.40000,-2878.30000,-1359.30000,101.00000,-885.50000
2021-12-31,1726.1,445.7,459.2001,904.9,-1278.3,-235.9,-664.1,2063.5,-474.5,2156.5,-291.4,0,0,-54.8,43,-11.8,-75.8,-379,-0.1,-2.5,-2.6,-750,-750,-773.3,-0.6,-1526.5,30.3,75.3,-773.3
2021-09-30,1110.1,382.3,1124.9999,1507.3,0,0,0,-986.1,-986.1,1631.3,-336.8,0,0,24,-131.7,-107.7,-172,-616.5,505.5,-197.8,307.7,0,0,-770.4,-0.5,-463.2,568.2,90.1,-770.4
2021-06-30,1390.2,369.3,-524.8,-155.5,0,0,0,540.8,540.8,1775.5,-381.3,0,0,10.1,-34.5,-24.4,-77.6,-483.3,0,200,200,-500,-500,-768.3,-14.9,-1083.2,217.6,91.9,-768.3
2021-03-31,1355.30000,350.30000,94.60000,444.90000,,,,-102.80000,-102.80000,1697.40000,-300.30000,,-747.40000,-15.40000,-6.70000,-22.10000,-213.70000,-1283.50000,,-3.70000,-3.70000,,,-774.80000,-279.90000,-1058.40000,-654.70000,85.50000,-774.80000
2020-12-31,2116.8,367.5,-153.9,213.5999,-1350.2,-533.4,1271.3,-224.9,-515.1999,1815.2,-454.7,0,0,10.9,48,58.9,-278.3,-674.1,-0.2,-579.9,-580.0999,0,0,-670,-41.4,-1291.5,61.8,87.8,-670
2020-09-30,1208.4,358.4,299.1,657.5001,0,0,0,-59.3,-59.3,1806.6,-393.1,0,0,-3.8,93.2,89.4,-9.8,-313.5,1073.7,-678.9,394.8,0,0,-671.6,-2.3,-279.1,1230.2,71.7,-671.6
2020-06-30,1412,324.4,-476.2,-151.8001,0,0,0,1235.2,1235.2,2495.4,-281.8,0,0,74.4,285.7,360.1,-288.7,-210.4,988.6,-1984.1,-995.5,0,0,-674.2,-3.5,-1673.2,666.1,76.8,-674.2
2020-03-31,1456.50000,273.60000,60.40000,334.00010,,,,-1408.10000,-1408.10000,382.40000,-258.30000,,-849.30000,36.80000,-28.50000,8.30000,38.40000,-1060.90000,-276.30000,1748.70000,1472.40000,-500.00000,-500.00000,-671.30000,-194.40000,106.70000,-638.50000,71.80000,-671.30000
2019-12-31,1495.7,340.7,50.8,391.5,-127.2,-258.7,-477.7,1161.4,76.5,1963.7,-326.5,0,-6562.9,11.7,60.6,72.3,6775.7,-41.4,-158,-63.5,-221.5,-300,-300,-587.2,-4.9,-1113.6,773.7,81.6,-587.2
2019-09-30,1253.9,288,424.1,712.1,0,0,0,-455.9,-455.9,1510.1,-263.4,0,6917.7,26.9,31.9,58.8,-7136.9,-423.8,-0.1,-505.4,-505.5,-600,-600,-587.4,0,-1692.9,-726.4,75.5,-587.4
2019-06-30,1327.2,247.4,70.4,317.8,0,0,0,-593.5,-593.5,1051.5,-240.3,0,0,53.1,246.8,299.9,1.4,61,-0.2,-286.1,-286.3,0,0,-598,-1.5,-885.8,253.8,79.5,-598
2019-03-31,4241.60000,356.50000,-3572.50000,-3216.00000,,,,-714.30000,-714.30000,311.30000,-203.70000,,-6917.70000,2.20000,23.00000,25.20000,-582.50000,-7678.70000,3848.30000,1850.40000,5698.70000,-3500.00000,-3500.00000,-637.20000,-193.70000,1367.80000,-5961.80000,75.80000,-637.20000
2018-12-31,1125,345.5,718.7,1064.2,-996.7,7.8,-284.5,658.2,-740.5,1448.7,-394.3,0,0,17,-53.4,-36.4,-228.3,-659,-7.6,99.2,91.6002,-1100,-1100,-572.6,-58.7,-1639.7,-961.8,72.8,-572.6
2018-09-30,1149.5,415.5,446,861.5,0,0,0,110.8,110.8,2121.8,-269.8,0,0,38.8,6.4,45.2,-173.5,-398.1,2477.7,-2048.4,429.2999,659.7,659.7,-572.6,-83.7,432.7,2142.7,68.5,-572.6
2018-06-30,-259.9,425.2,1831.2,2256.4,0,0,0,-479,-479,1517.5,-310,0,0,2046,2969.7,5015.7,-1572.3,3133.4,-201.2,953.8,752.6,-950.7,-950.7,-579.3,-54,-831.4,3733,70.2,-579.3
2018-03-31,1217.40000,422.80000,66.30000,489.10000,,,,-1270.00000,-1270.00000,436.50000,-236.50000,,,338.50000,-251.10000,87.40000,-21.20000,-170.30000,-800.30000,-1202.50000,-2002.80000,-1100.00000,-1100.00000,-587.30000,-176.40000,-3866.50000,-3451.90000,68.00000,-587.30000
2017-12-31,-1656.9,411.9,-741.6,-329.7,-357,-253.9,916.3,-64.9,3730.1,1743.5,-443.5,0,0,2116.4,27.1,2143.5,-47.1,1652.9,0,170.7,170.7,-99.9,-99.9,-548.3,-64.8,-542.3,2811.9,72.2,-548.3
2017-09-30,555.6,372.9,359.3,732.2,0,0,0,593.3,593.3,1881.1,-242.7,0,0,-447.7,-801.5,-1249.2,-266.1,-1758,-0.1,1101.1,1101,0,0,-547.7,-52.6,500.7,654.4,69.9,-547.7
2017-06-30,1008,395.6,371,766.6,0,0,0,-123.5,-123.5,1651.1,-221.6,0,0,-1084.9,-833.3,-1918.2,-109.1,-2248.9,2231.7,-371.8,1859.9,-199.9,-199.9,-548.7,-51.4,1059.9,453,69.9,-548.7
2017-03-31,-110.80000,386.90000,1058.80000,1445.70000,,,,-995.00000,-995.00000,339.90000,-169.00000,,-882.10000,879.00000,-417.90000,461.10000,-839.60000,-1429.60000,-630.20000,497.50000,-132.70000,,,-547.40000,-195.60000,-875.70000,-1965.20000,69.30000,-547.40000
2016-12-31,771.8,344.6,263.4,608,-709.4,-328.2,1123.8,845.3,626.7,2006.5,-336.4,0,0,-505.6,-226.1,-731.7,-110,-1178.1,0,1294.9,1294.9,-300,-300,-541.1,-68.6,385.2,1093.1,66.8,-541.1
2016-09-30,778,392.8,305.2,698,0,0,0,185.7,185.7,1661.7,-227.5,0,0,160.1,-684,-523.9001,-43.3,-794.7,-0.1,-0.3,-0.4,0,0,-537.9,-61.8,-600.1,251,61.5,-537.9
2016-06-30,747.7,373.7,194.1,567.8,0,0,0,86.4,86.4,1401.9,-245.4,0,-45,236.9,-972.1,-735.1999,4.7,-1020.9,1206.5,-0.3,1206.2,0,0,-541.2,-85.7,579.3,930.4,65,-541.2
2016-03-31,440.10000,385.50000,338.20000,723.70000,,,,-1382.90000,-1382.90000,-219.10000,-154.30000,,,423.20000,-377.80000,45.40000,-36.50000,-145.40000,,-1.10000,-1.10000,-300.10000,-300.10000,-538.30000,-84.70000,-924.20000,-1358.80000,62.00000,-538.30000
2015-12-31,478.4,343.4,629.4,972.7999,-304.5,-736.3,207.9,395.6,-455.1,996.1,-287.6,0,4.7,498,243.4998,741.4998,-204.9,253.7,-5,0.1,-4.8999,-252.9,-252.9,-533.3,-80.3,-871.4,427.6,58.4,-533.3
2015-09-30,799.7,358.3,50.2,408.5001,0,0,887.8,-991.3,-103.5,1104.7,-273.5,0,-11.1,124.8,-319.2998,-194.4998,-91,-570.1,-1.4,-1.4,-2.8001,-61.1,-61.1,-526.3,-5,-595.2,-76.7,54.7,-526.3
2015-06-30,600.8,368.5,-353.8,14.7,0,0,-887.8,1220.9,333.1,948.6,-223.9,0,0,355.4,245.8999,601.3,-195,182.4,323.4,-590.7,-267.2998,-124.9,-124.9,-539.8,-11.2,-943.2,250.7,55.8,-539.8
2015-03-31,529.50000,357.50000,-58.10000,299.40000,,,,-913.70000,-913.70000,-84.80000,-188.60000,410.00000,-5276.70000,341.40000,-328.20000,13.20000,5202.90000,160.80000,2182.00000,-2088.60000,93.39990,-310.60000,-310.60000,-527.90000,43.90000,-701.20000,-806.80000,48.90000,-527.90000
2014-12-31,428.5,339.4,450.2,789.6,117.4,-307.1,-809,1221.5,222.8,1440.9,-393.5,-308.3,-551.4,1156.5,2487.9,3644.4002,-4570.1,-2178.9,-0.5,2375.7,2375.2,-300,-300,-525.2,-12.9,1537.1,705.8,40.6,-525.2
2014-09-30,500.6,342.4,375.3,717.7,0,0,0,473,473,1691.3,-296.9,0,551.4,174.6,-1226.5999,-1052.0002,-852.2,-1649.7,-0.5,302.6,302.1,-300,-300,-525,117,-405.9,-599.9,38.5,-525
2014-06-30,733.5,348.4,75.5,423.9,0,0,0,-103.5,-103.5,1053.9,-254.9,0,-551.4,321.1,82.1999,403.3,-65.9,-468.9,-31.8,2.3,-29.5,-145,-145,-526.9,-1.1,-702.5,-122.3,38.6,-526.9
2014-03-31,727.90000,348.80000,113.40000,462.20000,,,,-917.80000,-917.80000,272.30000,-202.00000,,,764.10000,-136.80000,627.30000,-36.90000,388.40000,-9.10000,,-9.10000,-55.00000,-55.00000,-524.10000,-6.90000,-595.10000,57.80000,38.30000,-524.10000
2013-12-31,727.5,351.2,-457.1999,-106,-152.7,-286.5,-70.3,1614.8,1105.3,1726.8,-284.6,-24.1,0,189.6,-1050.3,-860.7005,-63,-1232.4,-7.5,0,-7.5,-500,-500,-528.9,0,-1036.4,-538.7,39.8,-528.9
2013-09-30,1203.1,349,666.2999,1015.3,0,0,0,-226.8,-226.8,1991.6,-253.8,0,-43.7,133.2,-743.7,-610.4996,-35.8,-943.8,-1.3,0,-1.3,0,0,-527.7,0,-529,582.4,36.3,-527.7
2013-06-30,1206.2,363.9,290.5,654.4,0,0,0,-223.4,-223.4,1637.2,-136.4,0,0,171.9,-1249.8999,-1077.9999,-37.3,-1251.7,-0.8,0,-0.8,0,0,-533,0,-533.8,-150.1,33.6,-533
2013-03-31,1548.00000,381.50000,-502.00000,-120.50000,,,,-1048.10000,-1048.10000,379.40000,-157.90000,0.00000,,1294.40000,236.99990,1531.40000,-18.40000,1355.10000,-0.90000,,-0.90000,-1198.10000,-1198.10000,-531.10000,,-1730.10000,-82.20000,35.20000,-531.10000
2012-12-31,827.3,344.6,209.8,554.4,361.8,-307.9,-336.1,502.5,220.3,1602,-391.2,-36.8,0,117.8,-1478.5,-1360.7,126.2,-1662.5,-2.6,6.7,4.1,-721.1,-721.1,-548.2,0,-1265.2,-1300.4,41.2,-548.2
2012-09-30,1326.6,369.7,-640.3,-270.6,0,0,0,488.3,488.3,1544.3,-182,-34.1,0,-351.4001,-759.1,-1110.5,1193.9,-132.7,-0.5,0,-0.5,0,0,-544.2,0,-544.7,973.4,34.5,-544.2
2012-06-30,923.6,362,81.5,443.5,0,0,0,-61.1,-61.1,1306,-179.5,-34.3,-3.9,151.1001,-292.3999,-141.2999,-26.3,-385.3,-0.9,-1.4,-2.3,0,0,-550.4,0,-552.7,223.6,34.9,-550.4
2012-03-31,1011.10000,385.90000,154.20000,540.10000,,,,-698.70000,-698.70000,852.50000,-130.70000,-33.60000,-195.40000,457.60000,-732.90010,-275.30010,-17.30000,-652.30000,-1507.10000,-5.30000,-1512.40000,,,-544.60000,,-2057.00000,-1800.30000,30.90000,-544.60000
2011-12-31,858.2,318.9,-404.1,-85.2,-188.8,203.1,591.4,566,1171.7,1944.7,-230.6,-27.2,0,-795.9,-744.2,-1540.1,-78.9,-1876.8,-7.1,-105.5,-112.6,0,0,-543.9,5.6,-650.9,-675.2,36.7,-543.9
2011-09-30,1236.3,358.2,312.8,671,0,0,0,166.1,166.1,2073.4,-175.7,-172.9,-307.8,26,-376,-350,-1.9,-1008.3,0,99.9,99.9,0,0,-540.9,0.1,-440.9,484.2,36.5,-540.9
2011-06-30,1197.3,355.6,-18.8,336.8,0,0,0,506.2,506.2,2040.3,-139,-403.2,0,-20,-1339.3,-1359.3,2.9,-1898.6,0,-12.3,-12.3,0,0,-552.1,0.1,-564.3,-392.9,36.3,-552.1
2011-03-31,1055.90000,340.90000,374.90000,715.80000,,,,-595.60000,-595.60000,1176.10000,-101.40000,-29.60000,,539.00000,-26.40000,512.60000,-422.30000,-40.70000,-54.60000,-116.20000,-170.80000,,,-543.20000,0.20000,-713.80000,513.20000,37.90000,-543.20000
2010-12-31,1169.6,338.5,85.2,423.7,-319.1,157,-363.9,1160.8,634.8,2228.1,-226.3,-23.4,-280.7,-485.9,-408.6999,-894.6,-139.5,-1564.5,-1.4,0,-1.4,0,0,-544.1,-4.1,-549.6,84.4,55.8,-544.1
2010-09-30,1302.9,344.7,228.3,573,0,0,0,-116.8,-116.8,1759.1,-164.1,-19,-180.3,-198,-204.6,-402.6,-22.5,-788.5,-0.4,126.4,126,0,0,-545.3,25.5,-393.8,745.3,47,-545.3
2010-06-30,1348.9,345.6,105.5,451.1,0,0,0,111.6,111.6,1911.6,-154.2,-400,-148.4,-1.8,-3,-4.8,-46.8,-754.2,0.7,6.6,7.3,0,0,-536.7,-2.1,-531.5,438.3,54.5,-536.7
2010-03-31,1248.10000,299.40000,225.60000,525.00000,,,,-815.10000,-815.10000,958.00000,-125.10000,0.00000,,-0.80000,133.80000,133.00000,-60.50000,-52.60000,,-7.90000,-7.90000,,,-539.20000,0.10000,-547.00000,262.30000,73.70000,-539.20000
2009-12-31,915.4,375.8,-83.6999,292.1002,-492.9,-179,-200.1,1683.1,811.1,2018.6,-239.1,0,0,-164.1,262.6001,98.5,-113.7,-254.3,400,-994.8,-594.8,0,0,-539.7,6,-1128.5,614.7,104.1,-539.7
2009-09-30,941.8,309.7,627.2999,937,0,0,0,-573.1,-573.1,1305.7,-174.3,0,0,105.4,168.3,273.7,-31.7,67.7,-400,-16.6,-416.6,0,0,-536.6,40,-913.2,525.9,104,-536.6
2009-06-30,1158.5,306,-18.3001,287.6999,0,0,0,-522.9,-522.9,923.3,-176.9,0,0,171.6,127.5,299.1,-20.1,102.1,0,-569.2,-569.2,0,0,-539,-3.4,-1111.6,9.2,94.3,-539
2009-03-31,1313.10000,306.30000,-859.49990,-553.20000,,,,-672.00000,-672.00000,87.90000,-157.00000,,,286.20000,117.10000,403.30000,-19.00000,227.30000,2400.00000,-4243.60000,-1843.60000,,,-536.80000,,-2380.40000,-2183.60000,66.10000,-536.80000
