,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,444,82.6,73.8,156.4,-345.4,-466.7,317.9,654.1,159.9,760.3,-79.3,-125.1,-10.2,-214.6,-2.1,0,-2.1,-283.9,-283.9,-153.2,0,-439.2,140.3,10.3,-153.2
2022-09-30,552.4,83.9,23.5,107.4,0,0,0,-149.6,-149.6,510.2,-58.9,0,-8.2,-67.1,0,0,0,-243.5,-243.5,-161.7,-6.2,-411.4,-10,10.7,-161.7
2022-06-30,514.9,79.8,17.1,96.9,0,0,0,-190.1,-190.1,421.7,-69.1,-110,3.7,-175.4,-7.5,0,-7.5,-296,-296,-161.4,-2.1,-467,-258.2,13.9,-161.4
2022-03-31,263.40000,77.30000,-158.60000,-81.30000,,,,-370.30000,-370.30000,-188.20000,-74.80000,0.40000,-8.90000,-83.30000,,,,-374.20000,-374.20000,-158.40000,-2.00000,-534.60000,-810.80000,21.40000,-158.40000
2021-12-31,321.1,76.4,13.8,90.2,-265.4,-348.8,275.3,354.7,15.8,427.1,-86.3,-251.2,0.6,-336.9,0,0,0,-483.6,-483.6,-139.2,-39.8,-662.6,-579.6,14.3,-139.2
2021-09-30,408.7,72.2,21.4,93.6,0,0,0,-91.7,-91.7,410.6,-44.1,-5.2,2.6,-46.7,-125,0,-125,-202.9,-202.9,-145,-54.5,-527.4,-173.6,12.7,-145
2021-06-30,469,74.8,9.3,84.1,0,0,0,-62.6,-62.6,490.5,-33.6,0,-14.8,-48.4,-7.5,0,-7.5,-224.3,-224.3,-148.1,-2.8,-382.7,74.4,14.8,-148.1
2021-03-31,237.80000,76.00000,50.90000,126.90000,,,,-104.60000,-104.60000,260.10000,-43.90000,-12.80000,-57.00000,-113.70000,-300.00000,,-300.00000,-111.20000,-111.20000,-143.70000,,-554.90000,-451.90000,24.70000,-143.70000
2020-12-31,249.2,70.6,12.8,83.4,5.9,109,75.8,103.6,294.3,626.9,-57,-180.3,-0.1,-237.4,0,0,0,-219.1,-219.1,-127,-0.5,-346.6,99.8,12,-127
2020-09-30,404.6,74.5,24.6,99.1,0,0,0,426.8,426.8,930.5,-29.5,0,-0.5,-30,0,0,0,35.5,35.5,-139.2,0,-103.7,823.3,12,-139.2
2020-06-30,242.1,74.2,-29.5,44.7,0,0,0,-81.6,-81.6,205.2,-24.9,-3.5,-39.9,-68.3,-307.5,0,-307.5,3.7,3.7,-127.4,-3.6,-434.8,-280.9,16.5,-127.4
2020-03-31,-25.90000,75.00000,-80.90000,-5.90000,,,,-295.80000,-295.80000,-327.60000,-34.70000,1.00000,-6.80000,-40.50000,,,,-5.60000,-5.60000,-132.00000,1907.00000,1769.40000,1369.10000,29.00000,-132.00000
2019-12-31,301.1,73,193.7,266.7,-77.8,3.9,93.2,279.3,298.6,866.4,-51.6,-2.9,-11.5,-66,0,0,0,-213.9,-213.9,-128.5,-1.7,-344.1,472.7,12,-128.5
2019-09-30,463.4,72.7,48.9,121.6,0,0,0,74.4,74.4,659.4,-58.5,-58.1,-10.1,-126.7,0,-179,-179,-234.9,-234.9,-128.7,-2.1,-544.7,-44.7,13.2,-128.7
2019-06-30,460.3,72.2,90.9,163.1,0,0,0,-177.1,-177.1,446.3,-44.1,-0.4,-1466.4,-1510.9,-7.5,155.1,147.6,14.9,14.9,-131.7,-1.6,29.2,-1031.8,11.5,-131.7
2019-03-31,203.70000,70.90000,-61.00000,9.90000,,,,-266.20000,-266.20000,-52.60000,-49.00000,-22.00000,-5.40000,-76.40000,1497.90000,23.90000,1521.80000,-243.70000,-243.70000,-137.00000,-11.00000,1130.10000,1004.00000,29.70000,-137.00000
2018-12-31,261.4,9.3,38.4,47.7,-213.5,-186.9,99.6,502.1,201.3,510.4,-23.8,-4.2,-80.8,-108.8,-0.1,0,-0.1,-343,-343,-128.6,-38.2,-509.9,-119.1,78.8,-128.6
2018-09-30,519.4,85.2,22.5,107.7,0,0,0,-107.4,-107.4,519.7,-87.8,0,12.1,-75.7,0,-249,-249,-14,-14,-135,20.5,-377.5,53,0,-135
