,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,153.753,11.286,53.345,64.631,-88.876,-3.222,36.3,35.33,253.714,-16.429,0,-34.482,-67.22,-67.22,0,-118.131,0,0,0,5.09,5.09,-8.1,-3.01,135.661,63.645
2022-09-30,114.812,14.052,53.878,67.93,-46.226,-16.185,35.619,5.268,188.01,-8.948,0,0,-329.053,-329.053,0,-338.001,0,0,0,0.693,0.693,-4.589,-3.896,-157.89,52.296
2022-06-30,76.976,15.247,67.759,83.006,51.77,-33.83,10.695,40.668,200.65,-8.691,0,-3.055,56.237,56.237,0,44.491,0,0,0,4.183,4.183,-5.463,-1.28,243.623,53.064
2022-03-31,51.82100,15.55800,54.20400,69.76200,-24.22400,-22.03600,28.92500,-19.14000,102.44300,-12.37500,,-24.62500,76.73500,76.73500,,39.73500,,,,0.40400,0.40400,-9.34400,-8.94000,132.53400,47.79700
2021-12-31,52.591,10.972,40.77,51.742,-58.091,-5.618,11.153,-7.16,97.173,-13.208,0,-180.413,-362.897,-362.897,0,-556.518,-1.207,0,-1.207,-296.2,-296.2,-8.825,-306.232,-766.23,37.176
2021-09-30,21.809,8.313,60.116,68.429,5.462,-27.648,20.405,23.116,113.354,-12.682,-0.25,0,-523.49,-523.49,0,-536.422,-1.422,0,-1.422,0.042,0.042,-1.891,-3.271,-426.715,46.954
2021-06-30,39.351,7.596,32.191,39.787,-44.812,-2.88,23.7,-13.478,65.66,-16.428,0,0,-20,-20,0,-36.428,0.05,0,0.05,-196.572,-196.572,-9.235,-205.757,-176.749,15.312
2021-03-31,31.69800,5.55800,26.00000,31.55800,-53.71900,6.88800,23.04000,12.58500,75.84100,-9.94000,,-55.23900,-25.00000,-25.00000,,-90.17900,612.84200,,612.84200,221.01400,221.01400,-9.18500,824.67100,809.63100,14.84400
2020-12-31,72.991,5.353,11.064,16.417,-57.854,-4.229,11.96,-5.228,84.18,-8.851,0,0,-5.01,-5.01,0,-13.861,-41.034,0,-41.034,3.687,3.687,-16.288,-53.635,17.587,8.289
2020-09-30,39.362,4.765,24.95,29.715,-32.633,-6.349,11.217,-1.576,67.501,-3.903,0,0,0,0,0,-3.903,-2.269,0,-2.269,-0.138,-0.138,-6.757,-9.164,54.538,14.399
2020-06-30,-47.294,4.141,70.378,74.519,6.529,3.43,1.57,-1.794,25.431,-4.451,0,0,0,0,0,-4.451,0.557,0,0.557,2.867,2.867,-11.018,-7.594,13.41,12.3
2020-03-31,68.93600,3.84400,-17.50300,-13.65900,49.63700,-2.56000,-41.06600,-16.05500,39.22200,-3.35300,,,,,,-3.35300,222.80700,,222.80700,73.53100,73.53100,-34.26700,262.07100,297.73500,7.51500
2019-12-31,116.666,2.568,-64.358,-61.79,-12.606,-1.825,58.282,47.395,102.271,-7.42,0,0,0,0,0,-7.42,-0.265,0,-0.265,2.059,2.059,-3.76,-1.966,93.063,6.176
2019-09-30,31.099,3.857,7.884,11.741,-37.035,-10.137,7.442,-37.879,4.961,-4.192,0,0,0,0,0,-4.192,-46.217,0,-46.217,0.303,0.303,42.774,-3.14,-2.913,5.776
2019-06-30,10.618,4.122,11.917,16.039,-15.838,-7.123,-0.878,-11.885,14.772,-2.518,0,0,0,0,0,-2.518,91.727,0,91.727,30.777,30.777,-7.126,115.378,127.872,4.934
2019-03-31,2.76500,3.57200,6.93200,10.50400,-3.26600,3.29600,-1.08700,3.79400,17.06300,-0.65800,,,,,,-0.65800,,,,1.66400,1.66400,-46.08600,-44.42200,-28.15000,3.29000
2018-12-31,0.709,0.837,4.353,5.19,-24.186,1.62,0.132,-4.024,1.875,-1.767,0,-6,0,0,0,-7.767,-72.664,0,-72.664,0.644,0.644,68.024,-3.996,-9.927,1.521
2018-09-30,-3.47,4.361,4.469,8.83,4.774,-0.416,-11.391,1.456,6.816,-0.909,0,-9,0,0,0,-9.909,57.108,0,57.108,0.629,0.629,3.129,60.866,57.693,4.051
2018-06-30,-3.738,1.656,5.575,7.231,-3.228,1.071,-5.106,0.587,4.08,-0.432,0,0,0,0,0,-0.432,3.271,0,3.271,1.101,1.101,-2.358,2.014,5.216,4.289
2018-03-31,-5.12800,2.81300,2.17100,4.98400,9.12500,7.45700,-1.41000,3.50500,3.36100,-1.04300,,,,,,-1.04300,2.30900,,2.30900,20.19200,20.19200,-0.77100,21.73000,24.11100,1.57100
2017-12-31,-2.94,0.904,1.337,2.241,3.958,-0.683,3.639,-1.215,-1.914,-0.512,0,0,0,0,0,-0.512,-24.24,0,-24.24,0.356,0.356,26.442,2.558,0.266,1.45
2017-09-30,-6.854,2.454,1.804,4.258,-12.671,-4.477,0.383,0.393,-2.203,-0.094,0,0,0,0,0,-0.094,0,0,0,0.004,0.004,0,0.004,-2.075,1.727
2017-06-30,-12.093,2.373,2.031,4.404,-8.065,12.969,-0.38,7.875,0.186,-0.049,0,0,0,0,0,-0.049,0.078,0,0.078,0.071,0.071,0,0.149,0.998,1.621
2017-03-31,-23.30500,3.27300,3.99100,7.26400,11.97500,-1.84800,-1.13900,-8.47000,-24.51100,-3.46600,,,,,,-3.46600,24.16200,-10.10000,14.06200,26.52400,26.52400,,40.58600,12.19100,1.92900
2016-12-31,-13.188,2.643,3.751,6.394,-1.44,7.141,2.698,2.429,-4.365,-2.56,0,1.05,0,0,0,-1.51,-24.175,-2.35,-26.525,1.841,1.841,24.419,-0.265,-6.348,2.087
2016-09-30,-18.756,2.696,5.807,8.503,-12.372,0.194,2.305,-10.344,-20.597,-2.097,0,0,0,0,0,-2.097,24.175,0,24.175,14.636,14.636,-0.271,38.54,15.869,2.532
2016-06-30,-16.723,2.736,3.505,6.241,-2.711,6.281,1.061,17.74,7.258,-4.162,-0.678,0,0,0,0,-4.84,0,-7.55,-7.55,0.708,0.708,-0.104,-6.946,-4.773,2.708
2016-03-31,-18.79500,2.70800,3.56100,6.26900,-1.49400,-4.77600,1.31800,-2.72300,-15.24900,-3.34800,,,,,,-3.34800,,3.00000,3.00000,0.10100,0.10100,-0.05500,3.04600,-15.43600,2.99900
2015-12-31,-15.783,2.878,4.733,7.611,28.065,-4.083,-0.037,16.321,8.149,-2.843,-0.237,0,0,0,0.3,-2.78,0,-0.15,-0.15,1.148,1.148,-0.3,0.698,5.961,3.117
2015-09-30,0.624,2.77,2.952,5.722,-8.252,-2.663,0.239,-12.384,-6.038,-3.422,0,0,0,0,0,-3.422,0,0,0,0.122,0.122,0,0.122,-9.396,3.283
2015-06-30,-0.603,2.522,2.528,5.05,-21.544,0.692,0.225,-16.22,-11.773,-2.649,0,0,0,0,0,-2.649,0,17,17,2.067,2.067,0,19.067,4.76,3.308
2015-03-31,-6.32000,2.53200,3.32200,5.85400,-0.75100,-13.15600,0.57000,-11.03200,-11.49800,-3.61100,,,,,,-3.61100,,,,0.67700,0.67700,,0.67700,-14.90500,2.98800
2014-12-31,0.402,2.738,2.414,5.152,4.151,-6.102,2.59,3.326,8.88,-3.413,-0.75,-2.235,0,0,-0.3,-6.698,-5.861,0,-5.861,1.408,1.408,0,-4.453,-2.505,2.703
2014-09-30,0.813,2.102,2.814,4.916,-2.733,0.236,1.92,5.479,11.208,-5.503,0,0,0,0,0,-5.503,-0.67,0,-0.67,2.257,2.257,0,1.587,6.916,2.53
2014-06-30,-3.031,1.992,3.29,5.282,-18.772,-1.611,2.562,-2.398,-0.147,-2.161,0,0,0,0,0,-2.161,-1.311,0,-1.311,1.247,1.247,0,-0.064,-2.314,2.494
2014-03-31,-6.23600,1.91000,2.14700,4.05700,3.60800,2.46700,-0.77400,6.46000,4.28100,-2.17200,,,,,,-2.17200,-0.86600,,-0.86600,0.45400,0.45400,,-0.41200,1.74500,2.01300
2013-12-31,-2.81,1.859,2.012,3.871,2.647,7.812,1.339,6.518,7.579,-1.371,0,0,0,0,0,-1.371,-0.632,0,-0.632,0.757,0.757,0,0.125,6.412,1.894
2013-09-30,-6.301,1.753,2.84,4.593,-3.277,-6.486,4.89,1.219,-0.489,-1.419,0,0,0,0,0,-1.419,-0.619,0,-0.619,0.138,0.138,0,-0.481,-2.198,2.045
2013-06-30,-6.396,1.709,-0.916,0.793,-7.224,4.403,6.383,4.613,-0.99,-1.785,0,0,0,0,0,-1.785,-0.605,0,-0.605,0.931,0.931,0,0.326,-2.458,1.475
2013-03-31,-10.40600,1.66000,4.10000,5.76000,2.83500,-2.46600,0.62100,-2.32600,-6.97200,-1.68200,,,,,,-1.68200,-0.63100,,-0.63100,0.60300,0.60300,,-0.02800,-8.86000,1.43500
2012-12-31,-7.742,1.63,3.433,5.063,8.983,-3.193,13.887,10.308,7.629,-1.936,0,0,0,0,0,-1.936,-1.181,0,-1.181,0.208,0.208,-1.197,-2.17,3.577,1.607
2012-09-30,-8.907,1.487,1.577,3.064,-27.833,14.316,2.107,-14.586,-20.429,-3.041,0,0,0,0,0,-3.041,-1.479,0,-1.479,0.003,0.003,-0.204,-1.68,-25.252,1.451
2012-06-30,-11.385,1.366,4.181,5.547,3.486,-5.305,-15.614,-11.936,-17.774,-3.408,0,0,0,0,0,-3.408,-0.821,0,-0.821,58.629,58.629,-1.549,56.259,35.066,1.002
2012-03-31,-10.18400,1.08500,1.02000,2.10500,4.32400,-14.43300,-7.10500,-5.99200,-14.07100,-4.60500,,,,,,-4.60500,-0.71800,,-0.71800,0.02400,0.02400,-0.27900,-0.97300,-19.62100,0.70600
2011-12-31,-5.537,1.012,1.882,2.894,-0.265,-0.969,24.149,25.505,22.862,-5.073,0,0,0,0,0,-5.073,7.629,0,7.629,0.769,0.769,-1.357,7.041,25.002,0.681
2011-09-30,-7.176,0.808,0.987,1.795,-2.397,-3.856,0.82,-1.647,-7.028,-2.979,0,0,0,0,0,-2.979,2.693,0,2.693,0.02,0.02,-1.648,1.065,-9.046,0.583
2011-06-30,-10.288,0.668,1.071,1.739,-7.396,-0.586,-0.8,1.355,-7.194,-4.292,0,0,0,0,0,-4.292,15.607,0,15.607,1.245,1.245,-0.332,16.52,5.044,0.481
2011-03-31,-9.28900,0.54400,0.46300,1.00700,0.18400,-1.29700,-0.37400,-0.72500,-9.00700,-2.31800,,,,,,-2.31800,1.93700,,1.93700,0.01400,0.01400,-0.09500,1.85600,-9.46900,0.37500
2010-12-31,-7.016,0.469,0.415,-0.248,-1.247,0.665,1.695,0.605,-5.529,-0.852,0,0,0,0,0,-0.852,-0.061,0,-0.068,0.04,0.037,0.005,-0.026,-6.407,0.321
2010-09-30,-6.104,0.431,0.454,0.885,-1.977,3.55,-0.75,1.548,-3.671,-0.706,0,0,0,0,0,-0.706,-0.067,0,-0.067,0.004,0.004,-0.014,-0.077,-4.454,0.361
