,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,3520,1772,1300,3072,298,-650,-1847,-1242,5350,-1366,-17130,14064,14064,35,-4397,0,7293,7293,-898,-898,-2954,-1741,1700,2772,213,-2954
2022-09-30,4458,1685,182,1867,-216,-620,-516,-41,6284,-944,1,-425,-425,-333,-1701,-2,121,119,-2078,-2078,-2970,1004,-3925,372,281,-2970
2022-06-30,4814,1744,-965,779,-968,-657,-34,-12,5581,-797,-271,-1699,-1699,128,-2639,2,7,9,-474,-474,-2971,1175,-2261,520,366,-2971
2022-03-31,5149.00000,1769.00000,-206.00000,1563.00000,-421.00000,-600.00000,1105.00000,-2733.00000,3979.00000,-359.00000,-252.00000,-2715.00000,-2715.00000,-308.00000,-3634.00000,-2132.00000,2163.00000,31.00000,-1256.00000,-1256.00000,-2787.00000,-373.00000,-4385.00000,-4024.00000,278.00000,-2787.00000
2021-12-31,4736,1843,709,2552,-572,-70,-3169,-1556,5732,-1370,-60,-3354,-3354,-576,-5360,-348,345,-3,-768,-768,-2791,126,-3436,-3117,215,-2791
2021-09-30,3667,1814,-682,1132,-260,-360,-121,3491,8290,-735,0,-2223,-2223,239,-2719,1,653,654,-126,-126,-2791,56,-2207,3272,259,-2791
2021-06-30,6278,1839,390,2229,-1,-123,-1355,-3193,5314,-762,0,950,950,-607,-419,-450,261,-189,-324,-324,-2791,25,-3279,1661,354,-2791
2021-03-31,6197.00000,1894.00000,-989.00000,905.00000,-1617.00000,-695.00000,1620.00000,-3028.00000,4074.00000,-74.00000,,-761.00000,-761.00000,650.00000,-185.00000,-1000.00000,-452.00000,-1452.00000,-1202.00000,-1202.00000,-2659.00000,188.00000,-5125.00000,-1314.00000,307.00000,-2659.00000
2020-12-31,1738,1940,-759,1181,1203,519,-1558,5424,8343,-1118,-6374,706,706,-1117,-7903,-502,-2297,-2799,-129,-129,-2658,-58,-5644,-4980,160,-2658
2020-09-30,3554,1818,446,2264,37,-147,475,2565,8383,-724,0,-3524,-3524,-571,-4819,6879,325,7204,-269,-269,-2659,-80,4196,7791,256,-2659
2020-06-30,3626,1726,-194,1532,387,-478,-1819,-1706,3452,-592,-10,-5614,-5614,-1306,-7522,1,2708,2709,-330,-330,-2659,-77,-357,-4356,326,-2659
2020-03-31,5796.00000,1747.00000,-655.00000,1092.00000,-790.00000,-159.00000,-58.00000,-3530.00000,3358.00000,-608.00000,-939.00000,-520.00000,-520.00000,1486.00000,-581.00000,-11.00000,-8.00000,-19.00000,-1379.00000,-1379.00000,-2505.00000,-412.00000,-4315.00000,-1775.00000,263.00000,-2505.00000
2019-12-31,4010,1816,-142,1674,371,147,-1591,714,6398,-1098,-248,-308,-308,310,-1344,-1813,-122,-1935,-52,-52,-2500,415,-4072,1056,160,-2500
2019-09-30,1753,1727,-1203,524,-345,-1,2879,5250,7527,-660,-216,-840,-840,71,-1645,-3,58,55,-1511,-1511,-2499,62,-3893,1873,245,-2499
2019-06-30,5607,1705,-1949,-244,-489,-54,-261,585,5948,1928,-3663,-150,-150,97,-1788,-2,6,4,-2117,-2117,-2522,101,-4534,-358,314,-2522
2019-03-31,3749.00000,1761.00000,737.00000,2498.00000,154.00000,-369.00000,-656.00000,-2704.00000,3543.00000,-403.00000,-1683.00000,765.00000,765.00000,-96.00000,-1417.00000,-1002.00000,-3.00000,-1005.00000,-2112.00000,-2112.00000,-2396.00000,-3.00000,-5516.00000,-3373.00000,258.00000,-2396.00000
2018-12-31,3042,1735,-1655,80,-173,133,-58,3122,6244,990,-2,1656,1656,-416,2228,-646,-74,-720,-3339,-3339,-2411,81,-6389,2051,156,-2411
2018-09-30,3934,1731,1779,3510,-38,-286,-1628,-1172,6272,-794,-675,-2785,-2785,-15,-4269,-898,81,-817,-153,-153,-2415,-92,-3477,-1513,242,-2415
2018-06-30,3954,1717,-433,1284,-506,-169,-121,841,6079,-25,-140,-1,-1,-35,-201,0,52,52,-49,-49,-2415,-262,-2674,2930,312,-2415
2018-03-31,4367.00000,1746.00000,312.00000,2058.00000,-499.00000,-322.00000,-312.00000,-2819.00000,3606.00000,-638.00000,-82.00000,-207.00000,-207.00000,2.00000,-925.00000,-6.00000,-2458.00000,-2464.00000,-1378.00000,-1378.00000,-2253.00000,125.00000,-5970.00000,-3185.00000,268.00000,-2253.00000
2017-12-31,-10713,1869,2723,4592,-375,774,9441,12226,6105,-134,-505,251,251,-117,-505,3774,-4285,-511,-607,-607,-2256,-163,-3537,2103,204,-2256
2017-09-30,3764,1711,-534,1177,211,228,-654,1325,6266,-189,-574,-380,-380,-37,-1180,-1008,1369,361,-176,-176,-2254,0,-2069,3123,236,-2254
