,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-562.1,-250.4,-11.5,-261.9,40.2,135.1,-58.9,-4.2,548,-249.1,53.3,11.9,-1.3,63.9,174.7,0,174.7,-18.4,-18.4,-41.1,115.2,-4.6,-22.1
2022-09-30,178.2,80.8,66.9,147.7,27.3,-31.2,26.1,-12,-20.5,268.9,-16.6,-11.9,0,-28.5,-30.2,0,-30.2,0.9,0.9,24.7,-4.6,200.5,6.7
2022-06-30,171.3,82.7,-70,12.7,-10.3,-47.3,-0.3,18.6,7.1,196.9,-15.7,0,-0.1,-15.8,-176.5,0,-176.5,4.8,4.8,18.5,-153.2,-5.5,6.4
2022-03-31,212.60000,86.90000,14.60000,101.50000,-57.20000,-56.60000,33.10000,-2.40000,-534.60000,-216.70000,-21.00000,,1.40000,-19.60000,32.00000,,32.00000,12.70000,12.70000,-2.10000,42.60000,-190.40000,9.00000
2021-12-31,161.8,134,8.9,142.9,-55.9,3.3,39.3,-8.1,0,295.6,-34,0,0.1,-33.9,-345,0,-345,4,4,0.8,-340.2,-77.1,8.9
2021-09-30,134.1,125.4,11.3,136.7,-75,-16.8,32.4,8.5,-83.9,192.8,-29.2,0.1,0.5,-28.6,-300.1,0,-300.1,5.5,5.5,-9.5,-304.1,-143.3,8.7
2021-06-30,64.7,83.1,10.8,93.9,-10.8,2.7,3.1,11.5,41.2,211.3,-20.8,-3723.4,0,-3744.2,969.5,0,969.5,5.1,5.1,22.8,997.4,-2539.1,9.3
2021-03-31,84.70000,29.30000,33.40000,62.70000,-17.20000,17.80000,24.30000,-0.10000,-25.40000,124.90000,-17.60000,,,-17.60000,2479.30000,,2479.30000,10.80000,10.80000,-36.10000,2454.00000,2561.10000,7.00000
2020-12-31,132.1,28.7,7,35.7,39.1,27.2,5.9,-1.1,74.1,236.4,-19.4,0,0.9,-18.5,-22.7,0,-22.7,6.8,6.8,0,-15.9,218.6,7
2020-09-30,93.9,29.2,-21.5,7.7,8.2,33.1,-31.8,-19.6,47.3,150.3,-15.2,0,0,-15.2,-75,0,-75,1.3,1.3,0,-73.7,71.7,6.8
2020-06-30,93.7,29,25.8,54.8,15.1,10.4,-19.4,0.5,5.7,155.8,-16.6,-0.1,0.1,-16.6,-0.1,0,-0.1,18,18,0,17.9,151.4,6.6
2020-03-31,82.20000,29.30000,18.70000,48.00000,-14.60000,-16.40000,-1.00000,10.00000,-56.60000,76.40000,-20.20000,-28.90000,,-49.10000,-0.30000,,-0.30000,10.20000,10.20000,,9.90000,31.90000,9.60000
2019-12-31,115.7,29.3,6.6,35.9,-9.7,14.9,22.3,12.7,14.9,167.9,-23.9,-0.3,0.1,-24.1,19.9,-100,-80.1,5.4,5.4,-0.3,-75,71,6.6
2019-09-30,106.7,27.9,10.9,38.8,-12.5,7.4,15.1,-2,12,150.9,-25.1,-261.2,0.1,-286.2,-4.9,148.5,143.6,8.5,8.5,0,152.1,20.4,6.4
2019-06-30,104.6,27.1,2.4,29.5,-43.3,2.3,-6.7,-8.8,-53.3,83.2,-18.1,0,0.3,-17.8,3.7,-72.5,-68.8,10.5,10.5,-1.4,-59.7,1.9,6.9
2019-03-31,75.30000,27.60000,10.80000,38.40000,6.70000,-12.40000,-1.10000,-7.20000,-31.90000,80.10000,-21.30000,-222.50000,,-243.80000,-5.90000,120.00000,114.10000,10.20000,10.20000,,124.30000,-36.30000,10.80000
2018-12-31,91.1,29.3,-20.1,9.2,-14.3,8.4,21.6,6.6,6.4,125.5,-18.7,-3.1,0.1,-21.7,-110.9,29,-81.9,1.1,1.1,0,-80.8,16.4,6.3
2018-09-30,90.3,27.3,5.7,33,-13.9,2.1,-7.6,17.1,34.4,141.9,-20.9,0,0.5,-20.4,-61.9,-50,-111.9,12.3,12.3,0,-99.6,24.7,5.7
2018-06-30,85.9,27.6,-4.3,23.3,-11.5,-6.2,16.2,1.1,-8.1,107.9,-27.6,0,0.7,-26.9,0.7,-60.5,-59.8,11.5,11.5,0,-48.3,21.5,6.6
2018-03-31,66.50000,28.80000,17.40000,46.20000,-27.00000,-6.00000,9.70000,-12.30000,-44.60000,71.60000,-19.60000,,,-19.60000,1.60000,-54.50000,-52.90000,12.30000,12.30000,-2.00000,-42.60000,9.00000,6.50000
2017-12-31,67.6,25.6,33.9,59.5,-11.9,29.5,-0.2,-8.1,2.2,126.4,-19.1,1.1,0,-18,-7.6,-120,-127.6,6.2,6.2,-0.1,-121.5,-11.6,4.5
2017-09-30,69,31.4,4.1,35.5,7.7,4.1,-12.8,-0.6,2,107.9,-15.1,-31.4,0,-46.5,-99.2,30,-69.2,7,7,-1.8,-64,0.8,4.1
2017-06-30,60.1,33.2,2.9,36.1,-5.3,-19.3,11.4,2.7,-8.6,87,-12,-1.8,0,-13.8,266.5,-340,-73.5,5.4,5.4,-1.2,-69.3,12,4.8
2017-03-31,30.50000,22.80000,6.00000,28.80000,-10.10000,-21.70000,14.00000,-13.60000,-13.60000,53.40000,-12.30000,-740.60000,,-752.90000,69.00000,595.00000,664.00000,6.30000,6.30000,-1.40000,668.90000,-28.90000,5.40000
2016-12-31,53,21.7,16.4,38.1,-13.7,9.8,-4.8,20.7,-25.4,66.3,-72.3,-4.9,19.5,-57.7,0.5,3.5,4,9.4,9.4,-16.9,-3.5,-0.9,4
2016-09-30,52,22.8,3.7,26.5,-4.1,-6.7,9.5,-2.6,21.1,98,-5,-0.2,0.5,-4.7,-3.2,-75.6,-78.8,17.1,17.1,-1.9,-63.6,27.8,5.9
2016-06-30,46.9,21.7,-7.9,13.8,2.8,-2,-0.4,11.1,29.9,83.6,3.7,-58.3,-19.5,-74.1,-2.6,-23.4,-26,7,7,0.3,-18.7,-11.5,2.9
2016-03-31,39.00000,21.10000,7.50000,28.60000,3.60000,-10.20000,-2.20000,-15.40000,-3.40000,69.10000,-14.00000,,-0.50000,-14.50000,-10.80000,-51.50000,-62.30000,2.60000,2.60000,0.50000,-59.20000,-1.90000,3.40000
2015-12-31,55.5,22.7,-5.4,17.3,9.1,20.6,-16.4,5.3,-11.4,61,-19.1,1.1,0,-18,124.3,-54.5,69.8,-96.3,-96.3,-0.3,-26.8,13.6,2.5
2015-09-30,48.3,21.8,2.5,24.3,9.9,-6.1,7.7,-3,4.9,73.5,-10.1,-1.4,0,-11.5,-77.1,25,-52.1,2.7,2.7,1.1,-48.3,10.2,2.6
2015-06-30,48,22.6,3.8,26.4,-4.8,-5,-9.3,3.2,-17,59,-10.4,-43.8,0,-54.2,-15.3,-52.1,-67.4,8.1,8.1,3.1,-56.2,-48.9,3.3
2015-03-31,43.70000,23.20000,3.40000,26.60000,7.70000,-15.90000,-8.80000,-6.80000,-51.50000,16.70000,-7.40000,-18.80000,,-26.20000,,127.10000,127.10000,-139.30000,-139.30000,-1.50000,-13.70000,-31.20000,3.80000
2014-12-31,58.9,24.2,-53.9,-29.7,-19.9,11.6,13.8,62.7,63.3,85.6,-14,-187.1,0,-201.1,154.5,-26.3,128.2,4.1,4.1,0.3,132.6,15.6,3.9
2014-09-30,54.9,23.5,-3,20.5,-2.5,5.2,-2,-4.5,7.8,80.2,-9.2,-5.2,0,-14.4,0,69.2,69.2,-110,-110,-1.6,-42.4,22.4,3.9
2014-06-30,55.8,23.4,5.4,28.8,3.1,-8.3,-3.5,-3.1,6.9,95,-8.6,-2.9,0,-11.5,-7.9,-42.9,-50.8,-5.5,-5.5,3.5,-52.8,29.7,3.6
2014-03-31,46.00000,23.20000,0.20000,23.40000,0.40000,-14.20000,5.10000,-9.40000,-42.40000,27.10000,-11.70000,,,-11.70000,7.90000,,7.90000,-16.90000,-16.90000,2.00000,-7.00000,7.70000,2.60000
2013-12-31,54.5,24,-14.3,9.7,-7,10.8,-14,0.3,35.6,97.7,-18.8,-16,0,-34.8,-89,0,-89,2.1,2.1,0.5,-86.4,-22.7,3.1
2013-09-30,46.9,23.1,13.6,36.7,-15.1,-2.2,0.8,-4.6,-37.4,49.5,-17.6,-32.7,0,-50.3,14.1,0,14.1,2.8,2.8,2.5,19.4,18.6,3
2013-06-30,43.3,22.1,7.2,29.3,25,9.9,-3,1,41.4,112.8,-19.9,-4,0,-23.9,-70.2,0,-70.2,2.4,2.4,0,-67.8,21.1,2.8
2013-03-31,39.80000,21.90000,16.20000,38.10000,-10.00000,-17.90000,4.40000,-80.00000,-133.90000,-56.70000,-16.30000,-69.70000,,-86.00000,140.10000,,140.10000,4.80000,4.80000,1.00000,145.90000,3.20000,1.80000
2012-12-31,46.8,21.9,-19,2.9,-1.4,6.1,-3.7,33.8,71.3,121.6,-23.3,1.1,0,-22.2,-89,0,-89,7.7,7.7,3.2,-78.1,21.6,2.1
2012-09-30,43.1,21.5,3.2,24.7,-7.5,-1,5.7,-38.7,-51.4,18.3,-14.3,-326.1,0,-340.4,313.3,0,313.3,2.8,2.8,4.1,320.2,-1.9,2.3
2012-06-30,39.6,18.1,8,26.1,-4.4,1,1.3,5.2,4.2,69,-17.1,-28.2,0,-45.3,-83.2,0,-83.2,1.7,1.7,-1,-82.5,-58.8,2.1
2012-03-31,35.60000,16.80000,-11.80000,5.00000,-15.20000,-12.90000,19.00000,-49.90000,-61.50000,-19.70000,-10.60000,-34.90000,,-45.50000,88.10000,,88.10000,7.70000,7.70000,4.90000,100.70000,35.50000,1.50000
2011-12-31,36.7,16.8,15.1,31.9,10.7,10.1,-14.3,4.1,10.6,79.8,-14.1,-49.9,0,-64,23.6,0,23.6,-31,-31,3.1,-4.3,11.5,1.5
2011-09-30,34.1,16.7,4.1,20.8,-2.4,-1.6,-12.7,-2.5,-5.6,52.9,-9.7,-4.2,0,-13.9,-36.7,0,-36.7,3.3,3.3,-0.9,-34.3,4.7,1.4
2011-06-30,152.4,16.8,-115.3,-98.5,20.2,-15.9,5.5,-26.9,27.8,80.3,-11.4,187.8,0,176.4,-253.5,0,-253.5,1.9,1.9,-1.8,-253.4,3.3,1.5
2011-03-31,32.00000,13.90000,6.80000,20.70000,-5.50000,-3.50000,10.40000,-50.70000,-51.90000,3.60000,-6.50000,-363.90000,,-370.40000,313.20000,,313.20000,5.70000,5.70000,2.70000,321.60000,-45.20000,1.40000
2010-12-31,37.6,12,29.4,41.4,5.2,19.6,-15.3,-7.6,-12.6,67.9,-15.4,-5.2,0,-20.6,-1.5,0,-1.5,1.6,1.6,0.6,0.7,48,1.3
2010-09-30,30,11.8,8.1,19.9,0.5,-13.6,10.8,-36.9,-28.2,23.8,-6.1,-47.3,0,-53.4,19.3,0,19.3,0.7,0.7,0.2,20.2,-9.4,1.1
2010-06-30,28,10.8,1.3,12.1,-1.2,6.1,-6.1,8.6,11.9,47.1,-4.6,-12.8,0,-17.4,-23.9,0,-23.9,0.6,0.6,-0.3,-23.6,6.1,1.2
2010-03-31,25.00000,10.60000,-4.10000,6.50000,-23.50000,-10.80000,6.90000,-6.00000,-32.80000,3.00000,-4.90000,-4.90000,,-9.80000,9.70000,,9.70000,1.00000,1.00000,0.40000,11.10000,4.30000,1.30000
2009-12-31,34.8,9.3,16.2,25.5,18.4,4.2,0.6,-12,19.2,79.8,-6.8,-8.3,0,-15.1,-61.3,0,-61.3,0.6,0.6,0.5,-60.2,4.5,1.3
2009-09-30,35.2,10.2,21.8,32,10,5.3,-2.6,-34.4,-20.2,46.9,-9.2,-19.6,0,-28.8,-21.1,0,-21.1,0.3,0.3,0.2,-20.6,-2.5,1.3
2009-06-30,25.6,11.3,15.8,27.1,5,7.3,-1.9,4.5,-19.1,35.8,-4.4,-1.7,0,-6.1,-27.6,0,-27.6,0.1,0.1,0.1,-27.4,2.3,1.2
2009-03-31,20.80000,11.70000,5.30000,17.00000,4.70000,1.40000,-1.80000,-68.20000,-44.20000,-7.60000,-13.10000,-5.60000,,-18.70000,28.40000,,28.40000,-0.70000,-0.70000,,27.70000,1.40000,1.60000
