,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,293.272,41.499,-75.015,-33.516,10.67,78.985,-67.069,56.502,108.909,368.665,-58.649,-0.496,0,233.1699,233.1699,0,174.025,-82.617,-82.617,-280.022,0,-362.639,196.867,18.93,-280.022
2022-09-30,210.849,39.498,7.869,47.367,34.238,-147.546,-34.37,19.963,-104.098,154.118,-50.109,-0.524,-2.627,131.266,131.266,0,78.006,-80.115,-80.115,-140.825,0,-220.94,-5.082,18.116,-140.825
2022-06-30,257.872,41.644,1.231,42.875,-115.706,-159.959,32.11,47.763,-220.905,79.842,-74.542,-0.34,0,-186.392,-186.392,0,-261.274,-4.325,-4.325,-129.393,0,-133.718,-330.189,15.049,-129.393
2022-03-31,211.59200,41.21200,-7.53400,33.67800,238.13400,-134.80700,-61.93900,-122.58700,-59.63600,185.63400,-58.58400,-0.54700,-10.82800,-65.92200,-65.92200,,-135.88100,5.53600,5.53600,-128.85600,,-123.32000,-80.52700,24.70600,-128.85600
2021-12-31,286.136,41.061,22.078,63.139,-216.13,-119.067,51.344,103.62,-180.313,168.962,-119.676,-0.534,-4.282,-39.1712,-39.1712,0,-163.663,-13.349,-13.349,-128.855,0,-142.204,-140.987,23.866,-128.855
2021-09-30,259.039,39.078,38.238,77.316,93.096,-180.194,13.458,-2.596,-90.932,245.423,-41.4,-0.238,0,-72.0479,-72.0479,0,-113.686,-0.032,-0.032,-128.742,0,-128.774,-0.39,23.355,-128.742
2021-06-30,316.996,37.789,32.272,70.061,-177.596,-89.743,47.614,45.63,-157.377,229.68,-109.64,-0.41,0,16.137,16.137,0,-93.913,17.753,17.753,-117.205,0,-99.452,39.984,22.603,-117.205
2021-03-31,220.02900,36.89000,30.62700,67.51700,281.52400,-87.45000,-3.47000,-113.74000,80.81600,368.36200,-36.89400,-0.76000,-15.89300,-50.56000,-50.56000,,-104.10700,0.37600,0.37600,-116.65500,,-116.27900,141.48800,22.69800,-116.65500
2020-12-31,333.548,36.605,5.631,42.236,-168.333,84.789,13.386,97.444,60.034,435.818,-48.317,-0.422,0,-32.454,-32.454,0,-81.193,-13.257,-13.257,-116.656,0,-129.913,234.939,27.37,-116.656
2020-09-30,313.416,32.578,22.825,55.403,-118.646,1.063,39.524,23.962,-94.481,274.338,-38.753,-0.269,-140.755,-114.492,-114.492,0,-294.269,-1.191,-1.191,-116.525,0,-117.716,-131.398,22.031,-116.525
2020-06-30,184.18,29.328,5.621,34.949,-19.037,-9.808,-11.612,28.58,-19.892,199.237,-56.9,-0.421,-1.835,252.966,252.966,0,193.81,14.899,14.899,-108.879,0,-93.98,306.32,15.925,-108.879
2020-03-31,161.18000,28.20400,40.67500,68.87900,197.15700,-47.31800,-39.85100,-109.15300,-4.18500,225.87400,-39.45400,-0.95300,-6.05800,-32.40700,-32.40700,,-78.87200,-11.58000,-11.58000,-108.57100,,-120.15100,21.24900,15.55900,-108.57100
2019-12-31,360.791,28.56,-87.327,-58.767,-138.645,7.952,-1.331,91.253,-67.645,234.379,-26.403,-0.515,-24.979,-31.041,-31.041,0,-82.938,1.226,1.226,-108.359,0,-107.133,50.2,15.847,-108.359
2019-09-30,227.866,26.881,48.739,75.62,9.055,-109.904,21.563,-38.616,-114.534,188.952,-30.875,-1.009,0.704,9.771,9.771,0,-21.409,-0.018,-0.018,0,0,-0.018,157.184,16.592,0
2019-06-30,223.656,26.723,3.616,30.339,-106.707,-29.15,38.746,-25.841,-143.359,110.636,-30.177,-0.44,-276.014,-7.147,-7.147,0,-313.778,12.722,12.722,-108.218,0,-95.496,-295.845,15.832,-108.218
2019-03-31,140.17300,24.01100,27.64500,51.65600,112.89600,-39.06700,-32.78600,-77.90600,-27.24700,164.58200,-30.04700,-0.41300,,-2.16100,-2.16100,,-32.62100,-12.69400,-12.69400,-200.68700,,-213.38100,-85.70600,15.12900,-200.68700
2018-12-31,190.15,24.718,24.104,48.822,-104.665,11.402,8.027,55.923,-21.234,217.738,-32.605,-1.618,0,-34.465,-34.465,0,-68.688,2.372,2.372,0.001,0,2.373,145.263,14.297,0.001
2018-09-30,184.215,23.256,32.725,55.981,63.856,-64.473,30.983,-0.886,23.523,263.719,-29.76,-0.53,-19.753,-2.878,-2.878,0,-52.921,0.373,0.373,-100.063,0,-99.69,109.675,14.347,-100.063
2018-06-30,190.341,25.074,35.142,60.216,-139.594,21.789,38.326,36.86,-26.684,223.873,-65.575,-0.83,0,-6.865,-6.865,0,-73.27,11.878,11.878,-99.94,0,-88.062,47.607,14.307,-99.94
2018-03-31,129.37400,23.14600,17.53600,40.68200,187.69300,-26.45500,-36.70800,-97.45900,44.13400,214.19000,-26.21500,-1.62200,-9.41700,-75.37000,-75.37000,,-112.62400,-4.63600,-4.63600,-96.14600,,-100.78200,7.50100,13.44000,-96.14600
2017-12-31,142.551,22.553,52.799,75.352,-124.049,79.127,7.286,30.717,-19.638,198.265,-54.388,-3.163,-78.071,30.325,30.325,0,-105.297,2.358,2.358,-95.658,0,-93.3,0.363,12.294,-95.658
2017-09-30,151.074,20.868,25.101,45.969,61.197,-52.01,-3.584,2.18,1.707,198.75,-45.256,-2.733,-4.9,-17.509,-17.509,0,-70.398,-10.571,-10.571,-95.627,0,-106.198,31.719,12.056,-95.627
2017-06-30,176.978,21.103,12.734,33.837,-111.468,6.777,23.238,15.661,-67.383,143.432,-14.16,-5.114,-7.5,21.362,21.362,0,-5.412,-25.898,-25.898,-95.663,0,-121.561,25.983,12.179,-95.663
2017-03-31,238.40400,21.72800,-113.45700,-91.72900,135.25300,-41.39800,-44.18000,-82.89800,-26.28000,120.39500,-25.53100,-1.22200,,13.47700,13.47700,,-13.27600,-31.32500,-31.32500,-96.02800,,-127.35300,-13.30200,8.20600,-96.02800
2016-12-31,143.515,23.798,22.874,46.672,-67.372,38.547,29.198,34.387,23.129,213.316,-48.142,-1.009,-15.808,19.204,19.204,0.006,-45.749,-26.721,-26.721,-192.121,1.327,-217.515,-65.822,12.039,-192.121
2016-09-30,125.054,21.033,30.568,51.601,51.957,-24.33,-8.403,12.602,36.339,212.994,-13.528,-1.875,0,23.964,23.964,-0.008,8.553,-18.895,-18.895,-96.22,0.361,-114.752,111.095,9.704,-96.22
2016-06-30,161.063,21.316,19.384,40.7,-105.621,2.201,13.224,19.55,-51.778,149.985,-14.706,-1.115,0,-77.301,-77.301,0.004,-93.118,-16.591,-16.591,-96.545,0.002,-113.136,-56.215,11.335,-96.545
2016-03-31,88.09200,20.19300,14.56300,34.75600,130.03600,-18.87300,-45.51500,-50.37600,6.53900,129.38700,-13.90800,-1.71600,-62.13700,86.39400,86.39400,-0.00200,8.63100,-19.70900,-19.70900,-96.56600,0.00200,-116.27300,24.60900,8.17200,-96.56600
2015-12-31,132.383,19.977,26.858,46.835,-101.402,-10.71,19.215,67.5,-20.882,158.336,-20.044,-1.072,-26.055,-67.616,-67.616,0,-114.787,-20.182,-20.182,-96.87,-3.306,-120.358,-81.837,6.694,-96.87
2015-09-30,119.299,20.253,-5.846,14.407,63.859,-65.373,23.948,-37.564,4.129,137.835,-13.56,-0.878,0,10.141,10.141,0.019,-4.278,-50.769,-50.769,-97.322,0.018,-148.073,-23.276,4.854,-97.322
2015-06-30,137.752,19.266,14.642,33.908,-69.432,11.262,18.873,-52.132,-269.019,-97.359,-21.588,-1.222,0,6.685,6.685,0.034,-16.091,-32.872,-32.872,-91.961,0.84,-123.993,-233.205,6.973,-91.961
2015-03-31,66.79300,18.86400,54.94700,73.81100,129.44800,-56.89700,-25.95700,-108.34500,-58.94900,81.65500,-17.47900,-0.71700,-12.63200,54.01000,54.01000,-0.00500,23.17700,-16.10300,-16.10300,-91.96400,0.39900,-107.66800,-24.88000,7.76900,-91.96400
