,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-12-31,210.245,21.45,21.247,42.697,-101.721,30.782,12.19,10.625,-107.925,145.017,-18.51,4.702,0,28.721,28.721,-0.015,14.898,0.51,0.51,-92.052,-4.506,-96.048,41.71,5.305,-92.052
2014-09-30,-146.834,18.107,76.265,94.372,9.006,-45.461,11.389,66.554,194.804,142.342,-17.989,-7.866,-18.871,5.538,5.538,-0.043,-39.231,-77.763,-77.763,-92.449,0.988,-169.224,-80.328,5.529,-92.449
2014-06-30,181.982,19.046,41.285,60.331,-71.881,2.271,5.813,-17.836,-78.134,164.179,-21.164,-0.445,0,130.844,130.844,42.868,152.103,-130.273,-130.273,-87.721,1.235,-216.759,98.195,7.134,-87.721
2014-03-31,118.81800,18.41200,1.05500,19.46700,137.19800,-64.08300,-20.41100,-118.76300,-67.11200,71.17300,-14.92800,-1.11100,,-74.90900,-74.90900,94.51000,3.56200,-31.93700,-31.93700,-87.85300,2.19900,-117.59100,-42.45800,6.32500,-87.85300
2013-12-31,163.585,18.335,-9.006,9.329,-89.509,26.744,-3.893,29.576,-23.101,149.813,-13.938,0.452,0.006,62.102,62.102,36.342,84.964,-38.979,-38.979,-87.85,4.173,-122.656,110.449,6.984,-87.85
2013-09-30,187.67,20.551,4.203,24.754,17.498,-32.177,22.483,29.47,4.186,216.61,-11.601,-0.9,-5.661,-119.333,-119.333,-91.691,-229.186,-8.201,-8.201,0,0.111,-8.09,-14.79,4.63,0
2013-06-30,172.491,19.028,-1.11,17.918,-41.707,1.448,17.83,37.433,13.889,204.298,-18.055,-0.327,-0.025,-30.75,-30.75,-63.108,-112.265,-13.947,-13.947,-87.901,0.042,-101.806,-9.95,5.54,-87.901
2013-03-31,88.66600,20.89000,12.15900,33.04900,152.30700,-13.60800,-18.37700,-168.62100,-62.35200,59.36300,-11.60400,-0.34700,,12.32100,12.32100,-18.32500,-17.95500,1.41200,1.41200,-175.95600,0.25800,-174.28600,-137.74000,5.43800,-175.95600
2012-12-31,129.294,29.25,-1.032,28.218,-92.231,48.758,-18.658,82.044,17.199,174.711,-10.832,-1.609,-3.687,-175.495,-175.495,-0.006,-191.629,-0.376,-0.376,0,-2.326,-2.702,-15.893,2.91,0
2012-09-30,140.348,10.157,13.46,23.617,-14.383,-54.765,6.356,59.271,0.936,164.901,-9.444,-0.492,-1.192,-93.217,-93.217,-0.005,-104.35,0.756,0.756,-87.748,0.506,-86.486,-20.646,8.321,-87.748
2012-06-30,185.903,25.661,15.942,41.603,-67.744,22.51,31.692,29.498,-4.601,222.905,-11.656,-1.753,-0.002,-131.995,-131.995,0.003,-145.403,1.101,1.101,-87.723,0.444,-86.178,-18.072,8.199,-87.723
2012-03-31,86.85800,25.39900,19.46900,44.86800,185.16600,-12.50600,-58.31900,-111.84100,-9.49800,122.22800,-5.75600,-2.92900,-2.81600,-43.28800,-43.28800,-0.05700,-54.84600,2.57200,2.57200,-77.91500,0.86000,-74.48300,-1.36900,9.84400,-77.91500
2011-12-31,165.556,34.205,-7.547,26.658,-86.494,52.27,-20.726,44.923,32.644,224.858,-7.716,1.678,-1.502,-157.117,-157.117,0.628,-164.029,-5.207,-5.207,-155.928,1.771,-159.364,-102.246,12.954,-155.928
2011-09-30,150.381,22.076,1.574,23.65,-8.792,-79.314,7.479,85.073,12.492,186.523,-12.208,-6.024,-52.688,21.106,21.106,-0.006,-49.82,1.243,1.243,-154.835,0.345,-153.247,-29.465,9.943,-154.835
2011-06-30,109.477,15.832,29.669,45.501,-61.703,31.726,4.491,87.345,48.376,203.354,-7.137,0.039,0,7.318,7.318,-0.004,0.216,0.96,0.96,0,0.41,1.37,208.256,8.649,0
2011-03-31,95.48200,22.42200,3.85500,26.27700,327.15100,-11.06700,-17.57300,-196.12100,85.84000,207.59900,-7.17800,-2.62600,,-264.64900,-264.64900,-0.11200,-274.56500,3.04100,3.04100,,0.78700,3.82800,-50.32100,8.66600,0.00000
2010-12-31,132.907,22.425,25.319,47.744,-221.527,119.148,-68.303,146.598,3.771,184.422,-9.11,4.008,-12.12,-146.731,-146.731,-0.321,-164.274,0.546,0.546,0.25,2.118,2.914,24.971,10.92,0.25
2010-09-30,279.552,20.671,4.435,25.106,-13.176,-131.998,39.197,-26.487,-100.31,204.348,-9.763,0.338,0,-4.1,-4.1,-0.02,-13.545,-138.133,-138.133,0,0.479,-137.654,62.796,10.313,0
2010-06-30,134.815,29.678,19.234,48.912,-72.045,-14.104,42.469,45.412,-1.991,181.736,-9.285,-3.2,0,53.518,53.518,0.005,41.038,-34.395,-34.395,-299.103,0.49,-333.008,-118.174,9.399,-299.103
2010-03-31,37.32900,21.87700,56.99600,78.87300,436.44600,-50.16800,-94.71700,-203.58400,83.92900,200.13100,-3.93500,-5.02900,,71.77000,71.77000,1.10600,63.91200,-44.48100,-44.48100,,1.40800,-43.07300,199.76200,9.70000,
2009-12-31,278.408,30.596,59.149,89.745,-310.259,17.849,16.257,166.327,-122.252,245.901,-13.746,-0.112,0,24.4081,24.4081,-0.003,10.547,-16.255,-16.255,-149.846,0.911,-165.19,79.818,12.114,-149.846
2009-09-30,215.133,23.641,0.763,24.404,-54.885,-45.704,45.793,74.788,53.33,292.867,-12.098,-3.965,0,-242.1541,-242.1541,0.022,-258.195,1.319,1.319,0,0.39,1.709,52.854,10.473,0
2009-06-30,161.871,20.587,8.478,29.065,-84.929,30.168,54.42,74.81,65.336,256.272,-10.214,-2.624,0,-221.226,-221.226,-0.168,-234.232,3.903,3.903,0,0.039,3.942,36.58,10.442,0
2009-03-31,48.53800,21.66200,14.84600,36.50800,318.09500,58.87600,-77.59500,-88.99900,214.37000,299.41600,-13.13600,-0.87200,,-52.02400,-52.02400,0.04300,-65.98900,-1.73000,-1.73000,,0.02600,-1.70400,225.99400,10.58700,
