,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-2933,-1575,-3877,-5452,125,34,38,-12,1880,2567,547,1579,-204,166,-38,3,-375,1500,1500,471,471,2794,150,-1554,713,-463,2794
2022-09-30,1786,525,669,1194,-372,-95,66,42,-117,2863,-157,-448,16,-122,-106,-2,-713,-1000,-1000,-144,-144,-929,-45,-2118,-40,168,-929
2022-06-30,1135,525,743,1268,-452,8,-13,-10,-601,1802,-143,-1101,176,-16,160,776,-308,0,0,-69,-69,-920,-14,-1003,443,165,-920
2022-03-31,12.00000,525.00000,2465.00000,2990.00000,699.00000,53.00000,-91.00000,-20.00000,-1162.00000,1840.00000,-247.00000,-30.00000,12.00000,-28.00000,-16.00000,-777.00000,-1070.00000,-500.00000,-500.00000,-258.00000,-258.00000,-945.00000,-91.00000,-1794.00000,-1042.00000,130.00000,-945.00000
2021-12-31,376,535,480,1015,41,35,124,-25,1814,3205,-156,-44,-30,-48,-78,0,-278,-1000,-1000,-37,-37,-894,-11,-1942,976,159,-894
2021-09-30,2586,523,597,1120,-422,70,-20,-15,-453,3253,-139,-83,0,-31,-31,19,-234,-2500,-2500,-88,-88,-900,-39,-3527,-531,171,-900
2021-06-30,1517,519,743,1262,-281,-25,31,6,-463,2316,-119,-202,-325,-22,-347,91,-577,0,0,-31,-31,-894,-6,-931,828,166,-894
2021-03-31,1722.00000,473.00000,824.00000,1297.00000,975.00000,-69.00000,-253.00000,-8.00000,-409.00000,2610.00000,-165.00000,-1255.00000,-252.00000,-279.00000,-531.00000,-91.00000,-2042.00000,-1250.00000,-1250.00000,-221.00000,-221.00000,-917.00000,-89.00000,-2477.00000,-1932.00000,139.00000,-917.00000
2020-12-31,1544,427,719,1146,-837,-147,214,-236,-774,1916,-181,-20116,11317,-67,11250,70,-8977,995,995,8,8,-858,-14,131,-6889,161,-858
2020-09-30,353,355,2267,2622,-702,-26,-21,-54,-725,2250,-155,-1000,1186,-302,884,0,-271,5189,5189,-165,-165,-861,-39,4124,6140,173,-861
2020-06-30,-3346,349,4601,4950,744,-37,-4,30,962,2566,-143,-4741,-47,-78,-125,-14,-5023,0,0,-19,-19,-856,1,-874,-3305,168,-856
2020-03-31,1538.00000,349.00000,650.00000,999.00000,-376.00000,15.00000,-109.00000,46.00000,-1101.00000,1436.00000,-171.00000,-63.00000,-53.00000,-8.00000,-61.00000,-49.00000,-344.00000,-500.00000,-500.00000,-1151.00000,-1151.00000,-874.00000,-86.00000,-2611.00000,-1580.00000,141.00000,-874.00000
2019-12-31,2689,350,-647,-297,-251,-60,81,-82,188,2580,-203,0,1362,-522,840,-206,431,0,0,-78,-78,-801,-17,-896,2157,157,-801
2019-09-30,-1168,347,3358,3705,101,-23,24,-191,108,2645,-200,-4012,3533,-1147,2386,-15,-1841,-1500,-1500,-181,-181,-804,-30,-2515,-1766,162,-804
2019-06-30,1875,348,320,668,-100,3,35,9,-201,2342,-185,-239,-5793,-48,-5841,102,-6163,-500,-500,-550,-550,-800,-7,-1857,-5687,174,-800
