,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-03-31,284.20900,43.60100,46.36200,89.96300,-149.42100,16.26900,-169.20800,-302.36000,73.46800,-72.18500,-139.27600,25.58700,,25.58700,-185.87400,,,9.44200,9.44200,,7.49000,16.93200,-95.21700,29.09300,
2012-12-31,278.779,41.164,-51.259,-10.095,25.934,-6.613,66.974,86.295,361.86,-125.749,-15.998,1.0349,0,1.0349,-140.712,0,0,0.651,0.651,0,23.413,24.064,245.338,27.444,0
2012-09-30,276.901,41.366,-64.19,-22.824,-64.588,12.201,185.788,133.401,384.86,-69.944,-19.019,2.432,0,2.432,-86.531,0,0,-34.756,-34.756,0,9.107,-25.649,274.494,22.261,0
2012-06-30,251.932,37.433,50.024,87.457,-70.085,-11.396,54.556,-26.925,324.1,-78.321,-17.003,-151.992,0,-151.992,-247.316,0,0,-351.627,-351.627,0,3.107,-348.52,-278.29,26.271,0
2012-03-31,243.65100,36.62500,11.57500,48.20000,-49.86400,38.58100,-165.40500,-176.68800,101.76300,-60.45100,-7.87400,-27.16200,,-27.16200,-95.48700,,,-5.62900,-5.62900,,12.74600,7.11700,17.62900,31.37900,
2011-12-31,240.127,34.299,36.467,70.766,-76.925,-5.939,35.02,-47.844,285.066,-124.561,-7.76,-40.9109,0,-40.9109,-173.232,0,0,13.101,13.101,0,8.175,21.276,129.687,25.988,0
2011-09-30,227.119,31.639,-7.794,23.845,-36.823,-10.298,101.646,54.525,329.344,-74.11,-55.719,-50.817,0,-50.817,-180.646,0,0,-155.849,-155.849,0,8.925,-146.924,-11.821,24.5,0
2011-06-30,208.045,29.273,-0.954,28.319,-81.39,-33.435,93.65,-21.175,215.113,-33.735,-11.426,-198.585,0,-198.585,-243.746,0,0,-87.012,-87.012,0,6.249,-80.763,-100.459,23.679,0
2011-03-31,208.32700,28.96400,19.35500,48.31900,-89.02900,41.07900,-163.30700,-211.25700,45.62900,-55.81500,-7.89500,-188.94700,,-188.94700,-252.65700,,,-64.83600,-64.83600,,15.79200,-49.04400,-247.47000,16.06500,
2010-12-31,206.166,29.614,-91.212,-61.598,13.399,-17.97,-98.489,245.838,392.294,-74.551,-2.158,-77.596,0,-77.596,-154.305,0,0,-26.89,-26.89,0,12.422,-14.468,223.892,14.94,0
2010-09-30,203.699,27.929,-13.581,14.348,-99.508,15.949,108.937,25.378,234.738,-44.796,-2.67,12.866,0,12.866,-34.6,0,0,29.94,29.94,0,31.086,61.026,277.391,14.109,0
2010-06-30,172.175,25.248,19.723,44.971,-100.089,-15.47,24.344,-91.215,135.294,-41.946,-29.035,-129.863,0,-129.863,-200.844,0,0,17.246,17.246,0,12.658,29.904,-41.256,13.99,0
2010-03-31,151.50000,27.38100,24.17600,51.55700,-92.22000,36.08800,-134.43500,-190.56700,2.32800,-24.21900,,-32.92200,,-32.92200,-57.14100,,,27.78800,27.78800,,15.75300,43.54100,-19.98800,13.94500,
2009-12-31,144.004,24.339,-14.605,9.734,-36.489,-3.047,128.541,89.005,237.522,-14.626,-62.837,-97.622,0,-97.622,-175.085,0,0,26.196,26.196,0,19.155,45.351,108.004,12.811,0
2009-09-30,136.572,22.301,-6.241,16.06,-36.306,9.836,83.851,57.381,208.455,-31.988,-4.472,-62.785,0,-62.785,-99.245,0,0,14.214,14.214,0,7.25,21.464,132.549,11.856,0
2009-06-30,141.255,21.579,-3.029,18.55,-12.314,-16.975,20.739,-8.55,151.258,-9.553,0,-67.336,0,-67.336,-76.889,0,0,9.1,9.1,0,3.332,12.432,101.809,8.386,0
2009-03-31,113.13200,21.15200,13.89300,35.04500,-13.34200,16.86100,-77.28100,-73.76200,75.09000,-20.47200,-1.30400,-21.76900,,-21.76900,-43.54500,,,-4.11800,-4.11800,,1.81900,-2.29900,23.50200,11.76300,
