,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,521,141,-87,54,-65,6,222,163,702,-90,-367,-3,382,379,-78,11,11,-300,-300,-139,-3,-431,252,58,-139
2022-09-30,629,141,4,145,78,-8,158,228,1032,-79,9,107,-294,-187,-257,-21,-21,-296,-296,-141,0,-458,274,58,-141
2022-06-30,577,144,-55,89,-134,-44,16,-162,528,-43,0,-222,-206,-428,-471,-12,-12,-297,-297,-141,0,-450,-424,89,-141
2022-03-31,563.00000,143.00000,126.00000,269.00000,-117.00000,35.00000,-471.00000,-553.00000,306.00000,-120.00000,19.00000,595.00000,206.00000,801.00000,700.00000,-14.00000,-14.00000,-443.00000,-443.00000,-143.00000,,-600.00000,400.00000,56.00000,-143.00000
2021-12-31,576,144,-67,77,-36,4,204,172,825,-65,-255,-163,-15,-178,-498,-13,-13,-56,-56,-127,0,-196,128,52,-127
2021-09-30,544,144,92,236,-92,-56,315,167,948,-51,-57,-429,130,-299,-407,-12,-12,-100,-100,-127,0,-239,296,65,-127
2021-06-30,512,145,64,209,-148,-44,14,-178,541,-75,-348,-23,-275,-298,-721,-13,-13,-288,-288,-127,0,-428,-605,67,-127
2021-03-31,505.00000,141.00000,184.00000,325.00000,-131.00000,61.00000,-579.00000,-649.00000,181.00000,-88.00000,-310.00000,10.00000,-150.00000,-140.00000,-538.00000,-15.00000,-15.00000,-197.00000,-197.00000,-128.00000,,-340.00000,-707.00000,62.00000,-128.00000
2020-12-31,316,148,-52,96,52,26,396,474,898,-89,-54,94,0,94,-49,-1753,-1753,-755,-755,-118,0,-2626,-1756,54,-118
2020-09-30,348,138,441,579,134,-20,-36,78,925,-104,-580,-238,264,26,-658,-12,-12,-215,-215,-120,0,-347,14,58,-120
2020-06-30,361,137,-9,128,65,59,323,447,979,-93,-403,501,-264,237,-259,-12,-12,-38,-38,-121,0,-171,536,65,-121
2020-03-31,367.00000,136.00000,36.00000,172.00000,13.00000,44.00000,-243.00000,-186.00000,497.00000,-112.00000,-86.00000,-74.00000,,-74.00000,-272.00000,1727.00000,1727.00000,-471.00000,-471.00000,-121.00000,,1135.00000,1241.00000,55.00000,-121.00000
2019-12-31,395,133,-58,75,213,-13,188,388,938,-93,-239,-503,460,-43,-375,-12,-12,-131,-131,-110,0,-253,302,45,-110
2019-09-30,497,127,29,156,-47,19,27,-1,717,-97,-146,1043,-460,583,340,-7,-7,-222,-222,-111,0,-340,683,52,-111
2019-06-30,509,133,-84,49,2,-47,81,36,575,-96,-35,31,1367,1398,1267,-7,-7,-1014,-1014,-116,0,-1137,710,54,-116
2019-03-31,441.00000,133.00000,24.00000,157.00000,-131.00000,49.00000,-240.00000,-322.00000,269.00000,-106.00000,-197.00000,252.00000,407.00000,659.00000,356.00000,-2.00000,-2.00000,-721.00000,-721.00000,-116.00000,,-839.00000,-211.00000,66.00000,-116.00000
2018-12-31,648,131,25,156,-52,1,20,-31,702,-96,-632,130,48,178,-550,23,23,-228,-228,-116,-4,-325,-178,68,-116
2018-09-30,477,127,65,192,17,-2,82,97,862,-94,-1,-231,60,-171,-266,-25,-25,-5,-5,-116,0,-146,438,69,-116
2018-06-30,456,123,122,245,-57,-89,8,-138,640,-91,-477,-223,207,-16,-584,-25,-25,-591,-591,-118,0,-734,-698,71,-118
2018-03-31,520.00000,117.00000,63.00000,180.00000,-273.00000,86.00000,-148.00000,-335.00000,388.00000,-96.00000,-1.00000,-23.00000,-107.00000,-130.00000,-227.00000,-39.00000,-114.00000,-256.00000,-256.00000,-118.00000,,-488.00000,-326.00000,59.00000,-118.00000
2017-12-31,-18,122,218,340,35,21,480,536,836,-80,-144,-31,95,64,-160,-33,42,-289,-289,-86,0,-333,348,60,-86
2017-09-30,495,114,-7,107,-181,-7,345,157,773,-78,-66,145,-125,20,-124,-20,-170,29,29,-90,0,-231,420,52,-90
2017-06-30,470,103,62,165,-17,-11,-78,-106,521,-60,0,-390,61,-329,-389,-21,-221,13,13,-89,0,-297,-151,55,-89
2017-03-31,557.00000,104.00000,72.00000,176.00000,-86.00000,13.00000,-328.00000,-401.00000,277.00000,-66.00000,-6.00000,-90.00000,253.00000,163.00000,91.00000,-21.00000,329.00000,-1453.00000,-1453.00000,,,-1124.00000,-726.00000,54.00000,0.00000
2016-12-31,416,101,8,109,-69,-6,118,43,604,-87,-149,24,122,146,-90,-16,-16,21,21,0,0,5,484,52,0
2016-09-30,444,97,-16,81,-74,6,146,78,603,-74,-34,-140,-365,-505,-613,-14,-14,-113,-113,0,0,-127,-134,49,0
2016-06-30,252,93,18,111,-132,-42,165,-9,366,-75,-81,130,-6,124,-32,-14,-114,-36,-36,0,0,-150,160,62,0
2016-03-31,441.00000,88.00000,128.00000,216.00000,-55.00000,48.00000,-576.00000,-583.00000,72.00000,-64.00000,-70.00000,-94.00000,,-94.00000,-228.00000,-13.00000,-263.00000,-208.00000,-208.00000,,,-471.00000,-601.00000,54.00000,
2015-12-31,423.8,88,52.3,140.3,-131.4,2.2,267.7,138.5,723.7,-74.3,-2,495.6999,-760,-264.3001,-340.6,-13.4,336.6,-44.7,-44.7,0,-19,272.9,648.4,50.4,0
2015-09-30,397.2,82.4,-17.9,64.5,-4.9,-2.6,344.5,337,817.9,-65.1,0,-111.7999,0,-111.7999,-176.9,-13.4,-113.4,-138.8,-138.8,0,3.7,-248.5,387.4,46.4,0
2015-06-30,420.1,84,-20.8,63.2,-75,-8.9,42.9,-41,456.1,-75.6,0,-413.9,0,-413.9,-489.5,-13.1,-13.1,-143.8,-143.8,0,7.8,-149.1,-182.1,49.4,0
2015-03-31,382.90000,75.60000,62.40000,138.00000,-110.70000,28.30000,-244.10000,-326.50000,189.30000,-58.00000,,-306.00000,,-306.00000,-364.00000,-13.10000,-563.10000,-1.70000,-1.70000,,7.50000,-557.30000,-738.70000,45.80000,
2014-12-31,362.6,62.8,-29.6,33.2,-91.3,-18.6,20.1,-89.8,324.2,-74.5,-2679.5,219.6,0,219.6,-2534.4,985,1635,-25.6,-25.6,0,2,1611.4,-607.6,34.4,0
2014-09-30,355.6,49.7,-20.4,29.3,-6.5,36.5,152.2,182.2,583.2,-55.5,0,120.1,0,120.1,64.6,0,0,-9.4,-9.4,0,1,-8.4,625.2,31.2,0
2014-06-30,371.9,48.8,-1.9,46.9,-108.5,-57.5,149,-17,408.3,-38.7,-9.9,-208.9,0,-208.9,-257.5,0,0,-99.6,-99.6,0,6.1,-93.5,56.4,33.6,0
2014-03-31,348.90000,46.70000,67.90000,114.60000,-52.70000,65.60000,-309.30000,-296.40000,157.30000,-43.30000,-1.60000,-388.80000,,-388.80000,-433.70000,,,-12.40000,-12.40000,,5.90000,-6.50000,-277.00000,35.80000,
2013-12-31,324.354,47.887,-49.444,-1.557,15.002,-15.351,183.02,182.671,505.897,-107.254,-41.324,-203.8461,0,-203.8461,-352.424,0,0,15.999,15.999,0,14.15,30.149,181.858,32.447,0
2013-09-30,319.627,44.578,0.683,45.261,-56.208,15.518,133.817,93.127,478.878,-31.836,-1.339,-119.427,0,-119.427,-152.602,0,0,21.364,21.364,0,6.968,28.332,352.914,27.023,0
2013-06-30,300.41,43.834,5.999,49.833,-67.873,-28.536,82.071,-14.338,365.557,-50.325,-11.861,22.286,0,22.286,-39.9,0,0,-108.305,-108.305,0,1.992,-106.313,203.345,30.237,0
