,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,187.40000,85.90000,23.40000,109.30000,-45.00000,-47.00000,1.50000,28.50000,-43.30000,253.40000,-29.10000,,,,-10.00000,-10.00000,-1.90000,-41.00000,-4.80000,,-4.80000,-84.90000,-84.90000,-23.80000,-113.50000,101.80000,20.50000
2022-09-30,118.7,106.6,-58.9,47.7,78.4,-49.8,-16.9,-3.9,2.2,168.6,-31.6,0,0,0,0,0,-0.5,-32.1,-1,0,-1,-191.4,-191.4,22.6,-169.8,-35.8,14.9
2022-06-30,228.4,109.4,-16.1,93.3,92.3,-60.4,-6.6,13.7,9,330.7,-25.7,0,-0.2,0,0,0,16.1,-9.8,-1.2,0,-1.2,9.6,9.6,-248.6,-240.2,84.5,15.3
2022-03-31,455.7,106.1,11.2,117.3,149.7,-9,22.9,366.9,489.2,1062.2,-32.4,0,-1.1,0,0,0,42.6,9.1,-1.1,0,-1.1,-189.1,-189.1,-12.3,-202.5,870,17.8
2021-12-31,499.20000,108.00000,3.20000,111.20000,-48.10000,-17.40000,-13.80000,-4.70000,-46.20000,564.20000,-37.50000,,-157.30000,,,,21.30000,-173.50000,39.50000,,39.50000,-160.60000,-160.60000,-22.40000,-143.50000,250.50000,18.70000
2021-09-30,328.8,117.8,-7.3,110.5,-0.6,-1.7,11,-42.6,26.1,465.4,-43.7,0,-1.4,0,0,0,2,-43.1,-19.6001,0,-19.6001,-35.9,-35.9,-26.5,-82,342.7,14
2021-06-30,268.1,101.1,-4.5,96.6,282.9,-36.4,-23.4,30.2,298.1,662.8,-43.4,0,-723.3,0,0,0,8.3,-758.4,-19.4,0,-19.4,-182.3,-182.3,311.3,109.6,11.2,15.4
2021-03-31,619.4,95.2,-5.1,90.1,4.1,-24.8,28.2,-1.1,-157.3,552.2,-45.8,-6.5,-435.1,0,0,0,9.2,-478.2,-19.1,0,-19.1,-109.8,-109.8,-0.3,-129.2,-52.3,17
2020-12-31,653.40000,92.80000,57.70000,150.50000,-175.50000,-21.20000,4.60000,-28.80000,-153.90000,650.00000,-44.80000,,-4.90000,,,,-0.20000,-49.90000,-303.80000,,-303.80000,-78.00000,-78.00000,-46.40000,-428.20000,167.70000,18.60000
2020-09-30,493.6,94.3,2.2,96.5,-296.6,22.7,50.2,13.3,-148.1,442,-61.7,0,-76.2,0,0,0,0,-137.9,-259.9,-16,-275.9,-103.6,-103.6,28.6,-350.9,-43.2,29.6
