,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,30.166,1.556,21.036,22.592,-0.793,-20.586,8.304,0.06,6.572,59.33,-14.584,0,0,-16.767,0.025,-16.742,-0.337,-31.663,2.352,2.352,-24.84,-3.782,-26.27,1.605,21.044,-24.84
2020-03-31,35.75600,8.57200,21.97300,30.54500,-1.63500,-3.99400,7.18500,-10.06100,-14.88200,51.41900,-9.95100,,,-54.16900,0.10000,-54.06900,-0.43800,-64.45800,13.65000,13.65000,-17.42700,-0.27900,-4.05600,-18.08000,18.56200,-17.42700
2019-12-31,32.437,0.589,20.774,21.363,5.56,8.111,-4.125,-4.355,7.186,60.986,-8.677,-0.981,0.981,-69.166,0.125,-69.041,-1.285,-79.003,2.089,2.089,-18.653,-0.479,-17.043,-33.427,18.68,-18.653
2019-09-30,29.528,6.546,18.375,24.921,-2.872,7.959,5.02,-5.807,17.975,72.424,-1.679,0,0,-44.048,0.05,-43.998,-0.362,-46.039,3.74,3.74,-17.857,-0.201,-14.318,9.376,21.3,-17.857
2019-06-30,20.693,3.214,22.723,25.937,3.5,-1.034,-2.625,1.534,-2.573,44.057,-19.262,0,0,8.377,0.075,8.452,-0.479,-11.289,2.088,2.088,-18.023,0.007,-15.928,15.245,22.709,-18.023
2019-03-31,26.18100,1.44100,15.99100,17.43200,-3.67600,-6.17100,4.77800,-1.57600,-4.77700,38.83600,-56.92000,,-0.98100,28.07600,,28.07600,-0.95600,-30.78100,12.01000,12.01000,-12.76100,-0.01000,-0.76100,9.06400,16.01000,-12.76100
2018-12-31,27.638,3.739,11.801,15.54,4.673,0.436,-5.107,-0.41,4.412,47.59,-4.469,0,0,12.274,2,14.274,-2.75,7.055,0.953,0.953,-13.094,-0.749,-12.89,41.609,14.842,-13.094
2018-09-30,31.568,3.775,17.052,20.827,-6.427,-7.894,2.946,0.318,-0.244,52.151,-5.059,0,0,13.601,0,13.601,-0.485,8.057,2.382,2.382,-12.914,0,-10.532,48.021,14.844,-12.914
2018-06-30,24.206,3.149,15.903,19.052,-5.222,-17.012,-0.824,2.971,-17.84,25.418,-5.598,0,0,0.559,0,0.559,0.389,-4.65,0.958,0.958,-13.128,0,-12.17,7.054,15.891,-13.128
2018-03-31,21.85600,3.25600,15.03000,18.28600,-11.10300,-12.59000,3.85600,-3.95400,-23.85000,16.29200,-7.40000,,,-16.50200,,-16.50200,-1.30000,-25.20200,9.37200,9.37200,-8.33900,,1.03300,-6.74000,15.03000,-8.33900
2017-12-31,12.071,1.96,-1.481,0.479,12.72,0.589,-1.922,-0.093,40.823,53.373,-40.662,0,0,-22.433,0,-22.433,-3.137,-66.232,0.021,0.021,-8.662,0,-8.641,-21.665,11.858,-8.662
2017-09-30,23.642,4.518,13.334,17.852,-8.776,-7.226,-2.756,2.863,-7.816,33.678,-4.58,0,0,12.587,0,12.587,-2.124,5.883,1.319,1.319,-8.449,0,-7.13,33.312,13.97,-8.449
2017-06-30,15.013,4.517,14.597,19.114,-3.864,-14.101,2.828,0.298,-9.249,24.878,-17.107,0,0,-5.361,0,-5.361,0,-22.468,0.068,0.068,-8.636,0,-8.568,-5.709,15.127,-8.636
2017-03-31,14.47700,4.55100,10.92600,15.47700,-3.86500,-7.05700,4.92700,-1.46500,-8.06200,21.89200,-3.42100,,,-47.82200,,-47.82200,,-51.24300,1.44300,1.44300,-8.17900,-0.25000,-6.98600,-35.87700,11.66200,-8.17900
2016-12-31,16.574,3.275,11.44,14.715,-0.918,-0.801,-0.23,-0.152,-0.29,30.999,-8.076,0,0,-4.932,0,-4.932,-5.046,-18.054,0.153,0.153,-8.465,0.237,-8.075,3.221,10.748,-8.465
2016-09-30,14.373,3.925,12.308,16.233,-1.983,-0.764,-1.463,-0.452,2.313,32.919,-10.358,0,0,9.449,0,9.449,1.623,0.714,1.329,1.329,-8.154,0.717,-6.108,27.433,13.515,-8.154
2016-06-30,11.198,3.745,11.093,14.838,-2.518,-7.609,3.834,-10.236,-11.027,14.998,-13.332,0,0,11.365,0,11.365,-0.593,-2.56,0.576,0.576,-8.506,0.211,-7.719,4.238,11.747,-8.506
2016-03-31,10.57500,3.49100,8.73500,12.22600,1.99800,0.85100,3.34200,-0.18100,6.05800,28.87000,-5.34600,,,-29.45000,,-29.45000,-1.03000,-35.82600,1.74900,1.74900,-7.97400,,-6.22500,-13.05200,8.97900,-7.97400
2015-12-31,10.109,3.768,7.084,10.852,-0.356,4.168,-3.398,-0.531,3.376,24.337,-7.274,0,0,11.612,0,11.612,-8.044,-3.706,0.317,0.317,-8.112,1.557,-6.238,14.244,12.372,-8.112
2015-09-30,11.201,3.386,9.556,12.942,-3.711,-2.349,-1.142,-0.264,-2.093,22.05,-1.755,0,0,-7.38,0,-7.38,2.775,-6.36,-12.304,-12.304,-8.011,1.573,-18.742,-4.252,10.475,-8.011
2015-06-30,7.899,3.471,7.21,10.681,-1.42,-11.562,-2.215,0.043,-10.912,7.668,-1.952,0,0,-12.473,0,-12.473,-0.599,-15.024,-2.336,-2.336,-7.983,2.498,-7.821,-15.098,9.497,-7.983
2015-03-31,5.96300,3.62100,9.11400,12.73500,0.28600,-12.46700,6.90200,0.36200,-3.01700,15.68100,-4.70300,,,-25.22800,,-25.22800,-2.17600,-32.10700,-7.99200,-7.99200,-5.85900,,-13.85100,-30.30000,9.21900,-5.85900
2014-12-31,8.86,3.482,8.448,11.93,-1.354,0.658,-2.232,-0.161,-0.254,20.536,-1.781,0,0,19.233,4.65,23.883,-5.335,16.767,-6.684,-6.684,-5.841,-0.14,-12.665,24.454,8.582,-5.841
2014-09-30,11.22,3.451,8.859,12.31,-2.826,-0.343,0.896,-0.421,-7.521,16.009,-1.772,0,-11.59,1.242,0,1.242,2.396,-9.724,-6.375,-6.375,-5.817,0,-12.192,-6.051,8.859,-5.817
2014-06-30,6.397,3.181,8.415,11.596,0.637,-1.376,1.91,0.589,7.61,25.603,-1.442,0,0,6.669,0,6.669,-2.396,2.831,-9.369,-9.369,0,-0.25,-9.619,18.978,8.415,0
2014-03-31,9.01800,3.25300,7.59800,10.85100,1.67300,-0.08100,1.05800,-2.03600,-7.88400,11.98500,-4.51600,,,-14.72500,,-14.72500,,-19.24100,-4.75100,-4.75100,,,-4.75100,-12.32800,7.59800,
2013-12-31,7.499,3.323,5.57,8.893,-1.774,3.245,0.276,-0.342,14.056,30.448,-0.252,0,0,-33.073,2,-31.073,-0.617,-31.942,-7.419,-7.419,0,-0.557,-7.976,-9.233,5.62,0
2013-09-30,7.41,3.365,5.231,8.596,-1.637,-2.711,-2.893,0.011,-7.985,8.021,-4.623,0,0,-4.398,0,-4.398,0,-9.021,9.475,9.475,0,0,9.475,8.711,5.231,0
2013-06-30,5.49,3.108,5.322,8.43,2.349,-5.304,1.922,0.137,1.593,15.513,-7.366,0,0,-6.245,0,-6.245,0,-13.611,6.345,6.345,0,-0.132,6.213,8.448,5.19,0
2013-03-31,2.49900,2.80700,4.52800,7.33500,-3.28500,-2.83600,2.13500,0.31500,-3.13000,6.70400,-3.43500,,,3.66000,0.02500,3.68500,,0.25000,11.00600,11.00600,,0.13200,11.13800,18.18300,4.66000,
2012-12-31,0.248,2.535,8.802,11.337,2.178,0.515,-1.591,0.034,-0.123,11.462,-2.324,0.459,0,21.63,0,21.63,0.02,19.785,1.157,1.157,-35.664,0.034,-34.473,-3.143,7.326,-35.664
2012-09-30,5.921,2.471,2.187,4.658,-0.146,-3.169,-3.567,-0.193,-9.421,1.158,-5.551,-0.459,0,-4.285,0,-4.285,0,-10.295,5.708,5.708,0,0.068,5.776,-3.397,4.182,0
2012-06-30,6.592,2.328,4.407,6.735,-1.469,-7.907,1.814,-0.394,-7.254,6.073,-8.296,0,0,-0.841,2,1.159,0,-7.137,3.356,3.356,0,0.667,4.023,2.913,3.829,0
2012-03-31,2.99500,2.21200,3.93600,6.14800,-4.84900,-1.44300,4.09800,0.09700,-2.92400,6.21900,-4.87500,,,-24.41500,0.10000,-24.31500,,-29.19000,5.02100,5.02100,,0.10000,5.12100,-17.64000,3.31500,
2011-12-31,2.453,2.201,0.931,3.132,1.323,3.459,-1.669,0.31,7.681,13.266,-2.227,0,0,-9.988,2.025,-7.963,0,-10.19,0.363,0.363,0,-0.118,0.245,3.399,3.09,0
2011-09-30,5.473,2.224,3.765,5.989,1.169,1.158,-1.35,-0.298,-2.557,8.905,-13.524,0,0,-2.305,1.65,-0.655,0,-14.179,0.917,0.917,0,-0.329,0.588,-4.713,3.374,0
2011-06-30,3.482,2.23,4.009,6.239,0.053,-1.597,0.763,1.006,3.563,13.284,-2.215,0,0,36.2,0.05,36.25,0,34.035,-24.027,-24.027,0,0.039,-23.988,23.623,3.675,0
2011-03-31,1.89300,2.45300,4.02400,6.47700,0.70500,2.67900,1.29900,-0.34500,-0.14000,8.23000,-3.05600,,,27.56200,2.05000,29.61200,,26.55600,-9.25500,-9.25500,,0.43500,-8.82000,26.05200,2.98700,
2010-12-31,3.581,2.614,3.365,5.979,13.941,-6.388,-7.763,0.459,0.683,10.243,-4.207,0,0,10.751,0.175,10.926,0,6.719,-13.455,-13.455,0,-0.143,-13.598,3.735,3.085,0
2010-09-30,13.219,2.211,4.478,6.689,-1.967,-4.974,5.716,-0.04,-4.408,15.5,-5.819,0,0,-0.097,0.125,0.028,0,-5.791,-14.679,-14.679,0,0.003,-14.676,-4.687,4.162,0
2010-06-30,6.407,2.029,6.629,8.658,-5.781,0.112,1.17,-0.279,-0.547,14.518,-9.183,0,0,-14.143,0.05,-14.093,-0.019,-23.295,7.73,7.73,0,1.181,8.911,0.097,5.539,0
2010-03-31,6.35600,1.85000,4.37600,6.22600,-9.01900,5.06600,2.03200,0.23800,-4.34900,8.23300,-3.57000,,,-7.88900,0.07500,-7.81400,,-11.38400,5.10100,5.10100,,0.21500,5.31600,2.14800,4.02400,
2009-12-31,4.654,1.823,4.438,6.261,3.972,0.731,-1.099,0.255,5.219,16.134,-2.626,-0.31,0,-20.191,-1.2,-21.391,0.007,-24.32,2.767,2.767,0,0.109,2.876,-5.276,4.18,0
2009-09-30,12.562,1.861,3.898,5.759,-7.046,-0.275,0.422,0.473,-14.126,4.195,-4.236,0,0,-18.957,1.25,-17.707,7.35,-14.593,5.55,5.55,0,-0.088,5.462,-4.823,3.166,0
2009-06-30,3.186,1.702,4.288,5.99,0.92,-1.519,0.178,-0.664,1.839,11.015,-2.233,0,0,-24.002,0.05,-23.952,0,-26.185,3.141,3.141,0,0.613,3.754,-11.278,3.852,0
2009-03-31,-0.72800,1.56700,3.63500,5.20200,-4.25200,0.32600,3.19800,-0.16500,-4.05400,0.42000,-0.85900,,,-16.18100,,-16.18100,0.01000,-17.03000,1.51700,1.51700,,0.00900,1.52600,-15.17200,3.41300,
