,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,119.09,9.458,21.259,30.717,-29.295,-49.832,-17.514,-5.234,-97.604,52.203,-12.841,0,0,-24.263,0.424,-23.839,-13.499,-50.179,1.013,1.013,-36.401,-0.468,-35.856,-27.596,35.269,-36.401
2022-09-30,124.337,3.499,51.852,55.351,-27.898,-37.807,0.136,-172.101,-197.873,-18.185,-7.281,0,0,38.873,0.126,38.999,-0.718,31,4.105,4.105,-36.27,-0.397,-32.562,-26.66,42.997,-36.27
2022-06-30,114.679,15.877,41.923,57.8,-5.204,-48.637,10.315,5.967,-67.242,105.237,-11.844,0,0,33.551,-1.91,31.641,-1.515,18.282,1.013,1.013,-36.469,-0.662,-36.118,82.259,42.915,-36.469
2022-03-31,79.56600,12.65500,39.43500,52.09000,-15.50600,-51.79700,-4.17700,-5.91600,-24.23700,107.41900,-26.87700,,,15.99900,0.02500,16.02400,-0.76000,-11.61300,5.10400,5.10400,-28.82500,-0.52800,-24.24900,71.33700,39.81100,-28.82500
2021-12-31,72.671,9.766,25.616,35.382,-24.943,-51.355,2.894,-1.26,-79.847,28.206,-17.571,0,0,-21.652,0.1,-21.552,-0.625,-39.748,2.175,2.175,-28.639,-0.785,-27.249,-36.822,31.197,-28.639
2021-09-30,68.77,12.071,28.918,40.989,-2.314,-30.731,17.241,-9.942,8.042,117.801,-18.581,-0.793,0,-67.425,0.1,-67.325,-0.231,-86.93,4.604,4.604,-28.503,-0.909,-24.808,5.879,31.572,-28.503
2021-06-30,55.169,6.371,32.128,38.499,6.517,-2.086,-0.722,-1.894,3.278,96.946,-39.298,0,0,-29.509,0.275,-29.234,-0.81,-69.342,2.176,2.176,-28.755,-0.577,-27.156,1.845,32.127,-28.755
2021-03-31,45.41300,5.16500,29.59200,34.75700,-17.23600,-18.15100,13.51300,-2.21500,-3.11300,77.05700,-18.97000,,,-163.04500,0.02500,-163.02000,-0.87600,-182.86600,13.03700,13.03700,-23.46700,-0.56300,-10.99300,-116.58400,28.58300,-23.46700
2020-12-31,42.887,6.396,13.684,20.08,26.703,-8.97,-9.401,3.373,16.681,79.648,-11.481,0,0,110.587,-3.266,107.321,-1.58,94.26,2.31,2.31,-23.309,-0.92,-21.919,155.483,22.97,-23.309
2020-09-30,55.566,5.641,21.567,27.208,-38.398,4.047,4.322,3.625,-5.368,77.406,-19.594,0,0,-17.506,0.125,-17.381,-0.341,-37.316,4.274,4.274,-23.21,-0.376,-19.312,22.987,22.975,-23.21
