,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-2053.1,-272,-32.6,-304.6,147.4,-46.2,14.2,283.2,-2074.5,65.3,0,0,-4,402.8,398.8,0,464.1,15.2,0,15.2,0,0,2270,18005.3,20290.5,18680.1,-58.8,2270
2022-09-30,679.6,90,12.1,102.1,0.6,14.2,-13.9,-114.7,657.8,-24,0,0,1.2,-0.8,0.4,0,-23.6,0,0,0,0,0,-363.2,1523.8,1160.6,1794.8,19.4,-363.2
2022-06-30,662.5,90.1,-2.8,87.3,26,0,50.7,-141.4,617.6,-17.9,0,0,0.1,-399.8,-399.7,0,-417.6,-1.8,0,-1.8,0,0,-363.3,-29307.6,-29672.7,-29472.7,19.4,-363.3
2022-03-31,711.00000,91.90000,23.30000,115.20000,-174.00000,32.00000,-51.00000,-27.10000,799.10000,-23.40000,,,2.70000,-2.20000,0.50000,,-22.90000,-13.40000,,-13.40000,,,-1543.50000,9778.50000,8221.60000,8997.80000,20.00000,-1543.50000
2021-12-31,625.2,94.5,-53,41.5,36.1,-22.2,39.9,21.6,668.3,12,0,48.5,3.5,-105.4,-101.9,109,67.6,0,0,0,0,965,-326.8,8757.1,9395.3,10131.2,18.6,-326.8
2021-09-30,926.3,96.2,-426.5,-330.3,50.7,24.6,-32.9,37.8,631.6,-31.7,0,0,1.7,84.6,86.3,4.2,58.8,0,0,0,0,0,-322.5,7872.2,7549.7,8240.1,15.6,-322.5
2021-06-30,510.6,96.5,15.3,111.8,13.7,-12.3,73.2,-124.8,499.8,-39.7,0,0,2,10,12,-6.3,-34,0,0,0,0,0,-322.5,17887.2,17564.7,18030.5,19.4,-322.5
2021-03-31,574.80000,98.20000,26.10000,124.30000,-146.20000,-8.70000,-57.20000,-96.40000,602.70000,-28.50000,,,2.20000,-1.50000,0.70000,-6.20000,-34.00000,,,,,,-1217.50000,36616.50000,35399.00000,35967.70000,21.60000,-1217.50000
2020-12-31,424.8,120.5,12.9,133.4,29,-30.2,77.3,107.8,660.3,-70,0,26.3,8.4,-16.8,-8.4,0,-52.1,0,0,0,0,0,-304.3,49702.1,49397.8,50006,26.7,-304.3
2020-09-30,411.5,118,31.5,149.5,41.7,11.5,11.6,-256.2,311.4,-48.3,0,0,4.5,-0.1,4.4,0,-43.9,0,0,0,0,0,-304.1,-36.6,-340.7,-73.2,23.8,-304.1
