,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,179.5,11.7,9.8,21.5,0,-4.4,15.9,216.9,-7.7,0,0,-1904.1,1721.5,-182.6,0,-190.3,0,0,0,-226.4,-226.4,0,12.3,-214.1,-186.9,14.4,0
2022-09-30,169.5,11.4,15.5,26.9,0,50.3,65.8,262.2,-6.9,0,0,-26.5,0,-26.5,0,-33.4,0,0,0,-273.8,-273.8,0,0,-273.8,-45.7,16.3,0
2022-06-30,167.3,11.9,14.6,26.5,0,-7.3,-48.9,144.9,-6.2,0,0,61.1,0,61.1,0,54.9,0,0,0,-351.5,-351.5,0,0,-351.5,-152.3,13.7,0
2022-03-31,157.50000,11.90000,14.80000,26.70000,,36.60000,22.90000,207.10000,-6.60000,,,531.10000,,531.10000,,524.50000,,,,-196.40000,-196.40000,,,-196.40000,535.10000,14.20000,
2021-12-31,330.1,12.3,13,25.3,0,1.3,-149.1,206.3,-13.5,0,0,2830.0999,-2870.7,-40.6001,0,-54.1,0,0,0,-185.8,-185.8,0,0,-185.8,-33.7,12.4,0
2021-09-30,156.6,12,15.4,27.4,0,43.8,76.1,260.1,-15.2,0,0,-34.9999,0,-34.9999,0,-50.2,-1.2,0,-1.2,-171.3,-171.3,0,0,-172.5,37.1,14.4,0
2021-06-30,147.7,12,16.9,28.9,0,2.1,-34.1,142.5,-17.6,0,0,27.9,0,27.9,0,10.3,-7.7,0,-7.7,-175.8,-175.8,0,0,-183.5,-30.8,13.6,0
2021-03-31,150.40000,11.60000,14.10000,25.70000,,29.30000,22.20000,198.30000,-6.70000,,,-168.50000,,-168.50000,,-175.20000,,,,-177.30000,-177.30000,,,-177.30000,-154.40000,13.00000,
2020-12-31,157.326,11.937,11.476,23.413,0,3.234,14.499,195.238,-6.467,0,0.791,2594.596,-2355.4,239.196,0,233.52,0,0,0,-173.772,-173.772,0,0,-173.772,255.492,12.094,0
2020-09-30,170.979,11.622,12.297,23.919,0,-3.718,-55.308,139.59,-15.042,0,0,-116.41,0,-116.41,0,-131.452,0,0,0,-169.598,-169.598,0,0,-169.598,-161.001,12.678,0
2020-06-30,152.479,11.609,5.197,16.806,0,-2.551,46.027,215.312,-10.878,0,5.153,-247.727,0,-247.727,0,-253.452,0,0,0,-154.203,-154.203,0,0,-154.203,-191.992,11.987,0
2020-03-31,334.11600,11.23200,10.13000,21.36200,,22.83500,-175.41800,180.06000,-11.01300,,14.85600,75.24100,,75.24100,,79.08400,,,,-267.32700,-267.32700,,,-267.32700,-9.49900,11.44100,
2019-12-31,148.325,22.274,-1.663,20.611,0,0.472,24.662,193.598,-8.818,0,-1.342,415.182,0,415.182,0,405.022,0,0,0,-199.098,-199.098,0,-0.872,-199.97,398.922,12.389,0
2019-09-30,153.913,6.851,13.852,20.703,0,-9.163,33.503,208.119,-11.309,0,-2.219,-642.3609,0,-642.3609,0,-655.889,0,0,0,-194.054,-194.054,0,0,-194.054,-642.275,12.62,0
2019-06-30,147.534,9.466,14.196,23.662,0,-7.39,-6.351,164.845,-11.056,0,-3.353,1.78,0,1.78,0,-12.629,0,0,0,-180.23,-180.23,0,0,-180.23,-28.026,13.155,0
2019-03-31,162.52700,7.73900,12.31500,20.05400,,28.99300,4.74900,187.33000,-9.13300,,-2.95800,442.78200,,442.78200,,430.69100,,,,-196.04900,-196.04900,,,-196.04900,422.22700,12.46200,
2018-12-31,182.195,6.404,-43.848,-37.444,0,2.939,73.749,218.5,-7.41,0,52.24,40.853,0,40.853,0,85.683,0,0,0,-178.349,-178.349,0,0,-178.349,125.861,11.098,0
2018-09-30,137.68,7.195,16.43,23.625,0,-1.764,26.156,187.461,-10.928,0,0,-27.769,0,-27.769,0,-38.697,0,0,0,-173.181,-173.181,0,0,-173.181,-24.812,15.13,0
2018-06-30,128.351,8.52,22.745,31.265,0,-6.442,42.201,201.817,-11.007,0,0,-889.957,631.456,-258.501,0,-269.508,-1250.009,0,-1250.009,-128.856,-128.856,0,0,-1378.865,-1447.313,13.298,0
2018-03-31,134.26300,7.98900,16.98300,24.97200,,26.13300,-69.24600,89.98900,-7.66200,,,1931.93000,-631.45600,1300.47400,-0.16000,1292.65200,,,,-144.93000,-144.93000,,,-144.93000,1237.87800,12.97800,
2017-12-31,102.837,-4.382,12.986,8.604,0,1.767,87.752,199.193,-8.89,0,11.748,135.439,0,135.439,-11.748,126.549,0,0,0,-146.883,-146.883,0,0,-146.883,179.035,12.864,0
2017-09-30,114.899,11.767,14.18,25.947,0,-5.2,33.825,174.671,-21.635,0,0,-508.3219,0,-508.3219,0,-529.957,543.185,0,543.185,-143.613,-143.613,0,0,399.572,44.402,14.105,0
2017-06-30,123.1,12.802,2.701,15.503,0,-8.329,42.108,180.711,-9.32,0,0,-1044.585,813.459,-231.1261,0,-240.446,0,0,0,-152.711,-152.711,0,0,-152.711,-212.182,13.375,0
2017-03-31,116.41200,14.83100,12.89100,27.72200,,50.88500,4.05200,148.18600,-9.65400,,,1049.79500,-813.45900,236.33610,11.74800,238.43000,,,,-165.05100,-165.05100,,,-165.05100,222.30300,12.56300,
2016-12-31,105.552,11.966,18.992,30.958,0,-11.292,68.454,204.964,-6.685,0,0,14.8859,0,14.8859,-0.171,8.03,0,0,0,-160.557,-160.557,0,0,-160.557,51.827,14.299,0
2016-09-30,114.427,18.078,-32.996,-14.918,0,-5.23,71.535,171.044,-6.431,-143,0,157.212,0,157.212,-0.035,7.746,0,0,0,-172.113,-172.113,0,0,-172.113,6.819,12.854,0
2016-06-30,113.21,17.873,46.63,64.503,0,5.235,-10.358,167.355,-6.376,0,0,-946.066,874.031,-72.035,0.206,-78.205,0,0,0,-151.875,-151.875,0,0,-151.875,-63.059,11.132,0
2016-03-31,107.45600,18.13400,3.37100,21.50500,,33.74300,20.68300,149.64400,-7.08200,,,900.81000,-874.03100,26.77900,,19.69700,,,,-164.27600,-164.27600,,,-164.27600,5.36600,11.75900,
2015-12-31,101.53,16.264,37.239,53.503,1.319,17.167,51.966,206.999,-11.997,0,0,25.7961,0,25.7961,-0.275,13.524,0,0,0,-150.594,-150.594,0,-19.42,-170.014,50.788,11.724,0
2015-09-30,92.457,18.115,3.519,21.634,-0.301,4.138,41.231,155.322,-6.768,0,0,-14.44,0,-14.44,0.07,-21.138,0,0,0,-151.014,-151.014,0,8.054,-142.96,-9.415,12.222,0
2015-06-30,93.011,18.969,2.965,21.934,0.264,17.118,60.011,174.956,-8.849,0,0,-789.057,257.415,-531.642,0.051,-540.44,-1.587,0,-1.587,-157.317,-157.317,0,5.373,-153.531,-518.593,12.001,0
2015-03-31,88.23800,18.59200,5.78500,24.37700,-1.28200,31.49800,20.05400,132.66900,-13.04200,,,325.39900,-257.41500,67.98400,-3.78700,51.15500,493.82400,,493.82400,-169.55400,-169.55400,,5.99300,330.26300,514.27100,10.12800,
2014-12-31,65.472,26.644,6.922,33.566,2.477,-22.497,71.435,170.473,-9.269,0,0,7.8268,0,7.8268,0.101,-1.341,0,0,0,-208.082,-208.082,0,-2.512,-210.594,-42.341,9.696,0
2014-09-30,95.189,15.809,31.889,47.698,-2.317,7.557,24.851,167.738,-11.311,0,0,67.5321,0,67.5321,0.277,56.498,0,0,0,-220.018,-220.018,0,-6.743,-226.761,-3.412,14.916,0
2014-06-30,100.176,16.107,-8.385,7.722,1.573,22.72,13.211,121.109,-7.485,0,0,-641.973,784.09,142.117,0.04,134.672,0,0,0,-300.818,-300.818,0,15.309,-285.509,-29.692,9.372,0
2014-03-31,94.42300,16.00800,5.72800,21.73600,-1.80600,38.30900,25.47000,141.62900,-11.26200,,,718.17700,-784.09000,-65.91300,0.03400,-77.14100,,,,-136.88800,-136.88800,,,-136.88800,-72.17000,9.99300,
2013-12-31,292.149,24.988,-22.785,2.203,1.025,-4.854,-146.912,147.44,-15.393,0,0,-2195.2749,2516.714,321.4393,-0.023,306.023,0,0,0,-221.544,-221.544,0,-10.775,-232.319,221.632,9.643,0
