,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,1717.00000,120.00000,134.00000,254.00000,683.00000,-122.00000,90.00000,299.00000,2270.00000,-287.00000,,-20.00000,414.00000,-406.00000,8.00000,-299.00000,-10.00000,198.00000,188.00000,-250.00000,-250.00000,-220.00000,-136.00000,-418.00000,1553.00000,148.00000,-220.00000
2022-10-31,1591,123,107,230,-1112,-426,323,-964,857,-223,0,0,350,-317,33,-190,0,0,0,-1397,-1397,-223,-7,-1627,-960,99,-223
2022-07-31,1606,108,164,272,-67,-464,217,-409,1469,-210,0,-441,374,-339,35,-616,0,0,0,-1000,-1000,-225,-3,-1228,-375,95,-225
2022-04-30,1536,111,-180,-69,-478,-483,-211,-1052,415,-210,0,0,321,-524,-203,-413,0,0,0,-1704,-1704,-211,-21,-1936,-1934,101,-211
2022-01-31,1792.00000,102.00000,131.00000,233.00000,548.00000,-217.00000,729.00000,633.00000,2658.00000,-144.00000,,,318.00000,-312.00000,6.00000,-138.00000,,,,-1803.00000,-1803.00000,-214.00000,-235.00000,-2252.00000,268.00000,118.00000,-214.00000
2021-10-31,1712,105,69,174,-1131,-192,-194,-738,1148,-206,0,0,447,-828,-381,-587,0,0,0,-1411,-1411,-216,-7,-1634,-1073,74,-216
2021-07-31,1716,98,86,184,-447,-64,-30,-214,1686,-137,0,0,400,-457,-57,-194,0,0,0,-1500,-1500,-219,-12,-1731,-239,81,-219
2021-04-30,1330,97,66,163,-330,-128,54,-306,1187,-204,0,0,266,-281,-15,-219,0,0,0,-664,-664,-202,-17,-883,85,84,-202
2021-01-31,1130.00000,94.00000,283.00000,377.00000,-81.00000,-21.00000,359.00000,-86.00000,1421.00000,-121.00000,,-12.00000,358.00000,-441.00000,-83.00000,-216.00000,,,,,,-201.00000,-142.00000,-343.00000,862.00000,107.00000,-201.00000
2020-10-31,1131,97,60,157,-156,48,-62,27,1315,-162,0,0,366,-345,21,-141,0,0,0,33,33,-200,-6,-173,1001,73,-200
