,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,61,383,65,448,0,116,116,625,-54,1,0,0,-53,-106,-124,-2,-126,-53,-53,0,-1,-180,-169,26,0
2022-09-30,28,388,137,525,0,-341,-341,212,-43,87,0,0,-45,-1,-116,0,-116,0,0,0,-3,-119,51,27,0
2022-06-30,103.00000,398.00000,85.00000,483.00000,,-423.00000,-423.00000,163.00000,-104.00000,-36.00000,,,-52.00000,-192.00000,-159.00000,53.00000,-106.00000,-271.00000,-271.00000,,-17.00000,-394.00000,-463.00000,28.00000,
2022-03-31,539,433,-303,130,228,398,-403,271,-116,14,0,0,-51,-153,-135,144,9,-275,-275,0,-92,-358,-247,24,0
2021-12-31,102,430,227,657,0,-63,-63,696,-93,6,0,0,-19,-106,-185,-5,-190,-202,-202,0,-5,-397,220,26,0
2021-09-30,-187,452,421,873,0,-123,-123,563,-87,0,24,24,-49,-112,222,2,224,-99,-99,0,-322,-197,239,26,0
2021-06-30,282.00000,427.00000,-264.00000,163.00000,,-474.00000,-474.00000,-29.00000,-153.00000,513.00000,,,-49.00000,311.00000,-827.00000,22.00000,-805.00000,-39.00000,-39.00000,,-22.00000,-866.00000,-508.00000,25.00000,
2021-03-31,-804,485,913,1398,257,-998,-834,-280,46,199,0,0,-80,165,-862,107,-755,0,0,0,-50,-805,-951,14,0
2020-12-31,1103,481,-2175,-1694,0,404,404,-187,-147,4942,0,0,-61,4734,-1657,-2045,-3702,1,1,0,-7,-3708,840,6,0
2020-09-30,-246,529,189,718,0,0,0,472,-113,0,0,0,-60,-173,-634,-2109,-2743,0,0,0,-6,-2749,-2430,20,0
2020-06-30,-199.00000,496.00000,209.00000,705.00000,,-387.00000,-387.00000,119.00000,-137.00000,-10.00000,,,86.00000,-61.00000,-336.00000,2181.00000,1845.00000,,,-53.00000,-6.00000,1786.00000,1830.00000,16.00000,-53.00000
2020-03-31,-3501,4381,-50,4331,269,-61,-554,288,-149,0,38,38,96,-15,-229,1246,1017,0,0,-53,-2,962,1119,11,-53
2019-12-31,90,536,226,762,0,-375,-375,477,-85,-76,0,0,86,-75,-735,104,-631,-85,-85,-54,-15,-785,-320,9,-54
2019-09-30,-2115,3359,169,3528,0,238,238,1651,-131,-10,0,0,-84,-225,-221,13,-208,-147,-147,-56,4,-407,1012,30,-56
2019-06-30,168.00000,474.00000,167.00000,641.00000,,-875.00000,-875.00000,-66.00000,-147.00000,-1911.00000,-75.00000,-75.00000,311.00000,-1822.00000,1479.00000,,1479.00000,-493.00000,-493.00000,-51.00000,-48.00000,887.00000,-1031.00000,18.00000,-51.00000
2019-03-31,271,499,304,803,-947,631,-475,748,-82,-33,0,0,224,109,-240,-93,-333,-84,-84,-51,-12,-480,424,17,-51
2018-12-31,466,512,-79,433,0,-713,-713,186,82,-289,0,0,215,8,345,0,345,-802,-802,-54,14,-497,-305,16,-54
2018-09-30,259,493,-26,467,0,-246,-246,480,-92,0,0,0,224,132,-221,0,-221,-106,-106,-54,-5,-386,201,19,-54
