,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-650,-830,7,-823,257,637,0,-63,806,188,1738,-5,0,0,75,-668,-1257,0,-1257,-10,-10,410,-3,467,-13,410
2022-09-30,163,243,-8,235,-177,-458,0,-127,-790,-392,-650,0,0,0,-19,-669,1349,-45,1304,3,3,-137,-10,1160,99,-137
2022-06-30,142,242,-5,237,41,-392,0,142,-27,352,-568,0,0,0,-32,-600,-89,45,-44,3,3,-137,48,-130,-378,-137
2022-03-31,345.00000,345.00000,6.00000,351.00000,-121.00000,213.00000,,48.00000,11.00000,707.00000,-520.00000,5.00000,,,-24.00000,-539.00000,-3.00000,,-3.00000,4.00000,4.00000,-136.00000,-35.00000,-170.00000,-2.00000,-136.00000
2021-12-31,634,282,-507,-225,-232,92,0,-2,-73,336,-634,906,0,0,-45,227,-182,0,-182,3,3,-129,-15,-323,240,-129
2021-09-30,183,250,-95,155,28,-221,0,-113,-222,116,-564,-8,0,0,-37,-609,300,0,300,3,227,-127,37,437,-56,-127
2021-06-30,171,244,-12,232,72,-132,0,83,132,535,-442,0,0,0,-126,-568,-16,0,-16,11,11,-127,-67,-199,-232,-127
2021-03-31,342.00000,338.00000,35.00000,373.00000,29.00000,168.00000,,29.00000,117.00000,832.00000,-436.00000,,,,153.00000,-283.00000,-2.00000,,-2.00000,9.00000,9.00000,-126.00000,-91.00000,-210.00000,339.00000,-126.00000
2020-12-31,162,280,-116,164,-226,62,0,-56,-194,132,-618,0,0,0,49,-569,110,0,110,146,146,-116,-76,64,-373,-116
2020-09-30,210,226,41,267,89,-133,0,-98,-129,348,-749,0,0,0,-381,-1130,-902,0,-902,3,3,-117,752,-264,-1046,-117
2020-06-30,137,221,36,257,149,-72,0,53,201,595,-421,0,0,0,-188,-609,772,0,772,3,3,-118,100,757,743,-118
2020-03-31,243.00000,316.00000,-455.00000,-139.00000,-17.00000,171.00000,,-3.00000,97.00000,201.00000,-523.00000,,,,-36.00000,-559.00000,1189.00000,-90.00000,1099.00000,101.00000,101.00000,-116.00000,-22.00000,1062.00000,704.00000,-116.00000
2019-12-31,168,260,76,336,-249,93,0,36,-109,395,-527,0,0,0,-77,-604,-662,90,-572,3,3,-110,612,-67,-276,-110
2019-09-30,207,215,9,224,107,-147,0,-147,-221,210,-597,0,0,0,-205,-802,806,0,806,3,3,-108,-10,691,99,-108
