,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-29.034,16.219,120.485,136.704,-51.963,-3.769,52.275,6.771,114.441,-18.09,-5.576,-65.454,0,-65.454,-89.12,0,0,14.202,14.202,0,14.202,44.454,112.509
2022-09-30,-25.985,18.037,108.913,126.95,-45.638,-20.696,17.327,-17.347,83.618,-16.518,-0.736,-8.508,0.084,-8.424,-25.678,0,0,1.816,1.816,0,1.816,55.761,101.362
2022-06-30,-4.879,18.256,89.133,107.389,-30.781,30.803,-28.173,-29.55,72.96,-12.794,-34.695,-72.028,-0.001,-72.029,-119.518,0,0,15.763,15.763,0,15.763,-33.037,82.399
2022-03-31,9.73800,18.21500,72.91600,91.13100,-7.31900,-7.62400,64.37300,46.51900,147.38800,-17.48700,-4.87100,-130.00300,2.00700,-127.99600,-150.35400,-0.00300,-0.00300,4.24500,4.24500,,4.24200,0.64700,66.88400
2021-12-31,7.169,17.431,62.063,79.494,-45.232,-9.354,65.672,29.13,115.793,-9.11,-26.303,-117.2389,6.617,-110.6219,-146.035,0,0,14.74,14.74,0,14.74,-16.075,56.366
2021-09-30,-5.484,15.455,49.34,64.795,-36.972,5.06,28.062,8.068,67.379,-10.296,0.146,-40.943,19.417,-21.526,-31.676,0,0,4.489,4.489,0,4.489,39.434,43.995
2021-06-30,-9.362,14.228,39.219,53.447,-34.131,16.598,27.545,7.638,51.723,-9.438,-188.839,-23.68,35.218,11.538,-186.739,0,0,12.681,12.681,0,12.681,-122.215,34.515
2021-03-31,-13.06800,13.27500,32.90100,46.17600,9.22300,-9.22600,8.86300,18.54200,51.65000,-7.18100,-11.50900,102.90300,6.49700,109.40000,90.71000,,,3.27500,3.27500,-0.24500,3.03000,144.60800,28.86100
2020-12-31,-16.16,19.772,29.453,49.225,-42.995,0.133,36.539,-9.237,23.828,-7.176,0,-79.445,77.93,-1.515,-8.691,0,0,11.121,11.121,-0.063,11.058,26.581,24.764
2020-09-30,-15.15,18.639,24.82,43.459,2.431,3.714,-3.42,7.961,36.27,-7.629,0,-126.904,85.7,-41.204,-48.833,-0.474,-0.474,5.119,5.119,-0.118,4.527,-7.53,20.716
2020-06-30,0.284,9.849,21.093,30.942,-16.568,4.083,6.374,-6.488,24.738,-6.135,-2.363,-656.797,0,-656.797,-665.295,730.681,730.681,11.834,11.834,-90.484,652.031,11.502,16.834
2020-03-31,6.47900,6.11700,16.36100,22.47800,-7.11600,-1.39100,1.78000,-4.70200,24.25500,-4.94300,,-424.86200,,-424.86200,-429.80500,,,2.66000,2.66000,,2.66000,-403.03100,12.06000
2019-12-31,0.891,5.318,13.004,18.322,-15.286,-1.729,6.866,-1.783,17.43,-6.572,-2.138,-176.639,0,-176.639,-185.349,0,0,-1.749,-1.749,0,-1.749,-169.738,9.018
2019-09-30,-4.161,5.443,9.185,14.628,-20.045,-3.26,10.051,-6.643,3.824,-7.484,0,0,0,0,-7.484,0,0,710.924,710.924,0,710.924,707.336,4.677
2019-06-30,-3.949,3.882,7.871,11.753,-4.594,-7.051,13.412,-8.242,-0.438,-5.094,0,0,0,0,-5.094,0,0,3.265,3.265,0,3.265,-2.203,2.894
2019-03-31,-9.49100,3.13900,2.64000,5.77900,-7.58500,14.52400,-1.21700,7.13000,3.41800,-4.29300,,,,,-4.29300,,,1.77600,1.77600,,1.77600,0.81400,2.44500
2018-12-31,-6.587,2.652,-3.335,-0.683,8.577,-4.814,-7.622,-3.015,-4.555,-3.093,0,0,0,0,-3.093,0,0,-6.833,0.949,0,0.949,-6.665,-3.051
2018-09-30,-1.605,2.067,3.335,5.402,-8.577,4.814,7.622,1.205,1.552,-4.942,3.339,0,0,0,-1.603,0,0,6.833,6.371,0,6.371,6.387,3.051
2017-12-31,-2.57,3.978,0,3.978,0,0,0,8.974,13.832,-7.803,-4.957,0,0,0,-12.76,0,0,0,0.462,0,0.462,1.48,0
