,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2710,1137,-2579,-1442,0,0,0,2695,2695,3965,-1021,-1327,1033,1033,0,-1319,-1130,-221,-1351,329,329,-1494,-337,-2852,14,248,-1494
2022-09-30,-3196,1163,6185,7348,0,0,0,-2249,-2249,1901,-309,-59,-1332,-1332,0,-1697,1908,230,2138,-14,-14,-1491,81,713,721,251,-1491
2022-06-30,1392,1246,205,1451,0,0,0,-1522,-1522,1321,-321,947,-454,-454,0,172,-2512,-1,-2513,-235,-235,-1488,40,-4196,-2966,254,-1488
2022-03-31,733.00000,1256.00000,183.00000,1439.00000,,,,1076.00000,1076.00000,3248.00000,-209.00000,-637.00000,-512.00000,-512.00000,,-1358.00000,2955.00000,-8.00000,2947.00000,-80.00000,-80.00000,-1475.00000,-15.00000,1377.00000,3263.00000,234.00000,-1475.00000
2021-12-31,2333,1381,-1895,-514,1372,138,85,-871,724,2544,-375,-187,-112,-112,0,-675,-1148,-880,-2028,-67,-67,-1474,878,-2692,-850,263,-1474
2021-09-30,1130,1684,256,1940,0,0,0,-356,-356,2713,-461,-101,-51,-51,-16,-629,-1196,908,-288,-18,-18,-1471,27,-1748,242,262,-1471
2021-06-30,1325,1680,93,1773,0,0,0,-472,-472,2625,-484,-1756,-456,-456,25,-2671,-1521,21,-1500,-193,-193,-1467,29,-3131,-3108,244,-1467
2021-03-31,955.00000,1672.00000,220.00000,1892.00000,,,,2066.00000,2066.00000,4914.00000,-355.00000,-1135.00000,-501.00000,-501.00000,-9.00000,-2000.00000,-4210.00000,-89.00000,-4299.00000,-41.00000,-41.00000,-1457.00000,15.00000,-5783.00000,-3002.00000,213.00000,-1457.00000
2020-12-31,1356,1699,-3074,-1375,5297,-209,138,653,5879,5860,-637,-306,-61,-61,446,-558,-4396,-386,-4782,-77,-77,-1454,20,-6293,-878,279,-1454
2020-09-30,1698,1683,141,1824,0,0,0,764,764,4285,-660,-265,658,658,-66,-332,-232,-18,-250,-14,-14,-1453,29,-1689,2365,222,-1453
2020-06-30,1361,1679,93,1772,0,0,0,444,444,3576,-549,725,-1526,-1526,115,-1236,997,-1035,-38,-167,-167,-1450,30,-1624,817,247,-1450
2020-03-31,1175.00000,1634.00000,504.00000,2138.00000,,,,1162.00000,1162.00000,4476.00000,-584.00000,13.00000,-311.00000,-311.00000,-20.00000,-902.00000,770.00000,586.00000,1356.00000,-44.00000,-44.00000,-1440.00000,13.00000,-115.00000,3057.00000,189.00000,-1440.00000
2019-12-31,3670,1650,-1584,66,502,67,-503,-350,-284,3451,-491,149,-153,-153,624,128,-3724,-457,-4181,-86,-86,-1438,31,-5675,-1911,211,-1438
2019-09-30,1672,1669,179,1848,0,0,0,99,99,3619,-519,-32548,425,425,2268,-30373,-4775,-1833,-6608,-159,-159,-1436,27,-8177,-35309,220,-1436
2019-06-30,2498,1294,-476,818,0,0,0,-375,-375,2941,-281,813,-5,-5,3635,4162,23169,-328,22841,-407,-407,-1436,32,21031,28262,135,-1436
2019-03-31,1591.00000,1446.00000,-63.00000,1383.00000,,,,1785.00000,1785.00000,4759.00000,-458.00000,32.00000,-620.00000,-620.00000,193.00000,-853.00000,4211.00000,21.00000,4232.00000,-981.00000,-981.00000,-1397.00000,9.00000,1863.00000,5668.00000,113.00000,-1397.00000
2018-12-31,1951,1112,1133,2245,1006,-127,126,-1082,-77,4119,-726,-16,2078,2078,-880,455,-2110,965,-1145,-2073,-2073,-1416,29,-4605,-127,139,-1416
2018-09-30,2694,1138,105,1243,0,0,0,295,295,4232,-800,-1,-2124,-2124,-45,-2969,1616,-21,1595,-631,-631,-1431,30,-436,771,129,-1431
2018-06-30,2404,1116,98,1214,0,0,0,-1322,-1322,2294,-854,-51,-240,-240,511,-635,-23,-15,-38,-1080,-1080,-1437,36,-2519,-1302,126,-1437
2018-03-31,1679.00000,1114.00000,150.00000,1264.00000,,,,1658.00000,1658.00000,4602.00000,-767.00000,-71.00000,-837.00000,-837.00000,-89.00000,-1764.00000,-1125.00000,412.00000,-713.00000,-830.00000,-830.00000,-1382.00000,16.00000,-2909.00000,28.00000,116.00000,-1382.00000
2017-12-31,-1054,1149,-863,286,1297,18,47,5139,6501,5733,-833,-294,-186,-186,-2497,-3810,-276,1414,1138,-706,-706,-1387,38,-919,1065,146,-1387
2017-09-30,2725,1176,141,1317,0,0,0,-473,-473,3570,-647,-267,-645,-645,-347,-1906,-626,179,-447,-955,-955,-1395,40,-2756,-764,123,-1395
2017-06-30,2332,1117,197,1314,0,0,0,-179,-179,3466,-607,-30,-276,-276,-754,-1668,2373,-93,2280,-1529,-1529,-1403,43,-609,1637,136,-1403
2017-03-31,1750.00000,1099.00000,142.00000,1241.00000,,,,964.00000,964.00000,3955.00000,-682.00000,-110.00000,-476.00000,-476.00000,1570.00000,303.00000,1356.00000,-880.00000,476.00000,-1343.00000,-1343.00000,-1321.00000,54.00000,-2134.00000,2223.00000,129.00000,-1321.00000
2016-12-31,4501,1127,-1029,98,712,-14,197,-1516,-621,3979,-783,-740,217,217,-2332,-3639,-15,890,875,-1047,-1047,-1329,204,-1298,-1164,141,-1329
2016-09-30,2853,1127,75,1202,0,0,0,63,63,4117,-706,-40,-308,-308,101,-951,-2086,45,-2041,-809,-809,-1337,0,-4185,-978,142,-1337
2016-06-30,2504,1103,123,1226,0,0,0,-272,-272,3458,-827,-2827,-637,-637,-160,-4452,-1036,1,-1035,-865,-865,-1340,0,-3240,-4338,128,-1340
2016-03-31,2014.00000,1024.00000,305.00000,1329.00000,,,,2187.00000,2187.00000,5530.00000,-827.00000,-2543.00000,-16.00000,-16.00000,1500.00000,-1886.00000,5874.00000,-910.00000,4964.00000,-907.00000,-907.00000,-1250.00000,,2806.00000,6668.00000,133.00000,-1250.00000
2015-12-31,4463,990,1406,2396,812,133,81,-2358,-1332,5526,-853,-2441,-420,-420,-1732,-5445,1606,-979,627,-960,-960,-1261,0,-1595,-1794,99,-1261
2015-09-30,2950,936,555,1491,0,0,0,-205,-205,4235,-816,-682,159,159,-4,-1343,10,903,913,-1493,-1493,-1270,0,-1848,1087,112,-1270
2015-06-30,3449,961,-33,928,0,0,0,-494,-494,3884,-730,-498,-426,-426,-277,-1931,-1164,953,-211,-1078,-1078,-1278,0,-2568,-402,130,-1278
2015-03-31,2328.00000,968.00000,479.00000,1447.00000,,,,-165.00000,-165.00000,3610.00000,-810.00000,-129.00000,-116.00000,-116.00000,1615.00000,560.00000,-534.00000,-776.00000,-1310.00000,-1004.00000,-1004.00000,-1088.00000,,-3402.00000,319.00000,127.00000,-1088.00000
2014-12-31,5483,1046,-1379,-333,1270,-39,-456,134,909,6059,-868,1862,-204,-204,-2026,-1236,1002,-5641,-4639,28,28,-1089,0,-5699,-1085,96,-1089
2014-09-30,18,1139,3659,4798,0,0,0,-912,-912,3904,-894,34,-268,-268,329,-800,-55,-103,-158,-1571,-1571,-1090,0,-2820,-155,150,-1090
2014-06-30,4137,1166,-122,1044,0,0,0,-1601,-1601,3579,-799,-322,165,165,-46,-1000,-779,3146,2367,-3531,-3531,-1096,0,-2260,307,142,-1096
2014-03-31,2384.00000,1141.00000,-37.00000,1104.00000,,,,-162.00000,-162.00000,3326.00000,-775.00000,127.00000,19.00000,19.00000,665.00000,35.00000,3368.00000,845.00000,4213.00000,-7896.00000,-7896.00000,-990.00000,,-4673.00000,-1307.00000,124.00000,-990.00000
2013-12-31,6184,1214,-1548,-334,-1407,-57,-529,2668,675,6528,-948,-444,-163,-163,-1347,-2903,4014,-453,3561,-5549,-5549,-1025,0,-3013,644,159,-1025
2013-09-30,4041,1175,21,1196,0,0,0,-1477,-1477,3760,-910,-2148,562,562,-52,-2547,508,1450,1958,-1748,-1748,-1037,0,-827,514,150,-1037
2013-06-30,3226,1136,213,1349,0,0,0,-1400,-1400,3174,-802,-119,455,455,-396,-864,-10,983,973,-3251,-3251,-1048,0,-3327,-1027,161,-1048
2013-03-31,3032.00000,1153.00000,82.00000,1235.00000,,,,-244.00000,-244.00000,4023.00000,-591.00000,-48.00000,-1106.00000,-1106.00000,732.00000,-1012.00000,1828.00000,-1359.00000,469.00000,-2237.00000,-2237.00000,-948.00000,,-2716.00000,173.00000,144.00000,-948.00000
2012-12-31,5833,1152,943,2095,-2230,280,-224,593,-1581,6346,-823,-1444,-501,-501,-1326,-4092,-1905,1736,-169,-2665,-2665,-957,0,-3791,-1498,178,-957
2012-09-30,3823,1191,-397,794,0,0,0,-104,-104,4514,-889,233,-373,-373,32,-999,1108,59,1167,-2706,-2706,-968,0,-2507,1045,182,-968
2012-06-30,3882,1176,185,1361,0,0,0,-807,-807,4435,-1118,-593,-22,-22,50,-1683,432,-129,303,-2688,-2688,-978,0,-3362,-971,160,-978
2012-03-31,3066.00000,1157.00000,25.00000,1182.00000,,,,43.00000,43.00000,4291.00000,-842.00000,-1319.00000,-706.00000,-706.00000,636.00000,-2230.00000,3058.00000,-2107.00000,951.00000,-2396.00000,-2396.00000,-870.00000,,-2316.00000,-87.00000,168.00000,-870.00000
2011-12-31,5490,1188,1321,2509,-1279,-163,451,89,-902,7096,-920,-1578,-181,-181,-825,-3505,22,1205,1227,-3157,-3157,-880,0,-2810,619,199,-880
2011-09-30,3839,1192,297,1489,0,0,0,-649,-649,4679,-855,-64,57,57,57,-805,958,-767,191,-2966,-2966,-893,0,-3669,-411,166,-893
2011-06-30,3663,1207,99,1306,0,0,0,-692,-692,4279,-810,-104,393,393,-64,-584,554,-1252,-698,-3302,-3302,-905,0,-4903,-1048,162,-905
