,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,247.3,186.3,-315.1,-128.8001,-45.8,-9.5,-3.4,78.7,-30,71.7,-18.4,-3699.2,2569.5,-1148.1,0,0,0,13.9,13.9,-66.1,0,-52.2,-1101.7,27.7,-66.1
2022-09-30,276.9,159.3,-15.9,143.4,-6.9,-9.9,-6.2,-50.8,-186.2,251.8,-23.2,-322,-2.2,-347.4,-800,0,-800,19.2,19.2,-65.5,-3.9,-850.2,-984.6,29.6,-65.5
2022-06-30,173.8,154.1,-196.3,-42.2,-26.8,4,13,-0.1,-201.5,-64.2,-14.1,-205.7,-13.4,-233.2,0,0,0,22.9,22.9,-65.4,-0.2,-42.7,-358.4,25.3,-65.4
2022-03-31,287.60000,162.20000,116.40000,278.60000,82.00000,-27.70000,17.90000,14.00000,-66.30000,475.30000,-14.60000,-53.20000,3006.00000,2938.20000,,-470.00000,-470.00000,26.50000,26.50000,-65.30000,-11.40000,-520.20000,2886.00000,35.90000,-65.30000
2021-12-31,167.1,250.8,133.1,383.9,-73.4,-0.3,1.4,142.2,36,579.5,-16.1,-197.6,113.2,-100.5,-500,90,-410,3.7,3.7,-59.5,-6.8,-472.6,-1,29.5,-59.5
2021-09-30,210.8,156.9,217.9,374.8,-42,-1.2,-9.7,-22.2,-134.4,447.3,-14,-3.9,-2.3,-20.2,0,-370,-370,22.3,22.3,-59.1,0.5,-406.3,14.7,32,-59.1
2021-06-30,157.5,153.3,218.2,371.5,-12.6,3.3,11,-17.3,-93.1,425.5,-13.8,-15.5,-3.6,-32.9,0,-375,-375,44.3,44.3,-59,0.3,-389.4,6.8,29.9,-59
2021-03-31,269.90000,162.80000,109.40000,272.20000,54.30000,-2.10000,13.30000,43.10000,32.40000,559.60000,-14.30000,,25.00000,10.70000,,-495.00000,-495.00000,9.10000,9.10000,-58.80000,-0.50000,-545.20000,22.70000,31.60000,-58.80000
2020-12-31,73.3,143.1,333.5,476.5999,-85.7,7,4.9,118.5,29.4,574.2,-11.7,-365.1,-4.1,-380.9,-600,460,-140,-4.9,-4.9,-54.1,-0.5,-199.5,6.2,23.5,-54.1
2020-09-30,141,127,-15.1,111.9,58.4,3.7,0,-15.7,-107.7,137.9,-10,-5500.7,-4.8,-5515.5,2700,1160,3860,27.6,27.6,-53.4,-30.7,3803.5,-1568.7,26.6,-53.4
2020-06-30,219.2,115.7,85.4,201.1,-19.5,-8.8,0,-7.1,25.2,449.1,-10.2,-150.3,0,-160.5,600,0,600,37.3,37.3,-53.5,-12.2,571.6,871,30.5,-53.5
2020-03-31,240.30000,116.70000,92.00000,208.70000,69.10000,-10.30000,,-39.50000,-75.00000,363.90000,-10.50000,-6.50000,,-17.00000,,,,14.90000,14.90000,-53.10000,-0.50000,-38.70000,290.10000,27.70000,-53.10000
2019-12-31,743.2,111.8,-414.9,-303.1,-82.8,11.1,0,120.6,27.8,466.2,-3.3,900.9,-9.8,887.8,0,-925,-925,-2.3,-2.3,-48.2,0.4,-975.1,386.7,20.8,-48.2
2019-09-30,277.5,108.2,177.6,285.8,13.6,-6.8,0,-14.3,-150.1,404.5,-17.1,-1812.7,0.1,-1829.7,1200,285,1485,7.4,7.4,-47.9,-9.5,1435,2.2,26.1,-47.9
2019-06-30,249.7,99.8,30.1,129.9,-50.4,1.1,0,27.6,-82.9,300.8,-15,-535.9,-0.4,-551.3,0,230,230,12.4,12.4,-47.9,-13.1,181.4,-71.7,29,-47.9
2019-03-31,369.60000,96.30000,-103.70000,-7.40000,88.90000,-19.50000,,-13.40000,-54.40000,290.30000,-17.80000,217.20000,-2.20000,197.20000,,-455.00000,-455.00000,24.20000,24.20000,-47.70000,14.20000,-464.30000,28.10000,25.30000,-47.70000
2018-12-31,257.1,95.8,306.7,402.5,-53.4,8.6,0,60.3,-195.6,464.1,-17.2,-87.5,0,-104.7,-800,525,-275,-34.7,-34.7,-43.4,5.8,-347.3,1,52.7,-43.4
2018-09-30,247.6,96.1,43,139.1,-1.7,-15.2,0,-3.2,30.7,418.2,-13.9,-6,0.1,-19.8,1000,-1395,-395,15.2,15.2,-42.2,-35.2,-457.2,-58.4,27.1,-42.2
2018-06-30,228.4,91.9,28,119.9,-45.7,-6.2,0,-0.3,-85,266.1,-15.9,-1143.4,0.2,-1159.1,0,1000,1000,10.1,10.1,-42.4,0.3,968,55.6,28,-42.4
2018-03-31,211.30000,89.50000,26.00000,115.50000,17.30000,-9.00000,,15.80000,-35.60000,281.70000,-11.60000,-38.90000,-1.00000,-51.50000,,-535.00000,-535.00000,25.40000,25.40000,-42.10000,0.10000,-551.60000,-305.10000,26.00000,-42.10000
2017-12-31,443.9,88.5,15.5,104,-36.8,4.3,0,38,-178.1,368.8,-15.7,-65.6,0,-81.3,-400,220,-180,-3.4,-3.4,-36.3,-0.1,-219.8,65.7,15.5,-36.3
2017-09-30,190.3,88.6,23.7,112.3,-20,-6.4,0,7,16.2,315.6,-13.4,-52.6,-0.2,-66.2,0,-310,-310,13.4,13.4,-35.6,0.4,-331.8,-57.7,23.7,-35.6
2017-06-30,179.5,87.9,13.5,101.4,-23,-5.3,0,-4.4,-105.2,171.9,-12.4,-32.7,4.3,-40.8,0,-200,-200,14.1,14.1,-35.5,0.1,-221.3,-67.4,22.9,-35.5
2017-03-31,158.10000,87.20000,21.00000,108.20000,73.10000,-7.90000,,20.80000,122.80000,378.20000,-18.10000,-2.80000,-0.40000,-21.30000,,-370.00000,-370.00000,8.60000,8.60000,-35.40000,-0.30000,-397.10000,-26.50000,21.00000,-35.40000
2016-12-31,182.036,64.917,19.22,84.137,-19.04,12.216,0,0.624,1.855,270.427,-11.639,-3444.213,6.57,-3449.282,1198.818,1930,3128.818,-3.171,-3.171,-30.468,-10.584,3084.595,-125.059,18.32,-30.468
2016-09-30,167.079,59.695,21.388,81.083,12.296,-5.812,0,9.788,66.3,316.541,-8.864,-2.619,1.102,-10.381,-16.114,0,-16.114,6.24,6.24,-30.249,-7.195,-47.318,259.976,21.388,-30.249
2016-06-30,158.069,60.878,20.113,80.991,2.399,3.803,0,11,-68.385,169.76,-9.443,-9.72,-0.118,-19.281,0,-20,-20,8.662,8.662,-30.21,-0.247,-41.795,99.261,20.113,-30.21
2016-03-31,151.41600,60.61000,18.97900,79.58900,-16.35500,-3.90700,,2.58800,-17.57000,207.07200,-10.15400,-265.24800,1.44600,-273.95600,-1.20400,-160.00000,-161.20400,1.56900,1.56900,-30.17300,-0.37400,-190.18200,-255.47800,18.97900,-30.17300
2015-12-31,208.597,57.175,-56.129,1.046,17.382,5.897,0,-4.441,57.368,269.258,-11.196,-632.48,1.995,-641.681,900,-410,490,-0.153,-0.153,-25.124,2.187,466.91,77.933,14.731,-25.124
2015-09-30,160.417,51.045,17.597,68.642,-5.645,0.925,0,2.008,-6.685,226.619,-6.83,-435.052,-0.441,-442.323,-0.527,275,274.473,4.562,4.562,-25.111,2.167,256.091,22.007,17.597,-25.111
2015-06-30,171.28,50.868,15.637,66.505,20.556,-0.292,0,-0.13,-67.288,172.549,-10.723,-0.15,-0.332,-11.205,-1.915,-100,-101.915,9.738,9.738,-25.075,4.349,-112.903,63.078,15.637,-25.075
2015-03-31,155.77300,49.30900,13.80100,63.11000,20.30400,-7.68000,,-11.04200,49.12400,260.39900,-9.95000,-589.57700,-3.59600,-603.12300,-14.69000,415.00000,400.31000,7.05400,7.05400,-25.02400,3.80400,386.14400,5.06300,13.80100,-25.02400
2014-12-31,185.936,50.663,16.016,66.679,4.821,15.182,0,-21.892,3.075,261.209,-10.397,-0.125,2.81,-7.712,-250,95,-155,-15.29,-15.29,-20.032,5.69,-184.632,46.318,16.016,-20.032
2014-09-30,155.51,51.038,16.998,68.036,-5.255,-2.318,0,3.09,1.261,226.102,-9.275,-302.528,-5.83,-317.633,0,125,125,5.362,5.362,-20.006,2.517,112.873,-1.17,16.998,-20.006
