,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,224.914,45.539,10.921,56.46,-19.585,-86.02,-29.862,-152.738,128.636,-27.35,-4.319,-992.125,-12.841,0,-12.841,10.223,-1026.412,1005,1005,22.056,22.056,-64.5,-29.654,932.902,46.036,16.464,-64.5
2022-09-30,210.47800,44.03400,22.22700,66.26100,-56.23800,-147.09600,-36.78400,-232.07700,44.66200,-29.05600,-3.31700,-19.10000,-4.29100,,-4.29100,-3.04200,-58.80600,20.00000,20.00000,2.61000,2.61000,-64.43100,-0.05900,-41.88000,-66.54700,16.91900,-64.43100
2022-06-30,195.061,45.007,30.226,75.233,-78.812,-102.205,-40.132,-190.808,79.486,-28.643,-3.752,-6.869,-4.11,0,-4.11,-11.867,-55.241,98,98,21.115,21.115,-61.488,-0.128,57.499,71.941,15.992,-61.488
2022-03-31,179.012,51.609,20.223,71.832,15.689,-70.227,-106.588,-133.405,117.439,-48.445,-3.712,0,2.552,0,2.552,0.11,-49.495,0,0,2.814,2.814,-61.419,-2.253,-60.858,7.293,15.861,-61.419
2021-12-31,201.751,49.606,22.419,72.025,48.765,-83.273,-6.998,-53.897,219.879,-30.407,-9.284,-35.915,-5.764,0,-5.764,-1.938,-83.308,-126,-126,19.101,19.101,-61.245,-49.83,-217.974,-81.673,16.101,-61.245
2021-09-30,203.61300,47.61900,13.07700,60.69600,33.70400,-55.97600,-14.39100,-329.96600,-65.65700,-27.34000,-4.45300,,-6.60000,,-6.60000,-3.48100,-41.87400,150.00000,150.00000,4.35400,4.35400,-61.18900,-0.19500,92.97000,-19.12900,17.30300,-61.18900
2021-06-30,195.1,45.679,13.132,58.811,-89.296,26.439,-17.118,-27.386,226.525,-27.907,-2.965,-8.363,-1.75,0,-1.75,-7.087,-48.072,-76,-76,19.031,19.031,-56.796,-0.271,-114.036,64.643,16.895,-56.796
2021-03-31,-78.481,47.882,15.392,63.274,-20.64,-14.181,-11.161,211.485,196.278,-26.362,-2.782,-30.267,-5.592,0,-5.592,6.384,-58.619,-95,-95,0.145,0.145,-56.752,-6.931,-158.538,-25.23,15.591,-56.752
2020-12-31,179.514,48.069,30.883,78.952,-35.369,18.184,-33.29,-88.55,169.916,-34.942,-3.13,-0.437,-6.25,0,-6.25,15.098,-29.661,-231,-231,17.588,17.588,-56.654,-46.734,-316.8,-165.549,15.37,-56.654
2020-09-30,178.37200,49.88800,9.88300,59.77100,16.11000,-52.39600,3.41500,-94.14400,143.99900,-13.50100,-5.23700,,-8.19600,,-8.19600,4.82400,-22.11000,-120.00000,-120.00000,1.02600,1.02600,-56.51100,0.22700,-175.25800,-41.74200,16.07100,-56.51100
2020-06-30,177.835,45.508,22.114,67.622,88.523,-47.317,9.725,84.808,330.265,-17.97,-3.217,0,0,0,0,17.78,-3.407,-201,-201,22.07,22.07,-56.483,-0.955,-236.368,110.295,16.138,-56.483
2020-03-31,163.137,46.465,28.508,74.973,-33.865,5.73,-1.906,1.585,239.695,-29.589,-2.52,-24.487,-9.775,0,-9.775,-33.241,-99.612,77,77,1.815,1.815,-56.408,-4.015,18.392,148.766,14.112,-56.408
2019-12-31,160.554,45.483,23.806,69.289,-28.561,-14.09,-58.411,-159.911,69.932,-25.1,-2.802,-3.423,-19.1,0,-19.1,6.807,-43.618,78.991,78.991,18.688,18.688,-56.15,-40.765,0.764,31.941,14.053,-56.15
2019-09-30,120.14800,43.91700,22.70100,66.61800,28.28600,-14.20400,-8.40700,-24.40300,162.36300,-22.67100,-2.06900,,-2.74100,,-2.74100,-5.74300,-33.22400,-49.00300,-49.00300,5.60900,5.60900,-56.05200,-0.62800,-100.07400,25.02600,13.25600,-56.05200
2019-06-30,68.801,42.592,26.871,69.463,-16.531,-29.186,-30.122,3.554,141.818,-22.203,-2.076,0.182,-15.625,0,-15.625,-4.166,-43.888,-65.351,-65.351,21.381,21.381,-53.12,-0.485,-97.575,0.615,14.217,-53.12
2019-03-31,105.414,41.75,22.774,64.524,-33.848,-24.432,9.469,-30.292,139.646,-15.082,-1.913,-212.316,-3.125,0,-3.125,7.029,-225.407,134.404,134.404,2.562,2.562,-53.025,-0.758,83.183,-2.955,12.845,-53.025
2018-12-31,124.64,36.029,17.068,53.097,12.024,-14.909,-19.219,-48.269,129.468,-18.431,-2.032,-612.81,-25.5,0,-25.5,0.551,-658.222,521.565,521.565,8.826,8.826,-52.774,-27.406,450.211,-80.72,12.534,-52.774
2018-09-30,105.73700,30.42400,14.00500,44.42900,20.34200,-15.66100,-7.70300,-102.04700,48.11900,-12.99400,-2.61100,-126.43900,-2.46700,,-2.46700,-3.67800,-148.18900,216.86700,216.86700,-18.88600,-18.88600,-52.79300,-0.36400,144.82400,41.48700,12.47700,-52.79300
