,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,81,105,48,153,117,-95,-16,-20,214,-167,-474,37,-4,33,0,-608,525,0,525,0,0,0,-2,523,161,10,0
2022-09-30,0.00000,101.00000,68.00000,169.00000,31.00000,-85.00000,-52.00000,-261.00000,-92.00000,-143.00000,,24.00000,3.00000,27.00000,,-116.00000,68.00000,,68.00000,1.00000,1.00000,,5.00000,74.00000,-168.00000,19.00000,
2022-06-30,188,102,31,133,-133,-35,71,-252,69,-235,-163,2,4,6,-2,-394,-6,0,-6,5,5,0,2,1,-337,12,0
2022-03-31,141,100,29,129,-71,55,-37,-132,138,-148,-16,-26,-1,-27,0,-191,-8,0,-8,2,2,0,3,-3,-63,10,0
2021-12-31,97,100,51,151,-54,-85,9,-179,69,-123,-994,-16,1,-15,0,-1132,-57,0,-57,11,11,0,-3,-49,-1120,11,0
2021-09-30,93.00000,83.00000,36.00000,119.00000,185.00000,-63.00000,-6.00000,-49.00000,163.00000,-154.00000,-26.00000,17.00000,-4.00000,13.00000,,-167.00000,1093.00000,,1093.00000,8.00000,8.00000,-4.00000,-15.00000,1082.00000,1073.00000,21.00000,-4.00000
2021-06-30,182,75,66,141,-185,-20,13,-189,134,-189,-287,290,4,294,-31,-213,-13,0,-13,16,16,-4,-16,-17,-92,13,-4
2021-03-31,232,82,-103,-21,-89,-100,23,-136,75,-158,154,-75,-3,-78,0,-82,165,0,165,22,22,-5,-16,166,155,8,-5
2020-12-31,89,72,12,84,-56,-74,7,-99,74,-189,-14,0,0,0,0,-203,-51,4,-47,0,0,-5,-5,-57,-174,11,-5
2020-09-30,82.00000,71.00000,5.00000,76.00000,144.00000,-66.00000,7.00000,-8.00000,150.00000,-150.00000,,,-1.00000,-1.00000,,-151.00000,-2.00000,-4.00000,-6.00000,82.00000,82.00000,-8.00000,-18.00000,50.00000,54.00000,19.00000,-8.00000
2020-06-30,154.5,68,-16.8,51.2,-135.5,-21.3,42.1,-33.3,172.4,-162.5,-20.1,21,2.4,23.4,-3,-162.2,-251.2,45.2,-206,551.8,551.8,-7.9,-6.6,331.3,345,12.5,-7.9
2020-03-31,20.9,72.4,47.2,119.6,-19.8,-43.1,43.2,-18.8,121.7,-151.3,-369,0,-0.4,-0.4,55.1,-465.6,351.7,-39.3,312.4,494.2,494.2,-8.1,-26,772.5,419.5,8.6,-8.1
2019-12-31,45.5,63.5,15.9,79.4,-29.8,-11.8,34,-4.2,120.7,-78.7,20.8,0,-1.3,-1.3,-55.1,-114.3,-48.2,-3.4,-51.6,0,0,-8.1,-6.3,-66,-54.5,10.3,-8.1
2019-09-30,0.10000,62.10000,28.70000,90.80000,34.10000,0.20000,-47.30000,-65.70000,25.20000,-73.50000,-10.70000,,-0.70000,-0.70000,,-84.90000,-3.30000,-2.50000,-5.80000,,,-11.90000,-18.10000,-35.80000,-102.00000,16.60000,-11.90000
2019-06-30,70.7,62,-7,55,-92.4,9.1,30.1,-37.5,88.2,-87.7,-1163.9,0,-0.7,-0.7,0,-1252.3,666,-1.5,664.5,-0.3,645.7,0,-26.7,1283.5,117.3,8.9,0
2019-03-31,31.7,67.4,6.5,73.9,-29.7,-17.1,17.2,-30.3,75.3,-48,0.4,0,-1.3,-1.3,0,-48.9,-4.6,-1.6,-6.2,-0.2,-0.2,0,-2.3,-8.7,20,6.6,0
2018-12-31,49,55.5,9.6,65.1,-70.6,-5,7,-70.8,43.3,-43,0,0,0,0,0,-43,-48.7,-0.4,-49.1,0,0,0,-5.9,-55,-58.2,7.5,0
2018-09-30,-14.40000,58.10000,18.90000,77.00000,73.70000,-21.00000,-18.30000,-21.40000,41.20000,-38.30000,-127.50000,,,,,-165.80000,-454.70000,-4.50000,-459.20000,445.50000,445.50000,,-5.10000,-18.80000,-144.10000,10.00000,
2018-06-30,82.7,53.7,-9.5,44.2,-67.2,4.5,17,-23.6,103.3,-58.8,3.4,0,0,0,-3.4,-58.8,-4.7,-0.5,-5.2,0,0,0,-0.3,-5.5,18.7,6.1,0
2018-03-31,19,52.8,19.1,71.9,-71,-6.3,15.7,4.3,95.2,-34.8,0,0,0,0,0,-34.8,-4.8,-2,-6.8,0,0,0,-1,-7.8,62,5.6,0
2017-12-31,-21.9,48,59.3,107.3,17.6,7.3,-2.4,6.9,92.3,-38.4,-748,0,0,0,3.4,-783,439.6,-0.6,439,0,0,0,-19.6,419.4,-271.9,8.5,0
2017-09-30,3.80000,40.30000,18.40000,58.70000,87.00000,-7.30000,2.00000,21.20000,83.70000,-42.70000,,,,,,-42.70000,-6.40000,,-6.40000,277.80000,277.80000,,-8.40000,263.00000,313.10000,7.00000,
2017-06-30,61.8,39.9,17.4,57.3,-81.2,6.7,22.3,-18.9,100.2,-52,0,0,0,0,0,-52,-4.6,0.1,-4.5,0,0,0,-2.6,-7.1,47.1,4.5,0
2017-03-31,26,37.8,17.7,55.5,-15.1,-2.3,2.2,21.8,103.3,-34.3,-84.2,0,0,0,0,-118.5,-4.7,-0.3,-5,0,0,0,-2.3,-7.3,-14.6,4.6,0
2016-12-31,17.4,38.7,9,47.7,-2.5,-1.5,-13.4,-17.4,47.7,-25.1,1.2,0,0,0,0,-23.9,117.9,-1.3,116.6,0,0,0,-6.8,109.8,123.7,4.9,0
2016-09-30,4.60000,36.90000,4.10000,41.00000,43.90000,-16.40000,-1.20000,2.70000,48.30000,-27.70000,-86.90000,,,,,-114.60000,70.30000,-4.30000,66.00000,,,,-0.10000,65.90000,0.50000,6.90000,
2016-06-30,58.1,36.4,-11.4,25,-74.8,8.3,14.8,-49.2,33.9,-29.9,0,0,0,0,0,-29.9,-4.7,1.7,-3,0,0,0,-0.7,-3.7,-2.3,2,0
2016-03-31,10.7,35.9,4.6,40.5,-9,-7.3,1.2,-1.3,49.9,-25.3,0,0,0,0,0,-25.3,-4.6,0.8,-3.8,0,0,0,-2.4,-6.2,18.4,3.7,0
2015-12-31,30.7,36.4,6.8,43.2,-30,-16,3.8,-47.3,26.6,-49.3,0,0,0,0,0,-49.3,-4.6,-0.2,-4.8,-5.8,-5.8,0,0,-10.6,-35.9,2.5,0
2015-09-30,11.70000,36.60000,0.50000,37.10000,59.70000,-20.40000,1.60000,-3.90000,44.90000,-33.20000,,,,,,-33.20000,-4.70000,,-4.70000,,,,-5.60000,-10.30000,0.10000,2.60000,
2015-06-30,153.4,37.4,-87.3,-49.9,-52.1,10.7,2.3,-26.4,77.1,-32.3,0.8,0,0,0,0,-31.5,-5,-4.8,-9.8,0,0,0,-2.7,-12.5,35.2,2.6,0
2015-03-31,30.8,35.4,1,36.4,-5.2,-4.7,7.5,27.1,94.3,-37.4,-6.5,0,0,0,0,-43.9,-5.5,-1.2,-6.7,0,0,0,-6.9,-13.6,32,2.1,0
2014-12-31,46,36.6,-7.8,28.8,-12.2,-11.1,4.8,-34.6,40.2,-40.1,-111.6,0,0,0,0,-151.7,144.9,-5.7,139.2,0,0,0,-3.5,135.7,20.9,2.8,0
2014-09-30,-19.90000,47.40000,-12.90000,34.50000,62.00000,-14.10000,-26.30000,-54.40000,-39.80000,-31.20000,-13.50000,,,,,-44.70000,-863.80000,11.70000,-852.10000,948.80000,948.80000,,-9.80000,86.90000,-11.20000,1.50000,
2014-06-30,27,39.4,-2.1,37.3,-59.8,18.5,17.7,20.7,85,-60.3,-0.2,0,0,0,0,-60.5,1.6999,-0.3,1.3999,0,0,0,-7.2,-5.8,18.7,1.1,0
2014-03-31,6.3,37.6,1,38.6,-25.9,-16.1,10.2,8,52.9,-22.2,-2.5,0,0,0,0,-24.7,-4.8,-32.2,-37,0,0,0,0,-37,-8.5,1.1,0
2013-12-31,-19.5,40.3,0.7,41,-20.1,-6.9,-5.4,-6.3,15.2,-20.8,-43,0,0,0,4,-59.8,-7.8,20.8,13,0.2,0.2,0,0,13.2,-31.6,1.1,0
2013-09-30,1.40000,39.60000,-6.30000,33.30000,67.80000,-4.00000,-30.10000,-9.50000,25.20000,-18.20000,-8.00000,,,,,-26.20000,-6.70000,-5.80000,-12.50000,,,,,-12.50000,-10.60000,1.20000,
2013-06-30,19.1,43.3,-31,12.3,-20.8,28,-5,-18.1,54.5,-35.1,-2.5,0,0,0,0,-37.6,-399.3,5.6,-425.59,-0.7,0.5,0,431.1,2.1,18.9,-2.2,0
2013-03-31,-26.7,-16.5,-13.1,-29.6,20.8,-28,5,68.1,-4.7,-3.8,457.5,0,0,0,-43.7,410,399.3,-6.6,33.5,0.7,-0.4,0,-440.3,-404.3,14.6,2.2,0
2012-06-30,10.9,18.9,32.4,51.3,0,0,0,-53.8,-11.8,2.6,-457.5,0,0,0,10.8,-444.1,0,0.4,380.4,0,-2.8,0,1,379,-107.2,0,0
2011-06-30,-50.1,125.5,9.1,134.6,0,0,0,-21.5,99.7,-83.3,0,0,0,0,32.9,-50.4,0,-3.3,-24.1,0,3.9,0,-2.6,-26.1,41.1,0,0
