,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-05-31,3116,722,5,727,-1391,0,278,-229,3614,-433,-13,-16385,12575,-3810,-4256,19888,19888,-4990,-4990,-740,-25,14133,13410,386,-740
2020-02-29,2571,748,276,1024,-133,0,-155,-583,3012,-396,0,876,0,876,480,0,0,-3389,-3389,-768,-12,-4169,-711,361,-768
2019-11-30,2311,748,205,953,-234,0,-1922,-2751,513,-349,-109,1691,0,1691,1233,-2750,-2750,-4735,-4735,-767,-42,-8294,-6543,397,-767
2019-08-31,2137.00000,750.00000,492.00000,1242.00000,1313.00000,,2242.00000,2621.00000,6000.00000,-386.00000,-2.00000,12774.00000,,12774.00000,12386.00000,-1750.00000,-1750.00000,-5203.00000,-5203.00000,-795.00000,-54.00000,-7802.00000,10569.00000,446.00000,-795.00000
2019-05-31,3740,754,147,901,-1378,0,657,-219,4422,-413,-33,-8947,17299,8352,7906,0,0,-5614,-5614,-806,-41,-6461,5794,394,-806
2019-02-28,2745,741,-60,681,-10,0,-541,-565,2861,-443,-17,13659,0,13659,13199,-2000,-2000,-9551,-9551,-670,-18,-12239,3896,427,-670
2018-11-30,2333,704,346,1050,-274,0,-2071,-2837,546,-421,-263,2604,0,2604,1920,0,0,-9268,-9268,-714,-41,-10023,-7631,396,-714
2018-08-31,2265.00000,720.00000,376.00000,1096.00000,1390.00000,,2522.00000,3361.00000,6722.00000,-383.00000,-50.00000,3965.00000,,3965.00000,3532.00000,-2500.00000,-2500.00000,-10055.00000,-10055.00000,-742.00000,-36.00000,-13333.00000,-3165.00000,436.00000,-742.00000
2018-05-31,3276,702,470,1172,-1366,0,525,212,4660,-378,-1724,4778,484,5262,3160,-2,-2,-4679,-4679,-778,0,-5459,2133,396,-778
2018-02-28,-4047,699,-548,151,48,0,-278,7206,3310,-286,0,-3232,2261,-971,-1257,0,0,-3237,-3237,-783,0,-4020,-1823,389,-783
2017-11-30,2214,688,365,1053,-219,0,-2337,-2417,850,-599,0,-5111,0,-5111,-5710,7445,7445,-1716,-1716,-791,0,4938,-11,419,-791
2017-08-31,2144.00000,696.00000,592.00000,1288.00000,1804.00000,,2068.00000,3134.00000,6566.00000,-473.00000,,-1345.00000,,-1345.00000,-1818.00000,-4800.00000,-4800.00000,181.00000,181.00000,-788.00000,-34.00000,-5441.00000,-463.00000,403.00000,-788.00000
2017-05-31,3349,719,-59,660,-1740,178,185,457,4466,-525,-815,-6935,2429,-4506,-5846,3800,3800,332,332,-787,-58,3287,2036,333,-787
2017-02-28,2239,656,390,1046,-7,-62,-135,-586,2699,-440,-552,264,0,264,-728,-344,-344,16,16,-612,0,-940,1156,371,-612
2016-11-30,2032,543,331,874,-313,-41,-2083,-1820,1086,-757,-8711,-249,0,-249,-9717,0,0,-326,-326,-614,-33,-973,-10022,327,-614
2016-08-31,1832.00000,533.00000,503.00000,1036.00000,1993.00000,-75.00000,2196.00000,3007.00000,5875.00000,-299.00000,-1143.00000,-3761.00000,,-3761.00000,-5203.00000,10182.00000,10182.00000,-1685.00000,-1685.00000,-618.00000,-167.00000,7712.00000,8462.00000,319.00000,-618.00000
2016-05-31,2814,583,276,859,-1650,-87,555,120,3793,-180,-337,-611,0,-611,-1128,3750,3750,-1357,-1357,-623,0,1770,4569,269,-623
2016-02-29,2142,622,281,903,132,26,-33,450,3495,-368,-166,-154,0,-154,-688,-2000,-2000,-2052,-2052,-632,0,-4684,-1828,261,-632
2015-11-30,2198,633,278,911,-536,11,-2298,-2593,516,-195,-147,4475,0,4475,4133,0,0,-3075,-3075,-636,-60,-3771,672,254,-636
2015-08-31,1747.00000,671.00000,370.00000,1041.00000,2150.00000,50.00000,2450.00000,3093.00000,5881.00000,-446.00000,,-7025.00000,,-7025.00000,-7471.00000,,,-2620.00000,-2620.00000,-650.00000,-25.00000,-3295.00000,-4977.00000,253.00000,-650.00000
2015-05-31,2757,717,322,1039,-1659,-18,202,731,4527,-597,-7,-3120,0,-3120,-3724,9897,9897,-1651,-1651,-655,-167,7424,8015,244,-655
2015-02-28,2496,704,147,851,54,-92,-143,-1084,2263,-368,-1110,-936,0,-936,-2414,0,0,-1447,-1447,-530,93,-1884,-2452,234,-530
2014-11-30,2501,733,61,794,-693,4,-1882,-2233,1062,-225,-5085,-899,0,-899,-6209,0,0,-1775,-1775,-533,-146,-2454,-8026,240,-533
2014-08-31,2184.00000,707.00000,238.00000,945.00000,2506.00000,10.00000,2091.00000,3599.00000,6728.00000,-201.00000,-37.00000,-6462.00000,,-6462.00000,-6700.00000,8445.00000,8445.00000,-1412.00000,-1412.00000,-537.00000,24.00000,6520.00000,6410.00000,215.00000,-537.00000
2014-05-31,3646,724,746,1470,-1982,37,370,-660,4456,-154,-422,-1031,0,-1031,-1607,0,0,-1356,-1356,-538,88,-1806,937,222,-538
2014-02-28,2565,710,190,900,17,7,-151,-438,3027,-147,-1318,2163,0,2163,698,0,0,-1286,-1286,-541,91,-1736,1938,201,-541
2013-11-30,2553,729,141,870,-718,8,-1998,-2277,1146,-126,-434,-2569,0,-2569,-3129,0,0,-2353,-2353,-545,31,-2867,-4770,182,-545
2013-08-31,2191.00000,745.00000,143.00000,888.00000,2707.00000,5.00000,1808.00000,3213.00000,6292.00000,-153.00000,-1314.00000,-2034.00000,,-2034.00000,-3501.00000,5566.00000,5566.00000,-2683.00000,-2683.00000,-554.00000,12.00000,2341.00000,5051.00000,200.00000,-554.00000
2013-05-31,3806,742,134,876,-2002,-18,643,-118,4564,-183,-1713,-333,0,-333,-2229,-1250,-1250,-2590,-2590,0,214,-3626,-1488,189,0
2013-02-28,2504,725,436,1161,231,-48,-238,-471,3194,-116,-932,383,0,383,-665,0,0,-1584,-1584,-850,125,-2309,189,180,-850
2012-11-30,2581,718,158,876,-592,-10,-1983,-2662,795,-212,-299,-2041,0,-2041,-2552,4974,4974,-2761,-2761,-291,33,1955,245,193,-291
2012-08-31,2034.00000,746.00000,352.00000,1098.00000,2630.00000,10.00000,1171.00000,2539.00000,5671.00000,-139.00000,-361.00000,-10.00000,,-10.00000,-510.00000,-1700.00000,-1700.00000,-2559.00000,-2559.00000,-292.00000,31.00000,-4520.00000,712.00000,193.00000,-292.00000
2012-05-31,3452,776,536,1312,-2036,11,890,-707,4057,-217,-1869,242,0,242,-1844,1700,1700,-2179,-2179,-296,26,-749,1174,185,-296
2012-02-29,2497,730,138,868,-100,46,-329,-355,3010,-142,-2262,1814,0,1814,-590,-255,-255,-1580,-1580,-302,18,-2119,495,176,-302
2011-11-30,2192,701,181,882,-355,36,-1593,-1819,1255,-129,-228,733,0,733,376,0,0,-746,-746,-303,29,-1020,124,150,-303
2011-08-31,1840.00000,709.00000,74.00000,783.00000,2483.00000,57.00000,1473.00000,2798.00000,5421.00000,-160.00000,-343.00000,-5820.00000,,-5820.00000,-6323.00000,-1150.00000,-1150.00000,-618.00000,-618.00000,-304.00000,-139.00000,-2211.00000,-3001.00000,148.00000,-304.00000
2011-05-31,3209,684,265,949,-2106,-19,548,-381,3777,-58,-174,-187,0,-187,-419,1150,1150,-63,-63,-304,76,859,4299,127,-304
2011-02-28,2115,701,76,777,34,-34,-37,-216,2676,-48,-867,1947,0,1947,1032,-2253,-2253,49,49,-253,26,-2431,1444,129,-253
2010-11-30,1871,709,103,812,-599,14,-1348,-1739,944,-121,26,-2683,0,-2683,-2778,-5,-5,310,310,-253,76,128,-1598,124,-253
2010-08-31,1352.00000,702.00000,155.00000,857.00000,1942.00000,11.00000,1082.00000,1608.00000,3817.00000,-118.00000,-832.00000,-2966.00000,,-2966.00000,-3916.00000,2319.00000,2319.00000,-80.00000,-80.00000,-251.00000,-28.00000,1960.00000,2104.00000,130.00000,-251.00000
2010-05-31,2363,706,101,807,-1976,55,250,-659,2511,-69,-39,-442,0,-442,-550,-1074,-1074,18,18,-251,136,-1171,583,126,-251
2010-02-28,1190,575,16,591,177,18,452,0,1781,-61,-5175,-1944,0,-1944,-7180,251,251,-11,-11,-252,4,-8,-5588,122,-252
2009-11-30,1458,498,-13,485,-433,0,-1046,-1292,651,-45,-313,-1284,0,-1284,-1642,0,0,-128,-128,-250,12,-366,-1179,104,-250
2009-08-31,1124.00000,492.00000,70.00000,562.00000,1870.00000,,833.00000,2052.00000,3738.00000,-55.00000,-79.00000,-813.00000,,-813.00000,-947.00000,4461.00000,4461.00000,3.00000,3.00000,-251.00000,-4.00000,4209.00000,7103.00000,84.00000,-251.00000
2009-05-31,1891,502,627,1129,-1512,0,296,-1012,2008,-38,6,-402,0,-402,-434,-1000,-1000,44,44,-250,5,-1201,784,81,-250
2009-02-28,3702,1474,89,1563,1848,0,282,982,6247,-491,-1165,-509,0,-509,-2165,-4,-4,-3256,-3256,0,39,-3221,-51,274,0
