,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,1741,1498,534,2032,-245,0,-1588,-2924,849,-2435,-1,-222,0,-222,-2658,-695,-695,-368,-368,-863,71,-1855,-3635,909,-863
2022-08-31,1548.00000,1466.00000,562.00000,2028.00000,761.00000,,2078.00000,2818.00000,6394.00000,-1719.00000,-27798.00000,81.00000,,81.00000,-29436.00000,14163.00000,14163.00000,-866.00000,-866.00000,-860.00000,-127.00000,12310.00000,-10935.00000,750.00000,-860.00000
2022-05-31,3189,831,688,1519,-1526,0,661,-723,3985,-1423,-16,-6085,6363,278,-1161,-2500,-2500,-551,-551,-854,-121,-4026,-1299,713,-854
2022-02-28,2319,775,769,1544,-137,0,-375,-18,3845,-1101,-82,3615,0,3615,2432,0,0,-722,-722,-855,-2,-1579,4744,674,-855
2021-11-30,-1248,759,-273,486,-63,0,-2024,-2920,-3682,-925,0,11655,0,11655,10730,-4250,-4250,-6919,-6919,-861,-23,-12053,-5121,681,-861
2021-08-31,2457.00000,757.00000,503.00000,1260.00000,852.00000,,1756.00000,1674.00000,5391.00000,-1062.00000,-50.00000,331.00000,,331.00000,-781.00000,-1500.00000,-1500.00000,-8667.00000,-8667.00000,-887.00000,-414.00000,-11468.00000,-7039.00000,545.00000,-887.00000
2021-05-31,4032,752,226,978,-756,0,1277,-168,4842,-717,-12,-4218,1036,-3182,-3911,14934,14934,-7174,-7174,-917,-45,6798,7777,442,-917
2021-02-28,5021,732,-1910,-1178,-174,0,-637,-139,3704,-414,-29,-2941,0,-2941,-3384,-1631,-1631,-3930,-3930,-699,131,-6129,-5680,479,-699
2020-11-30,2442,731,378,1109,186,0,-1738,-2163,1388,-568,0,4420,0,4420,3852,0,0,-3854,-3854,-717,17,-4554,725,488,-717
2020-08-31,2251.00000,701.00000,679.00000,1380.00000,1077.00000,,2125.00000,2322.00000,5953.00000,-436.00000,,-9219.00000,,-9219.00000,-9655.00000,-1000.00000,-1000.00000,-4856.00000,-4856.00000,-730.00000,93.00000,-6493.00000,-9963.00000,428.00000,-730.00000
