,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,665,236,70,306,2,-81,45,0,-34,1163,-307,0,0,0,0,-82,-389,0,0,229,229,-108,-464,-343,369,0,-108
2022-09-30,549,234,0,234,-223,-190,316,0,-97,753,-210,0,0,0,0,-20,-230,-600,-600,0,0,-110,-2,-712,-249,0,-110
2022-06-30,117,238,344,582,-562,-146,284,0,-337,376,-161,0,0,0,0,-32,-193,-2,-2,0,0,-109,36,-75,72,0,-109
2022-03-31,264.00000,232.00000,22.00000,254.00000,-368.00000,-225.00000,207.00000,,-473.00000,-50.00000,-133.00000,,,,,-22.00000,-155.00000,-640.00000,-640.00000,,,-108.00000,80.00000,-668.00000,-890.00000,,-108.00000
2021-12-31,827,231,-533,-302,-136,-7,347,0,204,682,-204,0,0,0,0,-22,-226,-4,-4,79,79,-40,-63,-28,412,0,-40
2021-09-30,240,224,12,236,-58,3,125,0,70,617,-148,0,0,0,0,61,-87,-504,-504,0,0,-41,3,-542,-26,0,-41
2021-06-30,230,223,0,223,-161,-5,118,0,19,409,-144,0,0,0,0,-15,-159,-4,-4,0,0,-40,-1,-45,212,0,-40
2021-03-31,171.00000,226.00000,,226.00000,-145.00000,-1.00000,205.00000,,-8.00000,203.00000,-46.00000,,,,,-16.00000,-62.00000,-188.00000,-188.00000,,,-40.00000,5.00000,-223.00000,-117.00000,,-40.00000
2020-12-31,-227,229,32,261,100,225,-1,0,818,638,-131,0,0,0,0,-11,-142,-1,-1,87,87,-40,-81,-35,448,0,-40
2020-09-30,-19,230,106,336,215,154,-189,0,104,420,-78,0,0,0,0,15,-63,0,0,0,0,-40,5,-35,304,0,-40
2020-06-30,-1681,251,1794,2045,1450,40,-994,0,191,598,-89,0,0,0,0,-27,-116,-2,-2,0,0,-40,8,-34,426,0,-40
2020-03-31,-1015.00000,348.00000,1073.00000,1421.00000,-371.00000,-79.00000,250.00000,,-313.00000,225.00000,-144.00000,,,,,-21.00000,-165.00000,-657.00000,-657.00000,,,-158.00000,-88.00000,-903.00000,-883.00000,,-158.00000
2019-12-31,-1654,372,1735,2107,629,178,-312,0,568,1167,-293,0,0,0,0,-22,-315,-2,-2,118,118,-158,-103,-145,697,0,-158
2019-09-30,296,417,-30,387,401,-33,-269,0,26,871,-289,0,0,0,0,-30,-319,1,1,0,0,-158,15,-142,395,0,-158
2019-06-30,77,420,200,620,-55,-111,-74,0,-240,451,-364,0,0,0,0,-36,-400,-4,-4,0,0,-157,-92,-253,-204,0,-157
2019-03-31,152.00000,416.00000,61.00000,477.00000,-339.00000,-236.00000,60.00000,,-515.00000,-44.00000,-394.00000,,,,,-17.00000,-411.00000,-8.00000,-8.00000,,,-157.00000,10.00000,-155.00000,-628.00000,,-157.00000
2018-12-31,668,422,-267,155,245,-139,-118,0,-81,852,-491,-21,0,0,0,-42,-554,-9,-9,195,195,-157,-367,-338,-49,0,-157
2018-09-30,434,400,0,400,-79,-236,106,0,-209,777,-372,-18,0,0,0,388,-2,-436,-436,0,0,-157,-158,-751,-1,0,-157
2018-06-30,508,390,0,390,-107,-187,219,46,-29,956,-491,-148,0,0,0,-424,-1063,0,0,0,0,-158,7,-151,-274,0,-158
2018-03-31,47.00000,394.00000,265.00000,659.00000,-245.00000,-119.00000,276.00000,-46.00000,-134.00000,572.00000,-454.00000,,,,,80.00000,-374.00000,,,,,-158.00000,-21.00000,-179.00000,-5.00000,,-158.00000
2017-12-31,-825,393,1119,1512,-286,20,142,-177,-301,1011,-392,0,-67,77,10,-38,-420,-8,-8,158,158,-157,-144,-151,439,0,-157
2017-09-30,361,394,0,394,-449,-44,213,177,-103,1106,-307,-628,23,-23,0,-27,-962,-10,-10,0,0,-157,-202,-369,-241,0,-157
2017-06-30,28,386,262,648,-437,13,170,378,124,346,-292,0,44,-54,-10,-6,-308,-57,-57,0,0,-156,231,18,32,0,-156
2017-03-31,-32.00000,383.00000,,383.00000,-178.00000,-18.00000,228.00000,-378.00000,-346.00000,5.00000,-224.00000,,,,,-13.00000,-237.00000,-1566.00000,-1566.00000,,,-156.00000,63.00000,-1659.00000,-1902.00000,,-156.00000
2016-12-31,-153,386,-219,167,217,164,242,-525,98,1059,-127,-31,0,4,4,-34,-188,-22,-22,186,186,-155,-98,-89,720,0,-155
2016-09-30,7,375,435,810,313,175,49,0,537,1041,-116,0,0,0,0,-13,-129,-624,-637,0,0,-156,74,-719,181,0,-156
2016-06-30,-3205,396,-269,127,141,179,-340,0,-20,-3632,-149,0,0,0,0,-36,-185,-2525,-2512,0,0,-155,12,-2655,-6485,0,-155
2016-03-31,-2418.00000,346.00000,1909.00000,2255.00000,228.00000,34.00000,-170.00000,,92.00000,-171.00000,-184.00000,,,,,-24.00000,-208.00000,,,,,-154.00000,77.00000,-77.00000,-484.00000,,-154.00000
2015-12-31,-26,402,165,567,72,176,-134,-596,-482,885,-401,-39,0,0,0,-28,-468,7440,7440,167,167,-154,-50,7403,7828,0,-154
2015-09-30,-53,417,160,577,-144,94,88,290,328,26,-475,0,0,0,0,-14,-489,0,0,0,0,-154,75,-79,-511,0,-154
2015-06-30,53,456,192,648,777,15,-239,-71,482,1183,-490,0,0,0,0,-63,-553,-8,-8,0,0,-153,20,-141,466,0,-153
2015-03-31,-641.00000,560.00000,799.00000,1359.00000,763.00000,-132.00000,-318.00000,-219.00000,94.00000,812.00000,-650.00000,,,,,-32.00000,-682.00000,,,,,-153.00000,51.00000,-102.00000,3.00000,,-153.00000
2014-12-31,905,557,-387,170,-42,48,-164,232,74,1149,-661,-1,-256,166,-90,-54,-806,-4,-4,332,332,-152,-336,-160,262,0,-152
2014-09-30,1205,535,-535,0,-745,-101,298,181,-367,838,-909,-230,256,-255,1,326,-812,0,0,-300,-300,-127,81,-346,-331,0,-127
2014-06-30,775,524,0,524,-419,-113,195,159,-178,1121,-732,0,-50,144,94,-208,-846,0,0,0,0,-127,117,-10,237,0,-127
2014-03-31,616.00000,510.00000,,510.00000,-175.00000,-105.00000,160.00000,-52.00000,-172.00000,954.00000,-643.00000,,50.00000,-55.00000,-5.00000,-26.00000,-674.00000,,,-500.00000,-500.00000,-127.00000,113.00000,-514.00000,-233.00000,,-127.00000
2013-12-31,795,497,360,857,407,103,84,-348,246,1898,-618,-82,62,-161,-99,-204,-1003,0,0,277,277,-128,-236,-87,865,0,-128
2013-09-30,708,481,-273,208,-243,-56,16,445,162,1078,-679,-12,62,-58,4,11,-676,2968,2968,-3341,-3341,-106,141,-338,79,0,-106
2013-06-30,648,474,0,474,-207,-84,69,222,0,1122,-711,0,232,-91,141,30,-540,0,0,-965,-965,-115,-104,-1184,-617,0,-115
2013-03-31,-16.00000,448.00000,781.00000,1229.00000,-406.00000,-70.00000,158.00000,-546.00000,-864.00000,349.00000,-685.00000,,,-19.00000,-19.00000,53.00000,-651.00000,,,-50.00000,-50.00000,-116.00000,21.00000,-145.00000,-455.00000,,-116.00000
2012-12-31,672,431,382,813,94,357,-97,-98,256,1741,-652,-214,-250,-77,-327,-37,-1230,0,0,107,107,-83,-78,-54,452,217,-83
2012-09-30,604,406,0,406,-174,-244,8,178,-232,778,-868,0,50,-71,-21,-52,-941,0,0,0,0,-83,107,24,-140,0,-83
2012-06-30,739,406,0,406,-369,-378,185,-182,-744,401,-869,0,50,0,50,29,-790,0,0,0,0,-84,-9,-93,-483,0,-84
2012-03-31,630.00000,385.00000,300.00000,685.00000,-233.00000,-346.00000,104.00000,-106.00000,-581.00000,734.00000,-782.00000,,150.00000,-100.00000,50.00000,5.00000,-727.00000,,,,,-83.00000,34.00000,-49.00000,-43.00000,,-83.00000
