,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,117.692,79.165,-64.515,14.65,-6.552,-3.14,-23.563,107.476,-214.614,125.213,-22.738,-22.738,-3.708,-115.847,-0.799,31.568,30.769,14.604,14.604,-89.275,-10.015,-53.917,-62.288,3.449,-89.275
2022-09-30,158.774,77.109,-106.129,-29.02,4.733,-6.993,17.266,148.772,-26.444,-329.968,0,0,-13.68,-370.092,-0.846,267,266.154,33.074,33.074,-86.559,-27.27,185.399,-35.921,10.255,-86.559
2022-06-30,64.467,74.461,-2.808,71.653,1.005,24.111,24.957,157.452,-108.655,-100.896,-0.417,-0.417,-1.897,-211.865,-16.929,0,-16.929,176.778,176.778,-85.766,-3.302,70.781,16.368,0,-85.766
2022-03-31,54.72800,71.67400,-0.19700,71.47700,-11.25700,-4.82400,-21.50000,103.06900,-85.01900,0.87400,,,-4.04900,-88.19400,-0.86900,,-0.86900,82.81900,82.81900,-85.68400,-8.11500,-11.84900,3.02600,,-85.68400
2021-12-31,116.742,77.816,-75.907,1.909,-3.643,0.048,-12.318,105.316,-128.884,137.868,-0.458,-0.458,-6.802,1.724,-117.336,0,-117.336,85.702,85.702,-84.807,-3.341,-119.782,-12.742,3.229,-84.807
2021-09-30,54.541,70.611,4.537,75.148,0.161,-13.864,-0.34,118.827,-113.899,-33.892,0,0,-4.077,-151.868,-8.997,0,-8.997,-0.007,-0.007,-84.002,-2.984,-95.99,-129.031,9.78,-84.002
2021-06-30,48.059,67.675,-0.123,67.552,3.813,11.453,9.421,132.103,-114.015,-346.776,0,0,25.658,-435.133,-102.465,0,-102.465,-0.043,-0.043,-83.934,-2.034,-188.476,-491.506,0,-83.934
2021-03-31,49.73900,63.87400,-16.09000,47.78400,0.88300,7.46800,16.33800,115.10600,-83.71600,14.20200,-2.65700,-2.65700,-2.67000,-74.84100,-48.84500,,-48.84500,87.32900,87.32900,-82.91300,-4.29000,-48.71900,-8.45400,,-82.91300
2020-12-31,102.211,64.424,-66.419,-1.995,5.505,11.321,7.739,101.507,-152.74,165.365,-1.741,-1.741,-5.695,5.189,-181.537,-0.02,-181.557,99.007,99.007,-81.743,-13.946,-178.239,-71.543,11.924,-81.743
2020-09-30,-33.623,65.631,58.839,124.47,5.591,-18.268,-3.725,87.04,-105.627,0.901,-0.69,-0.69,-10.958,-116.374,-1.598,0.01,-1.588,0.073,0.073,-80.979,-0.97,-83.464,-112.798,0,-80.979
2020-06-30,10.859,62.784,-7.81,54.974,-20.14,2.215,-8.55,62.633,-116.717,14.715,-0.781,-0.781,-2.583,-105.366,698.345,-591.268,107.077,0.078,0.078,-80.976,-1.635,24.544,-18.189,0,-80.976
2020-03-31,56.44100,62.18800,1.16400,63.35200,3.01200,-0.32700,-0.93400,118.74900,-139.77600,-7.10900,-0.13600,-0.13600,-4.81100,-151.83200,-1.52400,990.00000,988.47600,0.01900,0.01900,-80.89800,-8.70200,898.89500,865.81200,,-80.89800
2019-12-31,148.966,61.431,-85.193,-23.762,-7.261,2.979,-8.217,117.613,-129.788,46.822,-0.072,-0.072,-6.228,-89.266,-1.737,-4.012,-5.749,3.298,3.298,-80.664,1.466,-81.649,-53.302,0,-80.664
2019-09-30,67.106,59.648,-14.044,45.604,-3.542,-12.309,-8.096,102.019,-109.883,2.81,-0.073,-0.073,-6.752,-113.898,101.645,0,101.645,71.268,71.268,-78.02,-16.367,78.526,66.647,0,-78.02
2019-06-30,82.667,59.057,-16.578,42.479,-4.08,11.072,12.314,137.368,-92.798,86.919,-0.607,-0.607,-2.845,-9.331,20.694,-20,0.694,9.034,9.034,-77.669,-2.039,-69.98,58.057,0,-77.669
2019-03-31,61.80300,59.62200,1.43400,61.05600,-1.24500,-12.11000,-20.17000,104.91900,-77.44100,-19.07000,-0.30000,-0.30000,-7.22600,-104.03700,-21.71800,20.00000,-1.71800,59.42700,59.42700,-77.29600,-7.41500,-27.00200,-26.12000,,-77.29600
2018-12-31,56.382,66.976,-0.797,66.179,5.431,23.33,28.515,151.972,-100.077,25.185,-0.421,-0.421,-5.161,-80.474,-1.483,-26.5,-27.983,49.29,49.29,-76.883,-2.391,-57.967,13.531,0,-76.883
2018-09-30,64.18,60.778,-1.685,59.093,-0.709,-25.567,-22.094,101.605,-203.799,140.823,-0.496,-0.496,30.394,-33.078,-1.729,-62.5,-64.229,59.136,59.136,-74.708,-2.887,-82.688,-14.161,0,-74.708
2018-06-30,65.533,58.381,-3.244,55.137,-6.127,19.206,17.173,138.931,-26.528,-1.736,0.06,0.06,-4.313,-32.517,-1.43,-14,-15.43,21.156,21.156,-74.678,-2.2,-71.152,35.262,0,-74.678
2018-03-31,62.93100,58.11000,-2.79100,55.31900,2.32200,7.25100,4.19300,124.18000,-37.85400,,-0.18000,-0.18000,-8.14400,-46.17800,-11.97800,62.00000,50.02200,1.33600,1.33600,-74.92500,-5.93500,-29.50200,48.50000,,-74.92500
