,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-18,217,157,374,-65,-5418,-5483,-5127,-258,-51,-703,-703,0,-1012,284,299,583,-1064,-1064,-101,-1776,-2358,-8497,43,-101
2022-09-30,1193,214,-360,-146,1744,5662,7406,8453,-288,2582,-618,-618,0,1676,-2660,264,-2396,-4,-4,-100,709,-1791,8338,80,-100
2022-06-30,697,209,416,625,-373,10,-363,959,-279,-93,-650,-650,0,-1022,265,-344,-79,-4,-4,-100,602,419,356,50,-100
2022-03-31,930.00000,205.00000,123.00000,328.00000,-1360.00000,404.00000,-956.00000,302.00000,-295.00000,-74.00000,-279.00000,-279.00000,,-648.00000,-265.00000,735.00000,470.00000,-1024.00000,-1024.00000,-91.00000,2461.00000,1816.00000,1470.00000,43.00000,-91.00000
2021-12-31,-13,194,179,373,14,-470,-456,-96,-371,-228,497,497,0,-102,231,86,317,-43,-43,-91,-895,-712,-910,48,-91
2021-09-30,1531,181,-992,-811,991,1124,2115,2835,-326,-3634,-291,-291,0,-4251,543,2480,3023,-3,-3,-90,-588,2342,926,48,-90
2021-06-30,588,170,-64,106,-236,-98,-334,360,-329,-202,-184,-184,0,-715,-603,401,-202,-3,-3,-90,151,-144,-499,45,-90
2021-03-31,828.00000,168.00000,8.00000,176.00000,-1049.00000,-792.00000,-1841.00000,-837.00000,-290.00000,-123.00000,-1075.00000,-1075.00000,,-1488.00000,603.00000,23.00000,626.00000,-30.00000,-30.00000,-83.00000,1016.00000,1529.00000,-796.00000,39.00000,-83.00000
2020-12-31,-274,160,102,262,-3,298,295,283,-296,0,241,241,0,-55,-1814,794,-1020,-1820,-1820,-84,-616,-3540,-3312,52,-84
2020-09-30,1340,161,-633,-472,1103,-156,947,1815,-250,0,102,102,0,-148,0,-96,-96,-3,-3,-83,-663,-845,822,47,-83
2020-06-30,1828,150,19,169,-232,1302,1070,3067,-226,0,-1426,-1426,0,-1652,-179,140,-39,1,1,-83,-185,-306,1109,46,-83
2020-03-31,473.00000,145.00000,-24.00000,121.00000,-953.00000,833.00000,-120.00000,474.00000,-192.00000,-709.00000,-309.00000,-309.00000,,-1210.00000,2288.00000,-55.00000,2233.00000,2.00000,2.00000,-73.00000,574.00000,2736.00000,2000.00000,36.00000,-73.00000
2019-12-31,512,140,190,330,-211,-119,-330,512,-230,0,-571,-571,0,-801,-989,539,-450,-25,-25,-75,-634,-1184,-1473,44,-75
2019-09-30,689,159,24,183,56,1514,1570,2442,-210,0,-356,-356,0,-566,335,69,404,-995,-995,-74,-462,-1127,749,43,-74
2019-06-30,940,140,24,164,1063,-733,330,1434,-157,0,101,101,0,-56,-373,50,-323,1,1,-74,-81,-477,901,43,-74
2019-03-31,566.00000,136.00000,11.00000,147.00000,-940.00000,1123.00000,183.00000,896.00000,-139.00000,,284.00000,284.00000,,145.00000,17.00000,-17.00000,,7.00000,7.00000,-68.00000,554.00000,493.00000,1534.00000,33.00000,-68.00000
2018-12-31,355,134,59,193,47,-928,-881,-333,-176,0,-271,-271,0,-447,895,-28,867,-798,-798,-70,-1018,-1019,-1799,32,-70
2018-09-30,644,131,484,615,408,-2722,-2314,-1055,-164,-1095,-289,-289,-805,-2353,-3,125,122,-197,-197,-69,-1137,-1281,-4689,36,-69
2018-06-30,193,130,384,514,-197,-635,-832,-125,-138,-185,441,441,0,118,-2,-50,-52,-10,-10,-69,114,-17,-24,34,-69
2018-03-31,491.00000,139.00000,89.00000,228.00000,-422.00000,3389.00000,2967.00000,3686.00000,-134.00000,-169.00000,-102.00000,-102.00000,,-405.00000,245.00000,-17.00000,228.00000,-40.00000,-40.00000,-57.00000,1401.00000,1532.00000,4813.00000,35.00000,-57.00000
2017-12-31,184,128,241,369,68,-3532,-3464,-2911,-148,-21,-996,-996,0,-1165,-6,-30,-36,-1545,-1545,-58,-108,-1747,-5823,41,-58
2017-09-30,499,120,-23,97,1508,759,2267,2863,-143,-1,-554,-554,0,-698,-51,54,3,-234,-234,-58,-150,-439,1726,33,-58
2017-06-30,650,119,28,147,-592,-311,-903,-106,-111,-2,-39,-39,0,-152,-277,-61,-338,16,16,-57,351,-28,-286,57,-57
2017-03-31,1115.00000,118.00000,29.00000,147.00000,-558.00000,3501.00000,2943.00000,4205.00000,-122.00000,-7.00000,-797.00000,-797.00000,,-926.00000,1160.00000,-34.00000,1126.00000,-1540.00000,-1540.00000,-47.00000,1730.00000,1269.00000,4548.00000,26.00000,-47.00000
2016-12-31,-401,117,-78,39,-554,-1857,-2411,-2773,-132,0,-696,-696,0,-828,-1,29,28,-18,-18,-44,743,709,-2892,39,-44
2016-09-30,450,117,80,197,1788,2068,3856,4503,-139,-6,-92,-92,0,-237,-1,-9,-10,-2,-2,-43,129,74,4340,28,-43
2016-06-30,311,116,-33,83,-816,126,-690,-296,-131,-1,263,263,0,131,0,-65,-65,-2,-2,-43,-97,-207,-372,25,-43
2016-03-31,254.00000,115.00000,18.00000,133.00000,-576.00000,691.00000,115.00000,502.00000,-125.00000,,-303.00000,-303.00000,,-428.00000,,-44.00000,-44.00000,-71.00000,-71.00000,-47.00000,318.00000,156.00000,230.00000,23.00000,-47.00000
2015-12-31,101,112,2,114,-236,358,122,337,-138,6,-165,-165,0,-297,288,5,293,-4,-4,-43,688,934,974,17,-43
2015-09-30,314,107,13,120,1143,-545,598,1032,-125,0,-480,-480,0,-605,-290,-13,-303,-10,-10,-43,-724,-1080,-653,23,-43
2015-06-30,431,114,-240,-126,-443,-470,-913,-608,-136,1017,435,435,0,1316,300,21,321,-302,-302,-42,-381,-404,304,25,-42
2015-03-31,430.00000,114.00000,-23.00000,91.00000,-644.00000,230.00000,-414.00000,107.00000,-123.00000,,29.00000,29.00000,,-94.00000,,-46.00000,-46.00000,-48.00000,-48.00000,-44.00000,136.00000,-2.00000,11.00000,44.00000,-44.00000
2014-12-31,145,124,9,133,-196,111,-85,193,-167,-15,487,487,0,305,-500,67,-433,-618,-618,-43,-174,-1268,-770,22,-43
2014-09-30,290,112,24,136,1069,-541,528,954,-145,0,-627,-627,0,-772,1733,-27,1706,-118,-118,-43,-615,930,1112,21,-43
2014-06-30,344,106,7,113,-613,-44,-657,-200,-110,3,682,682,0,575,0,27,27,-83,-83,-42,-346,-444,-69,22,-42
2014-03-31,368.00000,107.00000,6.00000,113.00000,-524.00000,714.00000,190.00000,671.00000,-106.00000,66.00000,-131.00000,-131.00000,,-171.00000,,-136.00000,-136.00000,-24.00000,-24.00000,-44.00000,228.00000,24.00000,524.00000,33.00000,-44.00000
2013-12-31,-30,114,59,173,-162,3,-159,-16,-127,-25,113,113,0,-39,0,130,130,-202,-202,-43,53,-62,-117,19,-43
2013-09-30,368,106,57,163,771,-155,616,1147,-123,-149,-723,-723,0,-995,0,27,27,-74,-74,-42,-327,-416,-264,22,-42
2013-06-30,420,104,6,110,-272,-85,-357,173,-97,26,315,315,0,244,0,-44,-44,-106,-106,-41,-105,-296,121,19,-41
2013-03-31,473.00000,102.00000,27.00000,129.00000,-588.00000,398.00000,-190.00000,412.00000,-90.00000,-5.00000,-297.00000,-297.00000,,-392.00000,,-34.00000,-34.00000,-89.00000,-89.00000,-42.00000,237.00000,72.00000,92.00000,32.00000,-42.00000
2012-12-31,192,100,-47,53,-110,70,-40,205,-106,-947,-159,-159,0,-1212,990,47,1037,3,3,-41,-49,950,-57,14,-41
2012-09-30,426,78,11,89,259,-2108,-1849,-1334,-119,-212,-83,-83,0,-414,0,17,17,-234,-234,-42,-499,-758,-2506,14,-42
2012-06-30,356,82,4,86,432,-168,264,706,-99,-20,-30,-30,0,-149,0,-34,-34,-124,-124,-41,-145,-344,213,14,-41
2012-03-31,248.00000,78.00000,27.00000,105.00000,-255.00000,2248.00000,1993.00000,2346.00000,-86.00000,-56.00000,-48.00000,-48.00000,,-190.00000,-36.00000,-12.00000,-48.00000,-106.00000,-106.00000,-41.00000,318.00000,123.00000,2279.00000,40.00000,-41.00000
2011-12-31,199,78,51,129,-29,-2096,-2125,-1797,-120,-212,117,117,0,-215,0,7,7,4,4,-41,-600,-630,-2642,14,-41
2011-09-30,445,74,1,75,510,1889,2399,2919,-87,-3,-194,-194,0,-284,0,82,82,-263,-263,-41,38,-184,2451,12,-41
2011-06-30,460,75,4,79,-327,-51,-378,161,-58,-6,-104,-104,0,-168,0,-35,-35,-157,-157,0,11,-181,-188,11,0
2011-03-31,315.00000,76.00000,53.00000,129.00000,-260.00000,612.00000,352.00000,796.00000,-71.00000,-5.00000,-615.00000,-615.00000,,-691.00000,,-157.00000,-157.00000,-53.00000,-53.00000,,188.00000,-22.00000,83.00000,30.00000,0.00000
2010-12-31,106.935,66.397,-46.895,19.502,-61.592,-112.016,-173.608,-47.171,-69.568,-822.88,34.8391,34.8391,-88.321,-945.93,88.321,168.235,256.556,-74.094,-74.094,0,-438.625,-256.163,-1249.264,10.896,0
2010-09-30,393.221,64.557,-26.489,38.068,517.074,260.846,777.92,1209.209,-61.005,-8.451,-136.9851,-136.9851,13.512,-192.929,-13.512,1.313,-12.199,-46.296,-46.296,0,-33.915,-92.41,923.87,12.477,0
2010-06-30,340.076,69.29,-47.399,21.891,-220.504,183.848,-36.656,325.311,-52.399,-1.669,-107.459,-107.459,16.603,-144.924,-16.603,3.878,-12.725,-48.02,-48.02,0,65.347,4.602,184.989,12.288,0
2010-03-31,258.76800,62.75600,-2.21700,60.53900,-280.97800,716.32200,435.34400,754.65100,-39.02800,,-546.39500,-546.39500,58.20600,-527.21700,-58.20600,-138.42600,-196.63200,-2.59000,-2.59000,,172.19300,-27.02900,200.40500,27.33900,
2009-12-31,250.984,69.42,25.669,95.089,-66.247,-5.317,-71.564,274.509,-61.865,0.436,-390.448,-390.448,63.075,-388.802,-63.075,175.158,112.083,-2.563,-2.563,0,166.19,275.71,161.417,17.182,0
2009-09-30,301.519,62.088,23.684,85.772,500.386,52.434,552.82,940.111,-39.533,-0.069,-1100.7532,-1100.7532,115.234,-1025.121,-115.234,45.531,-69.703,1.273,1.273,0,20.337,-48.093,-133.103,15.796,0
2009-06-30,281.78,60.478,-45.673,14.805,-239.041,104.316,-134.725,161.86,-43.555,0,-207.1318,-207.1318,62.408,-188.279,-62.408,-354.209,-416.617,0.055,0.055,0,116.888,-299.674,-326.093,17.346,0
2009-03-31,205.71700,58.01400,34.32000,92.33400,-255.09800,2.56700,-252.53100,45.52000,-39.04700,-12.36700,-276.66700,-276.66700,71.28300,-256.79800,-71.28300,33.52000,-37.76300,-4.76500,-4.76500,,194.58500,152.05700,-59.22100,15.67600,
