,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,432,854,1360,2214,-173,0,495,-2232,-1917,729,-1968,0,0,0,0,-36,-2004,502,896,1398,10,10,-335,19,1092,-183,-335
2022-09-30,676,825,148,973,-254,-133,279,-620,-748,901,-1672,0,516,-516,0,32,-1640,290,-313,-23,572,572,-336,-37,176,-563,-336
2022-06-30,465,830,79,909,-84,-113,253,82,84,1458,-1585,0,-516,516,0,58,-1527,-851,103,-748,8,8,-331,-22,-1093,-1162,-331
2022-03-31,598.00000,1024.00000,494.00000,1518.00000,-711.00000,125.00000,291.00000,-116.00000,-334.00000,1782.00000,-1906.00000,,,-28.00000,-28.00000,115.00000,-1819.00000,4295.00000,100.00000,4395.00000,9.00000,9.00000,-332.00000,-2656.00000,1416.00000,1379.00000,-332.00000
2021-12-31,388,1369,589,1958,-449,-40,86,-3149,-3475,-1129,-1935,0,0,-7,-7,836,-1106,53,663,716,17,17,-376,13,370,-1865,-376
2021-09-30,1230,2024,-449,1575,-238,-102,441,37,198,3003,-1853,0,4538,-4572,-34,866,-1021,-37,802,765,16,16,-374,-914,-507,1475,-374
2021-06-30,475,2075,-383,1692,356,-76,89,-214,232,2399,-1856,0,-4538,4469,-69,640,-1285,199,-1263,-1064,16,16,-373,-18,-1439,-325,-373
2021-03-31,-264.00000,2105.00000,-656.00000,1449.00000,-372.00000,77.00000,-176.00000,-2088.00000,-2446.00000,-1261.00000,-1460.00000,,,-31.00000,-31.00000,1586.00000,95.00000,1626.00000,1097.00000,2723.00000,31.00000,31.00000,-374.00000,-46.00000,2334.00000,1168.00000,-374.00000
2020-12-31,435,2108,-149,1959,-498,-18,390,-2426,-2381,13,-2442,0,0,-55,-55,1273,-1224,-531,850,319,-17,-17,-373,-32,-103,-1314,-373
2020-09-30,569,1678,470,2148,-123,-53,279,-1361,-1175,1542,-1787,0,0,-16,-16,1410,-393,-1034,62,-972,16,16,-373,-20,-1349,-200,-373
2020-06-30,574,1363,171,1534,518,-95,178,-1051,-508,1600,-1757,0,0,-1,-1,1114,-644,1012,-860,152,16,16,-373,-63,-268,688,-373
2020-03-31,376.00000,1378.00000,555.00000,1933.00000,800.00000,81.00000,-976.00000,-1078.00000,-1229.00000,1080.00000,-2016.00000,,,-51.00000,-51.00000,-8.00000,-2075.00000,1620.00000,609.00000,2229.00000,30.00000,30.00000,-373.00000,-21.00000,1865.00000,870.00000,-373.00000
2019-12-31,808,1387,-1092,295,-688,7,246,186,-456,1260,-1994,0,-8443,8401,-42,-9,-2045,-268,351,83,18,18,-353,-19,-271,-1056,-353
2019-09-30,760,1471,420,1891,-173,-113,253,-109,-150,2501,-1684,0,1523,-1590,-67,-5,-1756,656,-40,616,19,19,-351,-29,255,1000,-351
2019-06-30,494,1462,524,1986,539,-109,-160,-906,-626,1854,-1693,0,6920,-6894,26,-6,-1673,226,-195,31,24,24,-352,-20,-317,-136,-352
2019-03-31,966.00000,1460.00000,-284.00000,1176.00000,79.00000,128.00000,-764.00000,-682.00000,-1098.00000,1044.00000,-1865.00000,,,47.00000,47.00000,32.00000,-1786.00000,50.00000,540.00000,590.00000,51.00000,51.00000,-352.00000,-14.00000,275.00000,-467.00000,-352.00000
2018-12-31,100,1460,673,2133,-398,-13,467,-494,-264,1969,-2096,-97,0,-61,-61,29,-2225,145,-120,25,38,38,-333,-14,-284,-540,-333
2018-09-30,800,1511,252,1763,-62,-84,426,-74,243,2806,-1689,0,0,-72,-72,-2,-1763,1005,-418,587,40,40,-333,-44,250,1293,-333
2018-06-30,543,1499,192,1691,-238,-107,109,326,133,2367,-1917,-57,0,-43,-43,28,-1989,290,-401,-111,15,15,-333,-20,-449,-71,-333
2018-03-31,636.00000,1501.00000,497.00000,1998.00000,133.00000,167.00000,-451.00000,-1067.00000,-1132.00000,1502.00000,-1801.00000,,,-59.00000,-59.00000,3.00000,-1857.00000,-111.00000,726.00000,615.00000,12.00000,12.00000,-333.00000,-30.00000,264.00000,-91.00000,-333.00000
2017-12-31,1941,940,-504,436,-654,15,203,-266,-570,1807,-2028,0,0,-72,-72,-128,-2228,92,219,311,89,89,-315,-19,66,-355,-315
2017-09-30,862,1451,286,1737,-117,-64,219,32,179,2778,-1703,4,0,-70,-70,7,-1762,706,-1047,-341,18,18,-314,355,-282,734,-314
2017-06-30,95,1752,298,2050,10,-132,-82,-128,-324,1821,-1647,0,0,-60,-60,9,-1698,-766,-293,-1059,1181,1181,-304,-19,-201,-78,-304
2017-03-31,971.00000,1284.00000,-55.00000,1229.00000,291.00000,109.00000,-728.00000,-848.00000,-1126.00000,1074.00000,-1987.00000,-212.00000,,-66.00000,-66.00000,-18.00000,-2283.00000,698.00000,781.00000,1479.00000,12.00000,12.00000,-303.00000,-4.00000,1184.00000,-25.00000,-303.00000
2016-12-31,240,1567,201,1768,-136,-14,475,-1284,-910,1098,-2173,-27,0,-63,-63,32,-2231,-734,696,-38,19,19,-293,252,-60,-1193,-293
2016-09-30,526,1374,580,1954,-382,-68,659,64,330,2810,-1875,-254,0,-62,-62,-151,-2342,557,-352,205,19,-171,-291,39,-218,250,-291
2016-06-30,307,1572,478,2050,-31,-53,208,176,723,3080,-2242,3,0,-60,-60,-30,-2329,2922,-2689,233,8,8,-295,-10,-64,687,-295
2016-03-31,123.00000,1063.00000,879.00000,1942.00000,117.00000,142.00000,-571.00000,-327.00000,-592.00000,1473.00000,-2202.00000,-6645.00000,360.00000,-57.00000,303.00000,-4.00000,-8548.00000,35.00000,1770.00000,1805.00000,9.00000,9.00000,-287.00000,6.00000,1533.00000,-5542.00000,-287.00000
2015-12-31,291,1093,637,1730,65,-61,-6,126,-79,1942,-2179,-12,0,-66,-66,124,-2133,-142,-150,-292,8,8,-286,-2,-572,-763,-286
2015-09-30,587,949,697,1646,-78,-94,425,-834,-528,1705,-1983,0,0,-63,-63,-97,-2143,-35,136,101,1876,1876,-282,-6,1689,1251,-282
2015-06-30,634,1033,-61,972,523,-132,-72,481,873,2479,-1673,-13,0,-57,-57,-52,-1795,3573,235,3808,8,8,-268,-43,3505,4189,-268
2015-03-31,738.00000,948.00000,334.00000,1282.00000,-270.00000,291.00000,-468.00000,-257.00000,-530.00000,1490.00000,-1642.00000,-15.00000,,-66.00000,-66.00000,-28.00000,-1751.00000,626.00000,-141.00000,485.00000,8.00000,8.00000,-269.00000,-16.00000,208.00000,-53.00000,-269.00000
2014-12-31,95,1537,415,1952,-516,-64,371,-809,-1233,814,-2623,-308,0,1647,1647,61,-1223,-80,-114,-194,10,10,-272,-20,-476,-885,-272
