,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-5900,-2460,-570,-3030,409,1224,0,1633,-7255,1167,-48,3,0,3,-14,1108,746,-37,709,2984,2984,2486,0,6179,205,-570,2486
2022-09-30,1435,815,123,938,530,-194,0,336,2780,-467,0,-21,0,-21,4,-484,0,24,24,-741,-741,-826,0,-1543,657,123,-826
2022-06-30,2018,822,142,964,-188,-476,0,-664,2410,-379,48,59,0,59,8,-264,5,5,10,5,5,-828,0,-813,1262,142,-828
2022-03-31,2447.00000,823.00000,305.00000,1128.00000,-751.00000,-554.00000,,-1305.00000,2065.00000,-321.00000,,-41.00000,,-41.00000,2.00000,-360.00000,-751.00000,8.00000,-743.00000,-2248.00000,-2248.00000,-832.00000,,-3823.00000,-2124.00000,305.00000,-832.00000
2021-12-31,1989,883,161,1044,-189,15,-312,-106,3067,-614,0,27,-96,-69,12,-671,1,-197,-196,-892,-892,-798,0,-1886,497,106,-798
2021-09-30,2100,847,114,961,-394,71,0,-323,2701,-461,-86,-108,0,-108,4,-651,-40,-27,-67,-509,-509,-801,0,-1377,644,114,-801
2021-06-30,1189,874,132,1006,35,-5,0,30,2128,-413,48,95,0,95,6,-264,-3,-4,-7,-454,-454,-803,0,-1264,604,132,-803
2021-03-31,1793.00000,934.00000,288.00000,1222.00000,165.00000,-537.00000,,-372.00000,2637.00000,-397.00000,-15.00000,-14.00000,,-14.00000,4.00000,-422.00000,-2.00000,24.00000,22.00000,-189.00000,-189.00000,-800.00000,,-967.00000,1216.00000,288.00000,-800.00000
2020-12-31,2162,866,523,1389,-581,345,-627,289,3798,-679,0,15,-73,-58,6,-731,0,-1,-1,-145,-145,-641,0,-787,2358,98,-641
2020-09-30,1232,808,100,908,-470,149,0,-321,2066,-496,0,17,0,17,7,-472,-1329,-28,-1357,81,81,-639,0,-1915,-283,100,-639
2020-06-30,537,825,115,940,231,-550,0,-319,1322,-642,16,-32,36,4,3,-619,1278,-20,1258,53,53,-642,-11,658,1386,115,-642
2020-03-31,564.00000,828.00000,233.00000,1061.00000,-104.00000,-437.00000,,-541.00000,715.00000,-360.00000,,,-36.00000,-36.00000,3.00000,-393.00000,-1.00000,51.00000,50.00000,-147.00000,-147.00000,-638.00000,,-735.00000,-483.00000,233.00000,-638.00000
2019-12-31,1049,756,332,1088,82,137,-138,-244,2416,-434,1,22,-82,-60,4,-489,-1076,-52,-1128,-489,-489,-568,0,-2185,-231,85,-568
2019-09-30,960,754,94,848,-22,-190,0,-212,1948,-401,-11,-24,0,-24,4,-432,-2,12,10,46,46,-569,0,-513,954,94,-569
2019-06-30,1006,751,114,865,-165,-254,0,-419,1060,-468,-34,0,0,0,4,-498,-21,27,6,113,113,-568,0,-449,115,114,-568
2019-03-31,672.00000,753.00000,226.00000,979.00000,-170.00000,-286.00000,,-456.00000,712.00000,-335.00000,-78.00000,2.00000,,2.00000,15.00000,-396.00000,-500.00000,13.00000,-487.00000,-90.00000,-90.00000,-565.00000,,-1142.00000,-822.00000,226.00000,-565.00000
2018-12-31,654,763,374,1137,90,-64,23,582,1765,-467,-11,23,-58,-35,17,-496,-4156,-48,-4204,-77,-77,-495,0,-4776,-3525,81,-495
2018-09-30,563,813,83,896,-143,-114,0,-257,2183,-354,0,19,0,19,12,-323,3012,-118,2894,71,71,-494,0,2471,4304,83,-494
2018-06-30,733,850,101,951,-84,-165,0,-249,1244,-298,30,-37,0,-37,6,-299,-1301,134,-1167,30,30,-494,0,-1631,-792,101,-494
2018-03-31,418.00000,884.00000,212.00000,1096.00000,-53.00000,-171.00000,,-224.00000,1108.00000,-275.00000,-25.00000,-5.00000,,-5.00000,67.00000,-238.00000,-5979.00000,6.00000,-5973.00000,9.00000,9.00000,-491.00000,,-6455.00000,-5550.00000,212.00000,-491.00000
2017-12-31,-828,915,70,985,-38,210,109,2045,1640,-345,-3556,98,-81,17,732,-3152,600,390,990,64,-646,-464,8,-112,-1605,68,-464
2017-09-30,603,774,63,837,-113,166,0,53,2005,-263,-1953,-70,0,-70,1980,-306,-1,5,4,81,81,-463,-8,-386,1337,75,-463
2017-06-30,283,1078,92,1170,-86,35,0,-51,1351,-255,1923,-28,15,-13,-1661,-6,-2,26,24,54,54,-462,0,-384,969,92,-462
2017-03-31,419.00000,1166.00000,-980.00000,186.00000,30.00000,-162.00000,,-132.00000,574.00000,-272.00000,-7555.00000,,-15.00000,-15.00000,1688.00000,-6154.00000,-2505.00000,-1455.00000,-3960.00000,34.00000,34.00000,-460.00000,-13.00000,-4399.00000,-9914.00000,171.00000,-460.00000
2016-12-31,798,484,132,616,-61,54,113,-1245,1170,-319,-7,0,1868,1868,8,1550,14933,-1085,13848,42,42,-386,0,13504,16120,47,-386
2016-09-30,-329,340,1000,1340,34,-3,0,31,1217,-312,-66,800,-982,-182,6,-554,-1,-397,-398,74,74,-384,-38,-746,-78,49,-384
2016-06-30,615,347,62,409,-146,-54,0,-200,909,-247,-7,-800,-446,-1246,30,-1470,-3,298,295,42,42,-384,-132,-179,-756,62,-384
2016-03-31,316.00000,347.00000,604.00000,951.00000,-4.00000,-95.00000,,-99.00000,-93.00000,-243.00000,25.00000,,446.00000,446.00000,-2.00000,226.00000,-7.00000,-583.00000,-590.00000,-432.00000,-432.00000,-385.00000,-25.00000,-1432.00000,-1667.00000,152.00000,-385.00000
2015-12-31,767,366,22,388,-20,-44,57,208,828,-248,0,2626,-821,1805,9,1566,-21,738,717,-837,-837,-360,-17,-497,1869,43,-360
2015-09-30,580,383,27,410,-26,-3,0,-29,1195,-411,-231,-2626,2056,-570,15,-1197,-3,-501,-504,48,48,-359,0,-815,-916,44,-359
2015-06-30,784,352,-149,203,-35,-82,0,-117,941,-216,2286,0,-1843,-1843,15,242,-23,-47,-70,56,56,-360,0,-374,822,57,-360
2015-03-31,2292.00000,371.00000,-2673.00000,-2302.00000,-90.00000,-128.00000,,-218.00000,2.00000,-235.00000,230.00000,,-213.00000,-213.00000,13.00000,-205.00000,2475.00000,-1471.00000,1004.00000,-1190.00000,-1190.00000,-364.00000,,-550.00000,-837.00000,148.00000,-364.00000
2014-12-31,904,395,125,520,-22,-94,30,-114,1238,-287,-490,-3358,4117,759,8,-10,-577,74,-503,138,138,-335,0,-700,450,38,-335
2014-09-30,539,355,40,395,-97,-62,0,-159,1201,-277,-2822,3358,-1119,2239,35,-825,0,397,397,63,63,-331,-400,-271,43,40,-331
2014-06-30,466,400,49,449,-158,-51,0,-209,900,-258,0,0,1486,1486,0,1228,0,-341,-341,55,55,-333,0,-619,1510,49,-333
2014-03-31,375.00000,398.00000,119.00000,517.00000,82.00000,-90.00000,,-8.00000,336.00000,-255.00000,,,-367.00000,-367.00000,27.00000,-595.00000,,1213.00000,1213.00000,-2022.00000,-2022.00000,-343.00000,,-1152.00000,-1415.00000,119.00000,-343.00000
2013-12-31,589,426,44,470,-135,88,131,-1017,1625,-303,-14,0,1155,1155,2,840,-294,-1438,-1732,176,176,-218,-95,-1869,593,40,-218
2013-09-30,966,436,45,481,113,-10,0,103,522,-277,-566,0,-1873,-1873,19,-2697,0,374,374,-313,-313,-220,-400,-559,-2690,45,-220
2013-06-30,477,436,51,487,-81,-100,0,-181,717,-291,0,0,327,327,0,36,0,902,902,-217,-217,-220,0,465,1199,51,-220
2013-03-31,544.00000,421.00000,126.00000,547.00000,-10.00000,-132.00000,,-142.00000,460.00000,-274.00000,,,-1834.00000,-1834.00000,,-2108.00000,,2248.00000,2248.00000,-856.00000,-856.00000,-224.00000,-5901.00000,-4733.00000,-6429.00000,126.00000,-224.00000
2012-12-31,1053.461,587.57,1809.265,2396.835,-653.292,48.47,-35,-2082.822,1502.739,-385.807,-24.376,0,-815.817,-815.817,1.002,-1224.998,3683,-4.358,3678.642,-361.063,-361.063,-812.063,-0.151,2505.365,2804.872,74.265,-812.063
2012-09-30,1942.803,759.728,75.608,835.336,-54.22,-85.992,0,-140.212,3519.502,-530.747,-21.624,0,431.074,431.074,-10.31,-131.607,0,-1908.411,-1908.411,522.859,522.859,-805.405,-400,-2590.957,944.172,75.608,-805.405
2012-06-30,1724.612,691.435,195.785,887.22,611.03,-208.791,0,402.239,2066.829,-425.116,-110,0,1222.327,1222.327,1.159,688.37,0,1297.74,1297.74,-375.389,-375.389,-806.984,0,115.367,2706.866,85.785,-806.984
2012-03-31,1242.12400,743.26700,347.34200,1090.60900,132.48200,-170.68700,,-38.20500,2224.93000,-453.33000,-550.00000,,-3899.58400,-3899.58400,11.14900,-4891.76500,-54.00000,1399.02900,1345.02900,-300.40700,-300.40700,-758.54800,-120.84900,165.22500,-2466.91000,197.34200,-758.54800
2011-12-31,1618.219,648.535,604.397,1252.932,-942.53,-177.521,413,-319.051,1401.272,-274.235,399.5,0,1632.548,1632.548,6.829,1764.642,-3.164,-1178.17,-1181.334,648.965,648.965,-751.994,-400,-1684.363,1764.072,62.897,-751.994
2011-09-30,303.181,838.386,67.838,906.224,-243.358,-2.458,0,-245.816,3054.43,-451.995,-485,0,1932.189,1932.189,-3.199,991.995,-2.157,-1961.56,-1963.717,47.225,47.225,-751.63,0,-2668.122,972.281,67.838,-751.63
2011-06-30,1942.782,811.412,248.957,1060.369,216.935,5.195,0,222.13,2503.152,-372.957,-187.5,0,-1108.516,-1108.516,1874.566,205.593,-1506.097,778.517,-727.58,91.808,91.808,-750.409,0,-1386.181,1336.862,76.457,-750.409
2011-03-31,863.81800,745.66700,275.80800,1021.47500,298.95300,44.78400,,343.73700,2011.14600,-391.81300,,,-1917.22100,-1917.22100,7.80400,-2301.23000,-500.58200,396.21300,-104.36900,104.00200,104.00200,-683.96700,,-684.33400,-908.21500,175.80800,-683.96700
2010-12-31,1440.847,709.578,496.484,1206.062,-870.874,192.741,553.145,235.4591,2316.519,-291.333,-313.2,0,-1825.268,-1825.268,-10.588,-2440.394,-672.744,1215.817,543.073,55.7139,55.7139,-692.101,0,-93.314,-169.774,56.947,-692.101
2010-09-30,890.66,677.024,72.146,749.17,230.374,-27.053,0,203.321,2548.413,-205.085,-2200,0,14.317,14.317,-2.23,-2392.998,0,-73.814,-73.814,66.1311,66.1311,-679.423,0,-687.106,-503.557,72.146,-679.423
2010-06-30,1291.65,675.202,84.224,759.4261,-45.803,23.8,0,-22.003,2348.297,-273.514,-504.395,0,1085.241,1085.241,-3.5,303.832,3000,-2120.863,879.137,12.94,12.94,-679.199,0,212.878,2754.882,84.224,-679.199
2010-03-31,1003.01500,562.50100,173.86600,736.36690,291.63800,-49.63100,,242.00700,1522.75200,-245.14300,-6415.64800,,874.13900,874.13900,-1872.10800,-7658.76000,-1.25400,775.00600,773.75200,-673.19900,-673.19900,-620.75200,,-520.19900,-7242.51900,173.86600,-620.75200
2009-12-31,1538.729,547.353,270.826,818.179,-897.998,316.806,-386.889,-765.38,1832.617,-245.447,-851.727,2895.691,-232.664,2663.027,-2.976,1562.877,0,936.258,936.258,185.891,185.891,-618.776,0,503.373,3933.424,58.859,-618.776
2009-09-30,1480.367,540.714,62.587,603.301,82.992,194.359,0,277.351,3030.024,-328.71,-9.512,-1177.958,0,-1177.958,-2.257,-1518.437,0,-266.352,-266.352,28.395,28.395,-618.376,0,-856.333,671.611,62.587,-618.376
