,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,204,122,94,216,90,0,-74,390,703,1123,-48,0,-13,-13,0,-61,0,0,0,-322,-322,-52,-44,-418,663,141,-52
2022-09-30,299,127,70,197,-346,0,69,-167,-608,-112,-53,0,-1,-1,0,-54,0,0,0,-282,-282,-53,-13,-348,-543,140,-53
2022-06-30,311.00000,114.00000,39.00000,153.00000,70.00000,,-16.00000,-491.00000,-542.00000,-78.00000,-59.00000,,-6.00000,-6.00000,,-65.00000,,,,-319.00000,-319.00000,-53.00000,-104.00000,-476.00000,-650.00000,125.00000,-53.00000
2022-03-31,225,141,-64,77,313,0,2,-159,142,444,-53,0,20,20,0,-33,0,0,0,-292,-292,-48,-11,-351,62,125,-48
2021-12-31,66,146,129,275,56,0,-51,755,1193,1534,-48,3,-4,-4,0,-49,0,0,0,-322,-322,-48,-72,-442,1040,129,-48
2021-09-30,294,94,-19,75,-458,0,61,40,-305,64,-43,-1405,537,537,0,-911,0,0,0,-284,-284,-48,-16,-348,-1208,149,-48
2021-06-30,204.00000,105.00000,153.00000,258.00000,12.00000,,-19.00000,-296.00000,-605.00000,-143.00000,-44.00000,-1989.00000,222.00000,222.00000,,-1811.00000,,,,-325.00000,-325.00000,-49.00000,-105.00000,-479.00000,-2422.00000,125.00000,-49.00000
2021-03-31,76,58,-16,42,268,0,-11,105,253,371,-31,-1239,826,826,0,-444,1478,-600,878,-295,-295,-49,-8,526,488,109,-49
2020-12-31,211,46,125,171,-348,0,-77,826,742,1124,-30,0,30,30,0,0,0,0,0,-313,-313,-49,-67,-429,713,111,-49
2020-09-30,185,40,71,111,83,0,109,-397,-235,61,-25,0,-28,-28,0,-53,0,0,0,40,40,0,-8,32,46,113,0
2020-06-30,365.00000,37.00000,112.00000,149.00000,-44.00000,,-3.00000,-23.00000,-136.00000,378.00000,-38.00000,,30.00000,30.00000,,-8.00000,,,,-75.00000,-75.00000,,-69.00000,-144.00000,245.00000,102.00000,
2020-03-31,418,39,18,57,340,0,-3,-169,23,498,-40,0,29,29,0,-11,0,0,0,-263,-263,0,-37,-300,165,91,0
2019-12-31,346,39,98,137,59,0,-84,470,621,1104,-28,0,-55,-55,0,-83,0,0,0,-304,-304,0,-57,-361,663,91,0
2019-09-30,854,35,-534,-499,-529,0,91,-24,-318,37,-27,0,-286,-286,0,-313,0,0,0,-276,-276,0,-36,-312,-593,92,0
2019-06-30,1421.00000,37.00000,-1101.00000,-1064.00000,294.00000,,-40.00000,-397.00000,-199.00000,158.00000,-45.00000,,-905.00000,-905.00000,,-950.00000,,,,-302.00000,-302.00000,,-83.00000,-385.00000,-1175.00000,73.00000,
2019-03-31,209,37,160,197,183,0,24,106,193,599,-35,0,535,535,0,500,0,0,0,-276,-276,0,-6,-282,821,73,0
2018-12-31,262,34,80,114,151,0,-97,376,578,954,-21,0,394,394,0,373,0,0,0,-292,-292,0,-20,-312,1006,75,0
2018-09-30,255,36,-28,8,-591,0,124,-56,-389,-126,-31,-8,-562,-562,0,-601,0,0,0,-264,-264,0,-7,-271,-995,66,0
2018-06-30,293.00000,38.00000,70.00000,108.00000,169.00000,,8.00000,-299.00000,-281.00000,120.00000,-32.00000,-50.00000,-21.00000,-21.00000,,-103.00000,,,,-299.00000,-299.00000,,-89.00000,-388.00000,-382.00000,70.00000,
2018-03-31,607,39,143,182,502,0,-60,-394,-174,615,-20,0,1235,1235,0,1215,0,0,0,-127,-127,0,-8,-135,1692,69,0
2017-12-31,-186,34,153,187,-73,0,-88,844,848,849,-24,-150,-11,-11,0,-185,0,0,0,-150,-150,0,-7,-157,499,63,0
2017-09-30,-22,32,47,79,-589,0,148,220,-5,52,-30,0,-90,-90,0,-120,0,0,0,-126,-126,0,-10,-136,-181,62,0
2017-06-30,644.00000,31.00000,103.00000,134.00000,135.00000,,-44.00000,-577.00000,-602.00000,176.00000,-33.00000,,-255.00000,-255.00000,,-288.00000,,,,-120.00000,-120.00000,,-95.00000,-215.00000,-317.00000,48.00000,
2017-03-31,566,32,152,184,231,0,11,-469,-313,437,-29,0,-232,-232,0,-261,0,0,0,-86,-86,0,-18,-104,82,52,0
2016-12-31,-1,49,28,77,126,0,-139,907,1061,1137,-25,0,-224,-224,0,-249,0,0,0,-125,-125,0,-6,-131,737,48,0
2016-09-30,-38,45,25,70,-481,0,165,225,90,122,-29,0,-139,-139,0,-168,0,-136,-136,-100,-100,0,-9,-245,-296,48,0
2016-06-30,440.00000,46.00000,91.00000,137.00000,-12.00000,,-32.00000,-579.00000,-695.00000,-118.00000,-40.00000,,-41.00000,-41.00000,,-81.00000,,-27.00000,-27.00000,-125.00000,-125.00000,,-97.00000,-249.00000,-451.00000,48.00000,
2016-03-31,899,48,-360,-312,395,6,-57,-407,51,638,-30,0,-371,-371,0,-401,989,-177,812,-613,-613,0,-229,-30,230,47,0
2015-12-31,-45,50,49,99,111,20,-56,735,835,889,-21,0,18,18,0,-3,0,-95,-95,-124,-124,0,8,-211,665,42,0
2015-09-30,-140,50,51,101,-598,-29,142,351,48,9,-18,0,78,78,0,60,0,-198,-198,-87,-87,0,25,-260,-212,44,0
2015-06-30,442.00000,49.00000,45.00000,94.00000,219.00000,3.00000,-16.00000,-482.00000,-607.00000,-71.00000,-24.00000,,-116.00000,-116.00000,,-140.00000,,,,-87.00000,-87.00000,,40.00000,-47.00000,-258.00000,45.00000,
2015-03-31,395,55,27,82,122,-16,-17,-331,-279,198,-32,0,-178,-178,0,-210,0,0,0,-66,-66,0,6,-60,-98,36,0
2014-12-31,142,53,44,97,332,27,-112,301,443,682,-15,0,-12,-12,0,-27,0,0,0,-92,-92,0,2,-90,542,39,0
2014-09-30,3,56,42,98,-618,-30,126,347,82,183,-21,0,-5,-5,0,-26,0,0,0,-74,-74,0,2,-72,70,40,0
2014-06-30,335.00000,56.00000,29.00000,85.00000,110.00000,19.00000,-43.00000,-418.00000,-416.00000,4.00000,-27.00000,,-180.00000,-180.00000,,-207.00000,,,,-45.00000,-45.00000,,12.00000,-33.00000,-228.00000,29.00000,
2014-03-31,367,57,51,108,198,-1,-31,-282,-194,281,-16,0,-260,-260,0,-276,1,0,1,26,26,0,12,39,36,39,0
2013-12-31,-308,58,43,101,68,3,-64,773,892,685,-28,0,2,2,0,-26,-1,0,-1,1,1,0,1,1,656,40,0
2013-09-30,-273,56,-3,53,-470,-16,159,383,214,-6,-24,0,27,27,0,3,0,0,0,28,28,0,0,28,34,38,0
2013-06-30,222.00000,56.00000,42.00000,98.00000,192.00000,1.00000,-82.00000,-484.00000,-568.00000,-248.00000,-29.00000,-5.00000,32.00000,32.00000,,-2.00000,,,,22.00000,22.00000,,-1.00000,21.00000,-236.00000,33.00000,
2013-03-31,323,86,24,110,74,16,37,-168,-200,233,-25,0,-68,-68,6,-87,0,0,0,2,2,0,0,2,134,42,0
2012-12-31,-45,66,-21,45,256,13,-124,274,363,363,-25,0,102,102,0,77,0,0,0,-156,-156,0,-2,-158,287,39,0
2012-09-30,-381,56,44,100,-528,-11,166,398,253,-28,-25,-10,92,92,25,82,1,0,1,-90,-90,0,-28,-117,-48,44,0
2012-06-30,201.00000,56.00000,16.00000,72.00000,254.00000,-2.00000,-157.00000,-493.00000,-517.00000,-244.00000,-31.00000,,-9.00000,-9.00000,,-40.00000,-1.00000,,-1.00000,-71.00000,-71.00000,,,-72.00000,-374.00000,39.00000,
2012-03-31,400,68,-5,63,162,10,100,-411,-176,287,-44,0,-31,-31,75,0,-25,0,-25,-223,-223,0,0,-248,51,41,0
