,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-526.745,-2085.817,1320.365,-765.4522,66.556,12.388,8.052,-41.077,-1333.274,446.822,0,-2484.272,226.317,226.317,228.497,-1582.636,1000,-937.05,62.95,2423.009,2423.009,3.091,291.514,2780.564,-92.375,-46.138,3.091
2022-09-30,-1061.087,1412.653,5.882,1418.5351,-18.38,1.031,-45.823,43.113,400.561,-218.958,0,4082.011,-59.136,-59.136,-4447.962,-644.045,0,99.388,99.388,-306.954,-306.954,-0.98,-32.587,-241.133,-488.739,7.415,-0.98
2022-06-30,1622.625,374.241,-1538.202,-1163.9609,-37.791,-7.639,55.85,53.567,512.231,-129.198,0,-1597.739,-38.004,-38.004,4229.005,2464.064,0,855.796,855.796,-1114.083,-1114.083,-1.021,-114.536,-373.844,2564.957,15.379,-1.021
2022-03-31,-34.79300,298.92300,211.95500,510.87800,-10.38500,-5.78000,-18.07900,-55.60300,420.48200,-98.66600,,,-129.17700,-129.17700,-9.54000,-237.38300,-1000.00000,-18.13400,-1018.13400,-1001.97200,-1001.97200,-1.09000,-144.39100,-2165.58700,-1983.84300,23.34400,-1.09000
2021-12-31,116.087,307.223,178.692,485.915,-68.56,-2.203,-30.175,-115.284,486.718,-72.149,0,-3888.431,-75.044,-75.044,3902.248,-133.376,0,146.27,146.27,-727.315,-727.315,-1.151,-138.472,-720.668,-367.774,26.495,-1.151
2021-09-30,1337.936,289.601,-1218.724,-929.123,-29.469,-3.957,-78.904,109.476,518.289,-137.926,0,2098.827,-50,-50,39.842,1950.743,0,-1690.887,-1690.887,-686.251,-686.251,-1.181,-145.094,-2523.413,-55.399,11.281,-1.181
2021-06-30,90.304,293.829,-74.354,219.475,-92.183,3.356,7.827,146.247,456.026,-95.613,0,0,-25,-25,1.803,-118.81,0,-677.502,-677.502,-103.857,-103.857,-1.22,-100.934,-883.513,-545.28,10.858,-1.22
2021-03-31,-335.93800,300.28500,71.63000,371.91500,-45.97000,5.91100,-61.00300,-123.58700,-87.61000,-78.40900,,,-76.84500,-76.84500,0.34200,-154.91200,749.77500,125.90200,875.67700,556.76500,556.76500,-1.23700,-117.70600,1313.49900,1069.87500,16.54900,-1.23700
2020-12-31,-455.968,308.142,97.39,405.532,767.706,9.013,35.918,-193.002,-243.438,-87.305,0,0,-25.815,-25.815,0.87,-112.25,1500,-523.909,976.091,0,0,-1.236,-111.266,863.589,507.765,29.275,-1.236
2020-09-30,-601.971,303.378,30.943,334.3212,-55.716,9.476,-37.335,103.547,-164.103,-37.122,0,0,-32.766,-32.766,0.327,-69.561,-0.018,70.32,70.302,0,0,-1.233,-77.054,-7.985,-241.633,21.948,-1.233
2020-06-30,-936.487,307.174,39.098,346.2719,111.884,-0.462,1.71,-72.35,-662.565,-67.081,0,0,-17.695,-17.695,63.21,-21.566,760.493,-1141.5,-381.007,0.088,0.088,-1.233,-114.778,-496.93,-1180.912,18.835,-1.233
2020-03-31,674.51900,326.22500,-912.27300,-586.04800,136.22500,-3.32200,-49.08000,-511.40800,-422.93700,-72.93500,,,-20.64900,-20.64900,2456.26500,2362.68100,1747.33500,,1747.33500,170.89600,170.89600,-73.90400,-99.57400,1744.75300,3686.81300,36.89800,-73.90400
2019-12-31,2065.95,340.871,-1934.243,-1593.3719,-70.824,-1.212,27.939,-18.285,454.293,280.103,0,116.652,-0.606,-0.606,4152.538,4548.687,-293.182,-3634.049,-3927.231,157.9249,157.9249,-66.125,-74.277,-3909.708,1096.035,24.32,-66.125
2019-09-30,6.104,331.813,260.137,591.95,-735.866,2.621,-57.5,-209.779,388.275,-695.486,0,535.681,-0.602,-0.602,8.719,-151.688,-1711.059,1979.956,268.8971,-270.919,-270.919,-66.948,-93.137,-162.107,72.978,15.32,-66.948
2019-06-30,76.169,345.15,96.552,441.702,31.119,4.69,54.253,50.18,568.051,-138.134,0,0,-71.111,-71.111,58.491,-150.754,1590.074,-1690.189,-100.1151,-216.925,-216.925,-68.416,-97.174,-482.63,-62.813,17.062,-68.416
2019-03-31,66.15700,325.78700,111.52300,437.31000,48.96100,0.42300,-53.03400,-103.68500,399.78200,-182.91100,,-535.68100,-9.55800,-9.55800,1.33900,-726.81100,-100.00000,-289.76700,-389.76700,548.39100,548.39100,-69.79900,-63.97400,24.85100,-303.35800,32.13600,-69.79900
2018-12-31,5.76,322.931,145.542,468.473,-117.763,-6.403,14.925,-147.16,327.073,-237.882,0,0,-53.792,-53.792,7.345,-284.329,0,464.158,464.158,-149.999,-149.999,-63.297,-69.025,181.837,224.085,19.167,-63.297
2018-09-30,171.41,311.229,-20.192,291.037,-57.948,5.471,-45.714,-160.132,302.315,-362.028,0,-870.9181,0,0,113.687,-1119.259,0,1138.975,1138.975,-176.07,-176.07,-63.961,-53.396,845.548,29.805,17.099,-63.961
2018-06-30,140.423,306.53,31.559,338.089,-1.231,-1.814,19.149,36.975,515.487,-442.922,0,0,0,0,195.866,-247.056,1000,-740.909,259.091,-594.864,-594.864,-65.335,-119.993,-521.101,-252.53,17.801,-65.335
