,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,257.947,33.689,-17.401,16.288,-181.355,-11.739,-99.957,173.972,-9.143,-143.651,0,0,0.048,-152.746,0,0,-45.323,-45.323,-2.207,-47.53,-18.118,46.009
2022-09-30,95.975,34.209,18.764,52.973,-43.675,0.906,-23.221,127.151,-5.168,-0.983,0,0,-0.867,-7.018,0,0,10.104,10.104,-0.481,9.623,115.206,46.97
2022-06-30,98.8,34.753,5.155,39.908,-70.215,23.642,-22.407,118.944,-4.997,-236.715,0,0,0.072,-241.64,0,0,0.692,0.692,-3.648,-2.956,-140.118,39.498
2022-03-31,70.98800,34.63300,37.11600,71.74900,180.25900,32.02300,67.28000,210.93600,-5.06200,-4.91500,,,0.01300,-9.96400,,,-145.44900,-145.44900,-59.19600,-204.64500,-10.24600,35.65100
2021-12-31,203.171,31.664,32.338,64.002,-235.115,-44.107,-166.288,101.653,-4.885,-405.664,0,0,-2.608,-413.157,0,0,-93.63,-93.63,-5.357,-98.987,-413.171,44.19
2021-09-30,85.342,32.15,30.962,63.112,-6.072,-11.971,8.663,157.845,-7.298,0.051,0,0,-0.085,-7.332,0,0,-23.316,-23.316,-1.446,-24.762,123.134,44.144
2021-06-30,93.716,32.465,22.842,55.307,-66.868,39.704,-30.383,118.877,-5.79,-94.409,0,0,-0.262,-100.461,-45,-45,1.752,1.752,-4.647,-47.895,-29.723,42.885
2021-03-31,72.39800,32.78100,31.57300,64.35400,159.03800,-24.65400,33.38000,171.10700,-5.04500,-10.78300,,,-0.03500,-15.86300,,,11.89200,11.89200,-86.10000,-74.20800,74.75500,35.11900
2020-12-31,215.632,28.713,34.693,63.406,-222.503,21.764,-105.157,173.767,-11.175,-472.134,0,0,-0.354,-483.663,375,375,2.603,2.603,-5.16,372.443,67.931,42.359
2020-09-30,75.627,25.961,31.369,57.33,-17.26,-35.369,-38.613,94.539,-7.228,0,0,0,-3.796,-11.024,0,0,11.083,11.083,-1.378,9.705,100.195,38.185
2020-06-30,96.564,25.795,26.444,52.239,-38.386,-8.954,-17.757,131.592,-9.98,-97.846,0,0,-2.141,-109.967,0,0,6.158,6.158,-2.971,3.187,26.798,34.13
2020-03-31,46.06400,25.77700,28.61500,54.39200,117.83000,25.67900,45.40300,147.41200,-6.98700,-2.34800,,,-0.26400,-9.59900,-75.00000,-75.00000,-151.31300,-151.31300,-62.42500,-288.73800,-154.34600,30.94100
2019-12-31,165.852,22.847,30.485,53.332,-141.793,-17.112,-79.951,139.451,-19.159,-492.209,0,0,11.268,-500.1,500,500,5.46,5.46,-6.015,499.445,139.41,31.406
