,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4908,982,-164,818,2563,-4192,-7214,-10259,-4533,-866,-14304,-2770,-2770,2571,-15369,8730,8730,-2084,-2084,-1541,-713,4392,-15480,250,-1541
2022-09-30,5384,828,-619,209,1641,163,10543,12956,18549,-724,-4,-701,-701,582,-847,-2356,-2356,-672,-672,-1542,1154,-3416,14233,171,-1542
2022-06-30,5199,802,227,1029,317,180,-72,643,6871,-657,-5919,-1734,-1734,-277,-8587,4114,4114,-2295,-2295,-1545,672,946,-870,205,-1545
2022-03-31,5148.00000,788.00000,477.00000,1265.00000,-4521.00000,3849.00000,-1011.00000,-1094.00000,5319.00000,-555.00000,-1231.00000,-1632.00000,-1632.00000,-255.00000,-3673.00000,2048.00000,2048.00000,-1949.00000,-1949.00000,-1363.00000,3568.00000,2304.00000,4107.00000,299.00000,-1363.00000
2021-12-31,4191,771,-783,-12,-153,-1224,425,-961,3218,-695,-79,1859,1859,-369,716,-1252,-1252,-772,-772,-1365,-238,-3627,290,209,-1365
2021-09-30,4191,796,230,1026,371,839,280,2363,7580,-629,-85,-913,-913,-252,-1879,-1125,-1125,-737,-737,-1367,-1168,-4397,1253,165,-1367
2021-06-30,4372,778,-3,775,1677,118,-830,393,5540,-562,-3449,-1075,-1075,-416,-5502,1951,1951,-922,-922,-1367,120,-218,-123,170,-1367
2021-03-31,4978.00000,758.00000,542.00000,1300.00000,-2895.00000,2968.00000,-1216.00000,-273.00000,6005.00000,-568.00000,-1193.00000,-1714.00000,-1714.00000,-232.00000,-3707.00000,2907.00000,2907.00000,-1214.00000,-1214.00000,-1181.00000,275.00000,787.00000,3034.00000,256.00000,-1181.00000
2020-12-31,2352,732,-75,657,-494,767,912,3092,6101,-574,-2592,-1450,-1450,-562,-5178,-355,-355,-1475,-1475,-1184,1418,-1596,-629,152,-1184
2020-09-30,3256,719,68,787,245,1738,1251,-916,3127,-557,-374,-1959,-1959,21,-2869,-2274,-2274,-514,-514,-1188,-1042,-5018,-4777,139,-1188
2020-06-30,6696,717,148,865,2213,-3473,248,2442,10003,-451,-3023,543,543,-21,-2952,-5582,-5582,313,313,-1188,178,-6279,758,157,-1188
2020-03-31,3465.00000,723.00000,478.00000,1201.00000,-2652.00000,1120.00000,-4328.00000,-1723.00000,2943.00000,-469.00000,-929.00000,30.00000,30.00000,-165.00000,-1533.00000,10797.00000,10797.00000,-1134.00000,-1134.00000,-1024.00000,664.00000,9303.00000,10584.00000,231.00000,-1024.00000
