,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-12-31,3668,718,300,1018,-795,998,688,1519,6205,-650,-143,-476,-476,-119,-1388,-4198,-4198,-102,-102,-1024,-888,-6212,-1378,172,-1024
2019-09-30,3629,709,55,764,-1239,-224,82,-1243,3150,-444,-3449,-374,-374,-166,-4433,2518,2518,-308,-308,-1024,-1242,-56,-1382,127,-1024
2019-06-30,3385,654,47,701,3617,-678,-800,1788,5874,-415,-4062,-1335,-1335,350,-5462,3823,3823,-1374,-1374,-1024,-510,915,1338,155,-1024
2019-03-31,3557.00000,639.00000,419.00000,1058.00000,-1421.00000,1125.00000,-1403.00000,-1381.00000,3234.00000,-562.00000,-689.00000,-319.00000,-319.00000,154.00000,-1416.00000,1851.00000,1851.00000,-2679.00000,-2679.00000,-860.00000,1416.00000,-272.00000,1541.00000,243.00000,-860.00000
2018-12-31,3164,637,224,861,-367,86,909,-1629,2396,-558,-173,-370,-370,-39,-1140,2934,2934,-757,-757,-866,-1983,-672,603,126,-866
2018-09-30,3284,611,175,786,37,482,-4198,-3129,941,-545,-3188,-761,-761,-53,-4547,-1483,-1483,-233,-233,-866,-1898,-4480,-8105,154,-866
2018-06-30,3010,598,49,647,558,-50,430,350,4007,-483,-53,-1583,-1583,-62,-2181,-476,-476,-317,-317,-866,24,-1635,125,150,-866
2018-03-31,2924.00000,582.00000,161.00000,743.00000,-1579.00000,1313.00000,2147.00000,4702.00000,8369.00000,-477.00000,-2583.00000,-1385.00000,-1385.00000,-72.00000,-4517.00000,3159.00000,3159.00000,-2355.00000,-2355.00000,-722.00000,2340.00000,2422.00000,6262.00000,208.00000,-722.00000
2017-12-31,3721,578,-316,262,-818,-21,-4368,-6560,-2577,-632,-1223,-753,-753,-96,-2704,2262,2262,-243,-243,-727,-276,1016,-4288,141,-727
2017-09-30,2561,578,-78,500,1941,210,1272,4485,7546,-466,-204,-1484,-1484,-85,-2239,-2706,-2706,85,85,-726,-298,-3645,1687,124,-726
2017-06-30,2350,556,93,649,-1245,71,-875,-828,2171,-418,-236,-743,-743,30,-1367,-1982,-1982,-242,-242,-724,611,-2337,-1560,136,-724
2017-03-31,2191.00000,533.00000,150.00000,683.00000,-940.00000,1024.00000,3498.00000,3582.00000,6456.00000,-507.00000,-468.00000,-1339.00000,-1339.00000,25.00000,-2289.00000,-189.00000,-189.00000,-412.00000,-412.00000,-596.00000,2722.00000,1525.00000,5712.00000,196.00000,-596.00000
2016-12-31,1708,527,588,1115,-777,-135,-3534,-4232,-1409,-485,967,-1158,-1158,62,-614,-87,-87,-121,-121,-595,452,-351,-2366,116,-595
2016-09-30,1978,515,-205,310,-628,-115,4378,4915,7203,-407,-692,-1188,-1188,-41,-2328,69,69,-4,-4,-595,229,-301,4579,107,-595
2016-06-30,1760,511,-207,304,1158,731,-234,-381,1683,-388,-338,-1508,-1508,2,-2232,-591,-591,-424,-424,-594,-252,-1861,-2379,105,-594
2016-03-31,1627.00000,502.00000,308.00000,810.00000,-1110.00000,1368.00000,-2413.00000,-119.00000,2318.00000,-425.00000,-1697.00000,-2073.00000,-2073.00000,14.00000,-4181.00000,1599.00000,1599.00000,-302.00000,-302.00000,-477.00000,682.00000,1502.00000,-327.00000,157.00000,-477.00000
2015-12-31,1252,484,49,533,316,448,298,1726,3511,-484,19,-417,-417,-93,-975,376,376,-34,-34,-476,543,409,2940,100,-476
2015-09-30,1618,452,28,480,818,149,925,699,2797,-356,-14405,290,290,-99,-14570,13561,13561,-53,-53,-477,-1080,11951,96,95,-477
2015-06-30,1585,379,-182,197,-967,378,-191,-619,1163,-343,-1203,141,141,80,-1325,-108,-108,-7,-7,-476,-26,-617,-763,86,-476
2015-03-31,1413.00000,378.00000,203.00000,581.00000,-758.00000,1610.00000,-2225.00000,275.00000,2269.00000,-373.00000,-575.00000,-545.00000,-545.00000,-32.00000,-1525.00000,778.00000,778.00000,-704.00000,-704.00000,-357.00000,779.00000,496.00000,1155.00000,125.00000,-357.00000
2014-12-31,1510,381,40,421,-366,-170,523,498,2429,-404,-1072,546,546,254,-676,-152,-152,-922,-922,-358,-51,-1483,262,95,-358
2014-09-30,1602,373,-115,258,1586,94,753,1340,3200,-405,-328,-207,-207,-40,-980,816,816,-954,-954,-362,-888,-1388,821,81,-362
2014-06-30,1408,364,-115,249,-1141,173,-229,-643,1014,-363,-178,314,314,-48,-275,-110,-110,-975,-975,-366,-398,-1849,-1102,83,-366
2014-03-31,1099.00000,360.00000,139.00000,499.00000,-990.00000,387.00000,-1252.00000,-190.00000,1408.00000,-353.00000,-345.00000,146.00000,146.00000,-51.00000,-603.00000,-163.00000,-163.00000,-695.00000,-695.00000,-276.00000,561.00000,-573.00000,238.00000,105.00000,-276.00000
2013-12-31,1427,350,19,369,-197,-279,-319,-728,1068,-467,-32,-463,-463,146,-816,6,6,-762,-762,-279,-228,-1263,-1010,76,-279
2013-09-30,1570,349,40,389,832,-4,324,1437,3396,-361,-46,-848,-848,0,-1255,159,159,-790,-790,-280,-605,-1516,632,79,-280
2013-06-30,1436,340,1,341,-489,119,-277,-303,1474,-156,-5,47,47,0,-114,-1301,-1301,-593,-593,-281,-1495,-3670,-2384,77,-281
2013-03-31,1240.00000,336.00000,189.00000,525.00000,-463.00000,673.00000,-685.00000,-712.00000,1053.00000,-323.00000,-279.00000,-347.00000,-347.00000,45.00000,-904.00000,1288.00000,1288.00000,-427.00000,-427.00000,-216.00000,858.00000,1503.00000,1632.00000,99.00000,-216.00000
2012-12-31,1244,370,142,512,-223,-40,242,-74,1682,-284,-3730,-175,-175,0,-4189,3178,3178,80,80,-217,-1044,1997,-510,92,-217
2012-09-30,1557,317,169,486,281,-157,-2694,-2341,-298,-321,-146,-590,-590,0,-1057,394,394,-687,-687,-217,-797,-1307,-2662,87,-217
2012-06-30,1337,326,9,335,128,52,108,513,2185,-196,-469,-340,-340,0,-1005,-244,-244,-665,-665,-218,-136,-1263,-83,102,-218
2012-03-31,1388.00000,296.00000,178.00000,474.00000,-316.00000,246.00000,1996.00000,1724.00000,3586.00000,-269.00000,-1935.00000,-194.00000,-194.00000,,-2398.00000,1239.00000,1239.00000,-734.00000,-734.00000,-168.00000,707.00000,1044.00000,2232.00000,140.00000,-168.00000
2011-12-31,1258,290,245,535,-52,303,-2351,-2208,-415,-212,-366,-671,-671,0,-1249,-266,-266,-830,-830,-170,-1320,-2586,-4250,85,-170
2011-09-30,1271,294,-272,22,628,-46,2707,3671,4964,-290,-644,-431,-431,0,-1365,666,666,-753,-753,-172,564,305,3904,98,-172
2011-06-30,1267,270,155,425,-458,-23,160,-497,1195,-303,92,-10,-10,0,-221,-605,-605,-506,-506,-174,296,-989,-15,95,-174
2011-03-31,1346.00000,270.00000,265.00000,535.00000,-385.00000,143.00000,-463.00000,-657.00000,1224.00000,-213.00000,-541.00000,-583.00000,-583.00000,,-1337.00000,551.00000,551.00000,-524.00000,-524.00000,-135.00000,888.00000,780.00000,667.00000,123.00000,-135.00000
2010-12-31,1043,320,303,623,19,64,330,-225,1441,-330,-232,-1143,-1143,0,-1705,296,296,-542,-542,-136,192,-190,-454,76,-136
2010-09-30,1277,247,36,283,754,-193,472,1344,2904,-205,-1907,-704,-704,0,-2816,251,251,-568,-568,-139,-38,-494,-406,83,-139
2010-06-30,1123,249,60,309,-471,147,-106,-709,723,-211,-87,63,63,0,-235,155,155,-604,-604,-174,198,-425,63,67,-174
2010-03-31,1191.00000,248.00000,175.00000,423.00000,-318.00000,-106.00000,-250.00000,-409.00000,1205.00000,-132.00000,-78.00000,-373.00000,-373.00000,,-583.00000,-608.00000,-608.00000,-531.00000,-531.00000,,637.00000,-502.00000,120.00000,100.00000,
2009-12-31,944,258,62,320,73,-90,161,16,1280,-256,-84,-522,-522,0,-862,0,0,-198,-198,0,45,-153,265,75,0
2009-09-30,1035,250,-22,228,747,-256,484,1478,2741,-172,-2,550,550,0,376,-510,-510,0,0,0,-319,-829,2288,79,0
2009-06-30,859,249,212,461,-383,266,-222,-828,492,-151,-400,217,217,0,-334,0,0,-805,-805,-36,43,-798,-640,85,-36
2009-03-31,984.00000,234.00000,89.00000,323.00000,-337.00000,504.00000,-575.00000,-195.00000,1112.00000,-160.00000,,4.00000,4.00000,,-156.00000,-939.00000,-939.00000,-516.00000,-516.00000,,960.00000,-495.00000,461.00000,95.00000,
