,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,159,106,45,151,-13,33,74,-29,100,410,-66,-20,0,-86,-123,-123,-73,-73,-28,-89,-313,27,11,-28
2022-09-30,163,105,12,117,-84,-145,47,-35,-76,204,-32,0,0,-32,-107,-107,-1,-1,-28,-3,-139,13,10,-28
2022-06-30,169,105,11,116,-48,-119,137,19,-22,263,-30,-69,0,-99,5,5,-103,-103,-27,2,-123,13,10,-27
2022-03-31,150.00000,110.00000,12.00000,122.00000,93.00000,-137.00000,48.00000,-65.00000,-111.00000,161.00000,-18.00000,,,-18.00000,195.00000,195.00000,-296.00000,-296.00000,-28.00000,-4.00000,-133.00000,15.00000,10.00000,-28.00000
2021-12-31,193,109,89,198,-111,-9,68,-87,-77,314,-35,-30,0,-65,1,1,-100,-100,-23,-98,-220,17,12,-23
2021-09-30,132,106,14,120,64,-40,-41,-28,-8,244,-23,0,0,-23,0,0,-199,-199,-23,2,-220,2,10,-23
2021-06-30,125,119,18,137,-38,19,35,3,-39,223,-26,-4,0,-30,-199,-199,0,0,-23,1,-221,-30,16,-23
2021-03-31,115.00000,107.00000,9.00000,116.00000,9.00000,-11.00000,47.00000,-23.00000,61.00000,292.00000,-21.00000,-401.00000,,-422.00000,37.00000,37.00000,-1.00000,-1.00000,-23.00000,-5.00000,8.00000,-115.00000,8.00000,-23.00000
2020-12-31,86.5,99.6,38.4,138,69.8,173.2,-65.6,-100.4,101.4,325.9,-35.4,0.3,0,-35.1,-17.8999,-17.8999,-101.7,-101.7,-23.8,-114.8,-258.2,39.9,2.4,-23.8
2020-09-30,128.5,107.1,14.9,122,-0.9,38.1,-54.9,-39.1,-21,229.5,-21.7,0,0,-21.7,-214.8001,-214.8001,0,0,-22.8,0.3,-237.3,-28.6,11.9,-22.8
2020-06-30,85.8,100.1,-1.6,98.5,268.7,-6.8,-88.3,-42.3,126.2,310.5,-31,-4.6,0,-35.6,-284,-284,0,0,-23.4,0.4,-307,-28,-1.6,-23.4
2020-03-31,111.20000,78.20000,7.30000,85.50000,-22.60000,-23.50000,-60.20000,-83.20000,-278.60000,-81.90000,-26.90000,-35.70000,,-62.60000,317.70000,317.70000,-105.30000,-105.30000,-23.00000,-5.90000,183.50000,11.70000,7.30000,-23.00000
2019-12-31,137.5,59.6,2.9,62.5,26.3,197.3,2.5,56.5,248.3,448.3,-72.8,4.6,0,-68.2,-332.8999,-332.8999,0,0,-23.8,0.6,-356.1,16.9,13.9,-23.8
2019-09-30,90.7,103.7,12.2,115.9,3.4,-88.7,-74.6,89.5,-82.7,123.9,-50.4,-19,0,-69.4,117.1,117.1,0,0,-23.9,-2.2,91,126.2,12.2,-23.9
2019-06-30,102.8,99.8,15.4,115.2,15.9,72.1,44.5,-25.2,194.5,412.5,-29.9,-270.9,0,-300.8,-125.0001,-125.0001,0,0,-22.6,-9.3,-156.9,-51.6,15.4,-22.6
2019-03-31,-4.00000,55.90000,8.50000,64.40000,-51.60000,75.30000,-116.40000,105.20000,-29.10000,31.30000,-28.90000,-2710.70000,,-2739.60000,898.80000,898.80000,,,-11.70000,-4.10000,883.00000,-1829.50000,8.50000,-11.70000
2018-12-31,34.8,26.3,-3.6,22.7,45.6,16.6,44.6,45.4,219.2,276.7,-26.9,-2.1,-14.1,-43.1,3.1,3.1,-13.1,-13.1,-11.6,4.4,-17.2,206.9,4.8,-11.6
2018-09-30,86.172,29.773,9.164,38.937,-40.221,-9.369,-55.211,4.531,-155.013,-29.904,-24.277,-10.823,0,-35.1,1978.104,1978.104,6.233,6.233,-11.604,-0.197,1972.536,1889.827,6.517,-11.604
2018-06-30,83.271,25.373,9.664,35.037,6.368,-65.376,27.315,-57.779,-74.604,43.704,-21.255,-3.98,0,-25.235,5.233,5.233,3.994,3.994,-11.565,-3.566,-5.904,-4.312,8.287,-11.565
2018-03-31,87.45700,27.85400,5.67200,33.52600,-66.34700,-50.75500,32.09600,-24.25200,-96.78300,24.20000,-9.56800,-34.29700,,-43.86500,40.26300,40.26300,2.87300,2.87300,-11.53100,-2.93700,28.66800,16.48500,5.69600,-11.53100
2017-12-31,49.697,26.23,-60.372,-34.142,-8.454,44.365,29.689,97.762,146.734,162.289,-29.003,-98.625,0,-127.628,-17.3541,-17.3541,1.512,1.512,-11.507,-0.002,-27.351,5.352,6.761,-11.507
2017-09-30,68.439,25.919,3.768,29.687,6.298,-4.959,-45.628,4.961,-57.912,40.214,-21.243,0,0,-21.243,-100.336,-100.336,0.209,0.209,-11.516,0.004,-111.639,-100.442,2.66,-11.516
2017-06-30,72.16,25.822,6.559,32.381,29.937,-16.261,-51.071,-31.174,-92.148,12.393,-18.911,-46.594,0,-65.505,89.208,89.208,1.42,1.42,-9.605,0.04,81.063,48.343,6.187,-9.605
2017-03-31,72.00400,25.22900,5.84500,31.07400,-96.48100,-32.14500,-24.69000,-63.34900,-129.17400,-26.09600,-19.04300,-800.08100,,-819.12400,-24.31800,-24.31800,1.25900,1.25900,-9.57200,-6.84200,-39.47300,-863.05300,5.69200,-9.57200
2016-12-31,46.328,20.42,-3.676,16.744,58.09,43.039,24.845,35.287,140.565,203.637,-18.317,-98.758,0,-117.075,642.102,642.102,0.21,0.21,-8.907,1.902,635.307,689.908,6.025,-8.907
2016-09-30,82.428,16.282,4.442,20.724,-36.191,13.194,-30.02,-8.399,-70.235,32.917,-12.597,-63.092,0,-75.689,75.649,75.649,-77.316,-77.316,-8.958,0.446,-10.179,-52.553,5.115,-8.958
2016-06-30,90.485,16.861,4.523,21.384,21.673,-12.293,4.245,23.445,26.541,138.41,-10.519,-21.053,0,-31.572,-55.046,-55.046,0.136,0.136,-7.21,0,-62.12,40.161,4.163,-7.21
2016-03-31,94.16300,16.23200,5.52800,21.76000,-23.84400,1.40000,-18.00200,-16.85800,-40.35700,75.56600,-8.42000,-0.21000,,-8.63000,109.54700,109.54700,-133.22300,-133.22300,-7.35500,-9.00600,-40.03700,36.58300,5.51000,-7.35500
2015-12-31,101.779,16.567,12.374,28.941,22.381,35.994,4.051,3.542,64.818,195.538,-14.919,-29.442,6.186,-38.175,244.728,244.728,-365.062,-365.062,-7.648,-2.683,-130.665,17.95,5.927,-7.648
2015-09-30,99.181,16.555,5.192,21.747,34.907,9.689,-55.686,18.585,23.452,144.38,-12.043,0,-209.128,-221.171,50.281,50.281,-21.037,-21.037,-7.735,1.295,22.804,-56.603,5.103,-7.735
2015-06-30,101.504,16.043,5.425,21.468,3.714,-6.995,-12.084,-24.325,-55.707,67.265,-12.362,-24.395,0,-36.757,-20.142,-20.142,1.012,1.012,-5.8,1.074,-23.856,15.709,6.226,-5.8
2015-03-31,96.16400,15.56900,8.59600,24.16500,-39.50200,-18.54100,-12.93100,-13.80700,-76.66800,43.66100,-8.32000,-75.71300,,-84.03300,-100.14700,-100.14700,0.39700,0.39700,-5.78000,-14.25100,-119.78100,-176.71400,8.76300,-5.78000
2014-12-31,92.686,16.284,0.39,16.674,71.946,-30.131,14.407,8.844,132.861,242.221,-16.604,-0.776,0,-17.38,-0.854,-0.854,0.293,0.293,-5.775,0.281,-6.055,213.308,7.027,-5.775
2014-09-30,90.155,17.115,5.554,22.669,2.567,-13.709,-2.682,-19.611,-20.319,92.505,-12.497,-100.244,0,-112.741,20.233,20.233,-8.935,-8.935,-5.78,1.458,6.976,-13.366,7.004,-5.78
2014-06-30,88.705,14.284,4.849,19.133,-11.486,-1.144,24.512,-19.247,3.606,111.444,-13.212,-199.417,0,-212.629,50.269,50.269,-13.506,-13.506,-3.863,0.639,33.539,-69.196,5.396,-3.863
2014-03-31,80.13400,13.57800,6.07900,19.65700,-80.44000,-19.10500,19.14100,6.21800,-73.57600,26.21500,-4.92800,,,-4.92800,-0.06700,-0.06700,-1.27200,-1.27200,-3.82800,-3.78700,-8.95400,9.34300,6.70700,-3.82800
2013-12-31,74.041,14.058,27.564,41.622,17.476,-2.965,37.434,-0.526,34.994,150.657,-17.811,-1.396,0,-19.207,-89.954,-89.954,-27.083,-27.083,-3.844,-5.179,-126.06,4.753,6.511,-3.844
2013-09-30,73.943,12.116,1.325,13.441,-64.02,22.022,2.234,-9.601,-47.484,39.9,-8.651,-106.987,0,-115.638,140.123,140.123,-3.399,-3.399,-4.004,5.283,138.003,66.502,6.506,-4.004
2013-06-30,74.638,13.849,1.885,15.734,-60.621,20.209,6.348,0.587,-77.316,13.056,-3.046,0,0,-3.046,-20.616,-20.616,1.06,1.06,-2.41,2.87,-19.096,-10.833,5.53,-2.41
2013-03-31,69.61300,11.17000,4.30000,15.47000,-42.53400,-13.20600,14.96000,-6.78200,-53.04300,32.04000,-5.73000,-115.07100,,-120.80100,99.67200,99.67200,1.58900,1.58900,-2.38600,1.29200,100.16700,9.57200,5.56000,-2.38600
2012-12-31,64.765,12.648,5.253,17.901,48.454,-5.892,6.086,32.8,41.247,123.913,-11.267,-47.61,0,-58.877,-115.065,-115.065,-17.149,-17.149,-2.41,0.607,-134.017,-66.289,4.841,-2.41
2012-09-30,62.994,11.294,2.47,13.764,15.649,1.774,-16.364,-19.022,6.231,82.989,-7.395,-13.934,0,-21.329,-10.257,-10.257,-4.514,-4.514,-2.376,1.793,-15.354,47.95,5.087,-2.376
2012-06-30,64.712,9.995,6.129,16.124,-39.642,-7.912,8.187,6.677,-51.281,29.555,-6.27,-88.37,0,-94.64,57.264,57.264,-21.468,-21.468,-1.442,0.018,34.372,-35.199,4.875,-1.442
2012-03-31,59.26100,10.19900,4.56400,14.76300,-47.43700,-20.46100,-10.39200,-9.47200,-73.04300,0.98100,-10.09800,,,-10.09800,-9.99900,-9.99900,1.00600,1.00600,-1.43800,0.70700,-9.72400,-16.31100,5.04500,-1.43800
2011-12-31,46.263,11.171,-11.395,-0.224,11.588,-16.148,56.278,61.239,102.567,148.606,-15.382,-57.137,0,-72.519,-10.282,-10.282,-1.897,-1.897,-1.442,0.726,-12.895,64.479,5.424,-1.442
2011-09-30,46.6,12.904,4.419,17.323,-14.706,-16.583,-2.766,-0.638,-29.949,33.974,-9.401,0,0,-9.401,9.897,9.897,-17.207,-17.207,-1.442,0,-8.752,-0.339,3.852,-1.442
2011-06-30,36.334,9.956,3.063,13.019,-29.633,-25.365,10.499,-13.979,0.207,49.56,-5.14,-20.725,0,-25.865,-3.809,-3.809,-3.203,-3.203,-0.484,2.973,-4.523,20.788,5.951,-0.484
2011-03-31,40.95200,10.81800,2.74000,13.55800,-35.94600,-21.44100,-4.03700,1.72400,-38.02400,16.48600,-7.38500,-31.01200,,-38.39700,-22.00800,-22.00800,1.18400,1.18400,-0.48100,0.71600,-20.58900,-36.25400,3.41900,-0.48100
2010-12-31,30.98,11.699,19.09,30.789,11.776,0.684,38.476,1.414,39.118,100.887,-8.12,-44.97,0,-53.09,12.255,12.255,0.209,0.209,-0.485,0.197,12.176,60.133,3.547,-0.485
2010-09-30,30.544,9.711,3.349,13.06,20.232,3.162,0.794,-10.383,7.257,50.861,-5.353,-53.285,0,-58.638,1.892,1.892,-1.67,-1.67,-0.48,0.307,0.049,10.299,2.578,-0.48
2010-06-30,31.211,8.776,2.637,11.413,-31.407,-1.686,2.483,-1.713,-30.603,12.021,-3.352,0,0,-3.352,-11.497,-11.497,-2.164,-2.164,-0.481,0.692,-13.45,-12.391,3.149,-0.481
2010-03-31,30.36400,8.40000,1.14400,9.54400,-34.85600,-3.81000,2.54100,6.51600,-27.54100,12.36700,-3.60000,-37.57500,,-41.17500,27.66700,27.66700,-1.50000,-1.50000,-0.46800,1.37400,27.07300,-9.75900,2.49100,-0.46800
2009-12-31,24.205,10.246,5.602,15.848,28.493,8.49,5.089,-4.532,29.406,69.459,-7.02,-92.807,0,-99.827,-40.563,-40.563,1.795,1.795,-0.479,1.425,-37.822,-66.526,-0.012,-0.479
2009-09-30,27.348,7.048,2.027,9.075,24.368,6.425,-4.633,0.315,18.402,54.825,-2.117,-3.474,0,-5.591,80.432,80.432,0.614,0.614,-0.476,0.32,80.89,133.852,2.218,-0.476
2009-06-30,30.836,8.899,0.454,9.353,17.051,10.159,-13.669,-6.565,3.565,43.754,-5.259,-4.743,0,-10.002,-10.635,-10.635,-12.079,-12.079,-0.482,0.161,-23.035,23.241,0.617,-0.482
2009-03-31,32.66600,9.32600,-1.89100,7.43500,10.62900,8.28600,-35.02500,6.01500,-45.83900,-5.73800,0.19900,,,0.19900,-25.05800,-25.05800,-7.45200,-7.45200,-0.48000,,-32.99000,-43.71300,0.79700,-0.48000
