,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-895.274,-642.6219,503.189,-139.433,22.511,-45.733,-1080.44,496.33,0,11.496,11.496,-159.337,348.489,93.146,93.146,-1.962,-1.962,668.566,28.863,788.613,56.662,667.706
2022-09-30,494.632,218.5159,-355.199,-136.683,8.825,82.443,440.392,-77.745,0,-5.449,-5.449,91.213,8.019,13.281,13.281,-0.048,-0.048,-222.675,-12.034,-221.476,226.935,-222.275
2022-06-30,138.566,212.659,-0.085,212.574,-30.103,-54.772,296.368,-289.794,0,-2.449,-2.449,25.935,-266.308,-6.065,-6.065,1.551,1.551,-222.727,-0.039,-227.28,-197.22,-222.267
2022-03-31,262.07600,211.44700,-147.90500,63.54200,-1.23300,18.06200,343.68000,-128.79100,,-3.59800,-3.59800,42.18900,-90.20000,-100.36200,-100.36200,0.45900,0.45900,-223.16400,-16.79000,-339.85700,-86.37700,-223.16400
2021-12-31,335.298,204.507,-219.48,-14.973,26.06,-28.897,291.428,-327.168,0,-13.465,-13.465,32.333,-308.3,325.602,325.602,24.863,24.863,-222.008,-3.647,124.81,107.938,-222.008
2021-09-30,78.847,203.788,20.357,224.145,-4.226,40.121,343.113,-473.816,0,-35.046,-35.046,103.904,-404.958,236.066,236.066,4.639,4.639,-222.43,-7.685,10.59,-51.255,-221.93
2021-06-30,447.977,194.791,-353.85,-159.059,-25.752,-50.434,238.484,223.51,0,5.007,5.007,16.64,245.157,-6.246,-6.246,2.361,2.361,-222.372,-0.011,-226.268,257.373,-221.932
2021-03-31,142.23400,191.15800,-52.45400,138.70400,9.42300,49.20700,330.14500,-152.08400,,-10.03200,-10.03200,6.16400,-155.95200,-28.48800,-28.48800,0.01100,0.01100,-223.22800,-6.28800,-257.99300,-83.80000,-222.82800
2020-12-31,341.114,184.069,-239.148,-55.079,7.657,-28.494,257.541,116.654,0,-13.044,-13.044,38.28,141.89,-1.2839,-1.2839,-44.553,-44.553,-222.2889,-0.173,-268.299,131.132,-222.2889
2020-09-30,147.717,183.616,-33.86,149.756,-22.737,35.684,333.157,-161.248,0,-8.793,-8.793,33.846,-136.195,-68.5761,-68.5761,-137.472,-137.472,-224.187,-0.021,-430.256,-233.294,-223.787
2020-06-30,170.869,185.041,-33.484,151.557,-12.356,-35.213,287.213,-90.275,0,-4.452,-4.452,45.666,-49.061,-458.0639,-458.0639,1.488,1.488,-224.383,-9.92,-690.879,-452.727,-223.783
2020-03-31,168.00600,185.54200,-14.40400,171.13800,-1.23900,2.56000,341.70400,-226.30100,,-9.79900,-9.79900,100.03300,-136.06700,790.11300,790.11300,0.12500,0.12500,-213.78500,-41.28300,535.17000,740.80700,-213.78500
2019-12-31,167.671,178.469,-1.009,177.4602,10.686,-38.249,306.882,-437.711,0,-8.93,-8.93,9.976,-436.665,-66.861,-66.861,201.936,201.936,-213.6941,1.262,-77.357,-207.14,-212.294
2019-09-30,279.709,174.845,-128.268,46.5769,-5.563,50.904,377.19,-156.829,0,-0.035,-0.035,-10.316,-167.18,7.195,7.195,1.596,1.596,-210.892,-3.199,-205.3,4.71,-212.292
