,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,216.5,55.2,-10.4,44.8,83.3,63.1,2.5,133.8,395.1,-72,0,181.3,181.3,0.8,110.1,-5.1,0,-5.1,-28.5,-28.5,-49.7,0,-83.3,459.3,19.2,-49.7
2022-09-30,150.5,53.3,42.7,96,-157.7,-119.7,-12.3,-289.9,-43.4,-44.5,0,7,7,0,-37.5,-5,0,-5,-182.6,-182.6,-51,0,-238.6,-350.1,22.5,-51
2022-06-30,123.40000,54.80000,48.00000,102.80000,43.90000,-226.10000,-59.60000,-180.90000,45.30000,-39.40000,,411.00000,411.00000,-6.00000,365.60000,-505.80000,,-505.80000,-234.70000,-234.70000,-48.10000,,-788.60000,-407.70000,18.20000,-48.10000
2022-03-31,24.4,60.4,-26.8,33.6,0.7,-57.7,46,-163.8,-105.8,-53.3,0,-25.9,-25.9,-2.9,-82.1,-6.3,0,-6.3,-152.2,-152.2,-48.9,0,-207.4,-413.4,19.1,-48.9
2021-12-31,217.7,56.2,21.8,78,5.1,-12.6,-63.9,61.8,357.5,-50.2,0,-43.2,-43.2,0,-93.4,-5.1,0,-5.1,-300.5,-300.5,-50.6,0,-356.2,-111.3,22,-50.6
2021-09-30,193.3,55.9,19.8,75.7,-55,-131.3,-8,-52.4,216.6,-35.2,0,-306.3,-306.3,-1.5,-343,-6.2,0,-6.2,-11.1,-11.1,-50.5,0,-67.8,-208.5,22.2,-50.5
2021-06-30,164.70000,57.20000,40.90000,98.10000,81.60000,-67.70000,-39.10000,-15.20000,247.60000,-28.20000,,-170.60000,-170.60000,-0.60000,-199.40000,-5.50000,,-5.50000,-28.80000,-28.80000,,,-34.30000,17.20000,18.40000,0.00000
2021-03-31,-74.1,62.1,213.2,275.3,-75.7,95.7,-39.2,-154.9,46.3,-27,0,-33.1,-33.1,-1.5,-61.6,-5.3,0,-5.3,-1.6,-1.6,0,0,-6.9,-43.5,18.3,0
2020-12-31,119.8,60.3,12,72.3,-17.6,37.3,-23.6,155.2,347.3,-26.9,0,271.2,271.2,-1.5,242.8,-2.9,0,-2.9,-0.6,-0.6,0,-0.1,-3.6,609.7,19.8,0
2020-09-30,-39.1,61.5,19.5,81,-236,-100.3,35.6,15.7,57.6,-32.6,0,-173.8,-173.8,-0.5,-206.9,-304.1,0,-304.1,-1.6,-1.6,0,-0.1,-305.8,-439.1,19.5,0
