,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,397.00000,187.00000,132.00000,319.00000,-54.00000,-324.00000,149.00000,108.00000,-135.00000,581.00000,-182.00000,,-109.00000,,,26.00000,-265.00000,-143.00000,-143.00000,-276.00000,-276.00000,-178.00000,-24.00000,-621.00000,-295.00000,32.00000,-178.00000
2022-09-30,708,188,-32,156,308,398,-348,-175,80,944,-204,0,-104,0,0,-2,-310,133,133,-306,-306,-179,-2,-354,268,31,-179
2022-06-30,594,205,-12,193,-51,-28,-63,-81,-208,579,-170,0,-14,0,0,-1,-185,237,237,-374,-374,-180,-1,-318,71,28,-180
2022-03-31,560,194,147,341,-205,-147,0,-109,-488,413,-170,0,-18,0,0,4,-184,106,106,-396,-396,-163,-7,-460,-233,28,-163
2021-12-31,566.00000,198.00000,92.00000,290.00000,148.00000,-264.00000,15.00000,28.00000,-324.00000,532.00000,-118.00000,,-84.00000,,,3.00000,-199.00000,-76.00000,-76.00000,-282.00000,-282.00000,-163.00000,-31.00000,-552.00000,-221.00000,32.00000,-163.00000
2021-09-30,794,179,-243,-64,120,-74,-86,-24,44,774,-235,0,-297,0,0,-8,-540,-2,-2,-276,-276,-164,-1,-443,-213,21,-164
2021-06-30,580,210,27,237,-71,-270,136,58,-135,682,-143,0,-19,0,0,-12,-174,-426,-426,-248,-248,-165,-3,-842,-332,24,-165
2021-03-31,506,193,27,220,-268,-67,161,-26,-146,580,-85,0,0,0,0,8,-77,411,411,-96,-96,-159,-5,151,650,30,-159
2020-12-31,381.00000,187.00000,28.00000,215.00000,-299.00000,-145.00000,349.00000,34.00000,44.00000,640.00000,-141.00000,,-107.00000,,,2.00000,-246.00000,-30.00000,-30.00000,-44.00000,-44.00000,-159.00000,-19.00000,-252.00000,153.00000,19.00000,-159.00000
2020-09-30,230,181,124,305,-245,253,1,100,185,720,-110,0,-11,0,0,4,-117,0,0,26,26,-159,-2,-135,471,20,-159
2020-06-30,-41,176,180,356,322,-191,-130,69,65,380,-127,0,31,0,0,15,-81,-352,-352,-113,-113,-159,-1,-625,-322,17,-159
2020-03-31,-456,1080,-6,1074,-116,25,-45,3,-137,481,-130,0,-244,0,0,-4,-378,383,383,-256,-256,-153,-5,-31,54,15,-153
2019-12-31,26.00000,174.00000,470.00000,644.00000,-24.00000,-176.00000,94.00000,22.00000,-259.00000,411.00000,-176.00000,,-115.00000,,,2.00000,-289.00000,-9.00000,-9.00000,-125.00000,-125.00000,-154.00000,-26.00000,-314.00000,-185.00000,22.00000,-154.00000
2019-09-30,372,175,126,301,136,123,-92,-22,205,878,-152,0,0,0,0,-1,-153,-31,-31,-148,-148,-154,-1,-334,381,19,-154
2019-06-30,757,174,-242,-68,2,11,-42,56,2,691,-166,0,-291,0,0,3,-454,36,36,-136,-136,-155,-2,-257,-19,18,-155
2019-03-31,439,173,8,181,-81,49,-35,13,-64,556,-178,0,17,0,0,-4,-165,27,27,-210,-210,-149,-1,-333,60,15,-149
2018-12-31,276.00000,168.00000,129.00000,297.00000,-26.00000,-119.00000,-9.00000,53.00000,-276.00000,297.00000,-210.00000,,288.00000,,,2.00000,80.00000,-28.00000,-28.00000,-512.00000,-512.00000,-150.00000,-29.00000,-719.00000,-343.00000,23.00000,-150.00000
2018-09-30,1661,171,-1176,-1005,110,-30,24,-14,268,924,-258,0,-153,0,0,-8,-419,-1,-1,-264,-264,-153,-2,-420,78,24,-153
2018-06-30,454,167,39,206,-3,10,-7,51,140,800,-222,0,0,0,0,-11,-233,46,46,-228,-228,-154,-2,-338,211,20,-154
2018-03-31,490,167,22,189,-237,-50,23,-62,-302,377,-195,0,0,0,0,-6,-201,-16,-16,-174,-174,-140,0,-330,-145,23,-140
2017-12-31,-40.00000,162.00000,623.00000,785.00000,-139.00000,-177.00000,161.00000,-8.00000,-395.00000,350.00000,-237.00000,,,,,-4.00000,-241.00000,-348.00000,-348.00000,-113.00000,-113.00000,-141.00000,-32.00000,-634.00000,-514.00000,28.00000,-141.00000
2017-09-30,434,142,-56,86,56,-75,97,162,353,873,-220,0,-173,0,0,-1,-394,332,332,-207,-207,-141,-7,-23,463,22,-141
2017-06-30,435,157,11,168,-45,-126,69,-42,-80,523,-159,0,-77,0,0,-5,-241,0,0,-156,-156,-142,-1,-299,-18,26,-142
2017-03-31,405,152,-12,140,-185,-10,84,-1,-24,521,-151,0,0,0,0,8,-143,-83,-83,-66,-66,-131,-3,-283,108,23,-131
2016-12-31,409.00000,160.00000,-40.00000,120.00000,-30.00000,-59.00000,64.00000,-58.00000,-125.00000,404.00000,-130.00000,,,,,-24.00000,-154.00000,10.00000,10.00000,-68.00000,-68.00000,-132.00000,-19.00000,-209.00000,18.00000,24.00000,-132.00000
2016-09-30,437,122,-86,36,80,156,-83,28,211,684,-178,0,-335,0,0,-11,-524,31,31,-117,-117,-132,0,-218,-47,21,-132
2016-06-30,839,148,872,1020,6,59,12,51,-1141,718,-148,0,-923,0,0,-1,-1072,150,150,-118,-118,-132,0,-100,-456,23,-132
2016-03-31,380,144,-75,69,-228,38,15,313,-294,155,-131,0,255,0,0,12,136,0,0,-1247,-1247,-118,-2,-1367,-1073,21,-118
2015-12-31,353.00000,146.00000,-36.00000,110.00000,237.00000,-99.00000,-31.00000,-78.00000,-73.00000,390.00000,-138.00000,,,,,17.00000,-121.00000,,,-1215.00000,-1215.00000,-127.00000,-28.00000,-1370.00000,-1106.00000,22.00000,-127.00000
2015-09-30,1040,161,-607,-446,-85,-2,24,21,47,641,-168,0,2958,0,0,11,2801,-131,-131,-506,-506,-132,254,-515,2628,24,-132
2015-06-30,309,148,91,239,-106,-38,-18,133,48,596,-130,0,3,0,0,-8,-135,-105,-105,-217,-217,-134,0,-456,4,21,-134
