,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2494,291,-102,189,92,-2080,444,2188,573,3093,-347,-13976,0,0,-1205,-15528,5220,8316,13536,0,0,-1973,-1686,9877,-2157,-1973
2022-09-30,2222,358,-90,268,-336,-74,101,543,468,3068,-252,0,0,0,156,-96,-1482,1274,-208,0,0,-1942,-121,-2271,331,-1942
2022-06-30,2346,287,-106,181,-74,1099,160,-34,820,3524,-249,0,0,0,390,141,-1,-876,-877,0,0,-1945,-277,-3099,417,-1945
2022-03-31,2465.00000,253.00000,-29.00000,224.00000,-553.00000,-232.00000,14.00000,-835.00000,-1699.00000,1118.00000,-229.00000,,-20.00000,-20.00000,53.00000,-196.00000,-496.00000,2221.00000,1725.00000,-209.00000,-209.00000,-1952.00000,-265.00000,-701.00000,126.00000,-1952.00000
2021-12-31,2229,279,13,292,156,-686,488,1643,1605,4032,-289,-242,-8,-8,199,-340,-1063,18,-1045,-681,-681,-1952,-123,-3801,-300,-1952
2021-09-30,2588,235,-28,207,273,468,181,-80,1037,3870,-152,-1842,-26,-26,130,-1890,0,90,90,-94,-94,-1876,-173,-2053,-120,-1876
2021-06-30,2298,239,-21,218,-200,462,51,1168,1113,3630,-128,-27,0,0,-28,-183,-347,-59,-406,0,0,-1873,-195,-2474,1014,-1873
2021-03-31,2595.00000,245.00000,-3.00000,242.00000,-427.00000,305.00000,-67.00000,-2108.00000,-2388.00000,435.00000,-179.00000,,,,234.00000,55.00000,-1632.00000,-49.00000,-1681.00000,,,-1879.00000,-89.00000,-3649.00000,-3379.00000,-1879.00000
2020-12-31,2119,272,74,346,167,-988,428,1147,675,3162,-140,0,-44,-44,-402,-586,1483,89,1572,0,0,-1879,-158,-465,2458,-1879
2020-09-30,2437,239,-135,104,197,843,142,-246,988,3614,-152,0,0,0,-282,-434,-358,-129,-487,0,0,-1827,-214,-2528,620,-1827
2020-06-30,2049,229,-24,205,-454,555,-99,-118,-295,1925,-140,0,-1,-1,-507,-648,2230,-1152,1078,0,0,-1830,-202,-954,457,-1830
2020-03-31,1987.00000,241.00000,-72.00000,169.00000,116.00000,-575.00000,-65.00000,-662.00000,-1240.00000,1111.00000,-170.00000,,-2.00000,-2.00000,686.00000,514.00000,-3641.00000,1122.00000,-2519.00000,,,-1828.00000,-202.00000,-4549.00000,-3115.00000,-1828.00000
2019-12-31,1782,255,312,567,175,-484,482,816,1070,3324,-156,0,0,0,-28,-184,-1027,-24,-1051,-47,-47,-1825,-36,-2959,354,-1825
2019-09-30,2046,237,8,245,267,-450,70,-250,-268,2083,-194,0,-3,-3,319,122,2191,89,2280,2,2,-1779,-50,453,2498,-1779
2019-06-30,2436,232,-13,219,-777,149,-94,1397,825,3442,-178,0,-4,-4,29,-153,794,-1251,-457,45,45,-1777,-215,-2404,927,-1777
2019-03-31,1464.00000,240.00000,-77.00000,163.00000,4.00000,237.00000,-7.00000,-855.00000,-872.00000,1241.00000,-324.00000,-1346.00000,-24.00000,-24.00000,98.00000,-1596.00000,-2137.00000,822.00000,-1315.00000,,,-1780.00000,-56.00000,-3151.00000,-3534.00000,-1780.00000
2018-12-31,2003,255,-61,194,-59,-464,325,289,228,2422,-334,0,-22,-22,522,166,-1,180,179,82,82,-1775,-233,-1747,707,-1775
2018-09-30,2341,246,3,249,177,377,-248,-1402,-1008,1683,-328,0,-11,-11,-142,-481,0,-44,-44,3,3,-1778,-70,-1889,-709,-1778
2018-06-30,2295,246,-71,175,48,-864,-66,2532,1605,3993,-409,0,-12,-12,756,335,-2483,16,-2467,6,6,-1673,-143,-4277,-609,-1673
2018-03-31,1647.00000,242.00000,26.00000,268.00000,-113.00000,338.00000,-62.00000,-509.00000,-661.00000,1380.00000,-365.00000,,-18.00000,-18.00000,-635.00000,-1018.00000,,103.00000,103.00000,-91.00000,-91.00000,-1659.00000,-91.00000,-1738.00000,-1245.00000,-1659.00000
2017-12-31,796,243,-156,87,26,-513,178,164,1645,2921,-553,0,-71,-71,-137,-761,2631,-2407,224,0,0,-1666,-95,-1537,741,-1666
2017-09-30,2045,225,-425,-200,-104,-421,111,402,28,1920,-435,0,-21,-21,-622,-1078,1,2014,2015,2,2,-1618,-40,359,1448,-1618
2017-06-30,1842,210,43,253,-518,421,52,1087,1092,3228,-268,0,-14,-14,-419,-701,-1,-108,-109,3,3,-1618,-208,-1932,1081,-1618
2017-03-31,1658.00000,197.00000,27.00000,224.00000,504.00000,1243.00000,84.00000,-2207.00000,-886.00000,843.00000,-292.00000,,-5.00000,-5.00000,-246.00000,-543.00000,1668.00000,374.00000,2042.00000,,,-1618.00000,-83.00000,341.00000,875.00000,-1618.00000
2016-12-31,1775,195,158,353,-611,-1940,193,2462,154,2149,-438,0,-15,-15,562,109,-321,43,-278,2,2,-1619,42,-1853,-602,-1619
2016-09-30,2028,188,2,190,-13,546,-92,204,854,3092,-254,0,-10,-10,-242,-506,0,56,56,0,0,-1586,-36,-1566,1070,-1586
2016-06-30,1842,185,26,211,-210,650,49,-267,239,2374,-254,0,-9,-9,245,-18,313,25,338,-1,-1,-1588,-150,-1401,870,-1588
2016-03-31,1605.00000,175.00000,-4.00000,171.00000,-175.00000,49.00000,223.00000,-922.00000,-1310.00000,462.00000,-226.00000,,-7.00000,-7.00000,-186.00000,-419.00000,1151.00000,-136.00000,1015.00000,6.00000,6.00000,-1585.00000,-29.00000,-593.00000,-473.00000,-1585.00000
2015-12-31,1298,193,-64,129,472,-1429,140,1260,459,1872,-324,0,-31,-31,35,-320,-1,-180,-181,1503,1503,-1585,-12,-275,1024,-1585
2015-09-30,1984,184,-60,124,113,-221,132,193,538,2693,-223,0,-13,-13,72,-164,409,-659,-250,6,6,-1555,-22,-1821,555,-1555
2015-06-30,1916,185,-30,155,8,416,-6,866,1440,3675,-210,0,-3,-3,-79,-292,-1,-1677,-1678,113,113,-1555,-45,-3165,314,-1555
2015-03-31,1834.00000,192.00000,-28.00000,164.00000,54.00000,393.00000,44.00000,-2327.00000,-2371.00000,-375.00000,-203.00000,,-8.00000,-8.00000,279.00000,68.00000,-97.00000,2250.00000,2153.00000,-48.00000,-48.00000,-1555.00000,-25.00000,525.00000,-158.00000,-1555.00000
2014-12-31,1649,229,-179,50,-287,-1221,50,901,-349,1354,-349,0,-7,-7,133,-223,1959,-855,1104,-783,-783,-1564,-34,-1277,-361,-1564
2014-09-30,2198,233,-71,162,69,-158,125,258,531,2965,-296,-7,-6,-6,80,-229,0,203,203,-769,-769,-1478,-31,-2075,502,-1478
2014-06-30,1895,216,454,670,-640,398,-33,465,277,2705,-252,-103,-16,-16,35,-336,1273,-1362,-89,-1040,-1040,-1490,-63,-2682,-282,-1490
2014-03-31,1916.00000,211.00000,-91.00000,120.00000,395.00000,1086.00000,35.00000,-2131.00000,-1377.00000,715.00000,-256.00000,,,,48.00000,-208.00000,1119.00000,934.00000,2053.00000,-1241.00000,-1241.00000,-1503.00000,-114.00000,-805.00000,-331.00000,-1503.00000
2013-12-31,2036,223,196,419,-243,-1959,77,1697,-153,2320,-379,0,-762,-762,-68,-1209,1976,-1257,719,-1447,-1447,-1518,-66,-2312,-1228,-1518
2013-09-30,2402,218,-1,217,328,74,-35,29,590,3315,-301,0,-653,-653,-26,-980,0,1014,1014,-2191,-2191,-1387,-40,-2604,-204,-1387
2013-06-30,2194,219,-12,207,-467,-334,60,1414,607,3137,-280,0,-3,-3,14,-269,-1363,1174,-189,-1575,-1575,-1401,-81,-3246,-395,-1401
2013-03-31,2218.00000,222.00000,77.00000,299.00000,-67.00000,806.00000,1.00000,-1260.00000,-1254.00000,1363.00000,-240.00000,,,,18.00000,-222.00000,3830.00000,-879.00000,2951.00000,-1453.00000,-1453.00000,-1414.00000,-137.00000,-53.00000,998.00000,-1414.00000
2012-12-31,2191,233,-132,101,-6,-591,10,-360,-635,1650,-337,0,-3,-3,39,-301,0,273,273,-1970,-1970,-1431,-84,-3212,-1834,-1431
2012-09-30,2324,216,-52,164,21,-714,-80,327,-140,2393,-243,0,-3,-3,67,-179,2023,-568,1455,-1498,-1498,-1310,-47,-1400,971,-1310
2012-06-30,2407,222,-84,138,-262,-459,57,1393,802,3480,-249,0,0,0,-39,-288,1703,-1371,332,-1632,-1632,-1325,-80,-2705,270,-1325
2012-03-31,2232.00000,227.00000,46.00000,273.00000,-151.00000,1036.00000,23.00000,-1543.00000,-688.00000,1898.00000,-227.00000,,,,3.00000,-224.00000,-447.00000,2564.00000,2117.00000,-1427.00000,-1427.00000,-1338.00000,-135.00000,-783.00000,1026.00000,-1338.00000
2011-12-31,1946,250,99,349,-60,-1006,20,272,-998,961,-329,0,-36,-36,15,-350,2142,-1036,1106,-1008,-1008,-1347,-35,-1284,-841,-1347
2011-09-30,2461,255,-35,220,59,-26,-7,-7,332,3053,-223,-18,0,0,-20,-261,-813,2016,1203,-1445,-1445,-1133,19,-1356,1213,-1133
2011-06-30,2485,249,-68,181,-388,518,70,917,1396,4120,-186,-42,0,0,-18,-246,978,-1174,-196,-1594,-1594,-1149,-100,-3039,856,-1149
2011-03-31,1987.00000,239.00000,30.00000,269.00000,138.00000,478.00000,116.00000,-491.00000,104.00000,2395.00000,-159.00000,-20.00000,,,4.00000,-175.00000,-23.00000,-32.00000,-55.00000,-1253.00000,-1253.00000,-1159.00000,-192.00000,-2659.00000,-381.00000,-1159.00000
