,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2013-12-31,1643,307,1081,1388,-747,79,-5,-39,2992,-806,-264,1349,1349,-1703,-1424,-624,-624,-876,-876,-519,73,-1946,-378,-519
2013-09-30,1583,1334,426,1760,0,0,218,218,3561,-2271,-116,0,0,66,-2321,-66,-66,-33,-33,-517,78,-538,702,-517
2013-06-30,1322,1303,433,1736,0,0,73,73,3513,-2210,-132,270,270,-32,-2104,0,0,-8,-8,-517,45,-480,929,-517
2013-03-31,1355.00000,1259.00000,326.00000,1585.00000,,,-228.00000,-228.00000,2712.00000,-2070.00000,-94.00000,,,-31.00000,-2195.00000,,,4.00000,4.00000,,27.00000,31.00000,548.00000,
2012-12-31,336,265,2478,2743,452,-242,839,91,2800,-158,-920,4,4,-2697,-3771,0,0,-355,-355,-876,34,-1197,-2168,-876
2012-09-30,1375,1148,531,1679,0,0,-513,-513,2541,-2591,-83,0,0,-35,-2709,0,0,-49,-49,-439,6,-482,-650,-439
2012-06-30,1328,1087,569,1656,0,0,209,209,3193,-2713,-1081,0,0,47,-3747,1736,1736,-94,-94,-439,1,1204,650,-439
2012-03-31,1559.00000,1085.00000,480.00000,1565.00000,,,-359.00000,-359.00000,2765.00000,-2412.00000,,,,-3.00000,-2415.00000,,,,,-374.00000,3.00000,-371.00000,-21.00000,-374.00000
2011-12-31,1634,938,620,1558,-360,-50,224,297,3643,-2549,-839,50,50,-77,-3415,0,0,-112,-112,-376,2,-486,-258,-376
2011-09-30,1771,924,358,1282,0,0,-4,-4,3074,-2011,-210,0,0,24,-2197,2111,1611,-74,-74,-375,6,1168,2045,-375
2011-06-30,1817,839,390,1229,0,0,504,504,3342,-1633,-845,0,0,-72,-2550,0,-500,-28,-28,-375,5,-898,-106,-375
2011-03-31,1549.00000,890.00000,229.00000,1119.00000,,,-629.00000,-629.00000,2222.00000,-1325.00000,-3015.00000,,,2599.00000,-1741.00000,-1523.00000,-523.00000,-10.00000,-10.00000,-310.00000,-116.00000,-959.00000,-478.00000,-310.00000
2010-12-31,1226,800,370,1170,-929,-42,-117,244,2822,-1360,-3111,0,0,-117,-4588,2584,2584,-53,-53,-311,17,2237,471,-311
2010-09-30,1213,792,359,1151,0,0,23,23,2423,-1020,-1149,0,0,-130,-2299,-12,-12,2,2,-310,2,-318,-194,-310
2010-06-30,1075,798,227,1025,0,0,191,191,2094,-792,-365,0,0,-183,-1340,-72,-72,-8,-8,-269,4,-345,409,-269
2010-03-31,1088.00000,763.00000,284.00000,1047.00000,,,113.00000,113.00000,2227.00000,-768.00000,-299.00000,,,-1.00000,-1068.00000,-227.00000,-227.00000,2.00000,2.00000,-269.00000,3.00000,-491.00000,668.00000,-269.00000
2009-12-31,954,390,898,1288,-573,-119,817,-190,2103,-596,-1247,64,64,-439,-2218,7,7,-9,-9,-269,2,-269,-384,-269
2009-09-30,941,769,214,983,0,0,-271,-271,1642,-747,-580,-13,-13,534,-806,-691,-691,-17,-17,-274,-1,-983,-147,-274
2009-06-30,694,742,163,905,0,0,-77,-77,1421,-831,109,-19,-19,-534,-1275,739,739,3,3,-260,1,483,629,-260
2009-03-31,377.00000,786.00000,148.00000,934.00000,,,-478.00000,-478.00000,780.00000,-1071.00000,-64.00000,-32.00000,-32.00000,,-1167.00000,-7.00000,-7.00000,1.00000,1.00000,-260.00000,2.00000,-264.00000,-651.00000,-260.00000
