,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1927,1819,363,2182,-138,96,-1012,-134,3975,-1498,-524,95,95,29,-1898,-1159,-1159,-923,-923,-321,73,-2330,-253,-321
2022-09-30,2746,1736,218,1954,2293,-383,-325,-433,4267,-909,-157,-23,-23,70,-1019,-1217,-1217,-1725,-1725,-324,-104,-3370,-122,-324
2022-06-30,3755,1728,-335,1393,-917,-152,170,181,5329,-915,-280,-69,-69,-29,-1293,-3849,-3849,-442,-442,-323,28,-4586,-550,-323
2022-03-31,4876.00000,1643.00000,-2341.00000,-698.00000,-1238.00000,439.00000,-158.00000,-939.00000,3239.00000,-591.00000,-29.00000,-3.00000,-3.00000,-39.00000,-662.00000,-3259.00000,-3259.00000,-9.00000,-9.00000,-216.00000,55.00000,-3429.00000,-852.00000,-216.00000
2021-12-31,1537,1966,225,2191,-720,-178,53,-636,3092,-318,-309,427,427,149,-51,-2279,-2279,-1,-1,-209,-43,-2532,509,-209
2021-09-30,828,1916,431,2347,-187,34,-67,-57,3118,-154,-9,6,6,-9,-166,-4381,-4381,16,16,-210,-849,-5424,-2472,-210
2021-06-30,103,2371,226,2597,-242,369,-23,614,3314,-691,-8,-17,-17,-38,-754,0,0,2,2,-209,-55,-262,2298,-209
2021-03-31,-146.00000,2194.00000,209.00000,2403.00000,-937.00000,-311.00000,-82.00000,-1347.00000,910.00000,-83.00000,-105.00000,-10.00000,-10.00000,-84.00000,-282.00000,-174.00000,-174.00000,6.00000,6.00000,-211.00000,25.00000,-354.00000,274.00000,-211.00000
2020-12-31,-1112,1754,800,2554,-2186,-242,57,-38,1404,1667,-12,-79,-79,3,1579,-2321,-2321,-4,-4,-211,-327,-2863,120,-211
2020-09-30,-3575,1915,3341,5256,249,-283,101,-829,852,-246,-54,-196,-196,204,-292,341,341,18,18,-7,-51,301,861,-7
2020-06-30,-8131,2119,6594,8713,90,109,-62,-222,360,-375,-13,130,130,-318,-576,0,0,18,18,-714,-239,-935,-1151,-714
2020-03-31,-2013.00000,2309.00000,1232.00000,3541.00000,3909.00000,-68.00000,254.00000,-189.00000,1339.00000,-1300.00000,-35.00000,254.00000,254.00000,-449.00000,-1530.00000,,,90.00000,90.00000,-913.00000,-196.00000,-1019.00000,-1210.00000,-913.00000
2019-12-31,-1036,2369,1129,3498,401,78,-1310,-453,2009,-846,-162,-151,-151,-142,-1301,-1791,-1791,18,18,-858,132,-2499,-1791,-858
2019-09-30,-752,1767,-732,1035,379,320,1717,2122,2405,3060,-27850,-59,-59,-174,-25023,16956,16956,9973,9973,-588,-109,26232,3614,-588
2019-06-30,635,1031,105,1136,38,-99,-38,242,2013,-1195,-7,-29,-29,-57,-1288,-108,-108,21,21,-587,-52,-726,-1,-587
2019-03-31,631.00000,973.00000,228.00000,1201.00000,-417.00000,-221.00000,-199.00000,-884.00000,948.00000,-1243.00000,-69.00000,-52.00000,-52.00000,-51.00000,-1415.00000,,,-221.00000,-221.00000,-591.00000,-2.00000,-814.00000,-1281.00000,-591.00000
2018-12-31,706,1086,83,1169,955,-108,1163,548,2500,-1258,-202,-94,-94,48,-1506,0,0,-324,-324,-594,3,-915,79,-594
2018-09-30,1869,1023,-339,684,0,0,-149,-149,2404,1426,-726,-39,-39,-75,586,0,0,-807,-807,-595,4,-1398,1592,-595
2018-06-30,848,947,193,1140,0,0,-232,-232,1756,-1287,0,-57,-57,29,-1315,0,0,-94,-94,-593,2,-685,-244,-593
2018-03-31,708.00000,921.00000,68.00000,989.00000,,,-688.00000,-688.00000,1009.00000,-1032.00000,,8.00000,8.00000,53.00000,-971.00000,478.00000,478.00000,10.00000,10.00000,-592.00000,,-104.00000,-66.00000,-592.00000
2017-12-31,497,1076,-62,1014,-158,-349,484,-48,1421,-1160,-2357,1402,1402,1162,-953,0,0,-10,-10,-592,0,-602,-134,-592
2017-09-30,190,995,-101,894,0,0,9,9,1086,-947,1293,60,60,-1321,-915,0,0,3,3,-586,0,-583,-412,-586
2017-06-30,507,989,-465,524,0,0,81,81,1849,-770,0,0,0,231,-539,0,0,-2,-2,-584,0,-586,724,-584
2017-03-31,117.00000,942.00000,-11.00000,931.00000,,,-535.00000,-535.00000,505.00000,-722.00000,,,,50.00000,-672.00000,,,12.00000,12.00000,-584.00000,,-572.00000,-739.00000,-584.00000
2016-12-31,-272,1050,209,1259,-1091,17,525,77,916,-872,-2367,467,467,5,-2767,1485,1485,4,4,-585,-1193,-289,-2140,-585
2016-09-30,-241,1046,-197,849,0,0,51,51,650,-598,323,-61,-61,-306,-642,0,0,-4,-4,-575,0,-579,-571,-575
2016-06-30,-139,1070,330,1400,0,0,-195,-195,1129,-601,0,-389,-389,293,-697,708,708,10,10,-575,0,143,575,-575
2016-03-31,78.00000,1102.00000,192.00000,1294.00000,,,-316.00000,-316.00000,689.00000,-646.00000,,285.00000,285.00000,-276.00000,-637.00000,-700.00000,-700.00000,4.00000,4.00000,-574.00000,1193.00000,-77.00000,-25.00000,-574.00000
2015-12-31,-5178,1276,4960,6236,1431,-24,971,58,965,-1080,-57,1041,1041,-209,-305,0,0,-4,-4,-574,572,-6,654,-574
2015-09-30,-2609,1123,2682,3805,0,0,16,16,1020,-1127,-52,32,32,-82,-1229,0,0,-39,-39,-577,616,0,-209,-577
2015-06-30,176,1116,219,1335,0,0,-399,-399,805,-1390,0,-187,-187,-106,-1683,1478,1478,-325,-325,-556,884,1481,603,-556
2015-03-31,-218.00000,1029.00000,305.00000,1334.00000,,,-555.00000,-555.00000,561.00000,-1675.00000,,-67.00000,-67.00000,-464.00000,-2206.00000,,,-188.00000,-188.00000,-557.00000,754.00000,9.00000,-1636.00000,-557.00000
2014-12-31,-3407,1204,3948,5152,1413,-112,404,1121,2866,-2971,-1335,3035,3035,-369,-1640,0,-1599,-404,-404,-561,2230,-334,892,-561
2014-09-30,1211,1056,638,1694,0,0,-267,-267,2638,-2035,-45,1142,1142,-1804,-2742,0,1599,-503,-503,-565,79,610,506,-565
2014-06-30,1434,1024,205,1229,0,0,204,204,2867,-2130,-307,0,0,722,-1715,-46,-46,-627,-627,-570,150,-1093,59,-570
2014-03-31,1392.00000,977.00000,580.00000,1557.00000,,,-252.00000,-252.00000,2697.00000,-1794.00000,,,,-579.00000,-2373.00000,-61.00000,-61.00000,-933.00000,-933.00000,-514.00000,123.00000,-1385.00000,-1061.00000,-514.00000
