,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-269,283,-757,-474,-50,0,-4,464,639,-104,-147,-25,0,50,-122,484,484,0,0,0,-2,482,311,9,0
2022-09-30,-380,289,27,316,-63,0,16,-467,-86,-150,-166,-1,0,0,-167,-15,-15,0,0,0,0,-15,-343,10,0
2022-06-30,-414,284,3,287,-15,0,7,-2,-63,-190,-195,-91,0,0,-286,481,481,0,0,0,33,514,22,10,0
2022-03-31,-478.00000,292.00000,11.00000,303.00000,50.00000,,-8.00000,8.00000,-325.00000,-500.00000,-134.00000,-12.00000,,,-146.00000,184.00000,184.00000,,,,4989.00000,5173.00000,4521.00000,10.00000,
2021-12-31,-315,294,-6,288,-29,0,4,270,129,102,-188,-6,0,0,-194,236,236,0,0,0,65,301,265,7,0
2021-09-30,-594,289,173,462,-12,0,5,-280,-108,-240,-191,-5,0,0,-196,128,128,0,0,0,-98,30,-413,6,0
2021-06-30,-280,285,-5,280,44,0,-1,15,83,83,-154,0,0,0,-154,-16,-16,0,0,0,68,52,-17,5,0
2021-03-31,-280.00000,281.00000,5.00000,286.00000,40.00000,,-19.00000,-11.00000,-194.00000,-188.00000,-288.00000,,,,-288.00000,487.00000,487.00000,19.00000,19.00000,,-26.00000,480.00000,-47.00000,4.00000,
2020-12-31,-303,277,115,392,16,0,34,17,-41,48,-229,0,0,0,-229,-16,-16,2,2,0,-73,-87,-227,5,0
2020-09-30,-664,274,59,333,146,0,4,-19,48,-283,-356,0,0,0,-356,30,30,4,4,0,-39,-5,-636,5,0
2020-06-30,-841,267,-3,264,41,0,-14,35,9,-568,-352,0,0,0,-352,1480,1480,2,2,0,-121,1361,399,5,0
2020-03-31,-92.00000,277.00000,-20.00000,257.00000,136.00000,,-66.00000,-19.00000,-553.00000,-388.00000,-289.00000,,,,-289.00000,-16.00000,-16.00000,16.00000,16.00000,-911.00000,-3.00000,-914.00000,-1641.00000,7.00000,-911.00000
2019-12-31,647,170,16,186,-62,0,-9,45,174,1007,-258,0,1,0,-257,3967,3967,-290,-290,-587,-3450,-360,352,9,-587
