,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,185,373,-1,372,-30,49,23,-141,439,-200,-57,1,-256,-31,55,24,13,13,-146,-10,-119,118,32,-146
2022-09-30,-2934,3451,91,3542,-159,-102,-37,-324,290,-168,-16,0,-184,-129,0,-129,-6,-6,-146,-21,-302,-252,45,-146
2022-06-30,255,355,27,382,-110,-203,-97,-334,274,-171,-16,0,-187,-345,0,-345,22,22,-141,-5,-469,-443,45,-141
2022-03-31,73.00000,380.00000,-9.00000,371.00000,153.00000,-105.00000,-56.00000,-224.00000,208.00000,-140.00000,-174.00000,10.00000,-304.00000,-449.00000,,-449.00000,66.00000,66.00000,-140.00000,-25.00000,-548.00000,-657.00000,32.00000,-140.00000
2021-12-31,242,245,34,279,-42,112,-51,126,693,-235,-10039,7,-10267,9186,246,9432,89,89,-140,-105,9276,-305,53,-140
2021-09-30,452,206,-2,204,-86,6,-60,-17,675,-179,-46,18,-207,-157,0,-157,-30,-30,-141,4,-324,121,34,-141
2021-06-30,301,222,51,273,-93,-26,-58,-93,477,-158,-36,6,-188,51,0,51,-267,-267,-124,-9,-349,-46,37,-124
2021-03-31,300.00000,217.00000,23.00000,240.00000,51.00000,-129.00000,3.00000,-177.00000,377.00000,-171.00000,-381.00000,14.00000,-538.00000,,,,-205.00000,-205.00000,-125.00000,-28.00000,-358.00000,-550.00000,22.00000,-125.00000
2020-12-31,171,213,-5,208,-11,143,62,301,712,-237,-28,1,-264,-536,0,-536,-478,-478,-125,-4,-1143,-630,33,-125
2020-09-30,359,209,30,239,-94,-44,-61,-115,510,-156,-13,12,-157,0,-1,-1,29,29,-125,-14,-111,272,33,-125
2020-06-30,247,219,49,268,43,-178,-82,-155,374,-144,-10,0,-154,0,-225,-225,85,85,-112,-9,-261,-16,35,-112
2020-03-31,333.00000,199.00000,30.00000,229.00000,-57.00000,-83.00000,-53.00000,-303.00000,272.00000,-172.00000,-443.00000,11.00000,-604.00000,1240.00000,,1240.00000,66.00000,66.00000,-111.00000,-25.00000,1170.00000,775.00000,29.00000,-111.00000
2019-12-31,-19,209,534,743,-29,92,-13,80,829,-191,-232,2,-421,222,0,222,-219,-219,-113,-6,-116,326,30,-113
2019-09-30,375,195,54,249,37,3,-59,31,701,-167,-75,11,-231,0,0,0,-237,-237,-112,-5,-354,75,35,-112
2019-06-30,313,224,-18,206,-92,-9,-38,-103,446,-145,-2,0,-147,1661,-795,866,-34,-34,-97,-5,730,1032,35,-97
2019-03-31,342.00000,192.00000,13.00000,205.00000,32.00000,-82.00000,-48.00000,-433.00000,128.00000,-193.00000,-109.00000,1.00000,-301.00000,,795.00000,795.00000,-424.00000,-424.00000,-101.00000,-32.00000,238.00000,64.00000,22.00000,-101.00000
2018-12-31,305,185,71,256,4,29,-4,121,709,-206,-13,3,-216,0,0,0,-1398,-1398,-102,-8,-1508,-1025,28,-102
2018-09-30,509,199,-183,16,-59,-92,-11,-85,456,-142,-27,8,-161,0,0,0,-185,-185,-101,-1,-287,-3,33,-101
2018-06-30,343,195,40,235,-33,-78,-51,-168,405,-156,-9,0,-165,0,0,0,-171,-171,-86,-6,-263,-90,34,-86
2018-03-31,389.00000,192.00000,-30.00000,162.00000,76.00000,-56.00000,-33.00000,-116.00000,447.00000,-155.00000,-219.00000,,-374.00000,,,,-440.00000,-440.00000,-87.00000,-18.00000,-545.00000,-447.00000,20.00000,-87.00000
2017-12-31,-186,188,317,505,-2,76,-18,103,391,-206,-8,10,-204,32,0,32,-240,-240,-87,-3,-298,-99,30,-87
2017-09-30,251,184,157,341,-11,38,-114,-11,605,-131,-644,0,-775,0,0,0,-82,-82,-87,-6,-175,-300,31,-87
2017-06-30,265,184,-82,102,-35,-9,10,116,529,-156,-40,0,-196,633,0,633,45,45,-71,-4,603,959,28,-71
2017-03-31,272.00000,194.00000,42.00000,236.00000,78.00000,-29.00000,-105.00000,-318.00000,189.00000,-123.00000,6.00000,,-117.00000,,,,60.00000,60.00000,-70.00000,-27.00000,-37.00000,57.00000,18.00000,-70.00000
2016-12-31,243,201,323,524,-7,91,-76,137,713,-200,19,2,-179,2,0,2,-212,-212,-71,1,-280,204,31,-71
2016-09-30,130,204,-33,171,60,14,-59,32,532,-167,1,0,-166,430,-781,-351,38,38,-71,-21,-405,-33,30,-71
2016-06-30,1212,206,-1062,-856,-54,1,203,245,742,-168,-1,0,-169,-213,31,-182,84,84,-63,12,-149,419,31,-63
2016-03-31,3380.00000,189.00000,-3409.00000,-3220.00000,16.00000,-26.00000,-142.00000,-590.00000,-333.00000,-184.00000,-30.00000,13.00000,-201.00000,41.00000,450.00000,491.00000,84.00000,84.00000,-63.00000,-2.00000,510.00000,-2.00000,23.00000,-63.00000
2015-12-31,205,166,240,406,-9,87,-237,63,724,-253,21,0,-232,-63,-125,-188,193,193,-63,-170,-228,243,30,-63
2015-09-30,1,216,-46,170,-45,-35,-63,-12,255,-234,19,0,-215,-2658,425,-2233,0,0,-283,-2193,-4709,-4710,30,-283
2015-06-30,332,190,182,372,0,-48,-132,9,696,-210,13,-393,-590,5521,-1236,4285,0,0,-282,69,4072,4150,37,-282
