,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2015-03-31,430.00000,187.00000,-35.00000,152.00000,50.00000,-122.00000,-21.00000,-399.00000,96.00000,-214.00000,-3.00000,-553.00000,-770.00000,282.00000,361.00000,643.00000,,,-282.00000,23.00000,384.00000,-395.00000,29.00000,-282.00000
2014-12-31,953,200,-114,86,-82,32,78,158,1143,-301,-47,351,3,-503,525,22,-50,-50,-282,35,-275,847,35,-282
2014-09-30,468,103,160,263,-14,185,-98,167,914,220,133,-972,-619,7,200,207,-50,-50,-282,70,-55,212,19,-282
2014-06-30,520,253,235,488,-230,-127,-125,-465,599,-423,-119,0,-542,-14,150,136,-200,-200,-265,109,-220,-183,41,-265
2014-03-31,556.00000,236.00000,40.00000,276.00000,233.00000,-233.00000,4.00000,-274.00000,559.00000,-421.00000,37.00000,,-384.00000,-478.00000,,-478.00000,-250.00000,-250.00000,-266.00000,142.00000,-852.00000,-684.00000,31.00000,-266.00000
2013-12-31,326,62,144,206,-54,363,86,626,1083,331,116,-1014,-567,124,0,124,-50,-50,-266,42,-150,357,11,-266
2013-09-30,544,207,333,540,58,-106,-135,-68,966,-398,-3681,0,-4079,-213,0,-213,-146,-146,-267,126,-500,-3613,39,-267
2013-06-30,590,183,-1,182,-73,-125,19,-51,763,-347,-20,0,-367,3478,-300,3178,-183,-183,-244,144,2895,3300,40,-244
2013-03-31,552.00000,183.00000,126.00000,309.00000,85.00000,-181.00000,-90.00000,-485.00000,386.00000,-292.00000,-57.00000,,-349.00000,-293.00000,300.00000,7.00000,-534.00000,-534.00000,-246.00000,173.00000,-600.00000,-581.00000,32.00000,-246.00000
2012-12-31,494,178,554,732,-113,7,-610,-394,945,-399,87,-86,-398,11,0,11,-415,-415,-246,199,-451,79,33,-246
2012-09-30,583,179,43,222,-42,-36,36,-95,747,-259,-116,12,-363,997,-375,622,-105,-105,-184,127,460,838,34,-184
2012-06-30,661,180,20,200,90,-28,45,166,968,-264,-42,31,-275,-2,75,73,-385,-385,-186,-78,-576,81,35,-186
2012-03-31,588.00000,175.00000,-9.00000,166.00000,24.00000,-72.00000,53.00000,-283.00000,446.00000,-239.00000,-337.00000,43.00000,-533.00000,9.00000,50.00000,59.00000,-575.00000,-575.00000,-188.00000,156.00000,-548.00000,-633.00000,28.00000,-188.00000
2011-12-31,472,167,515,682,-127,-43,-209,-191,892,-317,-344,0,-661,488,175,663,-170,-170,-175,37,355,567,25,-175
2011-09-30,578,176,-24,152,55,-58,76,107,922,-235,-27,0,-262,-2,75,73,-298,-298,-176,95,-306,320,33,-176
2011-06-30,629,169,7,176,-89,-153,48,-183,632,-210,-82,0,-292,-2,0,-2,-478,-478,-178,160,-498,-150,33,-178
2011-03-31,577.00000,158.00000,54.00000,212.00000,-68.00000,-61.00000,-162.00000,-426.00000,371.00000,-198.00000,-14.00000,,-212.00000,-1.00000,,-1.00000,-637.00000,-637.00000,-180.00000,130.00000,-688.00000,-517.00000,28.00000,-180.00000
2010-12-31,426,179,228,407,-95,114,18,101,935,-264,-27,0,-291,-498,0,-498,-180,-180,-169,109,-738,-103,28,-169
2010-09-30,524,171,168,339,11,25,-30,120,1006,-232,-20,0,-252,2,0,2,-161,-161,-171,22,-308,488,29,-171
2010-06-30,537,169,41,210,-5,-25,93,12,783,-237,-20,0,-257,-2,0,-2,-677,-677,-174,64,-789,-373,33,-174
2010-03-31,-60.00000,166.00000,655.00000,821.00000,-33.00000,-94.00000,-263.00000,-491.00000,279.00000,-230.00000,-234.00000,,-464.00000,589.00000,,589.00000,-435.00000,-435.00000,-174.00000,139.00000,119.00000,-113.00000,30.00000,-174.00000
2009-12-31,576,172,144,316,-59,56,23,128,986,-380,-13,0,-393,4,0,4,-250,-250,-157,74,-329,215,34,-157
2009-09-30,532,164,152,316,-50,-31,-14,6,875,-247,-9,0,-256,491,-200,291,-304,-304,-157,289,119,769,32,-157
2009-06-30,589,154,102,256,-103,1,23,-39,811,-216,-85,0,-301,-16,0,-16,-96,-96,-158,-139,-409,99,36,-158
2009-03-31,518.00000,148.00000,-2.00000,146.00000,45.00000,-86.00000,-91.00000,-436.00000,237.00000,-171.00000,-25.00000,,-196.00000,194.00000,,194.00000,-566.00000,-566.00000,-160.00000,139.00000,-393.00000,-428.00000,38.00000,-160.00000
