,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,119.8,152.6,64.9,217.5,-53.3,-49.5,158.2,38.4,399.9,-161.3,0,48.8,0,0,0.2,-112.3,-33.8,-185.1,-218.8999,0,0,-53.1,-1,-273,14.6,13.2,-53.1
2022-09-30,177.2,218.8,28.1,246.9,0,0,-1.3,-1.3,422.8,-132.2,0,-339.9,0,0,0.1,-472,550,-422.2,127.8,0,0,-53.2,-2.2,72.4,23.2,9.7,-53.2
2022-06-30,187.4,143,27.2,170.2,0,0,-207.8,-207.8,149.9,-126.2,0,-39.9,0,0,-0.1,-166.2,8.5,51.9,60.4,0,0,-53.1,-0.3,7,-9.3,10.7,-53.1
2022-03-31,92.10000,141.00000,20.40000,161.40000,,,-77.80000,-77.80000,175.60000,-154.20000,,-148.20000,,,-0.10000,-302.50000,-8.50000,97.70000,89.20000,,,-53.20000,-17.60000,18.40000,-108.50000,7.50000,-53.20000
2021-12-31,137.7,142,19.4,161.4,-42,8.3,13.6,-43.8,287.1,-108.6,0,-4.9,0,0,0,-113.5,-13.5,-2.9,-16.4,0,0,-49.1,-3,-68.5,105.1,9.5,-49.1
2021-09-30,176.7,122.1,44.8,166.9,0,0,-16.7,-16.7,326.9,-124.7,0,-1634.5,0,0,0.1,-1759.1,1600,-947.5,652.5,0,0,-49.1,-3.2,600.2,-832,7.5,-49.1
2021-06-30,195.4,103.1,32.2,135.3,0,0,-102.8,-102.8,228.6,-87.3,0,0,0,0,0,-87.3,0.6,-1.3,-0.7,0,0,-49.1,-14,-63.8,77.5,9.8,-49.1
2021-03-31,160.60000,100.40000,-74.00000,26.40000,,,-17.00000,-17.00000,169.30000,85.80000,,,,,,85.80000,-0.60000,-500.00000,-500.60000,,,-49.10000,-12.50000,-562.20000,-307.10000,7.90000,-49.10000
2020-12-31,114.538,100.888,27.952,128.84,13.4,9.8,19.845,36.945,292.474,-91.151,0,-37.183,0,0,0.581,-127.753,-1.6,0.018,-1.582,0.032,0.032,-45.039,-4.856,-51.445,113.276,9.761,-45.039
2020-09-30,199.788,100.961,27.857,128.818,0,0,27.68,27.68,352.335,-39.465,0,0,0,0,5.244,-34.221,0,-0.006,-0.006,0,0,-45.033,-5.544,-50.583,267.531,8.019,-45.033
2020-06-30,209.916,99.471,32.596,132.067,0,0,1.133,1.133,343.116,-79.97,0,-5.017,0,0,-4.297,-89.284,750.006,-250.012,499.994,0,0,-45.028,-11.872,443.094,696.926,8.504,-45.028
2020-03-31,60.25800,95.48000,32.09500,127.57500,,,-105.35800,-105.35800,82.47500,-140.11400,,,,,9.87200,-130.24200,-0.00600,,-0.00600,-26.13200,-26.13200,-45.10000,-35.22800,-106.46600,-154.23300,6.71600,-45.10000
2019-12-31,141.131,95.675,14.753,110.428,-29.7,-28.3,143.201,102.401,337.971,-66.619,0,-45.366,0,0,-0.558,-112.543,0,0.017,0.017,0.002,0.002,-41.057,-0.988,-42.026,183.402,6.985,-41.057
2019-09-30,215.712,96.248,44.298,140.546,0,0,-28.034,-28.034,344.213,-80.144,0,0,0,0,-6.765,-86.909,0,-137.006,-137.006,-2.602,-2.602,-41.016,-12.1,-192.724,64.58,10.445,-41.016
2019-06-30,197.558,93.496,45.751,139.247,0,0,-151.053,-151.053,185.752,-99.13,0,0,0,0,2.66,-96.47,0.006,-41.511,-41.505,0,0,-40.988,-11.375,-93.868,-4.586,8.646,-40.988
2019-03-31,63.29900,89.18100,5.59800,94.77900,,,-41.91400,-41.91400,116.16400,-115.50700,,2.86600,,,-7.23700,-119.87800,-0.00600,45.50000,45.49400,,,-40.93900,-14.13700,-9.58200,-13.29600,5.72400,-40.93900
2018-12-31,124.022,89.783,-17.574,72.209,63.23,-34.976,-22.167,58.416,260.146,-111.478,0,-8.281,0,0,-0.634,-120.393,0,-67.0059,-67.0059,-34.067,-34.067,-36.917,-0.428,-138.418,1.335,3.565,-36.917
2018-09-30,179.152,89.391,38.605,127.996,0,0,-9.975,-9.975,296.871,-96.757,0,5.858,0,0,-1.99,-92.889,0,-160.005,-160.005,-24.995,-24.995,-36.996,-0.032,-222.028,-18.046,6.887,-36.996
2018-06-30,159.652,85.633,36.093,121.726,0,0,-98.888,-98.888,182.792,-111.656,0,-142.737,0,0,-10.192,-264.585,0,159.994,159.994,-19.353,-19.353,-37.02,-7.227,96.394,14.601,7.969,-37.02
2018-03-31,52.97900,81.43900,-84.92300,-3.48400,,,43.47300,43.47300,92.96800,-126.98700,,-65.00300,,,-0.03400,-192.02400,850.00000,-692.03800,157.96200,-55.56800,-55.56800,-37.17600,-66.29400,-1.07600,-100.13200,6.79400,-37.17600
2017-12-31,327.546,77.991,-158.171,-80.18,-81.561,-14.121,69.313,-15.243,245.143,-87.368,0,-611.871,0,0,-3.653,-702.892,600,-662.736,-62.736,0,0,-33.072,-0.96,-96.768,-554.517,6.682,-33.072
2017-09-30,108.579,79.635,43.345,122.98,0,0,12.754,12.754,244.313,-73.938,0,0,0,0,0,-73.938,0,-565.565,-565.565,0,0,-33.069,-0.377,-599.011,-428.636,6.282,-33.069
2017-06-30,120.139,76.776,4.788,81.564,0,0,-138.794,-138.794,61.07,-150.721,0,-25.495,0,0,0.405,-175.811,1250,-235.002,1014.998,-11.082,-11.082,-33.042,-13.291,957.583,842.842,7.183,-33.042
2017-03-31,44.92100,71.56300,3.89800,75.46100,,,-28.06900,-28.06900,94.15200,-131.78300,,-185.06700,,,,-316.85000,350.00000,-0.00500,349.99500,-49.22100,-49.22100,-33.15200,-25.98600,241.63600,18.93800,6.48800,-33.15200
2016-12-31,112.601,71.578,-1.425,70.153,-72.763,1.625,105.197,57.225,239.979,-45.255,0,-30.926,0,0,-1.465,-77.646,0.014,-0.13,-0.116,0,0,-26.468,-4.245,-30.829,131.504,5.025,-26.468
