,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,50.005,26.703,4.913,31.616,-5.91,-7.677,-10.14,0.755,-17.381,64.384,-6.109,0,6,0,6,0,-0.109,-64.661,0,-64.661,5.027,5.027,-12.561,0,-72.195,-0.575,16.744,-12.561
2022-09-30,89.73400,26.64100,-37.33000,-10.68900,17.33500,-10.68500,-1.40100,-2.76000,-22.93200,56.08100,-9.55600,-101.18400,0.00900,91.04300,91.05200,,-19.68800,-441.00000,449.66100,8.66100,-7.61200,-7.61200,-12.54500,-20.31000,-31.80600,-7.31000,14.46100,-12.54500
2022-06-30,61.915,25.866,7.874,33.74,3.334,-15.973,1.512,0.494,6.943,102.717,-13.57,0,-5,0,-5,0,-18.57,172.375,-175.5,-3.125,-50.009,-50.009,-12.539,-0.055,-65.728,11.746,8.406,-12.539
2022-03-31,60.144,25.367,22.156,47.523,-51.583,-7.334,11.404,3.449,-34.705,73.128,-15.1,0,-20.893,0,-20.893,0,-35.993,-63.125,40,-23.125,-48.992,-48.992,-12.577,0.629,-84.065,-51.024,8.071,-12.577
2021-12-31,72.059,25.102,-7.823,17.279,-5.71,-5.719,2.128,-1.173,11.769,100.993,-10.168,0,0,-25,-25,0,-35.168,-58.125,40,-18.125,-22.674,-22.674,-12.576,-0.001,-53.376,15.524,13.969,-12.576
2021-09-30,68.98100,24.73400,7.74600,32.48000,-3.63700,-2.98100,-2.30300,-5.85200,-53.52400,48.43400,-6.07000,,-1.05000,,-1.05000,,-7.12000,-51.12500,10.00000,-41.12500,37.88000,37.88000,-12.49300,-23.94600,-39.68400,-2.77000,11.73700,-12.49300
2021-06-30,14.644,24.672,46.441,71.113,17.161,-3.025,6.893,-1.515,36.119,122.02,-11.316,-215.587,0,0,0,0,-226.903,141.375,-15.5,125.875,10.1,10.1,-12.448,-5.839,117.688,12.955,9.808,-12.448
2021-03-31,45.403,21.103,22.62,43.723,-30.383,-3.529,3.574,1.922,-13.328,74.866,-10.602,0,10.731,-0.556,10.175,0.556,0.129,-16.125,0,-16.125,-20.523,-20.523,-12.446,-6.133,-55.227,20.61,10.643,-12.446
2020-12-31,46.143,20.884,10.27,31.154,-3.237,1.382,1.706,-3.14,11.843,89.269,-11.445,-9.765,13.162,0,13.162,-0.556,-8.604,-92.125,0,-92.125,16.919,16.919,-12.392,-2.481,-90.079,-3.878,15.578,-12.392
2020-09-30,33.39500,21.08800,16.70200,37.79000,0.91000,-1.96800,6.91800,1.63200,-5.37100,66.00900,-10.93800,,2.80000,,2.80000,,-8.13800,-33.12500,,-33.12500,15.41800,15.41800,-12.33600,-4.89000,-34.93300,22.77900,12.95300,-12.33600
2020-06-30,58.845,20.991,-24.148,-3.157,3.864,-4.852,0.312,-0.61,-11.03,44.791,-17.373,0,4.994,1.906,6.9,0,-10.473,85.375,-148.5,-63.125,32.493,32.493,-12.258,-1.831,-44.72,-9.591,6.017,-12.258
2020-03-31,36.433,21.108,0.734,21.842,-7.258,-5.628,2.916,-0.675,-7.781,49.469,-9.282,0,28.64,0,28.64,0,19.358,36.875,0,36.875,-38.869,-38.869,-12.279,-3.513,-17.786,45.924,7.855,-12.279
2019-12-31,119.62,20.553,-96.284,-75.731,11.355,-3.661,5.659,1.229,26.533,70.418,-14.564,0,47.859,0,47.859,0,33.295,-103.125,0,-103.125,18.295,18.295,-12.196,-0.001,-97.027,10.401,10.129,-12.196
2019-09-30,14.39800,20.08500,18.86000,38.94500,-1.40500,-0.72000,1.45600,-2.54900,-12.96800,40.53900,-10.52500,,-4.56000,,-4.56000,,-15.08500,-19.12500,,-19.12500,8.95200,8.95200,-12.16900,-1.92700,-24.26900,-0.99500,8.36600,-12.16900
2019-06-30,16.46,19.919,20.968,40.887,-1.864,-2.097,-1.876,0.302,-1.471,55.946,-11.692,-17.206,-1.418,0,-1.418,0,-30.316,-183.625,166.5,-17.125,10.921,10.921,-12.127,-1.566,-19.897,5.325,8.129,-12.127
2019-03-31,44.654,19.322,-8.021,11.301,-20.984,-3.338,2.592,1.258,-16.208,39.662,-4.925,0.001,0.188,0,0.188,0,-4.736,-23.125,0,-23.125,8.168,8.168,-12.086,0,-27.043,9.675,5.725,-12.086
2018-12-31,17.555,19.878,9.121,28.999,-0.459,-1.534,2.278,-0.904,-0.114,46.563,-4.604,-0.058,-8.972,0,-8.972,0,-13.634,-16.125,0,-16.125,-12.997,-12.997,-12.085,0,-41.207,-8.788,6.861,-12.085
2018-09-30,17.40300,19.05200,10.73400,29.78600,8.30700,-6.67800,3.10700,-1.35400,-9.95800,39.44800,-4.19000,-272.22900,-11.69400,,-11.69400,,-288.11300,222.87500,,222.87500,16.45300,16.45300,-12.06600,-4.73100,222.53100,-27.31600,11.56500,-12.06600
2018-06-30,41.701,17.152,-0.614,16.538,-12.099,-1.751,3.361,1.924,7.488,64.839,-5.818,-2.785,24.317,21.574,45.891,0.68,37.968,0,-53.5,-53.5,5.446,5.446,-12.032,-2.746,-62.832,35.382,14.653,-12.032
2018-03-31,19.739,16.273,-8.088,8.185,-9.237,-4.063,6.401,-0.463,-6.382,21.65,-3.508,-54.422,0,0,0,0,-57.93,0,30,30,7.025,7.025,-11.995,-25.982,-0.952,-34.85,4.748,-11.995
2017-12-31,48.847,15.615,-23.645,-8.03,19.199,-2.067,-14.286,1.273,-2.914,39.182,-6.335,-0.01,0,0,0,0,-6.345,6,19,25,2.893,2.893,-11.988,-0.355,15.55,48.994,5.044,-11.988
