,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,78.589,60.513,-8.796,51.717,-2.057,-25.393,-7.878,-32.962,98.391,-26.542,-171.121,-15,-15,10.461,-202.202,4,0,4,-4.308,-4.308,-15.949,-0.876,-17.133,-105.225,7.42,-15.949
2022-09-30,101.895,57.391,-6.09,51.301,7.537,-36.611,5.834,-8.466,142.556,-20.203,7.567,0,0,0,-12.636,-8.75,0,-8.75,0,0,-15.948,-0.905,-25.603,89.138,7.003,-15.948
2022-06-30,105.514,57.777,0.224,58.001,-16.134,-28.83,10.634,-124.072,39.757,-19.367,-22.703,0,0,10.314,-31.756,-135.5,0,-135.5,0,0,-15.946,-2.364,-153.81,-158.535,7.499,-15.946
2022-03-31,77.14100,58.96200,2.55600,61.51800,-27.80500,-19.85200,4.83000,-74.46400,62.10200,-13.07800,0.26200,,,,-12.81600,,,,,,-15.94600,-5.01400,-20.96000,21.57200,5.30200,-15.94600
2021-12-31,128.079,59.739,-114.643,-54.904,13.229,-0.187,2.813,138.779,201.679,-19.528,-1.327,0,0,9.866,-10.989,-200.5,0,-200.5,0,0,-15.932,1.025,-215.407,-36.083,5.872,-15.932
2021-09-30,199.181,59.879,-90.203,-30.324,9.33,2.697,-14.672,25.962,185.385,-15.431,224.781,-11.118,-11.118,1.25,199.482,-259,0,-259,11.097,11.097,-15.923,4.128,-259.698,119.386,5.372,-15.923
2021-06-30,83.248,61.592,27.329,88.921,-10.861,-3.574,-19.893,-15.593,154.281,-17.383,-1.534,0,0,8.038,-10.879,-75,0,-75,0,0,-15.9,-18.321,-109.221,37.15,6.349,-15.9
2021-03-31,74.86600,60.64500,11.47000,72.11500,-12.29800,-10.07400,3.34200,-21.80300,110.79400,-19.27600,-1.60100,,,,-20.87700,-100.00000,,-100.00000,,,-15.89300,-15.60300,-131.49600,-51.24900,5.34400,-15.89300
2020-12-31,76.131,58.513,4.264,62.777,9.202,32.599,-13.716,67.68,195.655,-28.325,-499.987,0,0,9.355,-518.957,350,0,350,0,0,-15.837,4.782,338.945,28.4,5.98,-15.837
2020-09-30,116.587,58.086,-21.477,36.609,-10.297,-3.221,-2.426,-48.995,107.479,-23.717,-0.548,0,0,0,-24.265,-285,0,-285,0,0,-15.826,4.608,-296.218,-206.055,6.277,-15.826
2020-06-30,11.456,58.385,16.943,75.328,68.988,-22.529,5.416,59.52,145.466,-19.368,-0.735,0,0,9.986,-10.117,25,0,25,0,0,-15.791,-2.103,7.106,147.058,4.96,-15.791
2020-03-31,131.15000,56.69800,-125.23700,-68.53900,-23.14500,-12.34600,6.40300,-55.92500,-11.45700,-19.28400,-265.16000,,,,-284.44400,485.00000,,485.00000,,,-15.76700,-63.90300,405.33000,105.39400,3.52200,-15.76700
2019-12-31,108.265,55.109,-6.584,48.525,-18.572,0.089,-17.839,-10.231,147.901,-7.688,-2.197,0,0,10.001,0.116,-93,0,-93,0,0,-15.757,0.448,-108.309,43.539,6.903,-15.757
2019-09-30,228.929,53.76,-118.803,-65.043,-21.474,-19.289,-6.803,-20.589,131.883,-25.733,-0.24,0,0,0,-25.973,-133,0,-133,0,0,-15.724,5.846,-142.878,-46.352,7.337,-15.724
2019-06-30,83.375,54.925,9.98,64.905,-5.645,-14.77,5.143,-50.898,97.118,-32.426,0,0,0,8.33,-24.096,-27.5,0,-27.5,0,0,-15.697,-0.091,-43.288,32.684,6.919,-15.697
2019-03-31,40.89700,54.57500,-7.06400,47.51100,-14.10200,-19.20000,-11.52400,-32.77800,60.16600,-22.50300,-1.02500,,,,-23.52800,,,,,,-15.65000,-108.71100,-124.36100,-85.94900,5.78100,-15.65000
2018-12-31,90.59,54.675,-10.901,43.774,6.418,-17.533,-3.883,0.276,132.142,-25.044,-94.597,0,0,1.548,-118.093,5,0,5,22.655,22.655,-15.639,-18.749,-6.733,0.885,5.969,-15.639
2018-09-30,56.524,53.136,37.462,90.598,-13.944,-4.648,-2.857,-18.503,121.36,-17.747,-0.1,0,0,0,-17.847,-80,0,-80,0,0,-15.588,-1.712,-97.3,9.972,5.732,-15.588
2018-06-30,-2.496,53.077,39.078,92.155,-12.484,-15.049,-0.205,7.474,94.736,-22.257,-18.766,0,0,0,-41.023,0,0,0,0,0,-15.491,-54.197,-69.688,-32.568,5.95,-15.491
2018-03-31,56.18400,53.82600,11.65400,65.48000,-3.40200,0.03200,-3.40600,-33.54400,86.84800,-15.74700,-3.68400,,,,-19.43100,-18.50000,,-18.50000,,,-15.44700,1.23500,-32.71200,45.31400,4.78700,-15.44700
2017-12-31,-42.658,50.032,-17.757,32.275,-17.467,-2.106,4.556,121.886,106.593,-23.258,-751.241,0,0,0,-774.499,8,0,8,0,0,-15.332,-6.808,-14.14,-684.015,4.888,-15.332
2017-09-30,77.015,38.022,0.593,38.615,1.357,-8.07,-4.013,16.647,122.018,-17.144,-17.252,0,0,0,-34.396,249.697,0,249.697,0,0,-15.315,3.342,237.724,341.359,4.985,-15.315
2017-06-30,78.003,37.913,2.161,40.074,-13.62,-6.865,1.228,-10.73,106.75,-23.939,-17.935,0,0,0,-41.874,-90.022,0,-90.022,0,0,-15.303,1.736,-103.589,-12.915,5.294,-15.303
2017-03-31,40.17000,34.37100,14.93100,49.30200,18.69100,-5.32200,-1.22400,4.17100,90.94000,-6.56200,-975.52400,,,,-982.08600,1056.24900,,1056.24900,,,-15.28700,-19.69800,1021.26400,145.34000,4.24000,-15.28700
2016-12-31,61.063,32.082,18.542,50.624,-15.345,12.025,-4.797,-4.516,108.992,-27.015,10.201,0,0,0,-16.814,-0.078,0,-0.078,9.068,9.068,-14.98,-14.796,-20.786,44.33,4.331,-14.98
2016-09-30,66.322,31.704,-5.284,26.42,14.553,-2.333,0.946,40.53,120.11,-10.57,-10.923,0,0,0,-21.493,-51.308,0,-51.308,0,0,-14.982,-9.417,-75.707,22.969,4.591,-14.982
2016-06-30,59.588,32.224,22.019,54.243,0.331,1.82,3.987,-0.319,114.656,-8.979,-3.117,0,0,0,-12.096,8.53,0,8.53,0,0,-14.819,-4.841,-11.13,83.932,4.512,-14.819
2016-03-31,50.86800,32.33600,3.86300,36.19900,-10.56800,-5.10400,-3.74900,-17.12100,66.83200,-6.57100,,,,,-6.57100,-0.00900,,-0.00900,,,-14.17900,3.11900,-11.06900,54.19200,3.43700,-14.17900
2015-12-31,101.282,33.359,-40.198,-6.839,9.112,11.533,-4.663,34.689,126.686,-16.29,-29.949,0,0,0,-46.239,-0.13,0,-0.13,0,0,-14.15,-0.385,-14.665,61.903,4.088,-14.15
2015-09-30,60.852,31.343,-19.988,11.355,9.27,-3.009,0.715,6.993,67.172,-13.837,-25.892,0,0,0,-39.729,-52.646,0,-52.646,0,0,-14.148,-4.285,-71.079,-48.547,3.253,-14.148
2015-06-30,45.009,30.782,10.803,41.585,3.922,-2.317,5.677,-17.357,67.23,-16.876,-30.184,0,0,0,-47.06,7.171,0,7.171,0,0,-14.116,-4.446,-11.391,16.251,3.294,-14.116
2015-03-31,38.57000,29.85000,6.00200,35.85200,-21.90600,-14.57800,-4.75600,-27.77000,42.35800,-14.44500,-7.37500,,,,-21.82000,29.94800,,29.94800,,,-14.11800,-4.27800,11.55200,5.52300,3.83200,-14.11800
2014-12-31,50.945,30.776,-6.803,23.973,6.952,7.553,5.509,11.183,81.443,-24.602,-11.991,0,0,0,-36.593,-0.093,0,-0.093,0,0,-14.084,0.504,-13.673,16.854,3.102,-14.084
2014-09-30,54.957,32.439,-3.002,29.437,1.802,-6.699,-6.494,6.411,88.637,-16.258,0,0.02,0.02,0,-16.238,-0.009,0,-0.009,0,0,-14.081,0.131,-13.959,49,3.399,-14.081
