,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,229.00000,62.00000,51.00000,113.00000,121.00000,-89.00000,-13.00000,-2.00000,35.00000,377.00000,-31.00000,-10.00000,,,,-41.00000,-49.00000,,-49.00000,27.00000,27.00000,-38.00000,-5.00000,-65.00000,287.00000,29.00000,-38.00000
2022-09-30,265,64,0,64,-99,-26,35,-33,-56,273,-33,-15,0,0,0,-48,-19,0,-19,33,33,-1045,-1,-1032,-807,38,-1045
2022-06-30,239,62,18,80,-83,-46,10,-7,-10,309,-29,-422,0,0,0,-451,-18,0,-18,-226,-226,0,0,-244,-408,36,0
2022-03-31,199,64,37,101,-125,-30,27,-14,-213,87,-32,3,0,0,0,-29,-19,0,-19,-627,-627,0,-1,-647,-597,42,0
2021-12-31,164.00000,61.00000,35.00000,96.00000,117.00000,-32.00000,-14.00000,-2.00000,19.00000,279.00000,-25.00000,,,,,-25.00000,-219.00000,,-219.00000,40.00000,40.00000,-46.00000,,-225.00000,26.00000,37.00000,-46.00000
2021-09-30,208,65,102,167,-101,39,22,2,-86,289,-25,-12,0,0,0,-37,-19,0,-19,22,22,0,1,4,258,24,0
2021-06-30,318,53,-78,-25,-16,8,-12,-26,-41,252,-20,224,0,0,0,204,-37,0,-37,37,37,0,-1,-1,457,35,0
2021-03-31,105,71,18,89,-47,31,13,-12,-96,98,-29,-918,0,0,24,-923,-50,0,-50,37,37,0,0,-13,-835,21,0
2020-12-31,50.00000,49.00000,76.00000,125.00000,86.00000,1.00000,-20.00000,3.00000,99.00000,274.00000,-31.00000,2.00000,,,,-29.00000,-19.00000,,-19.00000,32.00000,32.00000,-73.00000,,-60.00000,190.00000,49.00000,-73.00000
2020-09-30,82,76,112,188,5,64,-14,-22,-48,222,-43,0,0,0,0,-43,-40,0,-40,27,27,0,-2,-15,168,34,0
2020-06-30,-6,72,21,93,273,-29,-36,38,310,397,-12,904,0,0,-904,-12,1474,0,1474,20,20,0,-1,1493,1881,22,0
2020-03-31,319,66,12,78,23,-28,2,-27,-236,161,-23,0,0,0,0,-23,181,0,181,30,30,-1864,-9,-1662,-1526,11,-1864
2019-12-31,305.00000,66.00000,-25.00000,41.00000,51.00000,-69.00000,-14.00000,-5.00000,87.00000,433.00000,-27.00000,,,,904.00000,877.00000,1457.00000,,1457.00000,20.00000,20.00000,-64.00000,1.00000,1414.00000,2727.00000,26.00000,-64.00000
2019-09-30,349,37,-19,18,-17,64,6,-3,-120,247,-22,170,0,0,0,148,-20,49,29,18,18,-1688,0,-1641,-1250,23,-1688
2019-06-30,145,154,27,181,-58,-55,-8,30,-11,315,-36,-388,0,0,0,-424,-21,0,-21,17,17,0,1,-3,-112,32,0
2019-03-31,202,59,14,73,-52,-16,-2,-45,-152,123,-20,-3540,0,0,0,-3560,3894,0,3894,33,33,0,-2,3925,492,20,0
2018-12-31,196.00000,43.00000,18.00000,61.00000,45.00000,-29.00000,3.00000,-9.00000,73.00000,330.00000,-24.00000,-29.00000,,,,-53.00000,,,,14.00000,14.00000,-24.00000,,-10.00000,264.00000,18.00000,-24.00000
