,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1032,474,-113,361,382,26,-194,-232,91,1484,-491,0,0,0,0,-491,-46,-46,-509,-509,-533,-10,-1098,-105,11,-533
2022-09-30,1196,406,-78,328,107,-17,47,19,247,1771,-442,0,0,0,0,-442,-831,-831,-252,-252,-519,-8,-1610,-281,24,-519
2022-06-30,1229,405,-141,264,-432,-7,126,23,-614,879,-472,0,0,0,0,-472,-1,-1,-299,-309,-484,-1,-795,-388,18,-484
2022-03-31,608.00000,350.00000,274.00000,624.00000,-57.00000,-2.00000,21.00000,4.00000,90.00000,1322.00000,-269.00000,,,,,-269.00000,-2.00000,-2.00000,-178.00000,-178.00000,-456.00000,-6.00000,-642.00000,411.00000,20.00000,-456.00000
2021-12-31,938,398,-312,86,-159,3,-17,4,-73,951,-261,0,0,0,1033,772,-2,-2,2,2,-652,-112,-764,959,28,-652
2021-09-30,64,98,149,247,-102,4,76,4,-64,247,-185,0,0,0,0,-185,-100,-100,0,0,-44,0,-144,-82,10,-44
2021-06-30,30,92,94,186,15,-1,-16,5,-37,179,-151,0,0,0,0,-151,0,0,0,0,-44,0,-44,-16,3,-44
2021-03-31,126.00000,95.00000,39.00000,134.00000,17.00000,-1.00000,4.00000,-14.00000,30.00000,290.00000,-123.00000,,,,,-123.00000,-88.00000,-88.00000,,,-40.00000,-6.00000,-134.00000,33.00000,11.00000,-40.00000
2020-12-31,131.677,97.36,-8.672,88.688,-78.285,-0.567,-4.882,6.265,87.242,307.607,-96.913,0,0.459,0.459,0,-96.454,-28,-28,0,0,-39.468,-3.65,-71.118,140.035,5.796,-39.468
2020-09-30,-14.961,100.382,61.493,161.875,-18.821,3.019,11.335,1.777,-17.854,129.06,-147.179,0,0,0,0,-147.179,-59,-59,0,0,-39.857,-0.018,-98.875,-116.994,10.741,-39.857
2020-06-30,30.374,95.373,-6.556,88.817,17.779,-0.135,-12.742,11.134,17.245,136.436,-182.254,0,0,0,0,-182.254,0,0,0,0,-39.858,-0.019,-39.877,-85.695,7.698,-39.858
2020-03-31,53.91000,100.88500,43.73500,144.62000,73.32700,-4.31700,-23.71100,-12.17600,6.36700,204.89700,-148.65400,,-9.45900,-9.45900,,-158.11300,,,,,-39.81700,-6.31300,-46.13000,0.65400,15.76500,-39.81700
2019-12-31,146.87,107.487,23.422,130.9091,-50.164,4.119,13.413,1.471,-15.59,262.189,-166.705,0,249.321,249.321,0,82.616,0,0,-172.554,-172.554,-41.278,0.998,-212.834,131.971,7.28,-41.278
2019-09-30,90.358,111.644,73.47,185.1139,24.137,1.186,-7.546,1.619,-4.598,270.874,-199.141,0,-2.948,-2.948,0,-202.089,0,0,-190.808,-190.808,-37.025,-0.03,-227.863,-159.078,1.662,-37.025
2019-06-30,181.009,97.522,23.351,120.873,37.356,-1.104,-7.933,8.812,24.768,326.65,-225.85,0,-2.545,-2.545,0,-228.395,0,0,-125.26,-125.26,-38.092,-8.398,-171.75,-73.495,6.571,-38.092
2019-03-31,262.76300,93.34700,149.75700,243.10400,141.67100,-7.20100,-27.93400,-33.90200,79.42000,585.28700,-193.30400,,-1.82800,-1.82800,,-195.13200,-7.00000,-7.00000,-31.37800,-31.37800,-29.60500,-9.57000,-77.55300,312.60200,14.48700,-29.60500
2018-12-31,275.045,130.379,87.381,217.76,-139.576,1.399,-1.724,-10.158,-176.754,316.051,-244.142,0,-4.397,-4.397,0,-248.539,-60,-60,-291.036,-291.036,-30.184,-0.082,-381.302,-313.79,14.971,-30.184
2018-09-30,122.336,122.303,54.122,176.425,-46.284,7.051,25.024,2.453,-56.569,242.192,-231.575,0,-9.961,-9.961,0,-241.536,-237,-237,-162.071,-162.071,-26.467,-0.035,-425.573,-424.917,6.108,-26.467
2018-06-30,42.431,86.105,67.961,154.066,-11.277,-8.068,21.337,38.873,77.403,273.9,-230.691,0,-27.487,-27.487,0,-258.178,0,0,-212.52,-212.52,-27.071,-0.065,-239.656,-223.934,5.18,-27.071
2018-03-31,117.23100,83.32300,79.74600,163.06900,50.21600,-4.30900,-14.16900,-14.63200,-7.54000,272.76000,490.28800,,-35.41800,-35.41800,,454.87000,,,-207.13400,-207.13400,-27.64700,-7.96800,-242.74900,484.88100,5.18400,-27.64700
2017-12-31,-44.441,144.323,140.261,284.584,-54.312,3.434,2.581,16.97,-61.03,179.113,-95.012,0,-33.657,-33.657,0,-128.669,0,0,-55.486,-55.486,-23.131,-2.036,-80.653,-30.209,7.408,-23.131
2017-09-30,17.587,147.462,42.182,189.644,15.563,-2.096,-0.794,-20.304,-18.13,189.101,-162.244,0,-9.756,-9.756,0,-172,0,0,0,0,-23.125,-0.254,-23.379,-6.278,7.813,-23.125
2017-06-30,21.527,145.517,88.663,234.18,15.451,-1.213,-4.49,11.813,4.861,260.568,-183.848,0,-5.884,-5.884,0,-189.732,0,0,-68.255,-68.255,-23.276,-0.256,-91.787,-20.951,9.915,-23.276
2017-03-31,105.72000,136.28900,31.01200,167.30100,-1.73800,1.20900,0.15100,-13.79900,-3.64300,269.37800,-208.01000,,-7.74200,-7.74200,,-215.75200,,,,,-9.30600,-5.37700,-14.68300,38.94300,8.28300,-9.30600
2016-12-31,-292.76,142.413,313.91,456.323,-69.925,0.184,23.032,17.622,-23.827,139.736,-128.769,0,-4.308,-4.308,0,-133.077,0,0,0,0,-9.302,-0.008,-9.31,-2.651,2.931,-9.302
2016-09-30,-10.26,140.686,-2.064,138.622,-3.253,1.498,5.02,-14.461,-22.947,105.415,-86.394,0,-6.005,-6.005,0,-92.399,-20,-20,0,0,-9.303,-0.01,-29.313,-16.297,5.088,-9.303
2016-06-30,-62.91,149.034,11.494,160.528,-17.24,0.261,-7.584,11.84,-12.44,85.178,-67.162,0,-6.519,-6.519,0,-73.681,-64,-64,0.001,0.001,-9.3,-0.024,-73.323,-61.826,7.357,-9.3
2016-03-31,-51.19400,163.07800,-40.72400,122.35400,19.35800,1.10100,-9.61000,-15.13000,-4.04800,67.11200,-42.40900,,-11.65200,-11.65200,,-54.06100,-413.00000,-413.00000,995.27800,995.27800,-8.28200,-8.24500,565.75100,578.80200,10.60600,-8.28200
2015-12-31,-111.124,150.935,85.496,236.431,-0.306,1.233,11.133,17.796,39.303,164.644,-135.49,0,-8.275,-8.275,0,-143.765,-12,-12,0,0,-8.278,-8.86,-29.138,-8.259,2.023,-8.278
2015-09-30,-15.514,145.384,20.489,165.873,12.815,2.141,-1.327,-9.651,-3.996,146.363,-170.369,-0.012,-10.684,-10.684,0,-181.065,42,42,0,0,-8.275,-5.481,28.244,-6.458,-2.913,-8.275
2015-06-30,-27.508,153.582,57.15,210.732,50.282,-6.336,-35.394,-9.403,-12.014,171.21,-249.929,-16.3,-5.036,-5.036,0,-271.265,118,118,0,0,-8.274,-8.388,101.338,1.283,8.624,-8.274
2015-03-31,40.25500,176.76400,23.15700,199.92100,49.61500,-0.06100,-29.62900,-1.69900,27.20500,267.38100,-392.16100,,-5.07800,-5.07800,,-397.23900,125.00000,125.00000,,,-8.26300,6.11500,122.85200,-7.00600,5.91100,-8.26300
2014-12-31,-221.771,175.141,376.838,551.979,-42.107,-0.296,2.129,14.103,-37.023,293.185,-479.312,-198.911,-9.273,-9.273,0,-687.496,140,140,-19.085,-19.085,-8.26,-7.377,105.278,-289.033,14.126,-8.26
2014-09-30,100.788,155.14,54.375,209.515,20.83,-1.817,29.372,-0.308,47.999,358.302,-342.46,-15.826,-6.554,-6.554,0,-364.84,419,419,-119.767,-119.767,-8.339,-19.979,270.915,264.377,18.968,-8.339
2014-06-30,118.42,158.689,34.833,193.522,33.006,-1.522,-22.995,15.602,17.628,329.57,-279.775,0,-16.293,-16.293,19.712,-276.356,-29,-29,0,0,-8.347,4.312,-33.035,20.179,-14.694,-8.347
2014-03-31,107.03100,148.54400,63.95700,212.50100,-23.41800,7.07600,-16.08900,-14.83400,-64.15400,255.37800,-338.59300,,-5.93700,-5.93700,8.38200,-336.14800,75.00000,75.00000,,,-8.33200,16.13300,82.80100,2.03100,3.02900,-8.33200
2013-12-31,77.946,182.956,32.859,215.815,-43.077,3.632,-3.071,-26.036,-35.911,257.85,-43.012,0.128,-10.251,-10.251,-28.094,-81.229,-15,-15,-164.634,-164.634,-8.402,6.883,-181.153,-4.532,19.565,-8.402
2013-09-30,69.889,169.905,40.546,210.451,26.23,-2.562,-29.498,0.867,-3.631,276.709,-305.076,-0.128,-4.374,-4.374,0,-309.578,20,20,0,0,-8.423,1.947,13.524,-19.345,7.393,-8.423
2013-06-30,89.114,152.334,50.442,202.776,-32.308,-6.999,37.546,-3.169,-14.25,277.282,-263.467,0,-3,-3,0,-266.467,15,15,0,0,-4.206,5.211,16.005,26.82,4.49,-4.206
2013-03-31,42.82400,149.55000,39.85300,189.40300,-0.24300,2.89600,-27.88500,0.98300,-19.90000,212.68500,-259.68300,,-1.25000,-1.25000,,-260.93300,40.00000,40.00000,,,-4.20100,2.17000,37.96900,-10.27900,15.51700,-4.20100
2012-12-31,40.866,116.949,65.903,182.852,-68.784,3.522,35.234,2.193,-24.985,196.981,-222.193,0,-2.375,-2.375,0,-224.568,25,25,0,0,-4.196,0.018,20.822,-6.765,9.354,-4.196
2012-09-30,36.609,111.414,27.64,139.054,-14.467,-5.711,12.284,-0.981,-13.445,163.97,-257.846,0,-2.4,-2.4,0,-260.246,90,90,0,0,-4.193,-0.671,85.136,-11.14,10.531,-4.193
2012-06-30,35.937,116.886,-10.679,106.207,5.953,0.245,9.474,-0.662,17.598,159.362,-91.345,0,-2.088,-2.088,0,-93.433,-40,-40,0,0,-4.191,-5.425,-49.616,16.313,28.457,-4.191
2012-03-31,18.31800,111.42100,8.79600,120.21700,19.26100,9.04800,-38.14900,0.51800,-7.13500,131.78000,-187.26700,,,,,-187.26700,62.00000,62.00000,,,-4.17700,0.08100,57.90400,2.41700,-1.47000,-4.17700
2011-12-31,26.363,93.563,1.038,94.601,-12.769,6.337,18.487,1.975,22.8,126.473,99.258,0,0,0,0,99.258,-255,-255,0,0,-3.129,-0.619,-258.748,-33.017,10.508,-3.129
2011-09-30,28.482,91.357,45.552,136.909,15.702,-4.252,-20.762,1.054,-10.523,154.665,-237,0,0,0,0,-237,110,110,0,0,-3.129,-0.922,105.949,23.614,15.5,-3.129
2011-06-30,54.677,84.358,11.504,95.862,-26.728,-3.238,20.436,-1.873,-21.051,129.488,-151.752,0,0,0,0,-151.752,40,40,0,0,-3.128,-0.19,36.682,14.418,14.318,-3.128
2011-03-31,12.88600,78.24400,21.15000,99.39400,3.90200,8.86100,-9.61500,-0.01300,-21.06700,91.21300,-198.12600,,,,,-198.12600,80.00000,80.00000,,,-3.12200,-1.01800,75.86000,-31.05300,12.61400,-3.12200
2010-12-31,49.109,86.587,-45.837,40.75,-18.967,2.676,12.764,9.443,35.845,117.419,23.349,0,0,0,0,23.349,-120,-120,0,0,-3.119,0.712,-122.407,18.361,17.016,-3.119
2010-09-30,3.899,91.517,45.697,137.214,3.642,-8.809,-8.315,-3.171,-16.799,124.314,-199.689,0,0,0,0,-199.689,80,80,0,0,-3.12,-11.602,65.278,-10.097,6.559,-3.12
2010-06-30,21.682,77.794,10.055,87.849,14.389,-5.863,6.976,-8.145,17.55,127.081,-202.801,0,0,0,0,-202.801,100,100,0,0,-3.116,-1.984,94.9,19.18,2.009,-3.116
2010-03-31,28.69600,74.56600,28.18000,102.74600,-13.18900,10.31900,-12.91300,5.54800,-15.34500,116.09700,-234.60000,,,,,-234.60000,110.00000,110.00000,,,-3.11200,-0.03800,106.85000,-11.65300,4.21000,-3.11200
2009-12-31,36.364,65.928,76.273,142.201,-27.749,8.779,21.895,-2.76,18.357,196.922,-185.03,0,0,0,0,-185.03,-5,-5,0,0,-3.109,0.705,-7.404,4.488,10.527,-3.109
2009-09-30,38.897,78.074,28.836,106.91,1.382,-7.255,-7.203,5.289,-29.062,116.745,-115.831,0,0,0,0,-115.831,-5,-5,0,0,-3.11,13.018,4.908,5.822,-6.704,-3.11
2009-06-30,25.502,55.108,53.031,108.139,21.223,-1.896,3.595,-9.389,14.21,147.851,-74.2,0,0,0,0,-67.734,-62,-62,0,0,-3.11,-10.408,-75.518,4.599,7.313,-3.11
2009-03-31,47.58000,55.78500,34.67400,90.45900,33.86900,18.05900,-45.48900,5.29200,14.49500,152.53400,-155.96600,,,,,-162.43200,10.00000,10.00000,,,-3.10300,0.14900,7.04600,-2.85200,6.20000,-3.10300
