,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2277,878,-76,802,661,-223,-211,263,353,3444,-1323,0,-74,-74,0,-1397,-8,0,-8,-12,-12,-1327,0,-1347,700,34,-1327
2022-09-30,2854,906,-340,566,392,-140,-88,1230,1341,4773,-1126,0,-90,-90,0,-1216,-8,0,-8,-37,-37,-1312,0,-1357,2199,34,-1312
2022-06-30,2238,911,-807,104,-522,-157,259,647,-309,2048,-1314,0,-143,-143,-30,-1487,-9,0,-9,-2,-2,-1486,0,-1497,-936,30,-1486
2022-03-31,390.00000,847.00000,2129.00000,2976.00000,-878.00000,-14.00000,130.00000,-2395.00000,-2544.00000,828.00000,-888.00000,,-68.00000,-68.00000,,-956.00000,-10.00000,,-10.00000,-39.00000,-39.00000,-1023.00000,,-1072.00000,-1200.00000,35.00000,-1023.00000
2021-12-31,1985,910,175,1085,-182,-108,341,20,97,3166,-937,0,100,100,0,-837,-10,0,-10,2,2,-1406,0,-1414,916,35,-1406
2021-09-30,1095,927,228,1155,-145,-6,-68,-48,-61,2196,-888,0,-45,-45,0,-933,-9,0,-9,-21,-21,-820,0,-850,413,51,-820
2021-06-30,907,914,186,1100,-186,37,11,-141,-442,1559,-882,0,54,54,0,-828,-9,0,-9,7,7,-239,0,-241,492,31,-239
2021-03-31,677.00000,900.00000,398.00000,1298.00000,-308.00000,64.00000,172.00000,-283.00000,-112.00000,1870.00000,-912.00000,,91.00000,91.00000,,-821.00000,-759.00000,,-759.00000,-10.00000,-10.00000,-219.00000,,-988.00000,59.00000,35.00000,-219.00000
2020-12-31,337,870,249,1119,-464,31,427,-270,-337,1121,-838,0,201,201,0,-637,-6,0,-6,7,7,-220,0,-219,263,33,-220
2020-09-30,-42,823,444,1267,-260,7,-37,207,-10,1214,-341,0,6,6,0,-335,-5,0,-5,-10,-10,-217,0,-232,649,33,-217
2020-06-30,-910,707,854,1561,469,-18,-1619,611,-563,88,-431,0,-414,-414,0,-845,479,0,479,8,8,-217,-3,267,-490,40,-217
2020-03-31,10.00000,1000.00000,511.00000,1511.00000,722.00000,103.00000,434.00000,-140.00000,1064.00000,2585.00000,-1663.00000,,132.00000,132.00000,,-1531.00000,-3.00000,,-3.00000,-5.00000,-5.00000,-167.00000,,-175.00000,879.00000,40.00000,-167.00000
