,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,223.727,74.012,-11.306,62.706,-36.917,-1.955,7.434,50.923,115.14,401.573,-143.646,0,-40.052,-40.052,-183.698,0,0,-200.365,-200.365,-6.304,-206.669,11.369,20.659
2022-09-30,257.138,71.416,37.167,108.583,10.538,-4.376,13.746,7.074,-13.803,351.918,-139.023,0,-258.114,-258.114,-397.137,0,0,-107.865,-107.865,-0.467,-108.332,-154.231,25.15
2022-06-30,259.942,69.733,-34.29,35.443,1.959,0.35,-18.674,57.128,-8.599,286.786,-100.333,0,-15.798,-15.798,-116.131,0,0,-258.602,-258.602,-6.323,-264.925,-94.907,28.631
2022-03-31,158.29400,71.66500,67.04000,138.70500,10.39400,2.97000,15.70200,-65.81700,-14.09700,282.90200,-96.16200,,-36.90400,-36.90400,-133.06600,,,-263.30800,-263.30800,-86.17000,-349.47800,-199.49500,23.59000
2021-12-31,133.475,66.262,23.548,89.81,-23.569,-4.396,-7.272,34.101,215.135,438.42,-120.756,0,-38.144,-38.144,-158.9,0,0,-165.729,-165.729,-16.31,-182.039,97.23,37.651
2021-09-30,204.434,63.191,56.189,119.38,-15.404,-3.305,16.187,15.076,-43.011,280.803,-108.446,0,-16.583,-16.583,-125.029,0,0,-97.582,-97.582,-4.766,-102.348,52.854,36.061
2021-06-30,187.974,62.082,-0.741,61.341,5.111,-0.839,-6.921,50.063,7.57,256.885,-122.619,0,1.009,1.009,-121.61,0,0,-145.922,-145.922,-16.037,-161.959,-26.493,47.29
2021-03-31,127.10100,63.12200,98.01900,161.14100,32.17500,2.14800,19.44600,-74.99700,17.73100,305.97300,-86.61900,,-29.88400,-29.88400,-116.50300,,,-57.22900,-57.22900,-45.03100,-102.26000,86.80300,55.39000
2020-12-31,190.959,59.956,-50.336,9.62,-26.223,-1.008,-9.635,162.185,-85.455,115.124,-126.594,0,-42.776,-42.776,-169.37,0,0,0,0,-0.609,-0.609,-54.156,22.047
2020-09-30,80.244,60.18,74.471,134.651,6.635,-1.415,-34.754,-54.348,28.895,243.79,-81.303,-2.5,-104.038,-104.038,-187.841,0,0,0,0,-0.039,-0.039,56.391,19.817
2020-06-30,8.175,60.024,102.401,162.425,-3.369,-0.705,20.285,-21.703,-47.738,122.862,-87.802,-7.525,79.183,79.183,-16.144,0,0,0,0,-2.103,-2.103,105.33,23.367
2020-03-31,76.38800,58.37400,97.12100,155.49500,25.96700,2.73400,20.24500,-66.02900,-49.81200,182.07100,-77.65300,,18.29100,18.29100,-59.36200,,,-54.40100,-54.40100,-47.69900,-102.10000,19.79000,17.39500
2019-12-31,72.416,55.149,114.763,169.912,-21.669,-2.218,3.189,-4.222,-55.739,186.589,-81.978,0,27.628,27.628,-54.35,0,0,-38.996,-38.996,-0.033,-39.029,93.219,25.739
2019-09-30,98.582,52.206,61.539,113.745,0.764,-2.733,6.157,-42.485,22.201,234.528,-95.963,0,-11.406,-11.406,-107.369,0,0,-40.079,-40.079,-0.177,-40.256,86.806,25.336
2019-06-30,91.028,51.642,51.798,103.44,2.329,-2.36,-6.063,-39.846,-76.534,117.934,-77.776,0,40.858,40.858,-36.918,0,0,-58.656,-58.656,-0.263,-58.919,22.413,21.167
2019-03-31,88.13200,53.78100,62.05300,115.83400,15.94600,2.78100,-4.25600,-52.99000,-21.38500,182.58100,-64.22600,,-29.11100,-29.11100,-93.33700,,,-52.88600,-52.88600,-10.64500,-63.53100,25.89100,19.15400
2018-12-31,32.019,53.217,9.482,62.699,-21.74,-3.284,13.897,32.869,34.337,129.055,-77.391,0,-97.971,-97.971,-175.362,0,0,-44.536,-44.536,-0.821,-45.357,-92.456,20.945
2018-09-30,38.204,52.654,39.809,92.463,-3.179,2.569,3.732,16.544,66.412,197.079,-81.494,0,21.077,21.077,-60.417,0,0,-18.873,-18.873,-0.449,-19.322,117.39,24.574
2018-06-30,46.884,49.193,67.333,116.526,2.854,-3.458,-2.791,-13.091,-69.108,94.302,-70.981,0,0.455,0.455,-70.526,0,0,-28.89,-28.89,-0.318,-29.208,-6.123,11.548
2018-03-31,59.44600,46.91500,22.31900,69.23400,13.76700,2.45100,17.24200,-13.14300,72.43600,201.11600,-57.52400,,-23.74900,-23.74900,-81.27300,,,-68.63800,-68.63800,-4.01000,-72.64800,47.17100,12.09700
2017-12-31,43.793,41.442,7.229,48.671,-16.617,1.773,-3.863,12.662,-3.555,88.909,-51.271,0,110.283,110.283,59.012,0,0,-76.259,-76.259,-0.06,-76.319,71.727,10.659
2017-09-30,19.61,41.546,19.094,60.64,1.105,-2.493,6.5,9.237,55.429,135.679,-51.791,0,-40.162,-40.162,-91.953,0,0,-105.132,-105.132,-0.625,-105.757,-61.23,17.75
2017-06-30,66.73,41.081,17.076,58.157,-3.321,-0.793,7.563,4.136,-31.849,93.038,-56.627,0,60.078,60.078,3.451,0,0,-44.69,-44.69,0.003,-44.687,52.759,20.39
2017-03-31,46.12000,39.27900,17.17100,56.45000,18.69300,-3.73700,0.70800,6.29800,48.02000,150.59000,-57.08800,,,,-57.08800,,,-59.13700,-59.13700,0.00600,-59.13100,34.54400,16.45600
2016-12-31,15.975,38.072,2.854,40.926,-18.007,3.351,5.204,19.462,17.187,74.088,-66.59,0,0,0,-66.59,0,0,-65.406,-65.406,-1.434,-66.84,-60.33,15.777
2016-09-30,7.799,37.434,32.02,69.454,0.883,-1.521,1.737,17.676,24.154,101.407,-65.54,0,0,0,-65.54,0,0,-71.318,-71.318,-0.083,-71.401,-35.832,18.351
